"alg-geom/9701009","Paul Bressler","P.Bressler, J.-L.Brylinski","On the singularities of the theta divisors on Jacobians","LaTeX Version 2.09",,,,"alg-geom math.AG",,"  We study the intersection cohomology of the theta divisors on Jacobians of
nonhyperelliptic curves.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 21:15:15 GMT""},{""version"":""v2"",""created"":""Wed, 19 Feb 1997 14:52:53 GMT""},{""version"":""v3"",""created"":""Wed, 19 Mar 1997 17:05:16 GMT""}]","2008-02-03"
"alg-geom/9701010","Bill Oxbury","W.M. Oxbury, C. Pauly, E. Previato","Subvarieties of SU_C(2) and 2\theta-divisors in the Jacobian","LaTeX 41 pages, 2 figures; postscript including the figures available
  at http://fourier.dur.ac.uk:8000/~dma0wmo/",,,,"alg-geom math.AG",,"  We explore some of the interplay between Brill-Noether subvarieties of the
moduli space SU_C(2,K) of rank 2 bundles with canonical determinant on a smooth
projective curve and 2\theta divisors, via the inclusion of the moduli space
into |2\theta|, singular along the Kummer variety. In particular we show that
the moduli space contains all the trisecants of the Kummer and deduce that
there are quadrisecant lines only if the curve is hyperelliptic; we show that
for generic curves of genus <6, though no higher, bundles with >2 sections are
cut out by \Gamma_00; and that for genus 4 this locus is precisely the
Donagi-Izadi nodal cubic threefold associated to the curve.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 11:36:19 GMT""}]","2008-02-03"
"astro-ph/9701168","Juri Poutanen","Juri Poutanen, Roland Svensson, and Boris Stern","Two-phase pair corona model for AGN: physical modelling and diagnostics","5 pages; esa_sp_latex style; 6 postscript figures; Comments to
  juri@astro.su.se; to appear in the proceeding of the 2nd INTEGRAL Workshop;
  St.Malo, France, September 1996",,,"Stockholm Observatory Preprint #90","astro-ph",,"  The predictions of the two-phase accretion disc-corona models for active
galactic nuclei are compared with observations. We discuss the possibility to
use X-ray spectral slopes, equivalent widths of the iron line, and the observed
flux-spectral index correlation as diagnostics of the X/gamma-ray source
compactness and geometry as well as of the cold disc temperature. As an example
of the application of the modelling tools, we use XSPEC to fit the broad-band
data of Seyfert 1 galaxy, IC4329A, with a theoretical spectrum from a
hemisphere-corona.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 16:02:48 GMT""}]","2007-05-23"
"astro-ph/9701169","Juri Poutanen","Felix Ryde, Juri Poutanen, Roland Svensson, Stefan Larsson and Shiro
  Ueno","The X/gamma-ray spectral properties of NGC 7172","3 pages; esa_sp_latex style; 1 postscript figure; Comments to
  felix@astro.su.se or juri@astro.su.se; to appear in the proceeding of the 2nd
  INTEGRAL Workshop; St.Malo, France, September 1996",,,"Stockholm Observatory Preprint #90","astro-ph",,"  We present a combined, non-simultaneous, ASCA GIS and CGRO OSSE spectrum of
the Seyfert 2 galaxy, NGC 7172, and make broad band spectral fits. The only
Seyfert 2 galaxy previously studied over such a broad band is NGC 4945. We find
that the most probable model for the data is a power law with an exponential
cut-off being affected by a neutral absorber. The best fit parameters are found
to be $\Gamma = 1.47 \pm 0.15$ and $\NH = (7.8 \pm 0.6) 10^{22}$ cm$^{-2}$. The
spectral index of the underlying power law of NGC 7172 has therefore varied
from 1.8 to 1.5 since the Ginga observations in 1989. For this simple model the
e-folding energy at $88^{+65}_{-28}$ keV is relatively well constrained. The
observed flux in the 2-10 keV range is $F_{2-10}=4.7 10^{-11}$ erg cm$^{-2}$
s$^{-1}$, which corresponds to a small increase since the Ginga measurement in
October 1989.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 16:14:28 GMT""}]","2016-08-30"
"astro-ph/9701170","Lauro Moscardini","Claudio Gheller, Ornella Pantano and Lauro Moscardini","A cosmological hydrodynamic code based on the Piecewise Parabolic Method","14 pages plus 10 separated figures, Latex using MN.sty, submitted to
  MNRAS",,"10.1046/j.1365-8711.1998.01173.x",,"astro-ph",,"  We present a hydrodynamical code for cosmological simulations which uses the
Piecewise Parabolic Method (PPM) to follow the dynamics of gas component and an
N-body Particle-Mesh algorithm for the evolution of collisionless component.
The gravitational interaction between the two components is regulated by the
Poisson equation which is solved by a standard FFT procedure. In order to
simulate cosmological flows we have introduced several modifications to the
original PPM scheme which we describe in detail. Various tests of the code are
presented including adiabatic expansion, single and multiple pancake formation
and three-dimensional cosmological simulations with initial conditions based on
the cold dark matter scenario.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 16:32:41 GMT""}]","2009-10-30"
"astro-ph/9701171","Juri Poutanen","Boris Stern, Roland Svensson, and Juri Poutanen","Average properties of the time behaviour of gamma-ray bursts","5 pages; esa_sp_latex style; 3 postscript figure; Comments to
  stern@al20.inr.troitsk.ru; to appear in the proceeding of the 2nd INTEGRAL
  Workshop; St.Malo, France, September 1996",,,"Stockholm Observatory Preprint #90","astro-ph",,"  The average peak-aligned profile of all bursts detected by BATSE with
sufficient data quality has a simple ``stretched'' exponential shape, F ~
exp[-(t/t_0)^{1/3}], where $t$ is the time measured from the time for the peak
flux of the event, and $t_0$ is a time constant. We study the behaviour of
$t_0$ of both the post-peak and the pre-peak slopes of the average time profile
as a function of the peak brightness range of the burst sample. We found that
the post-peak slope shows time dilation when comparing bright and dim bursts,
while the pre-peak slope hardly changes. Thus dimmer bursts have a different
shape -- they are more asymmetric. This shape-brightness correlation is
observed at a 99.6% confidence level. Such a correlation has a natural
explanation within the pulse avalanche model, which is briefly described.
Complex events, consisting of many pulses are more symmetric and are
intrinsically brighter. Bursts consisting of one or a few pulses are
intrinsically weaker and more asymmetric. For such a correlation to be
observable requires that the luminosity distance distribution of GRBs to be
different from a power-law.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 16:29:03 GMT""}]","2007-05-23"
"astro-ph/9701172","Ralph Wijers","Mateusz Ruszkowski (1,2,3) and Ralph A. M. J. Wijers (1) ((1)
  Institute of Astronomy, Cambridge, UK (2) Warsaw University Astronomical
  Observatory, Poland (3) Nicolaus Copernicus Astronomical Center, Warsaw,
  Poland)","Detecting gamma-ray bursts from M31 with the wide field X-ray cameras on
  board BeppoSAX","8 pages laTeX including 5 postscript figures, uses mn.sty, epsf.sty,
  astrcite.sty (last one is included) submitted to MNRAS, 21 January 1997",,,,"astro-ph",,"  Gamma-ray bursters emit a small fraction of their flux in X rays, and because
X-ray detectors are often very sensitive they may probe the gamma-ray burst
universe more deeply than the current best gamma-ray instruments. On the
reasonable assumptions that spectra of bursts observed by BATSE may be used to
predict the X-ray fluxes of gamma-ray bursts, and that any corona of bursts
around M31 is similar to the one around the Milky Way, we predict the rate at
which the wide field cameras on board BeppoSAX should detect bursts from the
Milky Way and M31. These rates are such that a one-month observation of M31
would have to either detect bursts from M31 or exclude most galactic models of
gamma-ray bursts. (It is shown how the remainder can be dealt with.) Therefore
such an observation would settle the long-standing dispute over their location.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 16:52:09 GMT""}]","2007-05-23"
"astro-ph/9701173","Andrei Linde","Juan Garcia-Bellido and Andrei Linde","Open Hybrid Inflation","9 pages, 6 figures, ReVTeX","Phys.Rev.D55:7480-7488,1997","10.1103/PhysRevD.55.7480","CERN-TH/97-08, SU-ITP-97-04","astro-ph",,"  We propose an open hybrid inflation scenario that produces an open universe
with a `tilted' n>1 spectrum of metric perturbations. The model contains a
symmetry breaking field that tunnels to its true vacuum, producing a single
bubble inside which hybrid inflation drives the universe to almost flatness. In
order to obtain density perturbations with n > 1 we use the recently proposed
new version of hybrid inflation scenario called tilted hybrid inflation. In
this scenario, unlike in the previously known versions of hybrid inflation, a
considerable tilt of the spectrum can be obtained without fine-tuning. The
stage of inflation in this model is rather short, which allows us to obtain an
inflationary universe with Omega < 1 in a more natural way. We study the
separate contribution of scalar perturbations coming from the continuum
subcurvature modes, the discrete supercurvature mode and the bubble wall mode
to the angular power spectrum of temperature fluctuations in open inflation. We
derive bounds on the parameters of the model so that the predicted spectrum is
compatible with the observed anisotropy of the microwave background.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 17:07:27 GMT""}]","2009-09-29"
"astro-ph/9701174","Helio Vasconcelos Fagundes","H. V. Fagundes (Instituto de Fisica Teorica - Universidade Estadual
  Paulista) and M. A. M. Gonzalez","A Perturbed Kantowski-Sachs Cosmological Model","10 pages (latex file written with Scientific Word 2.0)",,,"IFT-P-043/96","astro-ph",,"  A numerical integration is made, starting with a Kantowski-Sachs (KS) model
with an added initial perturbation at time one-tenth the age of the universe,
and evolving up to the present. According to a prediction by Barrow (1989), the
ratio between the fluctuations of the average matter density and those of the
metric tensor varies with the inverse squared wavelength of the fluctuation. In
this paper we take an extravantly large value for this wavelength (20% of the
horizon's radius), to see that even then that ratio remains greater than unity.
So we may be reasonably confident of models assuming density homogeneity,
despite the fact that the scale of observed structure in the universe has been
increasing lately.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 17:36:02 GMT""}]","2016-08-30"
"astro-ph/9701175","Martin Zwaan","M. A. Zwaan, F. H. Briggs, D. Sprayberry","An HI selected sample of galaxies - The HI mass function and the surface
  brightness distribution","5 pages, including 3 encapsulated postscript figures. Presented at
  the workshop `HI in the Local Universe', Sydney, May 13-15 1996. Accepted for
  publication by PASA. Also available from
  http://www.atnf.csiro.au/Publications/HI_workshop/proceedings.html",,"10.1071/AS97126b",,"astro-ph",,"  Results from the Arecibo HI Strip Survey, an unbiased extragalactic HI
survey, combined with optical and 21cm follow-up observations, determine the HI
Mass Function and the cosmological mass density of HI at the present epoch.
Both are consistent with earlier estimates, computed for the population of
optically selected galaxies. This consistency occurs because, although the
distribution of optical central surface brightnesses among galaxies is flat, we
fail to find a population of galaxies with central surface brightnesses fainter
than 24 B-mag/arcsec^2, even though there is no observational selection against
them.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 19:48:33 GMT""}]","2015-06-24"
"astro-ph/9701176","Jonathan Katz","J. I. Katz (Hebrew University, Jerusalem, Israel and Washington
  University, St. Louis)","Yet Another Model of Gamma-Ray Bursts","21pp, latex, uses aaspp4.sty",,"10.1086/304896",,"astro-ph",,"  Sari and Piran have demonstrated that the time structure of gamma-ray bursts
must reflect the time structure of their energy release. A model which
satisfies this condition uses the electrodynamic emission of energy by the
magnetized rotating ring of dense matter left by neutron star coalescence; GRB
are essentially fast, high field, differentially rotating pulsars. The energy
densities are large enough that the power appears as an outflowing equilibrium
pair plasma, which produces the burst by baryon entrainment and subsequent
internal shocks. I estimate the magnetic field and characteristic time scale
for its rearrangement, which determines the observed time structure of the
burst. There may be quasi-periodic oscillations at the rotational frequencies,
which are predicted to range up to 5770 Hz (in a local frame). This model is
one of a general class of electrodynamic accretion models which includes the
Blandford and Lovelace model of AGN, and which can also be applied to black
hole X-ray sources of stellar mass. The apparent efficiency of nonthermal
particle acceleration is predicted to be 10--50%, but higher values are
possible if the underlying accretion flow is super-Eddington. Applications to
high energy gamma-ray observations of AGN are briefly discussed.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 21:51:26 GMT""}]","2009-10-30"
