"alg-geom/9701016","Alexander Givental","Alexander Givental (UC Berkeley)","A mirror theorem for toric complete intersections","38 pages, LaTeX",,,,"alg-geom math.AG",,"  We prove a generalized mirror conjecture for non-negative complete
intersections in symplectic toric manifolds. Namely, we express solutions of
the PDE system describing quantum cohomology of such a manifold in terms of
suitable hypergeometric functions. Revision 03.03.97: we correct an error in
Introduction.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 22:40:35 GMT""},{""version"":""v2"",""created"":""Mon, 3 Mar 1997 23:37:37 GMT""}]","2008-02-03"
"astro-ph/9701205","Leif Festin","L. Festin","Brown Dwarfs in the Pleiades, a deep IJK survey","6 pages Latex, 4 PostScript-figs, accepted for publication in A&A",,,,"astro-ph",,"  An area large enough (180 sq arcmin) to put constraints on a possible low
mass brown dwarf population in the Pleiades has been surveyed to very faint
magnitudes in I, J and K. The completeness limit, I=21.6, corresponds to a mass
of 0.01 Msun for a cluster age of 70 Myr and 0.035 Msun for 120 Myr. The result
is consistent with previous investigations at higher masses that the brown
dwarf initial mass function is a 1/m, or even less steep power law. Thus low
mass brown dwarfs cannot contribute significantly to the Pleiades mass. One new
possible Pleiades member was found, mass around 0.08 Msun.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 22:01:19 GMT""}]","2007-05-23"
"astro-ph/9701208","Richhild Moessner","R. Moessner (Max Planck Institut fuer Astrophysik), R. Brandenberger
  (Brown University)","Early Objects in the Cosmic String Theory with Hot Dark Matter","9 pages, includes 1 figure, uses Latex, psfig macro. To appear in
  Proceedings of the Workshop on `Cosmology at High and Low Redshifts',
  Hangzhou, China, October 1996",,,,"astro-ph",,"  We study the accretion of hot dark matter onto moving cosmic string loops,
using an adaptation of the Zeldovich approximation to HDM. We show that a large
number of nonlinear objects of mass greater than $10^{12}M_\odot$, which could
be the hosts of high redshift quasars, are formed by a redshift of $z=4$.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 16:56:25 GMT""}]","2007-05-23"
"astro-ph/9701209","David Kirkman","D. Kirkman, D. Tytler","Intrinsic Properties of the <z>=2.7 Lyman Alpha Forest from Keck Spectra
  of QSO HS 1946+7658","(Minor changes including new identifications for two weak lines) 46
  pages including 16 Figures, Latex Table 1 Available at
  http://nately.ucsd.edu/~david . To appear in ApJ",,"10.1086/304371",,"astro-ph",,"  We present the highest quality Lyman Alpha forest spectra published to date,
from the QSO HS 1946+7658. The distribution of H I column densities is a power
law of slope -1.5 from Log N = 12.1 - 14. This power law can extend to N = 0,
because lines weaker than Log N = 12.1 do not have a large H I optical depth.
Low column lines with Log N > 9 could account for all observed He II
absorption, but lines with Log N > 12 alone are unlikely to do so. The b
distribution between 20 and 60 km/sec is a Gaussian with a mean of 23 km/sec
(less than reported in past at this z), and a sigma b of 14 km/sec. We report
no evolution in the Lyman alpha forest (except the number of lines), because Lu
et al. (1997) found the same N and b distributions at <z> = 3.7. We see lines
with 14 < b < 20 km/sec and b > 80 km/sec that cannot be accounted for by noise
or blending effects. We discover that the lower cutoff in the b distribution
varies with N, from b = 14 km/sec at Log N = 12.5 to b = 22 km/sec at Log N =
14.0, but otherwise b and N are not correlated. We see no Lyman Alpha line
clustering above 50 \kms, in disagreement with previous results from lower
signal to noise data, but we do see a 3 sigma clustering signal at 25 - 50
km/sec among lines with Log N > 13.6
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 18:57:08 GMT""},{""version"":""v2"",""created"":""Thu, 20 Feb 1997 22:48:17 GMT""}]","2009-10-30"
"astro-ph/9701210","Wayne Hu","Wayne Hu (IAS, Princeton), Martin White (U. Chicago)","Tensor Anisotropies in an Open Universe","5pgs, 2 figs.; also avalable at http://www.sns.ias.edu/~whu, revision
  reflects ApJL published version, model dependence clarified","Astrophys.J.486:L1,1997","10.1086/310821","IASSNS-AST-97/6","astro-ph",,"  We calculate the anisotropies in the cosmic microwave background induced by
long-wavelength primordial gravitational waves in a universe with negative
spatial curvature, such as are produced in the ``open inflation'' scenario. The
impact of these results on the COBE normalization of open models is discussed.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 22:45:53 GMT""},{""version"":""v2"",""created"":""Wed, 16 Jul 1997 22:02:36 GMT""}]","2009-10-30"
"astro-ph/9701211","Ben Moore","Ben Moore (Durham), George Lake (Seattle), Neal Katz (UMass)","Morphological Transformation from Galaxy Harassment","Final version, to be published in the Ap.J. 1998, video edition with
  the ""Galaxy Harassment"" movie",,"10.1086/305264",,"astro-ph",,"  Galaxy morphologies in clusters have undergone a remarkable transition over
the past several billion years. Distant clusters at $z \sim 0.4$ are filled
with small spiral galaxies, many of which are disturbed and show evidence of
multiple bursts of star-formation. This population is absent from nearby
clusters where spheroidals comprise the faint end of the luminosity function.
Our numerical simulations follow the evolution of disk galaxies in a rich
cluster owing to encounters with brighter galaxies and the cluster's tidal
field---galaxy harassment. After a bursting transient phase, they undergo a
complete morphological transformation from ""disks"" to""spheroidals"". We examine
the remnants and find support for our theory in detailed comparisons of the
photometry and kinematics of the spheroidal galaxies in clusters. Our model
naturally accounts for the intermediate age stellar population seen in these
spheroidals as well as the trend in dwarf to giant ratio with cluster richness.
The final shapes are typically prolate and are flattened primarily by velocity
anisotropy. Their mass to light ratios are in the range 3---8 in good agreement
with observations.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 10:20:03 GMT""},{""version"":""v2"",""created"":""Fri, 14 Nov 1997 10:39:26 GMT""}]","2009-10-30"
"astro-ph/9701212","Ben Moore","George Lake (Seattle), Neal Katz (UMass), Ben Moore (Durham)","The Formation of Quasars in Low Luminosity Hosts via Galaxy Harassment","Final version, to be published in the Ap.J. 1998, video edition with
  the ""Galaxy Harassment"" movie",,"10.1086/305265",,"astro-ph",,"  We have simulated disk galaxies undergoing continual bombardment by other
galaxies in a rich cluster. ""Galaxy harassment"" leads to dramatic evolution of
smaller disk galaxies and provides an extremely effective mechanism to fuel a
central quasar. Within a few billion years after a small disk galaxy enters the
cluster environment, up to 90% of its gas can be driven into the inner 500 pc.
Up to half of the mass can be transferred in a burst lasting just 100-200 Myr.
This transport of gas to the center of galaxy is far more efficient than any
mechanism proposed before. Galaxy harassment was first proposed to explain the
disturbed blue galaxies in clusters seen in clusters at ($z \gsim 0.3$), the
""Butcher-Oemler effect"". Quasars at the same reshifts lie in more clustered
environments than those at lower redshift. Recent HST observations find that
roughly half of all observed quasar host galaxiess are fainter than \l*, with
many of these less luminous hosts occuring at redshifts $z \gsim 0.3$. We
examine 5 quasars that are claimed to have low luminosity hosts and find that 3
are in rich clusters of galaxies, the fourth may be in a cluster but the
evidence for this is marginal. The environment of the fifth has not been
studied.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 10:21:57 GMT""},{""version"":""v2"",""created"":""Fri, 14 Nov 1997 10:51:41 GMT""},{""version"":""v3"",""created"":""Sat, 15 Nov 1997 11:33:42 GMT""}]","2009-10-30"
"astro-ph/9701213","Pavel Kroupa","Pavel Kroupa and Christopher A. Tout","The Theoretical Mass--Magnitude Relation of Low-Mass Stars and its
  Metallicity Dependence","MNRAS (in press), 15 pages, 1 appendix, plain TeX, 9 postscript
  figures",,"10.1093/mnras/287.2.402","ARI-67","astro-ph",,"  We investigate the dependence of theoretically generated mass - (absolute
magnitude) relations on stellar models. Using up to date physics we compute
models in the mass range 0.1 < m < 1M_sun. We compare the solar-metallicity
models with our older models, with recent models computed by others, and also
with an empirical mass - (absolute magnitude) relation that best fits the
observed data. At a given mass below 0.6M_sun the effective temperatures differ
substantially from model to model. However taken individually each set of
models is in good agreement with observations in the mass - luminosity plane. A
minimum in the derivative dm/dM_V at M_V = 11.5, which is due to H_2 formation
and establishment of a fully convective stellar interior, is present in all
photometric bands, for all models. This minimum leads to a maximum in the
stellar luminosity function for Galactic disk stars at M_V = 11.5, M_bol = 9.8.
Stellar models should locate this maximum in the stellar luminosity function at
the same magnitude as observations. Models which incorporate the most realistic
theoretical atmospheres and the most recent equation of state and opacities can
satisfy this constraint. These models are also in best agreement with the most
recent luminosity - (effective temperature) and mass-luminosity data. Each set
of our models of a given metallicity (with 0.2 > [Fe/H] > -2.3) shows a maximum
in -dm/dM_bol, which moves to brighter bolometric magnitudes with decreasing
metallicity. The change in location of the maximum, as a function of [Fe/H],
follows the location of structure in luminosity functions for stellar
populations with different metal abundances. This structure seen in all
observed stellar populations can be accounted for by the mass--luminosity
relation.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 10:50:22 GMT""}]","2015-06-24"
"chao-dyn/9701024","Jane Wang","Jens Eggers and Z. Jane Wang","Velocity Probability Distribution Function in the Crossover and the
  Viscous Range","23 pgs .tex files. Submitted to PRE",,,,"chao-dyn nlin.CD",,"  We derive a multifractal model for the velocity probability density
distribution function (PDF), which is valid from the inertial range to the
viscous range. The model gives a continuous evolution of velocity PDFs from
large to small scales. It also predicts the asymptotic form of the PDF of
velocity gradients. More importantly, the model captures the crossover range
behavior and thus allows us to address the transition observed in the Helium
turbulence experiment[Tabeling et. al., Phys. Rev. E53, 1613 (1996)]
quantitatively. We compare both the PDFs and the structure functions predicted
by this model with the experiments from the inertial range to the smallest
scale resolved by the experiment. The model also predicts that the flatness
measured in the crossover region can decrease with the Reynolds number.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 14:39:20 GMT""}]","2008-02-03"
"cond-mat/9701196",,"Andrey V. Chubukov and Dirk K. Morr (University of Wisconsin-Madison)","Electronic structure of underdoped cuprates","19 pages, RevTeX, 15 figures embedded in the text, submitted to Phys.
  Rep., ps-file is also available at
  http://lifshitz.physics.wisc.edu/www/morr/morr_homepage.html",,"10.1016/S0370-1573(97)00033-1",,"cond-mat.str-el cond-mat.supr-con",,"  We consider a two-dimensional Fermi liquid coupled to low-energy commensurate
spin fluctuations. At small coupling, the hole Fermi surface is large and
centered around $Q =(\pi,\pi)$. We show that as the coupling increases, the
shape of the quasiparticle Fermi surface and the spin-fermion vertex undergo a
substantial evolution. At strong couplings, $g \gg \omega_0$, where $\omega_0$
is the upper cutoff in the spin susceptibility, the hole Fermi surface consists
of small pockets centered at $(\pm \pi/2, \pm \pi/2)$. Simultaneously, the full
spin-fermion vertex is much smaller than the bare one, and scales nearly
linearly with $|q-Q|$, where $q$ is the momentum of the susceptibility. At
intermediate couplings, there exist both, a large hole Fermi surface centered
at $(\pi,\pi)$, and four hole pockets, but the quasiparticle residue is small
everywhere except for the pieces of the pockets which face the origin of the
Brillouin zone. The relevance of these results for recent photoemission
experiments in $YBCO$ and $Bi2212$ systems is discussed.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 00:12:45 GMT""}]","2009-10-30"
"cond-mat/9701197","Olav Fredrik Syljuasen","Olav F. Syljuasen, Sudip Chakravarty, and Martin Greven","Correlation Lengths in Quantum Spin Ladders","5 pages LaTeX using RevTeX, 3 encapsulated postscript figures",,"10.1103/PhysRevLett.78.4115",,"cond-mat.str-el",,"  Analytic expressions for the correlation length temperature dependences are
given for antiferromagnetic spin-1/2 Heisenberg ladders using a finite-size
non-linear sigma-model approach. These calculations rely on identifying three
successive crossover regimes as a function of temperature. In each of these
regimes, precise and controlled approximations are formulated. The analytical
results are found to be in excellent agreement with Monte Carlo simulations for
the Heisenberg Hamiltonian.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 00:17:29 GMT""}]","2009-10-30"
