"alg-geom/9701017","Carlo Gasbarri","Carlo Gasbarri","Heights and Geometric Invariant Theory","17 pages AMS-TeX",,,,"alg-geom math.AG",,"  Let $K$ be a number field, $\OK$ be its ring of integers. We introduce the
notion of compactified representation of $GL_N(\OK)$ and, we see how to
associate to a hermitian vector bundle $\E$ over $\Spec(\OK)$ and a
compactified representation $\T$, a hermitian tensor bundle $\E_T$. We can
prove then that there exists a lower bound for the heights of points
$x\in\P(\E_T)$ with $SL_N(K)$--semistable generic fibre in terms of the degree
of $\E$ and some universal constants depending only on the compactified
representation. We give then three applications: a universal lower bound for
general flag varieties, an application to the adjoint representation of
$SL_N(K)$ and a construction of a height on the moduli space of semistable
vector bundles over algebraic curves.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 11:21:28 GMT""}]","2008-02-03"
"astro-ph/9701214","Philippe Jetzer","F. De Paolis, G. Ingrosso, Ph. Jetzer and M. Roncadelli","Halo dark clusters of brown dwarfs and molecular clouds","to appear in the proceedings of the 18th Texas Symposium",,,,"astro-ph",,"  The observations of microlensing events in the Large Magellanic Cloud suggest
that a sizable fraction (\sim 50%) of the galactic halo is in the form of
MACHOs (Massive Astrophysical Compact Halo Objects) with an average mass $\sim
0.27 M_{\odot}$, assuming a standard spherical halo model. We describe a
scenario in which dark clusters of MACHOs and cold molecular clouds (mainly of
H_2) naturally form in the halo at galactocentric distances larger than 10-20
kpc.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 16:39:00 GMT""}]","2007-05-23"
"astro-ph/9701215","Andrew Westphal","Daniel P. Snowden-Ifft (Amherst College) and Andrew J. Westphal (U. C.
  Berkeley)","Unique Signature of Dark Matter in Ancient Mica","5 pages, LaTeX, 2 figures. Accepted for publication at Phys. Rev.
  Lett","Phys.Rev.Lett. 78 (1997) 1628-1631","10.1103/PhysRevLett.78.1628",,"astro-ph",,"  Mica can store (for >1 Gy) etchable tracks caused by atoms recoiling from
WIMPs. Because a background from fission neutrons will eventually limit this
technique, a unique signature for WIMPs in ancient mica is needed. Our motion
around the center of the Galaxy causes WIMPs, unlike neutrons, to enter the
mica from a preferred direction on the sky. Mica is a directional detector and
despite the complex rotations that natural mica crystals make with respect to
this WIMP ``wind,'' there is a substantial dependence of etch pit density on
present day mica orientation.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 17:09:27 GMT""}]","2009-10-30"
"astro-ph/9701216","A. Kashlinsky","A. Kashlinsky, J. C. Mather, S. Odenwald","Limits on the cosmic infrared background from clustering in COBE/DIRBE
  maps","5 pages plain LATeX, no figures, no tables. Talk given at ""Diffuse
  Infrared Radiation and the IRTS"" conference, Kanagawa, Japan, November 1996",,,,"astro-ph",,"  We discuss a new method of estimating the cosmic infrared background (CIB)
from the spatial properties of infrared maps and give the limits on the CIB
from applying it to the COBE/DIRBE maps. The strongest limits are obtained at
mid- to far-IR where foregrounds are bright, but smooth. If the CIB comes from
matter clustered like galaxies, the smoothness of the maps implies CIB levels
less than $\sim$(10-15) nW/m$^2$/sr over this wavelength range.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 17:57:53 GMT""}]","2007-05-23"
"astro-ph/9701217","Thomas Rauscher","F. Rembges, C. Freiburghaus, T. Rauscher, F.-K. Thielemann, H. Schatz,
  M. Wiescher","An Approximation for the rp-Process","18 pages, LaTeX using astrobib and aas2pp4, includes PostScript
  figures; Astrophysical Journal, in press. PostScript source also available at
  http://quasar.physik.unibas.ch/preps.html",,"10.1086/304300",,"astro-ph",,"  Hot (explosive) hydrogen burning or the Rapid Proton Capture Process
(rp-process) occurs in a number of astrophysical environments. Novae and X-ray
bursts are the most prominent ones, but accretion disks around black holes and
other sites are candidates as well. The expensive and often multidimensional
hydro calculations for such events require an accurate prediction of the
thermonuclear energy generation, while avoiding full nucleosynthesis network
calculations. In the present investigation we present an approximation scheme
applicable in a temperature range which covers the whole range of all presently
known astrophysical sites. It is based on the concept of slowly varying
hydrogen and helium abundances and assumes a kind of local steady flow by
requiring that all reactions entering and leaving a nucleus add up to a zero
flux. This scheme can adapt itself automatically and covers situations at low
temperatures, characterized by a steady flow of reactions, as well as high
temperature regimes where a $(p,\gamma)-(\gamma,p)$-equilibrium is established.
In addition to a gain of a factor of 15 in computational speed over a full
network calculation, and an energy generation accurate to more than 15 %, this
scheme also allows to predict correctly individual isotopic abundances. Thus,
it delivers all features of a full network at a highly reduced cost and can
easily be implemented in hydro calculations.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 18:17:18 GMT""}]","2016-08-30"
"astro-ph/9701218","Marcella Carollo","C.M. Carollo, M. Franx, G.D. Illingworth, D.A. Forbes","Ellipticals with Kinematically-Distinct Cores: (V-I) Color Images with
  WFPC2","56 pages, latex, 17 figures; figure 1 available upon request; ApJ,
  481 in press",,"10.1086/304060",,"astro-ph",,"  We have analysed HST/WFPC2 F555W and F814W images for fifteen elliptical
galaxies with kinematically-distinct cores. For each of them we have derived
surface brightness and isophotal parameter profiles in the two bands, color
maps, and radial profiles in (V-I). We have detected photometric evidence for
faint stellar disks, on scales of a few tens to a few arcseconds, in seven
galaxies, namely NGC 1427, 1439, 1700, 4365, 4406, 4494 and 5322. In NGC 1700,
the isophotes are slightly boxy at the scale of the counter-rotating component,
and disky at larger radii. We find no difference in (V-I) color greater than
0.02 mag between these disks and the surrounding galactic regions. Hence the
stellar populations in the kinematically distinct cores are not strongly
deviant from the population of the main body. For one galaxy, NGC 4365, the
innermost region is bluer than the surrounding regions. This area extends to
about 15pc, and contains a luminosity of 2.5x10^6 L$_\odot$. If interpreted as
a stellar population effect, an age difference of $\sim$ 3-4 Gyrs, or an
$[Fe/H]$ variation of about 0.2 dex, is derived. The nuclear intensity profiles
show a large variety: some galaxies have steep cusp profiles, others have
shallow cusps and a ``break radius''. The nuclear cusps of galaxies with
kinematically-distinct cores follow the same trends as the nuclei of normal
galaxies. We have not been able to identify a unique, qualifying feature in the
WFPC2 images which distinguish the galaxies with kinematically distinct cores
from the kinematically normal cores. [shortened]
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 21:30:20 GMT""}]","2009-10-30"
"astro-ph/9701219",,"J. G. Skibo (1), C. D. Dermer (1), R. Schlickeiser (2) ((1) Naval
  Research Laboratory (2) Max Planck Institut fur Radioastronomie)","The Beaming Pattern of Doppler Boosted Thermal Annihilation Radiation:
  Application to MeV Blazars","15 pages including 3 figures, requires AAS Latex macros, accepted for
  publication in The Astrophysical Journal",,"10.1086/304227",,"astro-ph",,"  The beaming pattern of thermal annihilation radiation is broader than the
beaming pattern produced by isotropic nonthermal electrons and positrons in the
jets of radio-emitting active galactic nuclei which Compton scatter photons
from an external isotropic radiation field. Thus blueshifted thermal
annihilation radiation can provide the dominant contribution to the high-energy
radiation spectrum at observing angles theta > 1/Gamma, where Gamma is the bulk
Lorentz factor of the outflowing plasma. This effect may account for the
spectral features of MeV blazars discovered with the Compton Telescope on the
Compton Gamma Ray Observatory. Coordinated gamma-ray observations of
annihilation line radiation to infer Doppler factors and VLBI radio
observations to measure transverse angular speeds of outflowing plasma blobs
can be used to determine the Hubble constant.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 21:41:43 GMT""}]","2009-10-30"
"astro-ph/9701220","Ubi Wichoski","R. Opher and U. F. Wichoski","Origin of Magnetic Fields in the Universe Due to Nonminimal
  Gravitational-Electromagnetic Coupling","5 pages, Latex (Revtex), no figures, To appear in PRL","Phys.Rev.Lett. 78 (1997) 787-790","10.1103/PhysRevLett.78.787","Brown Het-1070","astro-ph gr-qc",,"  Basically the only existing theories for the creation of a magnetic field B
in the Universe are the creation of a seed field of order 10^{-20} G in spiral
galaxy which is subsequently supposedly amplified up to the observed 10^{-6} -
10^{-5} G by a dynamo process or a seed intergalactic field of magnitude
10^{-12} - 10^{-10} G which is amplified by collapse and differential rotation.
No satisfactory dynamo theory, however, exists today. We show that a 10^{-6} -
10^{-5} G magnetic field in spiral galaxies is directly obtained from a
nonminimal gravitational-electromagnetic coupling, without the need of
significant dynamo amplification.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 21:45:05 GMT""}]","2009-10-30"
"astro-ph/9701221","Helmut Jerjen","Helmut Jerjen, Bruno Binggeli","Are ""dwarf"" Ellipticals genuine Ellipticals?","Review Paper in 'The Nature of Elliptical Galaxies', 2nd Stromlo
  Symposium 1996, TeX file, 10 pages with 4 epsf figures, and style-file",,,,"astro-ph",,"  We review the systematic properties of ``dwarf'' elliptical (dE) galaxies,
focussing on the relation between ``normal'' and ``dwarf'' ellipticals. In
recent years, this relation has been described as ``dichotomy'' -- based
essentially on a discontinuity in central surface brightness. We show that,
outside of 300 pc from the centre, the S\'ersic profile parameters vary
continuously from ``normal'' to ``dwarf'' ellipticals. The ``dichotomy'' is
indeed restricted to the very central part, where differences also exist among
``normal'' ellipticals (E). Bright, nucleated dE's closely resemble ``normal''
E's also in their clustering and flattening properties. They may be genuine
ellipticals, having no present-day late-type dwarf precursor from which they
could have been manufactured. The non-nucleated dE's (""dwarf spheroidals"") may
be a different breed.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 04:29:03 GMT""}]","2007-05-23"
"astro-ph/9701222","Raul Jimenez","Raul Jimenez","The Age of the Universe","Invited lecture at the Cosmology School in Casablanca 97",,,"ROE-97","astro-ph",,"  In this article I review the main methods for determining the age of the
Universe. I describe how to determine the age of the oldest known systems at
z=0, the system of galactic globular clusters, using different techniques. I
also describe how to date the Universe using the decay of radioactive elements
(Cosmochronology). Finally, I focus on how to determine the age of the Universe
at different redshifts and specially the age of radio-quiet galaxies at high
redshift. I finish by arguing that the most probable age for the Universe is
$14 \pm 2$ Gyr.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 10:44:03 GMT""}]","2007-05-23"
"astro-ph/9701224","Vincenzo Antonuccio-Delogu","M. Gambera, A. Pagliaro, V. Antonuccio-Delogu and U. Becciani","A 3-D wavelet analysis of substructure in the Coma cluster: statistics
  and morphology","24 pages, 6 figures. ApJ (Main Journal), accepted for publication.
  Added one section on statistical tests and slightly modified text and
  abstract",,"10.1086/304684",,"astro-ph",,"  Evidence for clustering within the Coma cluster is found by means of a
multiscale analysis of the combined angular-redshift distribution. We have
compiled a catalogue of 798 galaxy redshifts from published surveys from the
region of the Coma cluster. We examine the presence of substructure and of
voids at different scales ranging from $\sim 1 to \sim 16 h^{-1}$ Mpc, using
subsamples of the catalogue, ranging from $cz=3000$ km/s to $cz=28000$ km/s.
Our substructure detection method is based on the wavelet transform and on the
segmentation analysis. The wavelet transform allows us to find out structures
at different scales and the segmentation method allows us a quantitative
statistical and morphological analysis of the sample. From the whole catalogue
we select a subset of 320 galaxies, with redshifts between cz=5858 km/s and
cz=8168 km/s that we identify as belonging to the central region of Coma and on
which we have performed a deeper analysis, on scales ranging from $180 h^{-1}$
kpc to $1.44 h^{-1}$ Mpc. Our results are expressed in terms of the number of
structures or voids and their sphericity for different values of the threshold
detection and at all the scales investigated. According to our analysis, there
is strong evidence for multiple hierarchical substructure, on scales ranging
from a few hundreds of kpc to about $4 h^{-1}$ Mpc. The morphology of these
substructures is rather spherical. On the scale of $720 h^{-1}$ kpc we find two
main subclusters which where also found before, but our wavelet analysis shows
even more substructures, whose redshift position is approximatively marked by
these bright galaxies: NGC 4934 & 4840, 4889, 4898 & 4864, 4874 & 4839, 4927,
4875.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 15:48:57 GMT""},{""version"":""v2"",""created"":""Wed, 4 Jun 1997 14:34:16 GMT""}]","2009-10-30"
