"alg-geom/9702001","Eduardo Cattani","Eduardo Cattani, Alicia Dickenstein, and Bernd Sturmfels","Residues and Resultants","Plain TeX, 22 pages",,,,"alg-geom math.AG",,"  Resultants, Jacobians and residues are basic invariants of multivariate
polynomial systems. We examine their interrelations in the context of toric
geometry. The global residue in the torus, studied by Khovanskii, is the sum
over local Grothendieck residues at the zeros of $n$ Laurent polynomials in $n$
variables. Cox introduced the related notion of the toric residue relative to
$n+1$ divisors on an $n$-dimensional toric variety. We establish denominator
formulas in terms of sparse resultants for both the toric residue and the
global residue in the torus. A byproduct is a determinantal formula for
resultants based on Jacobians.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 18:59:15 GMT""}]","2008-02-03"
"astro-ph/9702010","Monika Balucinska-Church","M. J. Church and M. Balucinska-Church","Attenuation of dipping at low energies in the LMXB source X 1755-338","4 pages including 3 figures, accepted for publication in Astronomy
  and Astrophysics, vol. 317, January 1997",,,,"astro-ph",,"  We report spectral fitting results for Rosat PSPC observations of the dipping
source X 1755-338. These results are consistent with the two-component model
that we previously proposed consisting of a blackbody point source plus an
extended power law component. Remarkably, the low energy cut-off of the
spectrum does not change appreciably in dips, and it can be seen that dipping
takes place in the higher part of the PSPC band where the blackbody contributes
to the spectrum. Thus dipping consists primarily of absorption of this
component, whereas the low energy cut-off is determined by the power law. Thus,
above 0.5 keV, the dipping is approximately independent of energy as seen in
Exosat and 10 +/- 0.4% deep. Below 0.5 keV, there may be a small residual
dipping effect of up to 3%; however dipping is certainly substantially reduced
compared with the 20% seen by Exosat, and this is the first time that the
effective cessation of dipping at low energies in such sources has been seen.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 18:04:43 GMT""}]","2007-05-23"
"astro-ph/9702011","Andrew Ptak","A. Ptak, P. Serlemitsos, T. Yaqoob, R. Mushotzky, T. Tsuru","The Complex X-ray Spectra of M82 and NGC 253","20 pages, 6 figures. Includes an appendix on ASCA spectral analysis
  of extended sources. See
  http://lheawww.gsfc.nasa.gov/~ptak/papers/m82_n253.html for more info.
  Accepted for publication in the Apr. 97 AJ",,"10.1086/118342",,"astro-ph",,"  We present the results of the first imaging X-ray observations in the
0.4-10.0 keV bandpass of the nearby starburst galaxies M82 and NGC 253. The
ASCA spectra of both M82 and NGC 253 are complex with strong line emission from
O, Ne, Fe, Mg, S, and Si, allowing elemental abundances to be estimated in the
X-ray band for the first time in these sources. Two components are required to
fit the spectra of both galaxies, with a ""soft"" component well described by a
thermal model with a temperature of ~ 10^6-7 K and a ""hard"" component well
described by either a thermal model (T ~ 10^8 K) or a power-law model (energy
index ~ 0.8-1.0). We find that different models (with different continua) yield
absolute abundances that differ by more than an order of magnitude, while
relative abundances are more robust and suggest an underabundance of Fe
(inferred from the Fe-L complex) relative to alpha-burning elements, possibly
as a result of dust depletion. Most of the soft flux (which originates mostly
within the central kpc of M82 and NGC 253) is consistent with starburst models
of supernovae-heated ISM and, to a lesser extent, starburst-driven superwind
emission and the direct emission from supernova (SN). The hard component in
both galaxies may have some contribution from ~ 10^8 K superwind emission or
individual SN, although most of the emission probably originates in point
sources (most likely blackhole candidates or mini-AGN with M_Edd > 3-20 solar
masses) and, possibly, inverse-Compton scattering of IR photons. The similarity
of the spectral X-ray characteristics of NGC 253 and M82 to some LINERs and
low-luminosity AGN suggests a link between AGN and starbursts (e.g., both may
contain an accretion-driven emission component).
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 17:59:12 GMT""}]","2009-10-30"
"astro-ph/9702012","Michael Gregg","Robert H. Becker (UC Davis), Michael D. Gregg (IGPP/LLNL), Isobel M.
  Hook (ESO), Richard G. McMahon (Cambridge), Richard L. White (STScI), David
  J. Helfand (Columbia)","The FIRST Radio-Loud Broad Absorption Line QSO and Evidence for a Hidden
  Population of Quasars","4 pages plus 1 table and 1 figure; AASTEX 4.0. To appear in the
  Astrophysical Journal Letters. Complete details of the VLA FIRST survey can
  be found at http://sundog.stsci.edu","Astrophys.J.479:L93-L96,1997","10.1086/310594",,"astro-ph",,"  We have discovered two low-ionization broad absorption line quasars in
programs to obtain optical spectra for radio-selected quasar candidates from
the VLA FIRST Survey (Becker, White, & Helfand 1995). Both belong to the
extremely rare class of BAL QSOs that exhibit narrow absorption lines from
metastable excited levels of Fe II and Fe III. Until now, there was just a
single object in this class, 0059-2735 (Hazard et al. 1987). In addition, one
of our new objects is the first known radio-loud BAL QSO. The properties of
these three unusual objects suggest a trend of increasing radio luminosity with
the amount of absorption to the quasar, and are perhaps transition objects
between radio-loud and radio-quiet quasars. The two new objects are from a
radio-selected sample comprising less than 200 quasars; one is heavily
attenuated at optical wavelengths in the observed frame. These objects would be
easily overlooked by most optical QSO searches; their abundance in the radio
sample suggests that they may be representatives of a largely undetected
component of the quasar population, perhaps as numerous as ordinary
low-ionization BAL QSOs which constitute 1-2% of all QSOs.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 18:40:45 GMT""}]","2014-10-13"
"astro-ph/9702013","Jean M. Quashnock","J.M. Quashnock, D.E. Vanden Berk, and D.G. York (Department of
  Astronomy and Astrophysics, University of Chicago)","Large-Scale Structure as Seen from QSO Absorption-Line Systems","Latex, 3 pages. To appear in the Proceedings of the 18th Texas
  Symposium on Relativistic Astrophysics, eds. A. Olinto, J. Frieman and D.
  Schramm, (World Scientific, Singapore, 1997)",,,,"astro-ph",,"  We study clustering on very large scales -- from several tens to hundreds of
comoving Mpc -- using an extensive catalog of heavy-element QSO absorption-line
systems. We find significant evidence that C IV absorbers are clustered on
comoving scales of 100 $h^{-1}$ Mpc ($q_0=0.5$) and less. The superclustering
is present even at high redshift ($z\sim 3$); furthermore, it does not appear
that the superclustering scale (comoving) has changed significantly since then.
Our estimate of that scale increases to 240 $h^{-1}$ Mpc if $q_0=0.1$, which is
larger than the largest scales of clustering seen at the present epoch. This
may be indicative of a larger value of $q_0$, and hence $\Omega_0$. We identify
7 high-redshift supercluster candidates, with 2 at redshift $z\sim 2.8$. The
evolution of the correlation function on 50 $h^{-1}$ Mpc scales is consistent
with that expected in cosmologies with $\Omega_0= $ ranging from 0.1 to 1.
Finally, we find no evidence for clustering on scales greater than 100 $h^{-1}$
Mpc ($q_0=0.5$) or 240 $h^{-1}$ Mpc ($q_0=0.1$).
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 22:01:45 GMT""}]","2009-09-25"
"astro-ph/9702014","Dallas Kennedy","James M. Gelb (1), Kaundinya S. Gopinath (2), Dallas C. Kennedy (2)
  ((1) University of Texas at Arlington, (2) University of Florida)","Relativistic electrons on a rotating spherical magnetic dipole: surface
  orbitals","9 pages, LaTeX, requires REVTeX, 10 PostScript figures; merges two
  papers; accepted by Int. J. Mod. Phys. D","Int.J.Mod.Phys. D8 (1999) 229","10.1142/S0218271899000195","UF-IFT-HEP-97-2/6","astro-ph hep-ph",,"  The semiclassical orbitals of a relativistic electron on a rotating sphere
threaded by an intense magnetic dipole field are examined. Several physically
distinct regimes emerge, depending on the relative sizes of the mass, total
energy, canonical azimuthal angular momentum, and magnetic field strength.
Magnetic flux enclosed by orbits is quantized very close to the poles,
suggesting a quantum Hall-like state. Application of this system to neutron
star surfaces is outlined. The semiclassical orbitals of a relativistic
electron on a rotating sphere threaded by an intense magnetic dipole field are
examined. Several physically distinct regimes emerge, depending on the relative
sizes of the mass, total energy, canonical azimuthal angular momentum, and
magnetic field strength. Magnetic flux enclosed by orbits is quantized very
close to the poles, suggesting a quantum Hall-like state. Application of this
system to neutron star surfaces is outlined.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 22:59:52 GMT""},{""version"":""v10"",""created"":""Wed, 10 Mar 1999 22:52:41 GMT""},{""version"":""v11"",""created"":""Fri, 8 Dec 2000 04:06:01 GMT""},{""version"":""v2"",""created"":""Mon, 24 Feb 1997 21:56:35 GMT""},{""version"":""v3"",""created"":""Wed, 19 Mar 1997 01:28:22 GMT""},{""version"":""v4"",""created"":""Sat, 12 Apr 1997 01:34:22 GMT""},{""version"":""v5"",""created"":""Wed, 4 Jun 1997 22:06:02 GMT""},{""version"":""v6"",""created"":""Thu, 17 Jul 1997 04:05:37 GMT""},{""version"":""v7"",""created"":""Mon, 25 May 1998 23:00:59 GMT""},{""version"":""v8"",""created"":""Sun, 7 Jun 1998 00:25:06 GMT""},{""version"":""v9"",""created"":""Mon, 26 Oct 1998 23:47:04 GMT""}]","2009-10-30"
"astro-ph/9702015","Istvan Szapudi","Istv\'an Szapudi and Alexander S. Szalay","Cumulant Correlators from the APM","9 pages+.ps figure, final version accepted for publication in Apj
  Letters","Astrophys.J. 515 (1999) L43","10.1086/310641","FERMILAB-Pub-97/022-A","astro-ph",,"  This work presents a set of new statistics, the cumulant correlators, aimed
at high precision analysis of the galaxy distribution. They form a symmetric
matrix, $Q_{NM}$, related to moment correlators the same way as cumulants are
related to the moments of the distribution. They encode more information than
the usual cumulants, $S_N$'s, and their extraction from data is similar to the
calculation of the two-point correlation function. Perturbation theory (PT),
its generalization, the extended perturbation theory (EPT), and the
hierarchical assumption (HA) have simple predictions for these statistics. As
an example, the factorial moment correlators measured by Szapudi, Dalton,
Efstathiou & Szalay (1996) in the APM catalog are reanalyzed using this
technique. While the previous analysis assumed hierarchical structure
constants, this method can directly investigate the validity of HA, along with
PT, and EPT. The results in agreement with previous findings indicate that, at
the small scales used for this analysis, the APM data supports HA. When all
non-linear corrections are taken into account it is a good approximation at the
20 percent level. It appears that PT, and a natural generalization of EPT for
cumulant correlators does not provide such a good fit for the APM at small
scales. Once the validity the HA is approximately established, cumulant
correlators can separate the amplitudes of different tree-types in the
hierarchy up to fifth order. As an example, the weights for the fourth order
tree topologies are calculated including all non-linear corrections.
","[{""version"":""v1"",""created"":""Sat, 1 Feb 1997 00:00:12 GMT""},{""version"":""v2"",""created"":""Wed, 26 Feb 1997 18:12:34 GMT""},{""version"":""v3"",""created"":""Wed, 23 Dec 1998 12:53:11 GMT""}]","2009-10-30"
"astro-ph/9702017","Yasushi Suto","Tetsu Kitayama and Yasushi Suto (Dept. of Phys., University of Tokyo,
  Japan)","Constraints on the fluctuation amplitude and density parameter from
  X-ray cluster number counts","15 pages. Substantial revision. Accepted for publication in
  Astrophysical Journal, Part 1","Astrophys.J. 490 (1997) 557","10.1086/304915","UTAP-248/97, RESCEU-1/97","astro-ph",,"  We find that the observed log N - log S relation of X-ray clusters can be
reproduced remarkably well with a certain range of values for the fluctuation
amplitude $\sigma_8$ and the cosmological density parameter $\Omega_0$ in cold
dark matter (CDM) universes. The $1\sigma$ confidence limits on $\sigma_8$ in
the CDM models with $n=1$ and $h = 0.7$ are expressed as $(0.54 \pm 0.02)
\Omega_0^{-0.35-0.82\Omega_0+0.55\Omega_0^2}$ ($\lambda_0=1-\Omega_0$) and
$(0.54 \pm 0.02) \Omega_0^{-0.28-0.91\Omega_0+0.68\Omega_0^2}$ ($\lambda_0=0$),
where $n$ is the primordial spectral index, and $h$ and $\lambda_0$ are the
dimensionless Hubble and cosmological constants. The errors quoted above
indicate the statistical ones from the observed log N - log S only, and the
systematic uncertainty from our theoretical modelling of X-ray flux in the
best-fit value of $\sigma_8$ is about 15%. In the case of $n=1$, we find that
the CDM models with $(\Omega_0,\lambda_0,h,\sigma_8) \simeq (0.3,0.7,0.7,1)$
and $(0.45, 0, 0.7, 0.8)$ simultaneously account for the cluster log N -
log$S$, X-ray temperature functions, and the normalization from the COBE 4 year
data. The derived values assume the observations are without systematic errors,
and we discuss in details other theoretical uncertainties which may change the
limits on $\Omega_0$ and $\sigma_8$ from the log N - log S relation. We have
shown the power of this new approach which will become a strong tool as the
observations attain more precision.
","[{""version"":""v1"",""created"":""Sat, 1 Feb 1997 12:26:47 GMT""},{""version"":""v2"",""created"":""Mon, 3 Feb 1997 03:46:09 GMT""},{""version"":""v3"",""created"":""Thu, 3 Jul 1997 03:17:32 GMT""}]","2009-10-30"
"chao-dyn/9702001","Roman O. Grigoriev","R. O. Grigoriev and M. C. Cross","Dynamics of Coupled Maps with a Conservation Law","To be published in CHAOS #7 (31 page, 16 figures)",,"10.1063/1.166222",,"chao-dyn nlin.CD",,"  A particularly simple model belonging to a wide class of coupled maps which
obey a local conservation law is studied. The phase structure of the system and
the types of the phase transitions are determined. It is argued that the
structure of the phase diagram is robust with respect to mild violations of the
conservation law. Critical exponents possibly determining a new universality
class are calculated for a set of independent order parameters. Numerical
evidence is produced suggesting that the singularity in the density of Lyapunov
exponents at $\lambda=0$ is a reflection of the singularity in the density of
Fourier modes (a ``Van Hove'' singularity) and disappears if the conservation
law is broken. Applicability of the Lyapunov dimension to the description of
spatiotemporal chaos in a system with a conservation law is discussed.
","[{""version"":""v1"",""created"":""Sat, 1 Feb 1997 09:25:58 GMT""}]","2009-10-30"
"cond-mat/9702009","Joseph Ian Chandler","J.I. Chandler and J.M.F. Gunn","Mapping spin-charge separation without constraints","15 pages, Plain TEX",,,,"cond-mat.str-el",,"  The general form of a mapping of the spin and charge degrees of freedom of
electrons onto spinless fermions and local `spin'-1/2 operators is derived. The
electron Hilbert space is mapped onto a tensor productspin-charge Hilbert
space. The single occupancy condition of the t-J model is satisfied exactly
without the constraints between the operators required with slave particle
methods and the size of the Hilbert space (four states per site) is conserved.
The connection and distinction between the physical electron spin and the
``pseudospin'' used in these maps is made explicit. Specifically the pseudospin
generates rotations both in spin space and particle-hole space. A geometric
description (up to sign) is provided using two component spinors. The form of
the mapped t-J Hamiltonian involves the coupling of spin and spinless fermion
currents, as one expects.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 19:08:45 GMT""}]","2008-02-03"
"cond-mat/9702010","Stephen Teitel","Tao Chen and S. Teitel","Helicity Modulus and Fluctuating Type II Superconductors: Elastic
  Approximation and Numerical Simulations","63 pages, 22 postscript figures","Phys. Rev. B 55, 15197 (1997)","10.1103/PhysRevB.55.15197",,"cond-mat.supr-con",,"  We develop the helicity modulus as a criterion for superconducting order in
the mixed phase of a fluctuating type II superconductor. We show that there is
a duality relation between this helicity modulus and the superfluid density of
a system of analog 2D bosons. We show that the vortex line lattice exhibits a
perfect Meissner effect with respect to a shearing perturbation of the applied
magnetic field, and this becomes our creterion for ""longitudinal
superconductivity"" parallel to the applied field. We present arguments based on
the 2D boson analogy, as well as the results of numerical simulations, that
suggest that longitudinal superconductivity can persist into the vortex line
liquid state for systems of finite thickness, comparable to those commonly
found in experiments.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 19:57:19 GMT""}]","2009-10-30"
"cond-mat/9702011","Leo Radzihovsky","Leo Radzihovsky (Univ. of Colorado at Boulder) and John Toner (Univ.
  of Oregon, Eugene)","Nematic--to--Smectic-A Transition in Aerogel","version to appear in Phys. Rev. Lett., minor changes and references
  added","Physical Review Letters 79, 4214 (1997)","10.1103/PhysRevLett.79.4214","University of Colorado preprint","cond-mat.soft cond-mat.dis-nn cond-mat.stat-mech",,"  We study a model for the Nematic--Smectic-A (NA) transition in aerogel, and
find that even arbitrarily weak quenched disorder (i.e., low aerogel density)
destroys translational (smectic) order. Ignoring elastic anharmonicities, but
keeping anharmonic couplings to disorder, leads to the prediction that there is
no ``Bragg glass'' phase in this system: it is riddled with dislocation loops
induced by the quenched disorder. Orientational (nematic) order is destroyed as
well, as is the thermodynamically sharp NA transition, in agreement with recent
experimental results.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 22:54:05 GMT""},{""version"":""v2"",""created"":""Mon, 13 Oct 1997 15:55:02 GMT""}]","2009-10-30"
