"adap-org/9702001","Mark Newman","M. E. J. Newman, Simon M. Fraser, Kim Sneppen, and William A. Tozier
  (Santa Fe Institute)","Comment on ""Self-organized criticality in living systems"" by C. Adami","5 pages, no figures, typeset in LaTeX2e using the Elsevier macro
  package elsart.cls","Phys. Lett. A 228, 202 (1997)","10.1016/S0375-9601(97)00108-4",,"adap-org cond-mat.soft nlin.AO",,"  Following extensive numerical experiments, it has been suggested that the
evolution of competing computer programs in artificial life simulations shows
signs of being a self-organized critical process. The primary evidence for this
claim comes from the distribution of the lifetimes of species in the
simulations, which appears to follow a power law. We argue that, for a number
of reasons, it is unlikely that the system is in fact at a critical point and
suggest an alternative explanation for the power-law lifetime distribution.
","[{""version"":""v1"",""created"":""Tue, 4 Feb 1997 18:37:29 GMT""}]","2009-10-30"
"astro-ph/9702042","Charley Lineweaver","C. H. Lineweaver (Observatoire de Strasbourg)","Gold in the Doppler Hills: Cosmological Parameters in the Microwave
  Background","21 pages, 11 figures, to appear in the Proceedings of the
  International School in Astrophysics: ""From Quantum Fluctuations to
  Cosmological Structures"" held in Casablanca, Morocco, December 1 - 10, 1996",,,,"astro-ph",,"  Research on the cosmic microwave background (CMB) is progressing rapidly. New
experimental groups are popping up and two new satellites will be launched. The
current enthusiasm to measure fluctuations in the CMB power spectrum at angular
scales between 0.1 and 1 degree is largely motivated by the expectation that
CMB determinations of cosmological parameters will be of unprecedented
precision: cosmological gold. In this article I will try to answer the
following questions: 1) What is the CMB? 2) What are cosmological parameters?
3) What is the CMB power spectrum? 4) What are all those bumps in the power
spectrum? 5) What are the current CMB constraints on cosmological parameters?
","[{""version"":""v1"",""created"":""Tue, 4 Feb 1997 21:26:48 GMT""}]","2007-05-23"
"astro-ph/9702043","Nicolas Sechaud","O. Bienayme, N. Sechaud (CDS, Observatoire de Strasbourg)","Stellar kinematics in the solar neighbourhood and the disc scale lengths
  of the Galaxy","11 pages, LaTeX (A&A style), 7 ps-figures (accepted for publication
  in A&A)",,,,"astro-ph",,"  Dynamical self-consistent constraints deduced from the Boltzmann equation are
necessary to analyse and interpret kinematic data in the Galaxy. It has been
shown that the standard epicycle theory approach, a first order theory to
estimate galactic characteristics, is subject to systematic errors. In some
recent work, distribution function solutions of the Boltzmann equation and/or
third moments in Jeans equations have been used to obtain a more consistent
description of our Galaxy. In this paper, we give a short review of
observational constraints and the different values usualy taken for global
parameters describing our Galaxy, namely the slope of the circular velocity
curve, the density and kinematic scale lengths. Secondly we build a new model
of Shu-type distribution functions where scale lengths and the shape of the
velocity curve are free parameters. Thirdly we compare and adjust this model to
velocity distributions of stars in the solar neighbourhood taken from the
Gliese catalogue and other ones. Implicit constraints are related to the
asymmetric drift relation and the Lindblad equation that gives the ratio of
radial and tangential velocity dispersions. We conclude that extended Shu
distribution functions recover most of the fundamental kinematic properties of
the galactic disc. We show that it is possible to build a consistent model
explaining local stellar kinematics and to determine local structural galactic
parameters.
","[{""version"":""v1"",""created"":""Tue, 4 Feb 1997 19:07:15 GMT""}]","2009-09-25"
"astro-ph/9702044","Craig Hogan","Craig J. Hogan (University of Washington)","Deuterium and Helium Absorption at High Redshift: Mapping the Abundance,
  Density and Ionization of Primordial Gas","11 pages, LaTeX, including 4 figures. To appear in the Proceedings of
  the 18th Texas Symposium on Relativistic Astrophysics",,,,"astro-ph",,"  Spectra of quasars at high redshift with high resolution and high
signal-to-noise allow in favorable circumstances detection of absorption by
deuterium and ultimately measurement of its primordial abundance. Ultraviolet
spectra of high redshift quasars allow measurement of absorption by the most
abundant cosmic absorber, singly ionized helium, thereby mapping gas even in
the most rarefied cosmic voids. These new techniques already provide
significant constraints on cosmological models but will soon become much more
precise.
","[{""version"":""v1"",""created"":""Tue, 4 Feb 1997 19:35:17 GMT""},{""version"":""v2"",""created"":""Wed, 5 Feb 1997 17:46:11 GMT""},{""version"":""v3"",""created"":""Thu, 6 Feb 1997 22:07:59 GMT""},{""version"":""v4"",""created"":""Fri, 2 May 1997 22:52:41 GMT""}]","2008-02-03"
"astro-ph/9702045","Inger Joergensen","Inger Jorgensen (McDonald Observatory), Jens Hjorth (NORDITA, Denmark)","The Fundamental Plane at z=0.18","10 pages, 5 figures included, LaTeX style lamuphys.sty To appear in
  the proceedings of the 3rd ESO-VLT Workshop Galaxy Scaling Relations, eds. da
  Costa et al., Springer",,,,"astro-ph",,"  We present preliminary results regarding the Fundamental Plane (FP) for
galaxies in the two rich clusters Abell 665 and Abell 2218. Both clusters have
a redshift of 0.18. We have compared the FP for A665 and A2218, and for the
cluster CL0024+16 at z=0.39, with the FP for the Coma cluster. The scatter
around the FP is similar for all four clusters. There may be indications that
the slope of the FP is more shallow for the intermediate redshift clusters than
for the Coma cluster. More complete samples of galaxies in intermediate
redshift clusters are needed to map in detail the possible change of the slope
as function of redshift. The mass-to-light (M/L) ratio as measured by the FP
changes with redshift. At z=0.18 the M/L ratio (in Gunn r) is 16+-9% smaller
than for the Coma cluster. Together with earlier results reported for CL0024+16
this implies that the M/L ratio changes with redshift as Delta log M/L_r ~ -0.4
Delta z. The results presented here are in agreement with passive evolution of
a stellar population, which formed at a redshift larger than one. However, the
possible presence of more recent bursts of star formation complicates the
interpretation of the data.
","[{""version"":""v1"",""created"":""Tue, 4 Feb 1997 23:11:21 GMT""}]","2007-05-23"
"astro-ph/9702046","Jorg Rachen","Jorg P. Rachen","Propagation of UHE cosmic rays in a structured universe","Contributed Paper to the 18th Texas Symposium on Rel. Astrophysics
  and Cosmology, Chicago 1996. 3 Pages, no figures",,,,"astro-ph",,"  In a gravitationally unstable universe, the structure of dark matter and
galaxies, intergalactic gas and magnetic field can have severe impact on the
propagation of ultra high energy cosmic rays (UHECR) (Ryu & Kang, this
proceedings). The possible effects include spatial confinement and directional
focusing along the supergalactic matter sheets, as well as universal
re-acceleration at large scale shock fronts, and spectral modification due to
energy dependent leakage into cosmic voids. As a result, the GZK-cutoff may be
less pronounced and occur at a higher energy, where the stochastic nature of
both acceleration and energy loss processes has to be taken into account.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 00:50:13 GMT""}]","2009-09-25"
"astro-ph/9702047","Motokazu Takizawa","Motokazu Takizawa and Shin Mineshige (Department of Astronomy, Kyoto
  University)","Evolution of X-Ray Clusters of Galaxies and Shock Heating of
  Intracluster Medium","33 pages and 12 figures. Submitted to ApJ",,"10.1086/305598","Kyoto-97-02","astro-ph",,"  Evolutions of X-ray clusters of galaxies are studied by N-body (shell model)
+ mesh code (TVD) simulations on the assumption of spherical symmetry. We
consider a density perturbation of $10^{15} M_{\odot}$ composed of dark matter
and gas in cold dark matter dominated universe with the cosmological density
parameter, $\Omega_0 = 1$ or $0.2$. A shock front appears during its initial
collapse, moving outward as ambient gas accretes towards cluster center. The
shock front separates the inner X-ray emitting, hot region, where gas is almost
in hydrostatic equilibrium but with small radial infall ($\sim 100$km s$^{-1}$)
being left, from the outer cool region. Gas inside the shock is strongly
compressed and heated by shock so that X-ray luminosity rapidly rises in the
early stage. In the late stage, however, the X-ray luminosity rises only
gradually due partly to the expansion of the inner high temperature region and
partly to the increase of X-ray emissivity of gas as the results of continuous
adiabatic compression inside the shock. The shock front structure, which was
not clearly resolved in the previous SPH simulations, is clearly captured by
the present simulations. In addition, we find a sound wave propagating outward,
thereby producing spatial modulations with amplitudes of $\sim$ 10 % in the
radial temperature and density profiles and time variations in the strength of
the shock. Such modulations, if observed, could be used as a probe to
investigate the structure of clusters.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 06:45:57 GMT""}]","2009-10-30"
"astro-ph/9702048","Tomaso Belloni","T. Belloni, M. Mendez, A.R. King, M. van der Klis, J. van Paradijs","An unstable central disk in the superluminal black-hole X-ray binary GRS
  1915+105","8 pages, 2 PS figures",,"10.1086/310595",,"astro-ph",,"  We have analyzed the X-ray spectra of the microquasar GRS 1915+105, as
observed with the PCA on the Rossi XTE, during periods of stable weak emission,
outbursts and rapid flaring. We find that the complicated X-ray intensity curve
of this source can be described by the rapid removal and replenishment of
matter forming the inner part of an optically thick accretion disk, probably
caused by a thermal-viscous instability analogous to that operating in dwarf
novae, but here driven by the Lightman-Eardley instability. We find that the
mass accretion rate in quiescence is 10^-6 solar masses per year. Only a small
fraction of the energy liberated by accretion is emitted as radiation. We
suggest that most of this energy is advected into the black hole in the
high-viscosity state of the outburst cycle.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 09:42:14 GMT""}]","2009-10-30"
"astro-ph/9702049","Chiba Masashi","Masashi Chiba (NAOJ, Japan) and Biman B. Nath (IUCAA, India)","On The Origin Of Metallicity In Lyman-Alpha Forest Systems","22 pages, LaTex (aaspp4.sty), 6 postscript figures, To appear in ApJ","Astrophys.J. 483 (1997) 638","10.1086/304260",,"astro-ph",,"  We investigate the hypothesis that $\lyal$ absorption lines arise in two
populations of halos --- minihalos of small circular velocity ($V_c \la 55$ km
s$^{-1}$) in which star formation and metal production are inhibited by
photoionization of the UV background radiation, and large galactic halos ($55
\la V_c \la 250$ km s$^{-1}$) which possess stars and metals. Based on the
model of $\lyal$-absorbing gas confined in both populations of halos, we
attempt to explain the recent observations of (1) associations of visible
galaxies with $\lyal$ lines at low redshifts $z \la 1$, and (2) metal lines
associated with a non-negligible fraction of low H I column density $\lyal$
lines at $z \sim 3$. For galactic halos, we find that photoionized gas clouds
confined in the pressure of ambient hot gas can produce $\lyal$ absorptions
with H I column density as low as $10^{14}$ cm$^{-2}$, and that the impact
parameter of a sightline for such absorptions matches well with the observed
radius of gaseous envelope in a typical luminous galaxy. Using the Press-
Schechter prescription for the mass function of halos, we also show that the
fraction of $\lyal$ lines with associated metal lines can be understood in
terms of the fraction of $\lyal$ absorbers that are associated with galactic
halos. In particular, the reported fraction of $\sim 0.5--0.75$ at $z \sim 3$
is reproduced when the boundary value of $V_c$ to separate mini or galactic
halos is $40 \sim 60$ km s$^{-1}$, which is consistent with the theoretical
prediction of galaxy formation under photoionization. .....
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 09:47:27 GMT""}]","2016-08-30"
"astro-ph/9702050","Rachida Sadat","R. Sadat (Observatoire de Strasbourg)","Clusters of Galaxies and Mass estimates","18 pages, 7 figures to appear in the Proceedings of the International
  School in Astrophysics: ""From Quantum Fluctuations to Cosmological
  Structures"" held in Casablanca, Morocco, December 1 - 10, 1996",,,,"astro-ph",,"  The determination of galaxy cluster mass is of great importance since it is
directly linked to the well- known problem of dark matter in the Universe and
to the cluster baryon content. X-ray observations from satellites have enabled
a better understanding of the physics occuring inside clusters, their matter
content as well as a detailed description of their structure. In addition, the
discovery of giant gravitational arcs and the lensing properties of clusters of
galaxies represent the most exciting events in cosmology and have led to many
new results on mass distribution. I review the different methods used to
determine the mass in clusters of galaxies and discuss their accuracy and the
implications for Cosmology.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 10:36:21 GMT""}]","2007-05-23"
"astro-ph/9702051","Stephen Serjeant","Stephen Serjeant (ICSTM), Steve Rawlings (Oxford), Mark Lacy (Oxford)","HST imaging of redshift z>0.5 7C and 3C Quasars","To appear in the Proceedings of the ESO/IAC Conference on 'Quasar
  Hosts' - Tenerife 24-27 September 1996",,,,"astro-ph",,"  We present preliminary results from HST imaging of radio-loud quasar hosts,
covering a ~x100 range in radio luminosity but in a narrow redshift range (0.5
to 0.65). The sample was selected from our new, spectroscopically complete 7C
survey and the 3CRR catalogue. Despite the very large radio luminosity range,
the host luminosities are only weakly correlated (if at all) with radio power,
perhaps reflecting a predominance of purely central engine processes in the
formation of radio jets, and hence perhaps also in the radio-loud/-quiet
dichotomy at these redshifts. The results also contradict naive expectations
from several quasar formation theories, but the host magnitudes support
radio-loud Unified Schemes.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 12:35:04 GMT""}]","2007-05-23"
