"adap-org/9702002","Aronson Igor","Igor Aranson, Lev Tsimring and Valerii Vinokur","Evolution on a Rugged Landscape:Pinning and Aging","4 pages, 3 figures, submitted to Phys. Rev. Lett",,"10.1103/PhysRevLett.79.3298",,"adap-org nlin.AO q-bio",,"  Population dynamics on a rugged landscape is studied analytically and
numerically within a simple discrete model for evolution of N individuals in
one-dimensional fitness space. We reduce the set of master equations to a
single Fokker-Plank equation which allows us to describe the dynamics of the
population in terms of thermo-activated Langevin diffusion of a single particle
in a specific random potential. We found that the randomness in the mutation
rate leads to pinning of the population and on average to a logarithmic
slowdown of the evolution, resembling aging phenomenon in spin glass systems.
In contrast, the randomness in the replication rate turns out to be irrelevant
for evolution in the long-time limit as it is smoothed out by increasing
``evolution temperature''. The analytic results are in a good agreement with
numerical simulations.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 19:53:45 GMT""}]","2015-06-30"
"astro-ph/9702091","Paul Martini","Paul Martini, K. Sellgren (Ohio State), and Joseph L. Hora (Institute
  for Astronomy, University of Hawaii)","Near-Infrared Spectroscopy of Molecular Filaments in the Reflection
  Nebula NGC 7023","ApJ accepted, 26 pages including 5 embedded figures, uses AASTEX.
  Also available at http://www-astronomy.mps.ohio-state.edu/~martini/pubs.html",,"10.1086/304322",,"astro-ph",,"  We present near-infrared spectroscopy of fluorescent molecular hydrogen (H_2)
emission from molecular filaments in the reflection nebula NGC 7023. We derive
the relative column densities of H_2 rotational-vibrational states from the
measured line emission and compare these results with several model
photodissociation regions covering a range of densities, incident UV-fields,
and excitation mechanisms. Our best-fit models for one filament suggest, but do
not require, either a combination of different densities, suggesting clumps of
10^6 cm^{-3} in a 10^4 - 10^5 cm^{-3} filament, or a combination of fluorescent
excitation and thermally-excited gas, perhaps due to a shock from a bipolar
outflow. We derive densities and UV fields for these molecular filaments that
are in agreement with previous determinations.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 18:17:10 GMT""}]","2009-10-30"
"astro-ph/9702096","Corinna von Montigny","C. von Montigny, et al","Multi-wavelength Observations of 3C 273 in 1993-1995","63 pages including 9 eps figures and 9 tables, LateX, uses aaspp4.sty
  and tighten.sty, accepted for publication in ApJ",,"10.1086/304219",,"astro-ph",,"  We present the results of the multi-wavelength campaigns on 3C 273 in
1993-1995. During the observations in late 1993 this quasar showed an increase
of its flux for energies greater equal 100 MeV from about 2.1 x 10^-7
photons/cm^2/s to approximately 5.6 x 10^-7 photons/cm^2/s during a radio
outburst at 14.5, 22 and 37 GHz. However, no one-to-one correlation of the
gamma-ray radiation with any frequency could be found. The photon spectral
index of the high energy spectrum changed from (3.20 +- 0.54) to (2.20 +- 0.22)
in the sense that the spectrum flattened when the gamma-ray flux increased.
Fits of the three most prominent models (synchrotron self-Comptonization,
external inverse Comptonization and the proton initiated cascade model) for the
explanation of the high gamma-ray emission of active galactic nuclei were
performed to the multi-wavelength spectrum of 3C 273. All three models are able
to represent the basic features of the multi-wavelength spectrum. Although
there are some differences the data are still not decisive enough to
discriminate between the models.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 18:17:51 GMT""}]","2009-10-30"
"astro-ph/9702097","Avi Loeb","David Heyrovsky and Abraham Loeb (Harvard University)","Microlensing of an Elliptical Source by a Point Mass","27 pages, 10 figures, to appear in ApJ, November 1997. Slight change
  in notation, added illustration of microlensing-induced redshift variation,
  minor changes in text","Astrophys.J. 490 (1997) 38-50","10.1086/304855",,"astro-ph",,"  We present an efficient method for computing lightcurves of an elliptical
source which is microlensed by a point mass. The amplification of an extended
source involves a two-dimensional integral over its surface brightness
distribution. We show that for a general surface brightness profile with an
elliptical symmetry, this integral can be reduced to one dimension. We derive
analytical results for the entire lightcurve in the limit of low (e.g.
planetary) mass lenses, and for the wings of all microlensing lightcurves in
general. In both cases, the lightcurve carries information about deviations of
the source from elliptical symmetry, e.g. due to spots. The method is used to
find the amplification of a circular red giant photosphere and an inclined
accretion disk. We demonstrate that microlensing of an emission line from a
disk can be used to infer the disk velocity structure and surface brightness
profile.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 19:32:33 GMT""},{""version"":""v2"",""created"":""Fri, 8 Aug 1997 17:48:43 GMT""}]","2009-10-30"
"astro-ph/9702098","Craig Markwardt","Craig B. Markwardt (University of Wisconsin, Madison), Hakki B.
  Ogelman (University of Wisconsin, Madison)","The ASCA Spectrum of the Vela Pulsar Jet","12 pages, LaTeX in AAS v4.0 preprint style, two PS figures, accepted
  for publication in the ApJ Letters",,"10.1086/310616","Wisconsin Astrophysics Num. 640","astro-ph",,"  ROSAT observations of the Vela pulsar and its surroundings revealed a
collimated X-ray feature almost 45' in length (Markwardt & Ogelman 1995),
interpreted as the signature ``cocoon'' of a one-sided jet from the Vela
pulsar. We report on a new ASCA observation of the Vela pulsar jet at its head,
the point where the jet is believed to interact with the supernova remnant. The
head is clearly detected, and its X-ray spectrum is remarkably similar to the
surrounding supernova remnant spectrum, extending to X-ray energies of at least
7 keV. A ROSAT+ASCA spectrum can be fit by two-component emission models but
not standard one-component models. The lower energy component is thermal and
has a temperature of 0.29+/-0.03 keV (1 sigma); the higher energy component can
be fit by either a thermal component of temperature ~4 keV or a power law with
photon index ~2.0. Compared to the ROSAT-only results, the mechanical
properties of the jet and its cocoon do not change much. If the observed
spectrum is that of a hot jet cocoon, then the speed of the jet is at least 800
km s^-1, depending on the angle of inclination. The mechanical power driving
the jet is >10^36 erg s^-1, and the mass flow rate at the head is > 10^-6 M_sun
yr^-1. We conclude that the jet must be entraining material all along its
length in order to generate such a large mass flow rate. We also explore the
possibility that the cocoon emission is synchrotron radiation instead of
thermal.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 22:27:08 GMT""}]","2009-10-30"
"astro-ph/9702099","Anatoly Klypin","Clay Smith, Anatoly Klypin, Michael Gross, Joel Primack, Jon Holtzman","Linearizing the Observed Power Spectrum","submitted to the Mon.Not.R.Astron.Soc., LaTeX (uses mn.sty,
  graphics.sty, endfloat.sty, trig.sty), 15 pages, 10 figures, also available
  at http://astro.nmsu.edu/~akravtso/GROUP/group_publications.html or at
  ftp://charon.nmsu.edu/pub/aklypin/LINOBS",,"10.1046/j.1365-8711.1998.01561.x",,"astro-ph",,"  Reconstruction of the linear power spectrum from observational data provides
a way to compare cosmological models to a large amount of data, as Peacock &
Dodds (1994, 1996) have shown. By applying the appropriate corrections to the
observational power spectrum it is possible to recover the underlying linear
power spectrum for any cosmological model. Using extensive N-body simulations
we demonstrate that the method is applicable to a wide range of cosmological
models. However, we find that the recovery of the linear power spectrum from
observations following PD94 is misleading because the corrections are model-
dependent. When we apply the proper corrections for a given model to the
observational power spectrum, we find that no model in our test group recovers
the linear power spectrum well for the bias suggested by PD94 between Abell,
Radio, Optical, and IRAS catalogs 4.5:1.9:1.3:1, with b_IRAS=1. When we allow
b_IRAS to vary we find that: (i)CHDM models give very good fits to observations
if optically-selected galaxies are slightly biased b_Opt=1.1 (ii) Most LCDM
models give worse but acceptable fits if blue galaxies are considerably
antibiased: 0.6<b_Opt<0.9 and fail if optical galaxies are biased. (iii)There
is a universal shape of the recovered linear power spectrum of all LCDM models
over their entire range of explored wavenumbers,0.01<k<0.6h\Mpc. Recovered
spectra of CDM and CHDM models are nearly the same as that of LCDM in the
region 0.01<k<0.2h/Mpc but diverge from this spectrum at higher k.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 02:51:44 GMT""},{""version"":""v2"",""created"":""Thu, 13 Feb 1997 02:44:43 GMT""}]","2009-10-30"
"astro-ph/9702100","Dick Bond","J. Richard Bond, George Efstathiou, and Max Tegmark","Forecasting Cosmic Parameter Errors from Microwave Background Anisotropy
  Experiments","10 pages, LaTeX, with 1 figure included. Revised version to appear in
  MNRAS with updated text, tables and figure. Text and colour figures also
  available at ftp://ftp.cita.utoronto.ca/bond/bet97
  http://www.sns.ias.edu/~max/parameters.html (faster from the US), from
  http://www.mpa-garching.mpg.de/~max/parameters.html (faster from Europe)","Mon.Not.Roy.Astron.Soc.291:L33-L41,1997","10.1093/mnras/291.1.L33",,"astro-ph",,"  Accurate measurements of the cosmic microwave background (CMB) anisotropies
with an angular resolution of a few arcminutes can be used to determine
fundamental cosmological parameters such as the densities of baryons, cold and
hot dark matter, and certain combinations of the cosmological constant and the
curvature of the Universe to percent-level precision. Assuming the true theory
is a variant of inflationary cold dark matter cosmologies, we calculate the
accuracy with which cosmological parameters can be determined by the next
generation of CMB satellites, MAP and Planck. We pay special attention to: (a)
the accuracy of the computed derivatives of the CMB power spectrum C_L; (b) the
number and choices of parameters; (c) the inclusion of prior knowledge of the
values of various parameters.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 04:19:10 GMT""},{""version"":""v2"",""created"":""Wed, 27 Aug 1997 08:28:13 GMT""}]","2016-01-13"
"astro-ph/9702101","Norbert Pirzkal","N. Pirzkal (1), E. J. Spillar (1 and 2), H. M. Dyck (1) ((1) Physics
  and Astronomy Department, University of Wyoming, Laramie (2) US Air Force
  Phillips Laboratory, Starfire Optical Range, Kirtland AFB, NM)","A search for close bright companions to AeBe stars","15 pages, 1 figure To appear in the May 20 Atrophysical Journal",,"10.1086/304055",,"astro-ph",,"  We present the result of IR observations in the K band of 39 bright AeBe
stars in the northern hemisphere. Using the shift-and-add technique, we were
able to detect nearby objects as close as 0.4'' from the primary star. We found
9 stars that have one or more companions. Adjusting for completeness, we
compute that the AeBe star binary rate is 85%. The binary rate of AeBe stars is
therefore greater than that of near solar type MS stars (57%) and similar to
that found in T Tauri stars (80%).
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 13:58:38 GMT""}]","2009-10-30"
"astro-ph/9702102","Marcus Bruggen","M. Br\""uggen, D.O. Gough (Institute of Astronomy and Department of
  Applied Mathematics and Theoretical Physics, University of Cambridge)","On electrostatic screening of ions in astrophysical plasmas","17 pages, no figures, AAS Latex, to appear in The Astrophysical
  Journal",,"10.1086/304718",,"astro-ph",,"  There has been some controversy over the expression for the so-called
`interaction energy' due to screening of charged particles in a plasma. Even in
the relatively simple case of weak screening, first discussed in the context of
astrophysical plasmas by Salpeter (1954), there is disagreement. In particular,
Shaviv and Shaviv (1996) have claimed recently that by not considering
explicitly in his calculation the complete screening cloud, Salpeter obtained a
result for the interaction energy between two nuclei separated by a distance
$r$ which in the limit $r \to 0$ is only 2/3 the correct value. It appears that
this claim has arisen from a fundamental misconception concerning the dynamics
of the interaction. We rectify this misconception, and show that Salpeter's
formula is indeed correct.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 14:17:59 GMT""}]","2016-08-30"
"chao-dyn/9702008","Holger Schanz","T. Dittrich(1), B. Mehlig(1), H. Schanz(1) and U. Smilansky(2) ((1)
  Max-Planck-Institut for Physics of Complex Systems, Dresden, Germany; (2) The
  Weizmann Institute of Science, Rehovot, Israel)","Universal spectral properties of spatially periodic quantum systems with
  chaotic classical dynamics","33 pages, REVTeX, 13 figures (eps)","Chaos, Solitons & Fractals 8 (1997) 1205-1227","10.1016/S0960-0779(97)00016-7",,"chao-dyn nlin.CD",,"  We consider a quasi one-dimensional chain of N chaotic scattering elements
with periodic boundary conditions. The classical dynamics of this system is
dominated by diffusion. The quantum theory, on the other hand, depends
crucially on whether the chain is disordered or invariant under lattice
translations. In the disordered case, the spectrum is dominated by Anderson
localization whereas in the periodic case, the spectrum is arranged in bands.
We investigate the special features in the spectral statistics for a periodic
chain. For finite N, we define spectral form factors involving correlations
both for identical and non-identical Bloch numbers. The short-time regime is
treated within the semiclassical approximation, where the spectral form factor
can be expressed in terms of a coarse-grained classical propagator which obeys
a diffusion equation with periodic boundary conditions. In the long-time
regime, the form factor decays algebraically towards an asymptotic constant. In
the limit $N\to\infty$, we derive a universal scaling function for the form
factor. The theory is supported by numerical results for quasi one-dimensional
periodic chains of coupled Sinai billiards.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 15:32:44 GMT""}]","2015-06-24"
"cmp-lg/9702007","Stephan Busemann","Stephan Busemann, Thierry Declerck, Abdel Kader Diagne, Luca Dini,
  Judith Klein, Sven Schmeier (DFKI GmbH)","Natural Language Dialogue Service for Appointment Scheduling Agents","8 or 9 pages, LaTeX; uses aclap.sty, epsf.tex","Proc. 5th Conference on Applied Natural Language Processing, 1997",,,"cmp-lg cs.CL",,"  Appointment scheduling is a problem faced daily by many individuals and
organizations. Cooperating agent systems have been developed to partially
automate this task. In order to extend the circle of participants as far as
possible we advocate the use of natural language transmitted by e-mail. We
describe COSMA, a fully implemented German language server for existing
appointment scheduling agent systems. COSMA can cope with multiple dialogues in
parallel, and accounts for differences in dialogue behaviour between human and
machine agents. NL coverage of the sublanguage is achieved through both
corpus-based grammar development and the use of message extraction techniques.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 18:59:58 GMT""}]","2008-02-03"
