"alg-geom/9703033","Wolfgang Eholzer","W. Eholzer, T. Ibukiyama","Rankin-Cohen Type Differential Operators for Siegel Modular Forms","19 pages LaTeX2e using amssym.def",,,"preprint MPI, DAMTP-97-26","alg-geom math.AG",,"  Let H_n be the Siegel upper half space and let F and G be automorphic forms
on H_n of weights k and l, respectively. We give explicit examples of
differential operators D acting on functions on H_n x H_n such that the
restriction of D(F(Z_1) G(Z_2)) to Z = Z_1 = Z_2 is again an automorphic form
of weight k+l+v on H_n. Since the elliptic case, i.e. n=1, has already been
studied some time ago by R. Rankin and H. Cohen we call such differential
operators Rankin-Cohen type operators. We also discuss a generalisation of
Rankin-Cohen type operators to vector valued differential operators.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 10:50:10 GMT""}]","2008-02-03"
"astro-ph/9703157","Simone Zaggia","M. D'Onofrio (1), M. Capaccioli (2,3), S. Zaggia (1,3), and N. Caon
  (4) ((1) Dip. di Astron., Univ. di Padova, (2) Dip. di Sc. Fis., Univ. di
  Napoli, (3) Oss. Astron. di Capodimonte, (4) Space Tel. Sc. Institute,
  Baltimore (USA))","The relative distances to the Virgo, Fornax, and Coma clusters of
  galaxies through the Dn-sigma and the Fundamental Plane relations","18 pages, LaTeX file with MNRAS macros. The paper is also available
  at http://obelix.pd.astro.it/",,"10.1093/mnras/289.4.847",,"astro-ph",,"  We derive the relative distances to the Virgo, Fornax, and Coma clusters of
galaxies by applying the Dn-sigma and the Fundamental Plane (FP) relations to
the data of the homogeneous samples of early--type galaxies studied by Caon
etal, Lucey etal, and Jorgensen etal. The two distance indicators give
consistent results, the relative distance moduli to Fornax and Coma with
respect to Virgo being Dmu(FV)=0.45+-0.15 and Dmu(CV)=3.55+-0.15) respectively.
The formal error on D(m-M) may be as small as 0.07 mag (~3% in distance),
provided that all the sources of bias are taken into account and a correct
statistical approach is used. Much of the actual uncertainty in the relative
distance of the clusters (12-15%), is due to the existence of systematic
departures in the measurements of the velocity dispersions among the various
datasets, and to the corrections for aperture effects. The above result for the
Fornax cluster is supported by the L-sigma-mu relation and, with lesser
accuracy, by the log(m)-log(re) relations. Our value of Dmu(FV) is in fair
agreement with the one derived using planetary nebulae and SNe-Ia, while is in
open contrast with that coming from surface brightness fluctuations, globular
clusters luminosity function, and infrared Tully-Fisher relation. In our data
Coma appears slightly nearer than indicated by the other distance indicators,
but now a better agreement with the Tully-Fisher relation seems to exist.
Finally we found that there aren't correlations of the residuals of the
Dn-sigma with the effective surface brightness, the total luminosity of the
galaxies, with the ellipticity and the shape parameter a4. Instead a
correlation seems to exists with maximum Vrot, with (V/sigma) and with the
exponent m of the r^1/m fit to major axis light of galaxies.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 18:40:00 GMT""}]","2015-06-24"
"astro-ph/9703162","Edward L. Fitzpatrick","Edward L. Fitzpatrick","The Abundance of Mg in the Interstellar Medium","11 pages, LaTeX (uses aaspp4.sty), 2 Postscript figures, accepted for
  publication in ApJ Letters",,"10.1086/310714","POPe-715","astro-ph",,"  An empirical determination of the f-values of the far-UV Mg II lines at 1239
A and 1240 A is reported. The strong near-UV Mg II lines at 2796 A and 2803 A
are generally highly saturated along most interstellar sightlines outside the
local ISM and usually yield extremely uncertain estimates of Mg II column
densities in interstellar gas. Since Mg II is the dominant form of Mg in the
neutral ISM and since Mg is expected to be a significant constituent of
interstellar dust grains, the far-UV lines are critical for assessing the role
of this important element in the ISM. This study consists of complete component
analyses of the absorption along the lines of sight toward HD 93521 in the
Galactic halo and Xi Per and Zeta Oph in the Galactic disk, including all four
UV Mg II lines and numerous other transitions. The three analyses yield
consistent determinations of the 1239,1240 f-values, with weighted means of 6.4
+/- 0.4 x 10^{-4} and 3.2 +/- 0.2 x 10^{-4}, respectively. These results are a
factor of about 2.4 larger than a commonly used theoretical estimate, and a
factor of about 2 smaller than a recently suggested empirical revision. The
effects of this result on gas- and dust-phase abundance measurements of Mg are
discussed.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 16:39:20 GMT""}]","2009-10-30"
"astro-ph/9703163","Andrew Newsam","I. M. McHardy, L. R. Jones, M. R. Merrifield, K. O. Mason, R. G.
  Abraham, A. M. Newsam, G. B. Dalton, F. Carrera, P. J. Smith, M.
  Rowan-Robinson, G. A. Wegner, T. J. Ponman, H. J. Lehto, G.
  Branduardi-Raymont, G. A. Luppino, G. Efstathiou, D. J. Allan and J. J.
  Quenby","The Origin of the Cosmic Soft X-Ray Background: Optical Identification
  of an Extremely Deep ROSAT Survey","28 pages, LaTeX, 17 figures from 32 postscript files. Uses mn.sty and
  epsf.sty. Accepted by MNRAS. Revised version now contains data table. For
  more information see http://www.astro.soton.ac.uk/~amn/UKdeep",,"10.1046/j.1365-8711.1998.01318.x",,"astro-ph",,"  We present the results of the deepest optically identified X-ray survey yet
made. The X-ray survey was made with the ROSAT PSPC and reaches a flux limit of
1.6x10^-15 erg cm^-2 s^-1 (0.5--2.0 keV). Above a flux limit of 2x10^-15 erg
cm^-2 s^-1 we define a complete sample of 70 sources of which 59 are
identified. Some (5) other sources have tentative identifications and in a
further 4 the X-ray error-boxes are blank to R=23 mag. At the brighter flux
levels (>= 10^-14 erg cm^-2 s^-1) we confirm the results of previous less deep
X-ray surveys with 84% of the sources begin QSOs. At fainter fluxes, however,
the survey is dominated by a population of galaxies with narrow optical
emission lines (NELGs). In addition, a number of groups and clusters of
galaxies are found at intermediate fluxes. Most of these are poor systems of
low X-ray luminosity and are generally found at redshifts of > 0.3. Their
numbers are consistent with a zero evolutionary scenario, in contrast to the
situation for high luminosity clusters at the same redshift. We discuss the
significance of these results to the determination of the cosmic soft X-ray
background (XRB) and show that at 2x10^-15 erg cm^-2 s^-1, we have resolved
more than 50% of the background. We also briefly consider the probable
importance of NELG objects to the residual background and look at some of the
properties of these unusual objects.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 18:08:25 GMT""},{""version"":""v2"",""created"":""Thu, 18 Sep 1997 15:46:25 GMT""},{""version"":""v3"",""created"":""Tue, 28 Oct 1997 13:44:54 GMT""}]","2009-10-30"
"astro-ph/9703164","Chris Aikman","Sidney van den Bergh","Some Musings on Galaxy Classification","To appear in the June 1997 Astronomical Journal. Also available at
  http://www.hia.nrc.ca/eprints.html",,"10.1086/118417","DAO-9709","astro-ph",,"  The present paper presents a discussion of classification systems for
galaxies, with special emphasis on possible modifications of the Hubble ""tuning
fork"" diagram, and on galaxy types not included in Hubble's original scheme.
Hubble's morphological types were defined in terms of standards observed at
small look-back times that were mostly located in the field, or in poor
clusters. It is pointed out that it is often difficult to shoehorn galaxies
located in the cores of rich clusters, or objects viewed at large look-back
times, into the Hubble classification system. The evolutionary relationships
between E, S0 and dSph galaxies are presently still controversial and poorly
understood. It is suggested that S0 galaxies may have arrived at their present
morphology along various evolutionary tracks. Late-type barred spirals are
found to be systematically less luminous than normal late-type galaxies. This
suggests that the dichotomy between normal and barred spirals may reflect
significant differences in their evolutionary histories. Such differences might
be explored by searching for systematic differences between the [O/Fe] values
in normal and barred spirals. Finally it is pointed out that the Large
Magellanic Cloud may have been a low surface brightness galaxy for an ~8 Gyr
period that ended 3-5 Gyr ago. This suggests that some galaxies can jump from
one morphological classification type to another.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 18:33:52 GMT""}]","2009-10-30"
"astro-ph/9703165","George F. Smoot","George F. Smoot","Introduction & Overview: CMB Sessions","4 pages, 1 figure, Latex (macro sprocl) Texas Meeting on Relativistic
  Astrophysics Dec 1996, Ed. Olinta et al",,,,"astro-ph",,"  This is a very exciting time for the CMB field. It is widely recognized that
precision measurements of the CMB can provide a definitive test of cosmological
models and determine their parameters accurately. At present observations give
us the first rough results but ongoing experiments promise new and improved
results soon and eventually satellite missions (MAP and COBRAS/SAMBA now named
Planck) are expected to provide the requisite precision measurements. Other
areas such as observations of the spectrum and Sunyaev-Zeldovich effect are
also making significant progress. There has long been anticipation that cosmic
microwave background (CMB) radiation would provide significant information
about the early Universe due to its early central role and its general lack of
interaction in the later epochs. Though there have been many observations of
the CMB since its discovery by Penzias and Wilson in 1964, the Cosmic
Background Explorer satellite, COBE, provided two watershed observations: (1)
the CMB is extremely well described by a black-body spectrum and (2) the
discovery of a spectrum of CMB anisotropies.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 19:56:52 GMT""}]","2007-05-23"
"astro-ph/9703166","Irapuan Rodrigues","Eduardo Bica (1), Horacio Dottori (1) and Irapuan Rodrigues de
  Oliveira F. (1), Sergio Ortolan (2), Beatriz Barbuy (3) ((1)Depart. de
  Astronomia, Instituto de Fisica, UFRGS, Porto Alegre, RS, Brazil),
  ((2)Universita di Padova, Dept. di Astronomia, Padova, Italy),
  ((3)Universidade de Sao Paulo, IAG, Depto. de Astronomia, Sao Paulo, Brazil)","Capture of field stars by globular clusters in dense bulge regions","6 pages, 2 included figures, aas2pp4,sty Latex style. To be published
  in Astrophysical Journal Letters",,"10.1086/310670",,"astro-ph",,"  The recent detection of a double Red Giant Branch in the optical
color-magnitude diagram (CMD) of the bulge globular cluster HP1 (Ortolani et
al. 1997), a more populated metal-poor steep one corresponding to the cluster
itself, and another metal-rich curved, led us to explore in the present Letter
the possibility of capture of field stars by a globular cluster orbiting in
dense bulge regions over several gigayears. Analytical arguments, as well as
N-body calculations for a cluster model of 10^5 solar masses in a bulge-like
environment, suggest that a significant fraction of cluster stars may consist
of captures. Metal-poor globular clusters in the inner bulge, like HP1,
contrasting at least in Delta [Fe/H] = 1.0 dex with respect to the surrounding
metal-rich stars, are ideal probes to further test the capture scenario. In
turn, if this scenario is confirmed, the double RGB of HP1 could provide direct
estimates of blanketing amounts, which is fundamental for the photometric
calibration of metal-rich stellar populations.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 17:00:02 GMT""}]","2009-10-30"
"astro-ph/9703167","Juri Poutanen","Boris Stern (Institute for Nulear Research, Moscow), Juri Poutanen
  (Uppsala Observatory, Sweden), and Roland Svensson (Stockholm Observatory,
  Sweden)","Brightness Dependent Properties of Gamma Ray Bursts","13 pages; AASTEX 4.0; 3 postscript figure; version accepted to the
  Astrophysical Journal Letters",,"10.1086/310947",,"astro-ph",,"  Brightness dependent correlations have been conclusively detected in the
average time profiles of gamma-ray bursts (GRBs). Determining the time
constants of the stretched exponential slopes of the average peak-aligned time
profile of GRBs as a function of the peak brightness, we find that the
post-peak slope shows time dilation when comparing bright and dim bursts, while
the pre-peak slope hardly changes. Stronger bursts are thus more symmetric than
weaker bursts at a high confidence level. The very weakest bursts have a
different shape (i.e., a different stretched exponential index) of their
average time profile as compared to brighter bursts. This difference is too
large to be explained by trigger effects and Poisson noise. We interpret these
correlations as being the result of an intrinsic positive correlation between
brightness and complexity of GRBs. This interpretation is directly confirmed by
simulations as well as by a morphological classification of bursts. The fact
that such a correlation can be observed should impose new constraints on the
distribution of GRBs over luminosity distance.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 11:56:08 GMT""},{""version"":""v2"",""created"":""Thu, 17 Jul 1997 08:48:22 GMT""}]","2009-10-30"
"astro-ph/9703168","Somak Raychaudhury","Somak Raychaudhury (IUCAA, Pune, India), Kaspar von Braun, Gary M.
  Bernstein (University of Michigan) and Puragra Guhathakurta (UCO/Lick
  Observatory)","Tests of the Tully-Fisher Relation II: Scatter Using Optical Rotation
  Curves","17 pages (including 2 tables and 5 Encapsulated Postscript figures),
  uses AAS LaTeX, to appear in Astronomical Journal, June 1997 issue",,"10.1086/118416","IUCAA-Preprint 97/23","astro-ph",,"  We investigate the amount of scatter in the Tully-Fisher relation (TFR) when
using optical long-slit H-alpha rotation curves to determine the velocity
widths of spiral galaxies. We study a sample of 25 galaxies in the Coma region
of the sky which were shown in Bernstein et al. (1994) to exhibit an
extraordinarily low scatter of 0.10 mag RMS in the I magnitude vs 21-cm width
TFR. Using the same I magnitudes with new widths derived from high-quality
H-alpha rotation curves, we measure an RMS scatter of 0.14 mag in the TFR. This
suggests that measurement errors and ``astrophysical errors'' (such as
non-circular gas motion) on the H-alpha velocity widths are below 6%, and
optical widths are nearly as good for TFR studies as 21-cm widths. The scatter
and form of the TFR are found to be robust under choice of velocity
width-extraction algorithm, as long as the central portions of the optical
rotation curve are ignored and low-S/N points are not weighted too heavily. In
this small sample there is no evidence that rotation curve shapes vary
systematically with rotation velocity, nor that rotation curve shape can be
used to reduce the scatter in the TFR.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 12:58:21 GMT""}]","2009-10-30"
"astro-ph/9703169","Timothy Ebbels","Tim Ebbels, Richard Ellis, Jean-Paul Kneib, Jean-Francois Le Borgne,
  Roser Pello, Ian Smail and Blai Sanahuja","Spectroscopic Confirmation of Redshifts Predicted by Gravitational
  Lensing","20 pages, LaTeX, 18 figures. Submitted to MNRAS. Figures 1,8,9,10 &
  11 and whole paper available at ftp://ftp.ast.cam.ac.uk/pub/tebbels/a2218inv/",,"10.1046/j.1365-8711.1998.t01-1-29511181.x",,"astro-ph",,"  We present deep spectroscopic measurements of 18 distant field galaxies
identified as gravitationally-lensed arcs in a Hubble Space Telescope image of
the cluster Abell 2218. Redshifts of these objects were predicted by Kneib et
al. (1996) using a lensing analysis constrained by the properties of two bright
arcs of known redshift and other multiply-imaged sources. The new spectroscopic
identifications were obtained using long exposures with the LDSS-2 spectrograph
on the William Herschel Telescope and demonstrate the capability of that
instrument to new limits, $R\simeq$24; the lensing magnification implies true
source magnitudes as faint as $R\simeq$25. Statistically, our measured
redshifts are in excellent agreement with those predicted from Kneib et al.'s
lensing analysis which gives considerable support to the redshift distribution
derived by the lensing inversion method for the more numerous and fainter
arclets extending to $R\simeq 25.5$. We explore the remaining uncertainties
arising from both the mass distribution in the central regions of Abell 2218
and the inversion method itself, and conclude that the mean redshift of the
faint field population at $R\simeq$25.5 ($B\sim 26$-27) is low, $<z>$=0.8-1. We
discuss this result in the context of redshift distributions estimated from
multi-colour photometry. Although such comparisons are not straightforward, we
suggest that photometric techniques may achieve a reasonable level of agreement
particularly when they include near-infrared photometry with discriminatory
capabilities in the $1<z<$2 range.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 12:31:48 GMT""}]","2015-06-24"
"astro-ph/9703170","S. C. Tripathy","S.C. Tripathy, Sarbani Basu and J.Christensen-Dalsgaard","Helioseismic determination of opacity corrections","Latex, 2 Pages, 2 Figures, Figure size reduced to fit into 2 pages,
  To appear in Proc. of IAU Symp.#181: ""Sounding solar and stellar interiors"",
  eds. F.X. Schmider & J. Provost",,,,"astro-ph",,"  We investigate the effect of localized opacity modifications on the
sound-speed profile of solar models. The sound-speed difference between the Sun
and a solar model is used to deduce the opacity correction that would be
required to bring the model into agreement with the Sun. We test this procedure
on artificial data for a pair of solar models and apply it to the solar sound
speed as inferred from inversion of LOWL observed frequencies. We show that a
solar model constructed with the appropriately modified opacity has a
sound-speed profile very similar to that of the Sun.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 15:59:00 GMT""},{""version"":""v2"",""created"":""Fri, 28 Mar 1997 11:05:00 GMT""}]","2008-02-03"
