"alg-geom/9704001","Maxim Braverman","Alexander Braverman and Maxim Braverman","Tempered currents and the cohomology of the remote fiber of a real
  polynomial map","LaTeX 2e",,,,"alg-geom math.AG",,"  Let $p:R^n\to R$ be a polynomial map. Consider the complex
$S'\Omega^*(\RR^n)$ of tempered currents on $R^n$ with the twisted differential
$d_p=d-dp$ where $d$ is the usual exterior differential and $dp$ stands for the
exterior multiplication by $dp$. Let $t\in R$ and let $F_t=p^{-1}(t)$. In this
paper we prove that the reduced cohomology $\tilda H^k(F_t;C)$ of $F_t$ is
isomorphic to $H^{k+1}(S'\Omega^*(\RR^n),d_p)$ in the case when $p$ is
homogeneous and $t$ is any positive real number. We conjecture that this
isomorphism holds for any polynomial $p$, for $t$ large enough (we call the
$F_t$ for $t >> 0$ the remote fiber of $p$) and we prove this conjecture for
polynomials that satisfy certain technical condition. The result is analogous
to that of A. Dimca and M. Saito, who give a similar (algebraic) way to compute
the reduced cohomology of the generic fiber of a complex polynomial.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 23:36:53 GMT""}]","2008-02-03"
"astro-ph/9704020","Ed Stoeffhaas","F. Halzen","The Search for the Source of the Highest Energy Cosmic Rays","Talk presented at the International Workshop ""New Worlds in
  Astroparticle Physics"", Faro, Portugal, Sept. 8-10, 1996. Latex 2.09, also
  uses sprocl.sty and epsf.sty, 22 pages, 2 embedded postscript figures.
  Postscript file of complete paper also available at
  http://phenom.physics.wisc.edu/pub/preprints/1997/madph-97-990.ps.Z or at
  ftp://phenom.physics.wisc.edu/pub/preprints/1997/madph-97-990.ps.Z",,,"MADPH-97-990","astro-ph hep-ph",,"  Active galaxies and gamma ray bursts are the sources of the highest energy
photons detected by astronomical telescopes. We speculate that they may be the
sources of the highest energy cosmic rays. This makes them true proton
accelerators, where the highest energy photons are the decay products of
neutral pions photoproduced when the proton beams interacts with ambient
radiation. Neutrinos from the decay of charged pions represent an
incontrovertible signature for proton acceleration. A main theme of this talk
is that their fluxes can be estimated from the measured gamma ray luminosity by
model-independent methods, based on dimensional analysis and textbook particle
physics.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 16:15:58 GMT""}]","2007-05-23"
"astro-ph/9704021","David Barrado Navascues","D. Barrado y Navascues (MEC/Fulbright Fellow at the Smithsonian
  Astrophysical Observatory and Real Colegio Complutense at Harvard
  University), J.R. Stauffer (CfA), L. Hartmann (CfA) and S.C. Balachandran
  (Deparment of Astronomy, University of Maryland)","The Age of Gl879 and Fomalhaut","27 pages, Postscript file","ApJ (1997), 475, 313","10.1086/303518",,"astro-ph",,"  We estimate here the age of one of the prototypes of the Beta Pic-like stars,
Fomalhaut, based on the properties of its common proper motion companion Gl879.
By combining constraints derived from the lithium abundance, rotational
velocity, HR diagram position, and coronal activity we conclude that the age
for Gl879, and hence the age for Fomalhaut, is 200$\pm$100 Myr. This age
estimate agrees quite well with the completely independent age estimate derived
directly from isochrone--fitting to Fomalhaut's position in an HR diagram, and
thus confirms that circumstellar dust disks can persist in A stars for several
hundred Myr.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 17:13:34 GMT""}]","2009-10-30"
"astro-ph/9704022","Andrew S. Wilson","A. S. Wilson (STScI), L. Binette (ESO), T. Storchi-Bergmann (UFRGS)","The Temperature of Extended Gas in Active Galaxies -- Evidence for
  Matter-Bounded Clouds","14 pages, Latex, 3 postscript figures Astrophysical Journal
  (Letters), in press for June 20 1997 issue, Volume 482",,"10.1086/310702",,"astro-ph",,"  We report measurements of the electron temperature at about a dozen locations
in the extended emission-line regions of five active (Seyfert and radio)
galaxies. Temperatures (T_{[OIII]} and T_{[NII]}) have been determined from
both the I([OIII]\lambda4363)/I([OIII]\lambda5007) and
I([NII]\lambda5755)/I[NII]\lambda6583) ratios. T_{[OIII]} lies in the range
(1.0 -- 1.7) \times 10^{4}K. We find a strong trend for T_{[OIII]} to be higher
than T_{[NII]}, with the difference typically being \approx 5,000K. Because the
critical density for collisional de-excitation of the ^{1}D{_2} level in NII is
lower than that of the same level in OIII, the deviations of the measured
intensity ratios from those expected for T_{[OIII]} = T_{[NII]} in the low
density limit are unlikely to result from collisional de-excitation. The
measured values of T_{[OIII]} and the differences between T_{[OIII]} and
T_{[NII]} are very similar to those found in Galactic planetary nebulae. It is
argued that the dominant form of energy input to the clouds is photoionization,
but detailed modelling indicates that the temperature difference is too large
to be accounted for in terms of photoionization of ionization-bounded clouds.
We propose instead that both matter- and ionization-bounded clouds are present
in the extended emission-line regions, with most of the [OIII] emission
originating from a hot zone in the matter-bounded clouds and essentially all of
the [NII] from the ionization-bounded clouds.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 16:55:34 GMT""}]","2016-08-30"
"astro-ph/9704023","Edouard Audit","Edouard Audit (1), Romain Teyssier (2) & Jean-Michel Alimi (1) ((1):
  LAEC, Observatoire de Meudon, France (2): Service d'Astrophysique CEA-SACLAY,
  France)","Non-linear Dynamics and Mass Function of Cosmic Structures: I Analytical
  Results","12 pages, latex 2e, accepted for publication in Astronomy &
  Astrophysics","Astron.Astrophys.325:439-449,1997",,,"astro-ph",,"  We investigate some modifications to the Press & Schechter (1974) (PS)
prescription resulting from shear and tidal effects. These modifications rely
on more realistic treatments of the collapse process than the standard approach
based on the spherical model.
  First, we show that the mass function resulting from a new approximate
Lagrangian dynamic (Audit & Alimi 96), contains more objects at high mass, than
the classical PS mass function and is well fitted by a PS-like function with a
threshold density of $\delta_c \simeq 1.4$. However, such a Lagrangian
description can underestimate the epoch of structure formation since it defines
it as the collapse of the first principal axis. We therefore suggest some
analytical prescriptions, for computing the collapse time along the second and
third principal axes, and we deduce the corresponding mass functions. The
collapse along the third axis is delayed by the shear and the number of objects
of high mass then decreases.
  Finally, we show that the shear also strongly affects the formation of
low-mass halos. This dynamical effect implies a modification of the low-mass
slope of the mass function and allows the reproduction of the observed
luminosity function of field galaxies. In a companion paper, we present results
of numerical simulations which complete this work.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 16:50:27 GMT""}]","2011-05-23"
"astro-ph/9704024","Mike Turner","Michael S. Turner (U. Chicago/Fermilab)","Cosmology 1996","16 pages LaTeX with 7 eps figures. To be published in Flavor Physics
  (Proceedings of the Fourth KEK Topical Conference, Tsukuba, Japan, October
  1996)","Nucl.Phys. A621 (1997) 522c-532c; Nucl.Phys.Proc.Suppl. 59 (1997)
  239-248","10.1016/S0375-9474(97)00300-X",,"astro-ph hep-ph",,"  The current state of cosmology is easy to summarize: a very successful
standard model -- the hot big-bang cosmology -- that accounts for the evolution
of the Universe from 10^{-2} sec until the present; bold ideas based upon
early-Universe physics -- foremost among them inflation and cold dark matter --
that can extend the standard cosmology to times as early as 10^{-32} sec and
address the most pressing questions; and a flood of observations -- from
determinations of the Hubble constant to measurements of CBR anisotropy -- that
are testing inflation and cold dark matter.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 17:24:58 GMT""}]","2009-10-30"
"astro-ph/9704025","Stefanie Wachter","Stefanie Wachter (University of Washington)","Recovery of the X-Ray Transient QX Nor (=X1608-52) in Outburst and
  Quiescence","10 pages including 4 figures and 2 tables; Uses AASTeX 4.0; Accepted
  for publication in The Astrophysical Journal, Volume 485, August 20, 1997",,"10.1086/304463",,"astro-ph",,"  We present optical and near-IR observations of QX Nor, the counterpart to the
recurrent soft X-ray transient X1608-52, after its reappearance following the
X-ray outburst in February 1996. The object has been seen only once before,
during an X-ray outburst in 1977. Data from 3-5 months after the outburst show
the counterpart at a mean magnitude of R=20.2 and variable on timescales of
days. A comparison with identical observations in 1995 implies that the object
has brightened by at least 1.8 mag in R following the X-ray outburst. We also
detected QX Nor in the IR in both quiescence and outburst. A faint source is
visible in the J but not the R band in May 1995. These first observations in
the quiescent state yield magnitudes and colors consistent with optical
emission from a low mass companion in the binary system, as is true in other
soft X-ray transients.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 18:16:11 GMT""}]","2009-10-30"
"astro-ph/9704027","Helmut Jerjen","Bruno Binggeli, Helmut Jerjen","Is the shape of the luminosity profile of dwarf elliptical galaxies a
  useful distance indicator?","11 pages, 11 figures, accepted by A&A, December 1997","Astron.Astrophys.333:17-26,1998",,,"astro-ph",,"  The shape of the surface brightness profile of dE galaxies, quantified by
parameter n of Sersic's generalized profile law, has recently been put forward
as new extragalactic distance indicator (Young & Currie 1994). Its application
to the Virgo cluster has subsequently led to the claim that the Virgo dEs are
not lying in the cluster core but are distributed in a prolate structure
stretching from 8 to 20 Mpc distance (Young & Currie 1995). This claim is
refuted here. We have fitted a Sersic law to the surface brightness profiles of
128 Virgo cluster dEs and dS0s from the photometry of Binggeli & Cameron
(1991). The dispersion of the n-M relation is indeed large. However, we argue
that this scatter is not due to the depth of the Virgo cluster, but is
essentially intrinsic. Contrary to what one would expect from the cluster depth
hypothesis, there is no clear velocity-``distance'' relation for a sample of 43
Virgo dEs and dS0s with known redshifts. The analysis of Young & Currie (1995)
is hampered by the use of low-resolution photometry and flawed by the
assumption that the n-M and n-R relations can be used independently. By
combining different Sersic law parameters, the scatter of the scaling relations
can be reduced somewhat, but never below sigma_{rms} approx 0.7 mag, at least
for the Virgo cluster. For the purpose of distance measurements, this is
comparable to what one can get already from the <mu>_{eff}-M relation for dEs,
which does not require any profile modelling.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 03:30:54 GMT""},{""version"":""v2"",""created"":""Mon, 8 Dec 1997 04:13:11 GMT""}]","2009-09-28"
"astro-ph/9704028","Martin Kerscher","Martin Kerscher, Jens Schmalzing, Thomas Buchert and Herbert Wagner","Fluctuations in the IRAS 1.2 Jy Catalogue","13 pages, Latex, 24 eps-figures included, using aa.cls and epsf.sty;
  matching published version in A&A","Astron.Astrophys.333:1-12,1998",,"SFB-375/180","astro-ph",,"  An analysis of the IRAS 1.2 Jy redshift catalogue with emphasis on the
separate examination of northern and southern parts (in galactic coordinates)
is performed using a complete set of morphological descriptors (Minkowski
functionals), nearest neighbour distributions and the variance of the galaxy
counts. We find large fluctuations in the clustering properties as seen in a
large difference between the northern and southern parts of the catalogue on
scales of 100Mpc/h. These fluctuations remain discernible even on the scale of
200Mpc/h. We also identify sparse sampling as a major source of ``apparent
homogenization''. Tests on observational selection effects concerning
luminosity, colour and redshift-space distortion support the significance of
these large-scale fluctuations.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 16:44:20 GMT""},{""version"":""v2"",""created"":""Tue, 23 Sep 1997 13:10:24 GMT""},{""version"":""v3"",""created"":""Tue, 14 Apr 1998 09:21:25 GMT""}]","2011-05-23"
"astro-ph/9704029","Nakasato Naohito","Naohito Nakasato, Masao Mori and Ken'ichi Nomoto (Department of
  Astronomy, University of Tokyo)","Smoothed Particle Hydrodynamics with GRAPE and Parallel Virtual Machine","24 pages LaTeX file with 10 PostScript figures, to appear in ApJ",,"10.1086/304352",,"astro-ph",,"  We have developed Remote-GRAPE, a subroutine library to use the special
purpose computer GRAPE-3A. The GRAPE-3A can efficiently calculate gravitational
force between particles, and construct neighbor lists. All other calculations
are performed on the host workstation (WS) which is directly connected to
GRAPE. The use of GRAPE for Smoothed Particle Hydrodynamics (GRAPE-SPH) can in
principle greatly speed up the calculations on WS. However the current
bottleneck of GRAPE-SPH is that its performance is limited by the speed of the
host WS. To solve this problem, we implement Remote-GRAPE; it allows us to run
applications which use GRAPE-3A hardware on the significantly faster computers
than the physical host WS. Thus, we can take advantage of the fast computers
even though they can not physically be connected to GRAPE. The Remote-GRAPE
system is implemented on the Parallel Virtual Machine (PVM). In this paper, the
detail of implementation and performance analysis are described.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 09:20:11 GMT""}]","2009-10-30"
"astro-ph/9704030","Stephanie Cote","Stephanie Cote (ESO), Ken Freeman (MSSSO), Claude Carignan (Uni. de
  Montreal), Peter Quinn (ESO)","Discovery of Numerous Dwarf Galaxies in the Two Nearest Groups of
  Galaxies","35 pages Latex (aaspp4.sty) including all tables and 7 postscript
  figures. Figs 1,2,3 available at ftp://ftp.hq.eso.org/incoming/scote
  Submitted to AJ","Astron.J.114:1313,1997","10.1086/118565",,"astro-ph",,"  We report the discovery of a large population of dwarf irregular galaxies in
the two nearest groups of galaxies outside the Local Group, the Sculptor and
the Centaurus A groups (2.5 and 3.5 Mpc). Total areas of approximately 940 and
910 square degrees in these groups were scanned visually on the SRC J films to
find dwarf candidates. Redshifts were obtained by an HI survey carried out at
Parkes, with detection limits of 4 \times 10^6 \Msun and 7.8 \times 10^6 \Msun
, and 33 dwarf galaxies were successfully detected in the groups. A follow-up
optical survey (Halpha spectroscopy) detected a few more, and confirmed most of
the HI redshifts. A total of 16 and 20 dwarf galaxies are found in Sculptor and
Centaurus A, of which 6 are newly identified objects, and 5 more have newly
determined redshifts. In both groups the dwarf members show a wider spatial and
velocity distribution than the brighter members. From their radial velocities
and projected distances we estimate the crossing times of the groups, which
confirm that they are not yet virialised.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 11:58:07 GMT""}]","2009-12-10"
