"alg-geom/9704008","Antonella Grassi","A. Grassi","Divisors on elliptic Calabi-Yau 4-folds and the superpotential in
  F-theory, I","Reference added; 34 pages with 7 figures AmS-TeX version 2.1",,"10.1016/S0393-0440(98)00004-7",,"alg-geom hep-th math.AG",,"  Each smooth elliptic Calabi-Yau 4-fold determines both a three-dimensional
physical theory (a compactification of ``M-theory'') and a four-dimensional
physical theory (using the ``F-theory'' construction). A key issue in both
theories is the calculation of the ``superpotential''of the theory. We propose
a systematic approach to identify these divisors, and derive some criteria to
determine whether a given divisor indeed contributes. We then apply our
techniques in explicit examples, in particular, when the base B of the elliptic
fibration is a toric variety or a Fano 3-fold. When B is Fano, we show how
divisors contributing to the superpotential are always ""exceptional"" (in some
sense) for the Calabi-Yau 4-fold X. This naturally leads to certain transitions
of X, that is birational transformations to a singular model (where the image
of D no longer contributes) as well as certain smoothings of the singular
model. If a smoothing exists, then the Hodge numbers change. We speculate that
divisors contributing to the superpotential are always ""exceptional"" (in some
sense) for X, also in M-theory. In fact we show that this is a consequence of
the (log)-minimal model algorithm in dimension 4, which is still conjectural in
its generality, but it has been worked out in various cases, among which toric
varieties.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 18:12:16 GMT""},{""version"":""v2"",""created"":""Sun, 13 Apr 1997 15:03:51 GMT""},{""version"":""v3"",""created"":""Mon, 16 Feb 1998 20:54:17 GMT""}]","2009-10-30"
"alg-geom/9704010","Christoph Lossen","Gert-Martin Greuel, Christoph Lossen and Eugenii Shustin","Plane curves of minimal degree with prescribed singularities","33 pages, LaTeX 2e, corrected some typos, simplified proofs of Lemmas
  3.1, 4.1",,"10.1007/s002220050254",,"alg-geom math.AG",,"  We prove that there exists a>0 such that for any integer d>2 and any
topological types S_1,...,S_n of plane curve singularities, satisfying
$\mu(S_1)+...+\mu(S_n) \leq ad^2$, there exists a reduced irreducible plane
curve of degree d with exactly n singular points of types S_1,...,S_n,
respectively. This estimate is optimal with respect to the exponent of d. In
particular, we prove that for any topological type S there exists an
irreducible polynomial of degree $d \leq 14\sqrt{\mu(S)}$ having a singular
point of type S.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 08:37:39 GMT""},{""version"":""v2"",""created"":""Wed, 8 Jul 1998 17:04:27 GMT""}]","2009-10-30"
"alg-geom/9704011","Sinan Sertoz","Hursit Onsiper and Sinan Sertoz","On Degenerations of Fibre Spaces of Curves of Genus >= 2","3 pages, Latex2e, to appear in Arch. der Math., DVI file available at
  http://www.fen.bilkent.edu.tr/~sertoz/papers/archiv.dvi",,,,"alg-geom math.AG",,"  In this note, we show that for surfaces admitting suitable fibrations, any
given degeneration X / Delta is bimeromorphic to a fiber space over Delta and
we apply this result to the study of the degenerate fiber.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 11:25:46 GMT""}]","2008-02-03"
"astro-ph/9704083","Claudia Vilega Rodrigues","C. V. Rodrigues (1,2), A. M. Magalhaes (1), G. V. Coyne S. J.(3) and
  V. Piirola (4) ((1) Inst. Astronomico e Geofisico-USP, Brazil, (2) INPE,
  Brazil, (3) Vatican Observatory, Italy, (4) Tuorla Observatory - University
  of Turku, Finland)","Dust in the Small Magellanic Cloud: Interstellar Polarization and
  Extinction","To appear in the ApJ, 50 pages, latex file",,"10.1086/304434",,"astro-ph",,"  To elucidate the dust properties in the SMC we have for the first time
measured linear polarization in five colors in the optical region of the
spectrum for a sample of reddened stars. For two of these stars, for which
there were no existing UV spectrophotometric measurements, but for which we
measured a relatively large polarization, we have also obtained data from the
International Ultraviolet Explorer (IUE) in order to study the extinction. The
main results are: (1) the wavelength of maximum polarization, $\lambda_{max}$,
in the SMC is typically smaller than that in the Galaxy; (2) however, AZV 456,
which shows the UV extinction bump, has a $\lambda_{max}$ typical of that in
the Galaxy, its polarization curve is narrower, its bump is shifted to shorter
wavelengths as compared to the Galaxy and its UV extinction does not conform to
the Galactic analytical interpolation curve based on the ratio of total to
selective extinction; (3) the 'typical', monotonic SMC extinction curve can be
best fit with amorphous carbon and silicate grains; (4) the extinction towards
AZV456 may only be explained by assuming a larger gas-to-dust ratio than the
observed N(HI)/A(V) value, with a small amount of the available carbon in
graphite form; (5) from an analysis of both the extinction and polarization
data and our model fits it appears that the SMC has typically smaller grains
than those in the Galaxy.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 19:36:19 GMT""}]","2009-10-30"
"astro-ph/9704087","Petrucci","G. Pelletier and G. Henri (Laboratoire d'Astrophysique, Observatoire
  de Grenoble, France )","High Energy Plasma Physics in Black Hole Environment with Jets","5 pages, Latex, To appear in the XXXIInd Rencontres de Moriond
  Proceedings, ``Very High Energy Phenomena in the Universe'', Les Arcs,
  France, January 18-25, 1997, in press",,,,"astro-ph",,"  The Compton Gamma Ray Observatory revealed the high energy emission of some
Active Galactic Nuclei called ""Blazars""; few of them have also been observed by
ground Cererenkov arrays. Those sources observed with Whipple Observatory emit
gamma rays up to few TeV. From the spectral data and variability measurements,
a purely electrodynamical description of this emission can be proposed,
provided that it comes from relativistic flares at the beginning of the jet.
Because of the source compacity, the creation of electron-positron pairs and
their escape from the black hole environment could likely explain the shape of
the spectra. A plasma dominated by relativistic electrons (positrons) close to
equipartition with the magnetic field is a suitable acceleration medium that
can account for both the required high Lorentz factors and the short
variability.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 16:07:59 GMT""}]","2007-05-23"
"astro-ph/9704088","Combes Francoise","J.-F. Becquaert, F. Combes","The 3D Geometry of Dark Matter Halos","19 pages, 16 figures, l-aa.sty and epsfig used, accepted in A&A",,,,"astro-ph",,"  The thickness of the neutral hydrogen layer, coupled with the rotation curve,
traces the outer dark matter potential. We estimate the amplitude of the
flaring in spiral galaxies from a 3D model of the HI gas. Warps in particular
are explicitly parametrized in the form of an harmonical density wave. Applying
our method to the galaxy NGC 891, the only model that could fit the
observations, and in particular the HI at large height above the plane,
includes a strong warp with a line of node almost coinciding with the line of
sight. This high-Z HI is not observed at the most extreme velocity channels,
those corresponding to high rotational velocities. This is accounted for by the
model, since orbits in the tilted planes are not circular, but elongated, with
their minor axis in the galaxy plane. Their velocity on the major axis (i.e. at
their maximal height above the plane) is then 30% less than in the plane. We
finally connect the modelled vertical outer gaseous distribution to the dark
matter through hydrodynamical and gravitational equations. Under the assumption
of isotropy of the gaseous velocity dispersion, we conclude on a very flattened
halo geometry for the galaxy NGC 891 ($q \approx 0.2$), while a vertical
velocity dispersion smaller that the radial one would lead to a less flattened
Dark Matter Halo ($q \approx 0.4-0.5$). Both results however suggests that dark
matter is dissipative or has been strongly influenced by the gas dynamics.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 16:38:27 GMT""}]","2007-05-23"
"astro-ph/9704089","Christophe Pichon","C. Pichon (Basel) and R. C. Cannon (Southampton)","Numerical linear stability analysis of round galactic disks","21 pages, TeX, special macros: texsis; MNRAS, accepted for
  publication also available in postscipt format at
  ftp://www.astro.unibas.ch/~pichon/papers/",,,,"astro-ph",,"  The method originally developed by Kalnajs for the numerical linear stability
analysis of round galactic disks is implemented in the regimes of non-analytic
transformations between position space and angle-action space, and of vanishing
growth rates. This allows effectively any physically plausible disk to be
studied, rather than only those having analytic transformations into
angle-action space which have formed the primary focus of attention to date.
The transformations are constructed numerically using orbit integrations in
real space, and the projections of orbit radial actions on a given potential
density basis are Fourier transformed to obtain a dispersion relation in matrix
form. To verify the implementation, the fastest $m=2$ growth rates of the
isochrone and the Kuzmin-Toomre disks are recovered, and the weaker $m=2$ modes
are computed. The evolution of those growth rates as a function of the halo
mass is also calculated, and some $m=1$ modes are derived as illustration.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 17:25:01 GMT""}]","2007-05-23"
"astro-ph/9704090","Marijn Franx","Marijn Franx (1), Garth D. Illingworth (2), Daniel D. Kelson (2),
  Pieter G. van Dokkum (1), and Kim-Vy Tran (2) ((1) Kapteyn Institute,
  University of Groningen, (2) University of California, Santa Cruz)","A Pair of Lensed Galaxies at z=4.92 in the Field of CL1358+62","13 pages, AAS LaTex, 6 figures, ApJ Letters 486, L75, in press. This
  is the final version. Text and high quality figures also available at
  http://www.astro.rug.nl/~franx/papers/arc","Astrophys.J. 486 (1997) L75","10.1086/310844",,"astro-ph",,"  The cluster CL1358+62 displays a prominent red arc in WFPC2 images obtained
with the Hubble Space Telescope. Keck spectra of the arc show Ly alpha emission
at 7204 Angstrom, a continuum drop blueward of the line, and several absorption
lines to the red. We identify the arc as a gravitationally lensed galaxy at a
redshift of z=4.92. It is the highest redshift object currently known. A
gravitational lens model was used to reconstruct images of the high-redshift
galaxy. The reconstructed image is asymmetric, containing a bright knot and a
patch of extended emission 0.4 arcsec from the knot. The effective radius of
the bright knot is 0.022 arcsec or 130 h^-1 pc. The extended patch is partially
resolved into compact regions of star formation. The reconstructed galaxy has
I_AB= 24, giving a bolometric luminosity of about 3e11 Lsun. This can be
produced by a star formation rate of 36 h^-2 Msun /yr (q0=0.5), or by an
instantaneous star burst of 3e8 Msun. The spectral lines show velocity
variations on the order of 300 km/s along the arc. The Si II line is blue
shifted with respect to the Ly alpha emission, and the Ly alpha emission line
is asymmetric with a red tail. These spectral features are naturally explained
by an outflow model, in which the blue side of the Ly alpha line has been
absorbed by outflowing neutral H I. Evidence from other sources indicates that
outflows are common in starburst galaxies at high and low redshift. We have
discovered a companion galaxy with a radial velocity only 450 km/s different
than the arc's. The serendipitous discovery of these two galaxies suggests that
systematic searches may uncover galaxies at even higher redshifts.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 18:22:38 GMT""},{""version"":""v2"",""created"":""Fri, 11 Apr 1997 08:32:57 GMT""},{""version"":""v3"",""created"":""Mon, 15 Sep 1997 12:14:18 GMT""}]","2009-10-30"
"astro-ph/9704091","Umit Kiziloglu","M. Alev, A. Alpar, A. Esendemir, U. Kiziloglu (Physics Dept. METU,
  Ankara, Turkey)","AB Dor: A Single Star with RSCVn Like Activity in X-ray Band","11 pages in PostScript including figures, accepted for publication in
  Astrophysics and Space Science, available at
  http://astroa.physics.metu.edu.tr/preprints.html",,,,"astro-ph",,"  Using the archival ROSAT PSPC observations, AB Dor is found to be variable in
X-rays. The periodic variations are consistent with previously reported
rotational period of 0.514 days. The average spectrum of AB Dor is best
represented with two-temperature Raymond-Smith model with kT values of
0.19+/-0.07 and 1.17+/-0.02 keV. The quiescent luminosity of the system is
found to be 4.36+/-0.6 10^30 ergs/s. A flare with a rise time of about 350
seconds is detected during which X-ray luminosity rises from 5.8+/-1.6 10^30 to
15.8+/-4.9 10^30 ergs/s. We conclude that AB Dor is very similar to the active
components of RS CVn binaries and other active classes. In view of the wide
separation from the binary companion Rst 137B, this activity must be intrinsic
to the active star.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 07:38:01 GMT""}]","2007-05-23"
"astro-ph/9704092","Stefano Ettori","S. Ettori, A.C. Fabian and D.A. White (IoA, Cambridge, UK)","On the mass distribution in the Shapley Supercluster inferred from X-ray
  observations","13 pages, 10 Postscript figures, LaTex, mn styler. MNRAS in press.
  Also available in postscipt format at
  http://www-xray.ast.cam.ac.uk/~settori/paper.html","MNRAS, 289, 787 (1997)","10.1093/mnras/289.4.787",,"astro-ph",,"  We present an analysis of a mosaic of ROSAT PSPC and Einstein Observatory IPC
X-ray observations of 14 clusters and 2 groups of galaxies, enclosed in a sky
area 15 degrees by 20 degrees centred on A3558 within the Shapley Supercluster
region. From the mass of each cluster, extrapolated to a density contrast of
500, we define 4 large structures: (1) the core of the Shapley Supercluster
with radius 13 $h_{50}^{-1}$ Mpc; (2) the core plus A1736; (3) the core, A1736
and the western extension (A3528-A3530-A3532) and A3571; and (4), adding the
northern cluster pair A1631-A1644 to structure (3), the Supercluster as a whole
enclosed within a radius $\sim 90 h_{50}^{-1}$ Mpc. The observed total masses
range between 3.5-8.5 $\times 10^{15} M_{\odot}$. The mass values derived from
the observed intracluster gas (assuming a baryon fraction consistent with
primordial nucleosynthesis) are of the order of few times $10^{16} M_{\odot}$.
Given these estimates, the core is a bound structure with a very significant
overdensity of at least 5 times the critical density, indicating that is
approaching maximum expansion before collapsing. Structure (2) has an
overdensity of 1.7 on a scale of $\sim 30 h^{-1}_{50}$ Mpc. The core is then a
2--3.7 sigma fluctuation in an initial Gaussian perturbation field, normalized
for galaxies and clusters. The highest value applies if we extrapolate to a
density contrast of 200 and assume that $\Omega_b < 0.095$. The baryon fraction
of the core of the Shapley Supercluster, with A1736, is about 15 per cent over
a radius of 28 $h^{-1}_{50}$ Mpc.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 09:48:22 GMT""}]","2015-06-24"
"astro-ph/9704093","Gustavo A. Medina Tanco","G.A. Medina Tanco (1,2), N. Sabalisck (1), V. Jatenco-Pereira (1), R.
  Opher (1) ((1) Instituto Astronomico e Geofisico, USP, Brasil, (2) Royal
  Greenwich Observatory, UK)","Structure, Velocity Field and Turbulence in NGC 604","27 pages, postscript version including 8 embedded figures",,"10.1086/304573",,"astro-ph",,"  The Ha peak intensity, velocity shift and velocity dispersion maps of the
giant HII region NGC 604 in M 33, obtained by two dimensional high spatial
resolution Fabry-Perot observations with TAURUS II at the 4.2 m William
Herschel Telescope in Spain (Sabalisck, 1995), are analyzed via two point
correlation functions. The whole system seems to rotate as a rigid body on
scales from 50 to 80 pc (the largest studied scale), with a period of $\sim$ 85
Myr. We demonstrate that the cloud seems to be comprised of eddies with varying
characteristic scale lengths which range from 10 pc to the largest observed
scales. The calculated kinetic energy spectrum may be interpreted as either a
manifestation of a double cascading spectrum of forced two-dimensional
turbulence, or as a Kolmogorov three-dimensional turbulence (although this last
possibility seems unlikely). According to the first interpretation, turbulence
is being forced at scales of $\sim$ 10 pc, while an enstrophy (mean-square
vorticity) cascade has developed down to the smallest scales resolved and an
inverse kinetic energy cascade extends up to scales of $\sim$ 70 pc where a low
wave number turn over is observed; if true, this would be the first time that
such a phenomenon has been observed outside the Solar System. As for the second
interpretation, energy should be injected at the largest scales, $\sim$ 70 pc.
In both cases the average intrinsic optical depth consistent with the results
is $\sim$ 20 pc.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 12:15:34 GMT""}]","2009-10-30"
