"alg-geom/9704021","Vincent Mercat","Vincent Mercat","Le probleme de Brill-Noether pour des fibres stables de petites pentes","48 pages, Plain tex, 6 postscript figures",,,,"alg-geom math.AG",,"  We deal with the Brill-Noether problem for stable vector bundles of slope
between one and two.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 17:34:01 GMT""}]","2008-02-03"
"astro-ph/9704239","Eric Blackman","Eric G. Blackman (Institute of Astronomy, Cambridge UK)","Distinguishing Solar Flare Types by Differences in Reconnection Regions","15 pages TeX and 2 .eps figures, accepted to Ap.J.Lett","(1997) ApJ, 484, L79","10.1086/310763",,"astro-ph",,"  Observations show that magnetic reconnection and its slow shocks occur in
solar flares. The basic magnetic structures are similar for long duration event
(LDE) flares and faster compact impulsive (CI) flares, but the former require
less non-thermal electrons than the latter. Slow shocks can produce the
required non-thermal electron spectrum for CI flares by Fermi acceleration if
electrons are injected with large enough energies to resonate with scattering
waves. The dissipation region may provide the injection electrons, so the
overall number of non-thermal electrons reaching the footpoints would depend on
the size of the dissipation region and its distance from the chromosphere. In
this picture, the LDE flares have converging inflows toward a dissipation
region that spans a smaller overall length fraction than for CI flares. Bright
loop-top X-ray spots in some CI flares can be attributed to particle trapping
at fast shocks in the downstream flow, the presence of which is determined by
the angle of the inflow field and velocity to the slow shocks.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 19:25:12 GMT""}]","2009-10-30"
"astro-ph/9704241","Istvan Szapudi","Istv\'an Szapudi and Alexander S. Szalay","A New Class of Estimators for the N-point Correlations","10 pages, no figure, submitted to ApJ letters",,,"FERMILAB-Pub-97/108-A","astro-ph",,"  A class of improved estimators is proposed for N-point correlation functions
of galaxy clustering, and for discrete spatial random processes in general. In
the limit of weak clustering, the variance of the unbiased estimator converges
to the continuum value much faster than with any alternative, all terms giving
rise to a slower convergence exactly cancel. Explicit variance formulae are
provided for both Poisson and multinomial point processes using techniques for
spatial statistics reported by Ripley (1988). The formalism naturally includes
most previously used statistical tools such as N-point correlation functions
and their Fourier counterparts, moments of counts-in-cells, and moment
correlators. For all these, and perhaps some other statistics our estimator
provides a straightforward means for efficient edge corrections.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 16:39:29 GMT""}]","2007-05-23"
"astro-ph/9704242","H. Liang","H. Liang, J.M. Dickey, G. Moorey, R.D. Ekers","Observations of the 57Fe+23 Hyperfine Transition in Clusters","5 pages, 2 Postscript figures, to appear in Astronomy and
  Astrophysics 1997",,,,"astro-ph",,"  We present a search for the hyperfine transition of the 57Fe+23 ion at 3.071
mm in clusters of galaxies with the ATNF Mopra telescope. The results are
compared with a realistic estimate of the peak brightness temperature of the
line in a cooling flow cluster A85, using the available X-ray data.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 17:17:17 GMT""}]","2007-05-23"
"astro-ph/9704243","Tsafrir Kolatt","Tsafrir Kolatt (The Physics Department and Lick Observatory,
  University of California Santa-Cruz)","Determination of the Primordial Magnetic Field Power Spectrum by Faraday
  Rotation Correlations","30 pages, figures included, To appear in the Ap.J","Astrophys.J.495:564-591,1998","10.1086/305310",,"astro-ph",,"  (Abridged) This paper introduces the formalism which connects between
rotation measure ($\RM$) measurements for extragalactic sources and the
cosmological magnetic field power spectrum. It is shown that the amplitude and
shape of the cosmological magnetic field power spectrum can be constrained by
using a few hundred radio sources, for which Faraday $\RM$s are available. This
constraint is of the form $B_{rms} \simless 1 \times [2.6\times10^{-7} cm^{-3}/
\bar n_b] h $ nano-Gauss (nG) on $\sim 10-50 \hmpc$ scales. The constraint is
superior to and supersedes any other constraint which come from either CMB
fluctuations, Baryonic nucleosyn thesis, or the first two multipoles of the
magnetic field expansion. Demonstration of the ability to detect such magnetic
fields, using Bayesian statistics, is carried out by constructing simulations
of the field and mimicking observations. This procedure also provides error
estimates for the derived quantities.
  The two main noise contributions due to the Galactic RM and the internal RM
are treated in a statistical way. For power indices -1\leq n \leq 1 in a flat
cosmology (Omega_m=1) we estimate the signal-to-noise ratio, Q, for limits on
the magnetic field B_{rms} on ~50 h^{-1}Mpc scale. Employing one patch of a few
square degrees on the sky with source number density n_{src}, an approximate
estimate yields Q\simeq 3 \times (B_{rms}/1 {nG})(n_{src}/50 {deg}^{-2})
(2.6\times10^{-7} {cm}^{-3}/ \bar n_b) h $. An all sky coverage, with much
sparser, but carefully tailored sample of ~500 sources, yields Q \simeq 1 with
the same scaling. An ideal combination of small densely sampled patches and
sparse all-sky coverage yields Q\simeq 3 with better constraints for the power
index. All of these estimates are corroborated by the simulations.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 19:03:09 GMT""},{""version"":""v2"",""created"":""Tue, 7 Oct 1997 19:50:23 GMT""}]","2016-08-30"
"astro-ph/9704244","Bennett Link","Bennett Link, Richard I. Epstein","Evidence for Brightness-Dependent Anisotropy of Gamma Ray Bursts and Its
  Galactic Intepretation","12 pages, 5 figures",,,,"astro-ph",,"  We show that the brighter gamma-ray bursts (GRBs) in the BATSE 3B catalog
concentrate slightly toward the Galactic plane and center, suggesting that at
least some bursts originate within the Galaxy. To develop an interpretation of
this brightness-dependent anisotropy, we consider GRBs distributed in a thick
disk centered on the Galaxy. As an approximation to the true luminosity
distribution, we divide bursts into two distinct luminosity classes. Most
bursts originate from low-luminosity, nearby sources while the relatively few
high-luminosity sources trace the shape of the thick disk. We find that
characteristic disk dimensions as small as 20 kpc in thickness and 30 kpc in
radial extent can match the observed brightness-dependent anisotropy as well as
the number-flux distribution; these dimensions are smaller than previously
considered viable. For bursts distributed in a disk of these compact
dimensions, the low-luminosity sources must have peak powers of $\lapprox
5\times 10^{40}$ erg s$^{-1}$ and rate densities of $\gapprox 5\times 10^{-3}$
yr$^{-1}$ kpc$^{-3}$. The high-luminosity sources must have a peak luminosity
of $\simeq 10^{42}$ erg s$^{-1}$ but their rate density need be only 5% or less
than that of the low-luminosity sources. If the Andromeda Galaxy contained a
similar population of high-luminosity sources, their peak gamma-ray fluxes
would be less than $\sim 0.1$ s$^{-1}$ cm$^{-2}$, making their detection
problematic. Statistical analyses of the gamma-ray burst events obtained since
the compilation of the 3B catalog will determine whether the thick-disk
interpretation is preferred over the isotropic one.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 19:13:20 GMT""}]","2016-08-30"
"astro-ph/9704245","Brian Vaughan","Brian A. Vaughan (Caltech), Michiel van der Klis, Mariano Mendez, Jan
  van Paradijs, Rudy Wijnands (University of Amsterdam), Walter H. G. Lewin
  (MIT), Frederick K. Lamb, Dimitrios Psaltis (University of Illinois), Erik
  Kuulkers (ESTEC), Tim Oosterbroek (ESA)","Discovery of microsecond time lags in kilohertz QPO","8 pages, 1 Postscript figure, LaTeX, to appear in Ap.J Letters",,"10.1086/310740",,"astro-ph",,"  Using the Rossi X-ray Timing Explorer we have measured 27 microsecond time
delays in 830 Hz quasi-periodic oscillations (QPO) between 4-6 keV and 11-17
keV in 4U 1608-52, with high-energy photons lagging low energy photons, and
found upper limits to the time delays of 45 microseconds between 2-6.5 keV and
6.5-67 keV in 730 Hz QPO in 4U 0614+091 and 30 microseconds between 8.7-12.4
keV and 12.4-67 keV in 870 Hz QPO in 4U 1636-53. We also find that the cross
coherence function between QPO at different energies is > 0.85 with 95%
confidence in 4U 1608-52 and 4U 1636-53. If Compton upscattering of low-energy
X-rays in a region with an optical depth of a few is responsible for the
delays, then the Compton upscattering region is between a few kilometers and a
few tens of kilometers in size.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 20:47:09 GMT""}]","2009-10-30"
"astro-ph/9704246","Enrique Gaztanaga","E. Gaztanaga (IEEC, CSIC) and C.M. Baugh (University of Durham)","Testing deprojection algorithms on mock angular catalogues: Evidence for
  a break in the power spectrum","Accepted to MNRAS, new comparison with variants of CDM, a section on
  biasing and a new Table with the APM power spectrum data. Available at
  http://star-www.dur.ac.uk/~cmb/project.html with replaced Fig. 2",,"10.1111/j.1365-8711.1998.01166.x","IEEC-97-12","astro-ph",,"  We produce mock angular catalogues from simulations with different initial
power spectra to test methods that recover measures of clustering in three
dimensions, such as the power spectrum, variance and higher order cumulants. We
find that the statistical properties derived from the angular mock catalogues
are in good agreement with the intrinsic clustering in the simulations. In
particular, we concentrate on the detailed predictions for the shape of the
power spectrum, $P(k)$. We find that there is good evidence for a break in the
galaxy $P(k)$ at scales between $ 0.02 < k < 0.06 ~\impc$ using an inversion
technique applied to the angular correlation function measured from the APM
Galaxy Survey. For variants on the standard Cold Dark Matter model, a fit at
the location of the break implies $\Omega h= 0.45 \pm 0.10$, where $\Omega$ is
the ratio of the total matter density to the critical density and Hubble's
constant is parameterised as $H_{0}= 100~hkm ~s^{-1}Mpc^{-1}$. On slightly
smaller, though still quasi-linear scales, there is a feature in the APM power
spectrum where the local slope changes appreciably, with the best match to CDM
models obtained for $\Omega h \simeq 0.2$. Hence the location and narrowness of
the break in the APM power spectrum combined with the rapid change in its slope
on quasi-linear scales cannot be matched by any variant of CDM, including
models that have a non-zero cosmological constant or a tilt to the slope of the
primordial $P(k)$. These results are independent of the overall normalization
of the CDM models or any simple bias that exists between the galaxy and mass
distributions.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 19:41:33 GMT""},{""version"":""v2"",""created"":""Mon, 25 Aug 1997 12:25:08 GMT""}]","2020-11-25"
"astro-ph/9704247","Daniel Eisenstein","Daniel J. Eisenstein (IAS) and Emory F. Bunn (Bates College)","Comment on the Appropriate Null Hypothesis for Cosmological
  Birefringence","3 page, LaTeX, 1 ps fig included. Submitted as a Comment to PRL. We
  leave our initial Comment unchanged and append two pages detailing why the
  criticisms in astro-ph/9705190 are incorrect","Phys.Rev.Lett. 79 (1997) 1957-1958","10.1103/PhysRevLett.79.1957",,"astro-ph hep-ph",,"  A recent paper (Nodland and Ralston, PRL 78, 3043, astro-ph/9704196) claims
to have detected evidence for birefringence in the propagation of radio waves
across cosmological distances. In order to assess the statistical significance
of their results, the authors analyze simulated data sets, finding a stronger
correlation in the real data than in the simulations. Unfortunately, the
procedure used for generating the simulated data sets is based on an incorrect
null hypothesis. Furthermore, the correct null hypothesis would lead to a
stronger correlation in the simulated data sets, weakening the case for
birefringence. We conclude that the paper's analysis does not provide
statistically significant evidence of birefringence.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 21:39:03 GMT""},{""version"":""v2"",""created"":""Thu, 29 May 1997 22:52:16 GMT""}]","2009-10-30"
"astro-ph/9704248","Sylvain Korzennik","R. W. Noyes, S. Jha, S. G. Korzennik, M. Krockenberger, P. Nisenson,
  T. M. Brown, E. J. Kennelly, S. D. Horner","A Planet Orbiting the Star Rho Coronae Borealis","9 pages, LaTeX, accepted in Astrophys. J. Letters",,"10.1086/310754",,"astro-ph",,"  We report the discovery of near-sinusoidal radial velocity variations of the
G0V star rhoCrB, with period 39.6 days and amplitude 67 m/s. These variations
are consistent with the existence of an orbital companion in a circular orbit.
Adopting a mass of 1.0 M(Sun) for the primary, the companion has minimum mass
about 1.1 Jupiter masses, and orbital radius about 0.23 AU. Such an orbital
radius is too large for tidal circularization of an initially eccentric orbit
during the lifetime of the star, and hence we suggest that the low eccentricity
is primordial, as would be expected for a planet formed in a dissipative
circumstellar disk.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 21:57:57 GMT""}]","2009-10-30"
"astro-ph/9704249","Fred Hamann","Fred Hamann (Center for Astrophysics & Space Sciences, UCSD)","Metal Abundances and Ionization in QSO Intrinsic Absorbers","26 pages (LaTeX), plus 3 tables in 9 pages (*.ps.gz), plus 11 figures
  in 20 pages (*.ps.gz), in press with ApJS",,"10.1086/312980",,"astro-ph",,"  This paper provides a general reference for deriving the ionizations and
metal abundances for absorption-line clouds in photoionization equilibrium with
a QSO spectrum. The results include a quantitative assessment of the
theoretical uncertainties and firm lower limits on the metallicities when no
ionization constraints are available. The calculations applied to the best
available column densities for QSO intrinsic absorbers support previous
studies; there is strong evidence for super-solar metallicities in broad
absorption line (BAL) and at least some ``associated'' (z_a~z_e) absorption
regions. Even in cases where the level of ionization is unknown (for example,
when only H I and C IV lines are measured), firm lower limits on the metal
abundances (C/H) imply Z ~> Z_o for typical BALs and some z_a~z_e absorbers.
These results support the independent evidence for high metallicities in QSO
broad emission-line regions. I argue that high gas-phase abundances, up to ~10
Z_o, can be expected in QSOs due to the normal enrichment by stars in the cores
of young, massive (~> 10^11 M_o) galaxies. The measured column densities
indicate that the gas is usually optically thin in the continuum out to
energies above at least the CIV and NV ionization edges (i.e. >100 eV). The
column density ratios often require a range of ionization states in the same
absorber, and neighboring (blended or adjacent) systems can have ionization
parameters that differ by more than an order of magnitude. These result, and
the overall levels of ionization, are not consistent with single-zone models of
the UV line and X-ray continuum (``warm'') absorbers.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 23:01:31 GMT""},{""version"":""v2"",""created"":""Mon, 28 Apr 1997 19:05:44 GMT""}]","2009-10-30"
