"alg-geom/9704023","Ugo Bruzzo","Claudio Bartocci, Ugo Bruzzo, Daniel Hernandez Ruiperez and Jose' M.
  Mu~noz Porras","Mirror symmetry on K3 surfaces via Fourier-Mukai transform","15 pages, AMS-LaTeX v1.2. Final version to appear in Commun. Math.
  Phys","Commun. Math. Phys. 195 (1998) 79-93.","10.1007/s002200050380","SISSA Ref. 61/97/fm/geo","alg-geom hep-th math.AG",,"  We use a relative Fourier-Mukai transform on elliptic K3 surfaces $X$ to
describe mirror symmetry. The action of this Fourier-Mukai transform on the
cohomology ring of $X$ reproduces relative T-duality and provides an
infinitesimal isometry of the moduli space of algebraic structures on $X$
which, in view of the triviality of the quantum cohomology of K3 surfaces, can
be interpreted as mirror symmetry.
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 18:31:43 GMT""},{""version"":""v2"",""created"":""Sat, 9 Aug 1997 18:01:36 GMT""},{""version"":""v3"",""created"":""Wed, 17 Dec 1997 09:59:15 GMT""}]","2009-10-30"
"astro-ph/9704284","Ch. Einsel","Ch. Einsel and R. Spurzem (Astronomisches Rechen-Institut Heidelberg,
  FRG)","Dynamical evolution of rotating stellar systems: I pre-collapse, equal
  mass systems","15 pages, 10 figures, Latex, submitted to Monthly Notices of the RAS",,,,"astro-ph",,"  The influence of rotation on the dynamical evolution of collisional stellar
systems is investigated by solving the orbit-averaged Fokker-Planck equation in
(E,J_z)-space. We find that large amounts of initial rotation drive the system
into a phase of strong mass loss while it is moderately contracting. The core
is rotating even faster than before although angular momentum is transported
outwards. At the same time the core is heating. Given these features this phase
can be associated with the gravo-gyro 'catastrophe' found by Hachisu (1979).
The increase in central angular momentum levels off after about 2-3 initial
half-mass relaxation times indicating that the source of this `catastrophe' is
depleted. Finally, the central angular velocity increases again, but with a
rather small power of the central density -- the same power as for the central
velocity dispersion during self-similar contraction towards the collapse. The
rotation curves flatten and the ellipticity variations decrease with time, but
their shapes are very similar. These results suggest the existence of a
self-similar solution for a rotating cluster as well. The maximum values of
rotational velocity and ellipticity occur at about the half mass radius.
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 17:21:20 GMT""}]","2007-05-23"
"astro-ph/9704285","J. Patrick Leahy","J. P. Leahy (University of Manchester)","Comment on the Measurement of Cosmological Birefringence","Comment on astro-ph/9704196. 3 pages, RevTeX, 1 ps figure included.
  1st page is comment submitted to PRL, revised in light of astro-ph/9706126
  and PRL length limit; a 2 page reply to astro-ph/9706126 is appended",,,,"astro-ph",,"  Nodland and Ralston (astro-ph/9704196) claim evidence for a
wavelength-independent cosmic birefringence. Although it has been shown
(astro-ph/9704247, astro-ph/9704263) that the data analysed did not support
this conclusion, the possibility of such an effect remains interesting. Here I
present a much more accurate test using high-resolution radio images of distant
radio galaxies and quasars. A preliminary application sets an upper limit about
thirty times lower than the original claim.
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 19:14:34 GMT""},{""version"":""v2"",""created"":""Wed, 25 Jun 1997 22:58:30 GMT""}]","2008-02-03"
"astro-ph/9704286","Piet Hut","Piet Hut","Gravitational Thermodynamics","19 pages, 5 included figures, Tex, uses psfig.tex. To appear in
  `Complexity', as part of the Proceedings of the Workshop on Fundamental
  Sources of Unpredictability, held at the Santa Fe Institute, March 28-30,
  1996, eds. James Hartle, Piet Hut, and Joseph Traub",,,,"astro-ph",,"  The gravitational N-body problem, for $N>2$, is the oldest unsolved problem
in mathematical physics. Some of the most ideal examples that can be found in
nature are globular star clusters, with $N \sim 10^6$. In this overview, I
discuss six types of fundamental sources of unpredictability, each of which
poses a different challenge to attempts to determine the long-term behavior of
these systems, governed by a peculiar type of thermodynamics.
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 21:46:04 GMT""}]","2007-05-23"
"astro-ph/9704287","Daniele Galli","E. Bougleux, D. Galli","Lithium hydride in the early universe and in protogalactic clouds","10 pages (LaTeX), 7 Figures to be published in Monthly Notices of the
  Royal Astronomical Society",,"10.1093/mnras/288.3.638","Arcetri Preprints 4/97","astro-ph",,"  We examine the processes of formation and destruction of LiH molecules in the
primordial gas at temperatures T \leq 5000 K in the framework of standard
Friedmann cosmological models and we compute the optical depth of the Universe
due to Thomson scattering of cosmic background photons on LiH. With the help of
a simple model of evolution of a spherical density perturbation we follow the
linear growth and the subsequent collapse of protogalactic clouds of various
masses, evaluating consistently their physical characteristics and chemical
composition. We determine the expected level of anisotropy of the cosmic
background radiation due to the presence of LiH molecules in high-redshift
protogalactic clouds. We conclude that LiH spectral features generated in the
primordial gas are hardly detectable with current techniques and
instrumentation.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 07:50:23 GMT""}]","2015-06-24"
"astro-ph/9704289","Simon Goodwin","S.P.Goodwin (Sussex), J.Gribbin (Sussex), M.A.Hendry (Glasgow)","New Determination of the Hubble Parameter Using the Principle of
  Terrestrial Mediocrity","9 pages LaTeX file and 4 figures. Also available by e-mailing spg, or
  by ftp in the directory ftp://star-www.maps.susx.ac.uk/pub/papers/spg/H0/",,,,"astro-ph",,"  Measurements of the linear diameters of 12 nearby spiral galaxies with
distances determined from primary indicators suggest that both the Milky Way
Galaxy and M31 are in the middle of the range of sizes for such galaxies. By
comparing the measured linear diameters of these nearby systems with the
inferred diameters of a sample of more than 3000 spirals with known redshifts,
we conclude that the most likely value of the Hubble Parameter lies in the
range 50 - 55 km/s Mpc^{-1}.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 14:37:02 GMT""}]","2009-09-25"
"astro-ph/9704290","Avi Loeb","Abraham Loeb (Harvard Univ.)","The First Stars and Quasars in the Universe","14 pages, 5 figures, invited contribution to ""Science With The Next
  Generation Space Telescope"", Greenbelt, April 1997",,,,"astro-ph",,"  The transition between the nearly smooth initial state of the Universe and
its clumpy state today occurred during the epoch when the first stars and
low-luminosity quasars formed. For Cold Dark Matter cosmologies, the radiation
produced by the first baryonic objects is expected to ionize the Universe at
z=10-20 and consequently suppress by 10% the amplitude of microwave
anisotropies on angular scales <10 degrees. Future microwave anisotropy
satellites will be able to detect this signature. The production and mixing of
metals by an early population of stars provides a natural explanation to the
metallicity, ~1% solar, found in the intergalactic medium at redshifts z<5. The
Next Generation Space Telescope (NGST) will be able to image directly the
``first light'' from these stars. With its nJy sensitivity, NGST is expected to
detect >10^3 star clusters per square arcminute at z>10. The brightest sources,
however, might be early quasars. The infrared flux from an Eddington
luminosity, 10^6 solar mass, black hole at z=10 is 10 nJy at 1 micron, easily
detectable with NGST. The time it takes a black hole with a radiative
efficiency of 10% to double its mass amounts to more than a tenth of the Hubble
time at z=10, and so a fair fraction of all systems which harbor a central
black hole at this redshift would appear active. The redshift of all sources
can be determined from the Lyman-limit break in their spectrum, which overlaps
with the NGST wavelength regime, 1-3.5 micron, for 10<z<35. Absorption spectra
of the first generation of star clusters or quasars would reveal the
reionization history of the Universe. The intergalactic medium might show a
significant opacity to infrared sources at z>10 due to dust produced by the
first supernovae.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 10:57:12 GMT""}]","2007-05-23"
"astro-ph/9704291","Giallongo E.","E. Giallongo, A. Fontana, P. Madau","The Stellar UV Background at z<1.5 and the Baryon Density of
  Photoionized Gas","6 pages, Latex file, 2 figures, mn.sty, MNRAS in press",,"10.1093/mnras/289.3.629",,"astro-ph",,"  We use new studies of the cosmic evolution of star-forming galaxies to
estimate the production rate of ionizing photons from hot, massive stars at low
and intermediate redshifts. The luminosity function of blue galaxies in the
Canada-France Redshift Survey shows appreciable evolution in the redshift
interval z=0-1.3, and generates a background intensity at 1 ryd of J_L~ 1.3 x
10^{-21} f_{esc} ergs cm^{-2} s^{-1} Hz^{-1} sr^{-1} at z~0.5, where f_esc is
the unknown fraction of stellar Lyman-continuum photons which can escape into
the intergalactic space, and we have assumed that the absorption is picket
fence-type. We argue that recent upper limits on the H-alpha surface brightness
of nearby intergalactic clouds constrain this fraction to be <~ 20%. The
background ionizing flux from galaxies can exceed the QSO contribution at z~
0.5 if f_{esc}>~ 6%. We show that, in the general framework of a diffuse
background dominated by QSOs and/or star-forming galaxies, the cosmological
baryon density associated with photoionized, optically thin gas decreases
rapidly with cosmic time. The results of a recent Hubble Space Telescope survey
of OVI absorption lines in QSO spectra suggest that most of this evolution may
be due to the bulk heating and collisional ionization of the intergalactic
medium by supernova events in young galaxy halos.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 13:32:56 GMT""}]","2015-06-24"
"astro-ph/9704292","Tariq Shahbaz","T. Shahbaz, M. Livio, K.A. Southwell and P.A. Charles","T Pyxidis: The First Cataclysmic Variable with a Collimated Jet","10 pages 2 figures to appear in ApJ Letters",,"10.1086/310765",,"astro-ph",,"  We present the first observational evidence for a collimated jet in a
cataclysmic variable system; the recurrent nova T Pyxidis. Optical spectra show
bipolar components of H$\alpha$ with velocities $\sim 1400 km/s$, very similar
to those observed in the supersoft X-ray sources and in SS 433. We argue that a
key ingredient of the formation of jets in the supersoft X-ray sources and T
Pyx (in addition to an accretion disk threaded by a vertical magnetic field),
is the presence of nuclear burning on the surface of the white dwarf.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 13:31:44 GMT""}]","2009-10-30"
"astro-ph/9704293","Luke Drury","Donald C. Ellison, L. O'C. Drury and Jean-Paul Meyer","Galactic Cosmic Rays from Supernova Remnants: II Shock Acceleration of
  Gas and Dust","to appear in ApJ, 51 pages, LaTeX with AAS macros, 9 postscript
  figures, also available from ftp://wonka.physics.ncsu.edu/pub/ellison",,"10.1086/304580",,"astro-ph",,"  This is the second paper (the first was astro-ph/9704267) of a series
analysing the Galactic Cosmic Ray (GCR) composition and origin. In this we
present a quantitative model of GCR origin and acceleration based on the
acceleration of a mixture of interstellar and/or circumstellar gas and dust by
supernova remnant blast waves. We present results from a nonlinear shock model
which includes (i) the direct acceleration of interstellar gas-phase ions, (ii)
a simplified model for the direct acceleration of weakly charged dust grains to
energies of order 100keV/amu simultaneously with the gas ions, (iii) frictional
energy losses of the grains colliding with the gas, (iv) sputtering of ions of
refractory elements from the accelerated grains and (v) the further shock
acceleration of the sputtered ions to cosmic ray energies. The calculated GCR
composition and spectra are in good agreement with observations.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 13:37:03 GMT""}]","2009-10-30"
"astro-ph/9704294","James Dunlop","James Dunlop (University of Edinburgh)","Cosmic Star-Formation History, as traced by Radio Source Evolution","to be published in `Observational Cosmology with the New Radio
  Surveys', eds. Bremer et al., Kluwer. 9 pages Tex including Postscript
  figures. Uses crckapb10.sty",,,,"astro-ph",,"  I briefly review our current knowledge of the cosmological evolution of radio
sources, and show that the redshift distributions of new complete samples of
radio sources confirm the existence of the high-redshift decline in comoving
number density (or `cutoff') beyond $z \simeq 2.5$ first deduced by Dunlop &
Peacock (1990). Taken at face value these new data favour a luminosity
dependent `cutoff', in which the decline is least drastic for the most luminous
radio sources. I demonstrate, however, that regardless of the precise form of
radio source evolution, the evolution of radio luminosity density is well
determined, and appears uncannily similar to the evolution of ultra-violet
luminosity density from star-forming galaxies in the universe (e.g. Madau
1997). I convert radio luminosity density into an estimate of black hole
fueling rate per Mpc$^3$, and conclude that radio source evolution is a good
tracer of the star-formation history of the Universe; at any epoch, for every
10$^7$ M$_{\odot}$ of material converted into stars, approximately 1
M$_{\odot}$ appears to be consumed by radio-loud active galactic nuclei. If
this is indeed true at all epochs, then this would imply that star-formation
activity in the Universe peaked at $z \simeq 2 - 2.5$, and that the values of
star-formation rate density currently derived from Lyman-limit galaxies at $z
\simeq 2.8$ and $z \simeq 4$ are under-estimates by a factor $\simeq 4$.
Finally I briefly speculate as to why radio source evolution might trace global
star-formation activity as manifested primarily in the disc/spiral population,
whereas the hosts of the radio sources themselves generally appear to be
well-evolved elliptical galaxies.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 14:07:52 GMT""}]","2007-05-23"
