"alg-geom/9705005",,"Shigetaka Fukuda","A base point free theorem for log canonical surfaces","4 pages, AMS-TeX v2.1, the former title ``A Base Point Free Theorem
  for Logcanonical Surfaces'' changed, the published version (the source file
  of the version 1 was in trouble with processing)","Osaka J. Math. 36 (1999), no. 2, 337--341",,,"alg-geom math.AG",,"  We prove a base point free theorem for nef and log big divisors on log
canonical surfaces.
","[{""version"":""v1"",""created"":""Sat, 3 May 1997 13:14:00 GMT""},{""version"":""v2"",""created"":""Fri, 20 Jan 2006 06:55:25 GMT""}]","2008-02-03"
"astro-ph/9705010","Sergei Nayakshin","S. Nayakshin, F. Melia","Big Blue Bump and Transient Active Regions in Seyfert Galaxies","Accepted for publication in ApJL, uses aas2pp4.sty",,"10.1086/310782",,"astro-ph",,"  An important feature of the EUV spectrum (known as the Big Blue Bump,
hereafter BBB) in Seyfert Galaxies is the narrow range in its cutoff energy E0
from source to source, even though the luminosity changes by 4 orders of
magnitude. Here we show that if the BBB is due to accretion disk emission, then
in order to account for this ``universality'' in the value of E0, the emission
mechanism is probably optically thin bremsstrahlung. In addition, we
demonstrate that the two-phase model with active regions localized on the
surface of the cold disk is consistent with this constraint if the active
regions are very compact and are highly transient, i.e., they evolve faster
than one dynamical time scale.
","[{""version"":""v1"",""created"":""Fri, 2 May 1997 23:48:38 GMT""}]","2009-10-30"
"astro-ph/9705011","Sergei Nayakshin","Sergei Nayakshin and Fulvio Melia","Self-Consistent Fokker-Planck Treatment Of Particle Distributions in
  Astrophysical Plasmas","submitted to ApJ, 36 pages, 14 figures","Astrophys.J.Suppl.114:269,1998","10.1086/313069",,"astro-ph",,"  High-energy, multi-component plasmas in which pair creation and annihilation,
lepton-lepton scattering, lepton-proton scattering, and Comptonization all
contribute to establishing the particle and photon distributions, are present
in a broad range of compact astrophysical objects. Earlier work has included
much of the microphysics needed to account for electron-photon and
electron-proton interactions, but little has been done to handle the
redistribution of the particles as a result of their Coulomb interaction with
themselves in an arbitrary case. Our goal here is to use a Fokker-Planck
approach in order to develop a fully self-consistent theory for the interaction
of arbitrarily distributed particles and radiation to arrive at an accurate
representation of the high-energy plasma in these sources. We conduct several
tests representative of two dominant segments of parameter space and discuss
physical implications of the non-Maxwellian distribution function. Approximate
analytical forms for the electron distribution in the case of strongly
non-Maxwellian plasmas are given.
","[{""version"":""v1"",""created"":""Sat, 3 May 1997 01:19:33 GMT""}]","2014-10-13"
"astro-ph/9705012","Hyung Mok Lee","K. Takahashi (Osaka U.), H. M. Lee (Pusan Nat'l U.), S. Inagaki (Kyoto
  U.)","Evolution of Tidally Truncated Globular Clusters with Anisotropy","aaspp4 Latex, 19 pages including 9 postscript figs",,"10.1093/mnras/292.2.331",,"astro-ph",,"  The evolution of tidally truncated globular clusters is investigated by
integrating two-dimensional Fokker-Planck equation that allows the development
of velocity anisotropy. We start from the isotropic Plummer model with tidal
cut off and followed the evolution through the corecollapse. The heating by
three-binary is included to obtain the evolution past the corecollapse. The
anisotropy in velocity dispersion develops during the precollapse evolution.
However, the anisotropy becomes highly depressed during the post-collapse
evolution because of rapid loss of radial orbits. Maximum radial anisotropy
appears just after the beginning of the expansion, and degree of anisotropy
decreases slowly as the total mass of the cluster decreases. Thus it may be
possible to determine the evolutionary status of a cluster if the velocity
anisotropy can be measured in the sense that the postcollapse clusters always
have very little degree of anisotropy. The structure of the post-collapse
cluster can be well fitted to King models because the degree of anisotropy is
rather small.
","[{""version"":""v1"",""created"":""Sat, 3 May 1997 06:19:53 GMT""}]","2015-06-24"
"cond-mat/9705021","Anders J. Markvardsen","A. J. Markvardsen and N. F. Johnson","A solvable model for excitonic complexes in one dimension","14 pages, 3 figures, To appear in J. Math. Phys",,"10.1063/1.532082",,"cond-mat",,"  It is known experimentally that stable few-body clusters containing
negatively-charged electrons (e) and positively-charged holes (h) can exist in
low-dimensional semiconductor nanostructures. In addition to the familiar
exciton (e+h), three-body 'charged excitons' (2e+h and 2h+e) have also been
observed. Much less is known about the properties of such charged excitons
since three-body problems are generally very difficult to solve, even
numerically. Here we introduce a simple model, which can be considered as an
extended Calogero model, to calculate analytically the energy spectra for both
a charged exciton and a neutral exciton in a one-dimensional nanostructure,
such as a finite-length quantum wire. Apart from its physical motivation, the
model is of mathematical interest in that it can be related to the Heun (or
Heine) equation and, as shown explicitly, highly accurate, closed form
solutions can be obtained.
","[{""version"":""v1"",""created"":""Fri, 2 May 1997 20:04:27 GMT""}]","2009-10-30"
"cond-mat/9705022","Phillip Broussard","P.R. Broussard, M.A. Wall, J. Talvacchio","Structural characterization of YBa(2)Cu(3)O(7)/Y(2)O(3) composite films","To be published in Journal of Materials Research, (4 pages, 4 jpeg
  figures)","J. Mater. Res. 13, 954 (1998)","10.1557/JMR.1998.0133",,"cond-mat.supr-con",,"  Using 4-circle x-ray diffraction and transmission electron microscopy we have
studied the microstructure and in-plane orientation of the phases present in
thin film composite mixtures of YBa(2)Cu(3)O(7) and Y(2)O(3). We see a high
degree of in-plane orientation and have verified a previous prediction for the
in-plane order of Y(2)BaCuO(5) on (110) MgO. Transmission electron microscopy
shows the composite films to be a mixture of two phases, with YBCO grain sizes
of 1 micron. We have also compared our observations of the in-plane order to
the predictions of a modified near coincidence site lattice model.
","[{""version"":""v1"",""created"":""Fri, 2 May 1997 20:07:56 GMT""},{""version"":""v2"",""created"":""Wed, 19 Nov 1997 23:13:10 GMT""}]","2009-10-30"
"cond-mat/9705023","Dietrich Belitz","D. Belitz and T.R. Kirkpatrick","Possible triplet superconductivity in MOSFETs","4 pp., REVTeX, psfig, 1 eps fig, final version as published","Phys. Rev. B vol. 58, pp. 8214-8217 (1998)","10.1103/PhysRevB.58.8214","db/97/02","cond-mat.str-el",,"  A theory that predicts a spin-triplet, even-parity superconducting ground
state in two-dimensional electron systems is re-analyzed in the light of recent
experiments showing a possible insulator-to-conductor transition in such
systems. It is shown that the observations are consistent with such an exotic
superconductivity mechanism, and predictions are made for experiments that
would further corroborate or refute this proposal.
","[{""version"":""v1"",""created"":""Fri, 2 May 1997 20:52:58 GMT""},{""version"":""v2"",""created"":""Thu, 21 Aug 1997 17:43:27 GMT""},{""version"":""v3"",""created"":""Tue, 3 Feb 1998 01:50:37 GMT""},{""version"":""v4"",""created"":""Wed, 7 Oct 1998 02:04:16 GMT""}]","2009-10-30"
"cond-mat/9705025","A. van Otterlo","Andrea Huck (Universit\""at Hamburg), Anne van Otterlo (UC Davis), and
  Manfred Sigrist (ETH-Z\""urich)","Time Reversal Symmetry Breaking and Spontaneous Currents in s-Wave /
  Normal Metal / d-Wave Superconductor Sandwiches","4 pages RevTeX, 6 postscript figures, one reference added",,"10.1103/PhysRevB.56.14163",,"cond-mat.supr-con",,"  We study the physical properties of an $s$-wave -- normal metal -- $d$-wave
junction in terms of the Andreev bound states in the normal metal layer. The
phase dependence of bound states with different orientations leads to
superconducting states with broken time reversal symmetry for generic
orientations of the $d$-wave superconductor crystal. The occurrence of such a
state and the associated spontaneous supercurrent along the junction is
analyzed in the framework of Ginzburg-Landau theory and by the solution of the
Bogolyubov-de Gennes equations.
","[{""version"":""v1"",""created"":""Fri, 2 May 1997 22:01:39 GMT""},{""version"":""v2"",""created"":""Tue, 27 May 1997 22:31:10 GMT""}]","2016-08-15"
"dg-ga/9705001","Nai-Chung Leung","Naichung Conan Leung","Uniformization of four manifolds","15 pages. Some comments are rephrased",,,,"dg-ga math.DG",,"  We characteristize those Einstein four manifolds which are locally symmetric
spaces of noncompact type. Namely they are four manifolds which admit solutions
to the (non-Abelian) Seiberg Witten equations and satisty certain
characterisitc number equality.
","[{""version"":""v1"",""created"":""Fri, 2 May 1997 17:01:49 GMT""},{""version"":""v2"",""created"":""Wed, 7 May 1997 19:18:17 GMT""},{""version"":""v3"",""created"":""Tue, 17 Jun 1997 22:50:30 GMT""}]","2008-02-03"
"dg-ga/9705002","Maxim Braverman","Maxim Braverman","Holomorphic Morse Inequalities and Symplectic Reduction","LaTeX 2e, 9 pages",,,,"dg-ga math.DG",,"  We introduce Morse-type inequalities for a holomorphic circle action on a
holomorphic vector bundle over a compact Kaehler manifold. Our inequalities
produce bounds on the multiplicities of weights occurring in the twisted
Dolbeault cohomology in terms of the data of the fixed points and of the
symplectic reduction. This result generalizes both Wu-Zhang extension of
Witten's holomorphic Morse inequalities and Tian-Zhang Morse-type inequalities
for symplectic reduction.
  As an application we get a new proof of the Tian-Zhang relative index theorem
for symplectic quotients.
","[{""version"":""v1"",""created"":""Fri, 2 May 1997 20:35:57 GMT""},{""version"":""v2"",""created"":""Mon, 5 May 1997 03:17:57 GMT""}]","2008-02-03"
"hep-ph/9705218","Adrian Signer","A. Signer","Next-to-leading order corrections to e^+ e^- \to four jets","LaTex, 5 pages with 2 encapsulated figures. Talk presented at the
  32nd Rencontres de Moriond on QCD and High Energy Hadronic Interactions",,,"SLAC-PUB-7490","hep-ph",,"  I present a general purpose Monte Carlo program for calculating the
next-to-leading order corrections to arbitrary four-jet quantities in
electron-positron annihilation. In the current version of the program, some
subleading in color terms are neglected. As an example, I calculate the
four-jet rate in the Durham scheme as well as the Bengtsson-Zerwas angular
distribution at $O(\alpha_s^3)$ and compare the results to existing data.
","[{""version"":""v1"",""created"":""Fri, 2 May 1997 16:08:55 GMT""}]","2007-05-23"
