"adap-org/9705003","Henryk Fuks","Henryk Fuks and Nino Boccara","Generalized Deterministic Traffic Rules","12 pages, 7 figures","Int. J. Mod. Phys. C 9, 1-12 (1998)","10.1142/S0129183198000029",,"adap-org nlin.AO",,"  We study a family of deterministic models for highway traffic flow which
generalize cellular automaton rule 184. This family is parametrized by the
speed limit $m$ and another parameter $k$ that represents a ``degree of
aggressiveness'' in driving, strictly related to the distance between two
consecutive cars. We compare two driving strategies with identical maximum
throughput: ``conservative'' driving with high speed limit and ``aggressive''
driving with low speed limit. Those two strategies are evaluated in terms of
accident probability. We also discuss fundamental diagrams of generalized
traffic rules and examine limitations of maximum achievable throughput.
Possible modifications of the model are considered.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 17:25:48 GMT""}]","2009-10-30"
"adap-org/9705004","Henryk Fuks","Nino Boccara and Henryk Fuks","Modeling diffusion of innovations with probabilistic cellular automata","17 pages, 5 figures","in ""Cellular Automata: A Parallel Model"", M. Delorme and J.
  Mazoyer (eds.), Kluwer Academic Publishers, Dordrecht (1998)",,,"adap-org nlin.AO q-bio",,"  We present a family of one-dimensional cellular automata modeling the
diffusion of an innovation in a population. Starting from simple deterministic
rules, we construct models parameterized by the interaction range and
exhibiting a second-order phase transition. We show that the number of
individuals who eventually keep adopting the innovation strongly depends on
connectivity between individuals.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 17:29:58 GMT""}]","2009-09-25"
"astro-ph/9705108","Jim Dove","James B. Dove (1), Jorn Wilms (2), Mitchell C. Begelman (1) ((1) JILA,
  Boulder, CO (2) Institute for Astronomy and Astrophysics, Tuebingen, Germany)","Self-Consistent Thermal Accretion Disk Corona Models for Compact
  Objects: I. Properties of the Corona and the Spectrum of Escaping Radiation","15 pages, Latex, 9 .eps figures, uses emulateapj.sty (included). To
  be published in ApJ, October 1, 1997, Vol. 487",,"10.1086/304632",,"astro-ph",,"  We present the properties of accretion disk corona (ADC) models, where the
radiation field, the temperature, and the total opacity of the corona are
determined self-consistently. We use a non-linear Monte Carlo code to perform
the calculations. As an example, we discuss models where the corona is situated
above and below a cold accretion disk with a plane-parallel (slab) geometry,
similar to the model of Haardt and Maraschi. By Comptonizing the soft radiation
emitted by the accretion disk, the corona is responsible for producing the
high-energy component of the escaping radiation. Our models include the
reprocessing of radiation in the accretion disk. Here, the photons either are
Compton reflected or photo-absorbed, giving rise to fluorescent line emission
and thermal emission. The self-consistent coronal temperature is determined by
balancing heating (due to viscous energy dissipation) with Compton cooling,
determined using the fully relativistic, angle-dependent cross-sections. The
total opacity is found by balancing pair productions with annihilations. We
find that, for a disk temperature kT_bb \lta 200 eV, these coronae are unable
to have a self-consistent temperature higher than \sim 120 keV if the total
optical depth is \gta 0.2, regardless of the compactness parameter of the
corona and the seed opacity. This limitation corresponds to the angle-averaged
spectrum of escaping radiation having a photon index \gta 1.8 within the 5 keV
- 30 keV band. Finally, all models that have reprocessing features also predict
a large thermal excess at lower energies. These constraints make explaining the
X-ray spectra of persistent black hole candidates with ADC models very
problematic.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 18:14:30 GMT""}]","2009-10-30"
"astro-ph/9705109","J. Michael Owen","J. Michael Owen (LLNL, Ohio State), David H. Weinberg (Ohio State),
  August E. Evrard (U Mich, Institut d'Astrophysique, Paris), Lars Hernquist
  (UC Santa Cruz), and Neal Katz (U Mass)","Cosmological Simulations with Scale-Free Initial Conditions I: Adiabatic
  Hydrodynamics","40 pages, 16 embedded postscript figures, uses AASTEX 4.0 style.
  Minor wording changes, to appear in ApJ. Abridged abstract","Astrophys.J. 503 (1998) 16","10.1086/305957","UCRL-JC-130007","astro-ph",,"  We analyze hierarchical structure formation based on scale-free initial
conditions in an Einstein-de Sitter universe, including a baryonic component.
We present three independent, smoothed particle hydrodynamics (SPH)
simulations, performed with two different SPH codes (TreeSPH and P3MSPH) at two
resolutions. Each simulation is based upon identical initial conditions, which
consist of Gaussian distributed initial density fluctuations that have an n=-1
power spectrum. The baryonic material is modeled as an ideal gas subject only
to shock heating and adiabatic heating and cooling. The evolution is expected
to be self-similar in time, and under certain restrictions we identify the
expected scalings for many properties of the distribution of collapsed objects
in all three realizations. The distributions of dark matter masses, baryon
masses, and mass and emission weighted temperatures scale quite reliably.
However, the density estimates in the central regions of these structures are
determined by the degree of numerical resolution. As a result, mean gas
densities and luminosities obey the expected scalings only when calculated
within a limited dynamic range in density contrast. The temperatures and
luminosities of the groups show tight correlations with the baryon masses,
which can be well-represented by power-laws. The Press-Schechter (PS)
approximation predicts the distribution of group dark matter and baryon masses
fairly well, though it tends to overestimate the baryon masses. Combining the
PS mass distribution with the measured relations for T(M) and L(M) predicts the
temperature and luminosity distributions reasonably, though there are some
discrepancies at high temperatures/luminosities. The three simulations agree
well for the properties of groups that are resolved by 32 or more particles.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 21:00:06 GMT""},{""version"":""v2"",""created"":""Fri, 24 Apr 1998 21:23:02 GMT""}]","2009-10-30"
"astro-ph/9705111","Sukyoung Yi","Sukyoung Yi, (1,2), Pierre Demarque (1), Yong-Cheol Kim (1) ((1) Yale
  U., (2) NASA/GSFC)","On the UV Bright Phase of Metal-Rich Horizontal-Branch Stars","LaTeX, 11pp text (including 1 table) plus 7 Postscript Figures
  Accepted for publication in Astrophysical Journal, vol 482 PS file also
  available at http://shemesh.gsfc.nasa.gov/astronomy.html",,"10.1086/304192",,"astro-ph",,"  We consider the origin of the UV bright phase of metal-rich helium-burning
stars, the slow blue phase (SBP), that was predicted by various earlier works.
Based on improved physics including OPAL opacities, we confirm the existence of
the SBP. In addition to our grid of evolutionary tracks, we provide an
analytical understanding of the main characteristics of the SBP phenomenon.
  The SBP is slow because it is a slow evolving helium-shell-burning phase
which is analogous to the early AGB phase. The SBP of a more metal-rich star is
slower than a metal-poor counterpart if their Teff's are the same because a
more metal-rich helium-burning star has a smaller mass than a metal-poor one
and because lifetime increases as mass decreases. Metal-rich helium-burning
stars easily become hot because the luminosity from the hydrogen-burning shell
is extremely sensitive to the mean molecular weight whereas the luminosity from
the helium-burning core is not. We suggest that the SBP phenomenon is a major
cause of the UV upturn phenomenon in giant elliptical galaxies as will be shown
in subsequent papers. The new HB tracks can be retrieved from S.Y.'s web site
http://shemesh.gsfc.nasa.gov/astronomy.html.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 14:37:11 GMT""}]","2009-10-30"
"astro-ph/9705112","Kawasaki Wataru","Wataru Kawasaki, Kazuhiro Shimasaku, Mamoru Doi and Sadanori Okamura
  (The University of Tokyo)","An Objective and Automatic Cluster Finder: An Improvement of the
  Matched-Filter Method","13 pages, 12 PostScript figures, uses LaTeX L-AA, A&AS accepted",,"10.1051/aas:1998245",,"astro-ph",,"  We describe an objective and automated method for detecting clusters of
galaxies from optical imaging data. This method is a variant of the so-called
`matched-filter' technique pioneered by Postman et al. (1996). With
simultaneous use of positions and apparent magnitudes of galaxies, this method
can, not only find cluster candidates, but also estimate their redshifts and
richnesses as byproducts of detection. We examine errors in the estimation of
cluster's position, redshift, and richness with a number of Monte Carlo
simulations. No systematic discrepancies between the true and estimated values
are seen for either redshift or richness. Spurious detection rate of the method
is about less than 10% of those of conventional ones which use only surface
density of galaxies. A cluster survey in the North Galactic Pole is executed to
verify the performance characteristics of the method with real data. Two known
real clusters are successfully detected. We expect these methods based on
`matched-filter' technique to be essential tools for compiling large and
homogeneous optically-selected cluster catalogs.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 15:11:47 GMT""},{""version"":""v2"",""created"":""Wed, 4 Feb 1998 13:59:14 GMT""}]","2009-10-30"
"astro-ph/9705113","Chung-Pei Ma","Chung-Pei Ma (U Penn), Edmund Bertschinger (MIT), Lars Hernquist (UC
  Santa Cruz), David H. Weinberg (Ohio State U), Neal Katz (U Mass)","Cosmological Constraints from High-Redshift Damped Lyman-Alpha Systems","11 pages including 2 figures. AAS LaTeX v4.0. Astrophysical Journal
  Letters, in press","Astrophys.J. 484 (1997) L1-L5","10.1086/310778",,"astro-ph",,"  Any viable cosmological model must produce enough structure at early epochs
to explain the amount of gas associated with high-redshift damped Ly$\alpha$
systems. We study the evolution of damped Ly$\alpha$ systems at redshifts $z\ge
2$ in cold dark matter (CDM) and cold+hot dark matter (CDM+HDM) models using
both N-body and hydrodynamic simulations. Our approach incorporates the effects
of gas dynamics, and we find that all earlier estimates which assumed that all
the baryons in dark matter halos would contribute to damped Ly$\alpha$
absorption have overestimated the column density distribution $f(N)$ and the
fraction of neutral dense gas $\Omega_g$ in damped Ly$\alpha$ systems. The
differences are driven by ionization of hydrogen in the outskirts of galactic
halos and by gaseous dissipation near the halo centers, and they tend to
exacerbate the problem of late galaxy formation in CDM+HDM models. We only
include systems up to the highest observed column density $N\sim 10^{21.8}$
cm$^{-2}$ in the estimation of $\Omega_g$ for a fair comparison with data. If
the observed $f(N)$ and $\Omega_g$ inferred from a small number of confirmed
and candidate absorbers are robust, the amount of gas in damped Ly$\alpha$
systems at high redshifts in the $\Omega_\nu=0.2$ CDM+HDM model falls well
below the observations.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 15:24:07 GMT""}]","2009-10-30"
"chao-dyn/9705013","Ruediger Schack","Carlton M. Caves (University of New Mexico) and Ruediger Schack (Royal
  Holloway, University of London)","Unpredictability, information, and chaos","22 pages, plain TEX, 1 figure","Complexity 3, 46-57 (1997)",,,"chao-dyn nlin.CD quant-ph",,"  A source of unpredictability is equivalent to a source of information:
unpredictability means not knowing which of a set of alternatives is the actual
one; determining the actual alternative yields information. The degree of
unpredictability is neatly quantified by the information measure introduced by
Shannon. This perspective is applied to three kinds of unpredictability in
physics: the absolute unpredictability of quantum mechanics, the
unpredictability of the coarse-grained future due to classical chaos, and the
unpredictability of open systems. The incompatibility of the first two of these
is the root of the difficulty in defining quantum chaos, whereas the
unpredictability of open systems, it is suggested, can provide a unified
characterization of chaos in classical and quantum dynamics.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 07:34:58 GMT""}]","2008-02-03"
"cond-mat/9705127","Ian Affleck","Ian Affleck","Soliton Confinement and the Excitation Spectrum of Spin-Peierls
  Antiferromagnets","5 pages, Latex, 1 postscript figure",,,,"cond-mat hep-th",,"  The excitation spectrum of spin-Peierls antiferromagnets is discussed taking
into acount phonon dynamics but treating inter-chain elastic couplings in mean
field theory. This gives a ladder of soliton -anti-soliton boundstates, with no
soliton continuum, until soliton deconfinement takes place at a transition into
a non-dimerized phase.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 19:52:21 GMT""}]","2007-05-23"
"cond-mat/9705136","Mikhail E. Portnoi","M. E. Portnoi, I. Galbraith","Variable-phase method and Levinson's theorem in two dimensions:
  Application to a screened Coulomb potential","12 pages, REVTeX, 3 figures","Solid State Commun. 103 (1997) 325","10.1016/S0038-1098(97)00203-2",,"cond-mat math-ph math.MP quant-ph",,"  The variable-phase approach is applied to scattering and bound states in an
attractive Coulomb potential, statically screened by a two-dimensional (2D)
electron gas. A 2D formulation of Levinson's theorem is used for bound-state
counting and a hitherto undiscovered, simple relationship between the screening
length and the number of bound states is found. As the screening length is
increased, sets of bound states with differing quantum numbers appear
degenerately.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 17:24:22 GMT""}]","2009-10-30"
"cond-mat/9705137","John Cardy","John Cardy","The Number of Incipient Spanning Clusters in Two-Dimensional Percolation","9 pages, LaTeX, 1 eps figure. Additional references and comparison
  with existing numerical results included",,"10.1088/0305-4470/31/5/003","NSF-ITP-97-049","cond-mat.stat-mech",,"  Using methods of conformal field theory, we conjecture an exact form for the
probability that n distinct clusters span a large rectangle or open cylinder of
aspect ratio k, in the limit when k is large.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 17:42:33 GMT""},{""version"":""v2"",""created"":""Thu, 15 May 1997 17:15:30 GMT""}]","2009-10-30"
