"adap-org/9706004","Karen Lippert","R. Muller, K. Lippert, A. Kuhnel, U. Behn (Institute for Theoretical
  Physics, University of Leipzig, Germany)","First Order Nonequilibrium Phase Transition in a Spatially Extended
  System","4 pages, 7 figures, RevTeX, to appear in Phys. Rev. E (1997)","Phys. Rev. E 56 (1997) 2658.","10.1103/PhysRevE.56.2658",,"adap-org nlin.AO",,"  We investigate a system of harmonically coupled identical nonlinear
constituents subject to noise in different spatial arrangements. For global
coupling we find for infinitely many constituents the coexistence of several
ergodic components and a bifurcation behaviour like in first order phase
transitions. These results are compared with simulations for finite systems
both for global coupling and for nearest neighbour coupling on two- and
three-dimensional cubic lattices. The mean-field type results for global
coupling provide a better understanding of the more complex behaviour in the
latter case.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 22:20:22 GMT""}]","2009-10-30"
"astro-ph/9706190","Giovanni Fossati","G. Fossati(1), A. Celotti(1), G. Ghisellini(2), L. Maraschi(2) ((1)
  International School for Advanced Studies, SISSA/ISAS, Italy (2) Osservatorio
  Astronomico di Brera/Merate, Italy)","Average Spectral Energy Distributions of Blazars from Radio to
  Gamma-Rays","4 pages, TeX, uses lecproc.cmm and psfig.tex, 1 figure (included), To
  appear in Proceedings of workshop ""Relativistic jets in AGNs"", Cracow, 27-30
  May 1997 Also available at this URL
  http://www.sissa.it/~fossati/pub_list.html",,,,"astro-ph",,"  The average Spectral Energy Distributions (SED) of different classes of
blazars from the radio to the gamma-ray band are studied adopting a
""complete-sample"" approach. The SED are globally similar, despite systematic
differences in specific frequency ranges, showing two broad peaks. However, i)
the first and second peak occur in different frequency ranges for different
objects, with a tendency for the most luminous sources to peak at lower
frequencies, ii) the ratio between the two peak frequencies *seems to be
constant*, iii) the luminosity ratio between the high and low frequency
component increases with the bolometric luminosity.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 18:07:45 GMT""}]","2007-05-23"
"astro-ph/9706192","Naoya Hata","M. Fukugita and N. Hata","Metal Abundance in the Solar Interior","7 pages including 4 postscript figures, uses AAS LaTex v4.0, entire
  ps file and html file with embedded figures available at
  http://www.sns.ias.edu/~hata/papers/metal/","Astrophys.J. 499 (1998) 513-516","10.1086/305608","IASSNS-AST 97/38","astro-ph",,"  It is shown that the metal abundance in the solar interior is constrained
from the current solar neutrino experiment, even if one allows neutrino
conversion in the sun due to neutrino oscillation. The result shows that the
metal abundance in the interior should be within the range 0.4 - 1.4 times that
in the surface, supporting the idea that the sun formed by a contraction of a
gas cloud with an almost homogeneous composition.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 18:31:38 GMT""}]","2015-06-24"
"astro-ph/9706193","Ben Dorman","Ben Dorman (U.Virginia & NASA/GSFC) and Robert W. O'Connell (U.
  Virginia)","Constraining the Abundances and Ages of Early-type Galaxies","6 pages LaTeX 2.09 incl 3 postscript figures. Uses aipproc.sty,
  available also from http://www.astro.virginia.edu/~bd4r/ to appear in the
  conference proceedings of The Ultraviolet Universe at Low and High Redshift
  eds. W. H. Waller, M. N. Fanelli, and A. C. Danks (New York:AIP)",,"10.1063/1.53790",,"astro-ph",,"  We consider the extent to which broadband mid-UV (2000 - 3000 Angstrom)
colors can give superior constraints on the ages and abundances of old stellar
populations than can their optical counterparts. The ultraviolet colors
directly measure the turnoff component of old populations. They vary much more
strongly with t and Z and give much tighter constraints for a given degree of
observational precision than do optical-band indices. We present an analysis of
the permitted range of (t,Z) arising from observational uncertainties in
observations of early-type galaxies.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 19:39:22 GMT""}]","2009-10-30"
"astro-ph/9706194","James Schombert","Karl D. Rakos (Univ. of Vienna), Andrew P. Odell (Northern Arizona
  University) and James M. Schombert (University of Oregon)","The Butcher-Oemler Effect in Abell 2317","23 pages including 1 table and 6 figures, AASTeX v4.0. Accepted by
  Ap.J. Data, referee report and response are avaliable from
  http://zebu.uoregon.edu/~js",,"10.1086/304858",,"astro-ph",,"  This paper presents deep narrow band photometry of the cluster A2317
(z=0.211) carried out using KPNO 4 m and Steward 2.3 m telescopes. Using rest
frame Stromgren photometry, it is determined that A2317 has an unusually high
fraction of blue galaxies (the Butcher-Oemler effect) for its redshift
(f_B=0.35). We demonstrate that the ratio of blue to red galaxies has a strong
dependence on absolute magnitude such that blue galaxies dominate the top of
the luminosity function. Spectrophotometric classification shows that a
majority of the red galaxies are E/S0's, with a small number of reddened
starburst galaxies. Butcher-Oemler galaxies are shown to be galaxies with star
formation rates typical of late-type spirals and irregular. Starburst systems
were typically found to be on the lower end of the cluster luminosity function.
In addition, blue galaxies are preferentially found in the outer edges of the
cluster, whereas the red galaxies are concentrated in the cluster core.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 19:58:06 GMT""}]","2009-10-30"
"astro-ph/9706195","Jochen Greiner","J. Greiner (AIP), E. Morgan, R. Remillard (MIT)","RXTE Observations of GRS 1915+105","5 pages LATEX + 1 ps-figure, aipproc style file; Proc. of 4th Compton
  Symp., Williamsburg, April 1997; AIP Conf. Proc., eds. C.D. Dermer & J.D.
  Kurfess",,"10.1063/1.53960","AIP-JG-2","astro-ph",,"  We report on extensive X-ray observations of the galactic superluminal motion
source GRS 1915+105 with the RXTE satellite over the last year. More than 130
RXTE pointings have been performed. GRS 1915+105 displays drastic X-ray
intensity variations on a variety of time scales ranging from sub-seconds to
days. In general, the intensity changes are accompanied by spectral changes on
the same timescale. Three types of bursts with typical durations between
10--100 sec have been identified which have drastically different spectral
properties and seem to occur in a fixed sequence. One of the most intense
bursts has a bolometric X-ray luminosity of about 5*10^39 erg/s during the 25
sec maximum-intensity part.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 20:07:59 GMT""}]","2009-10-30"
"astro-ph/9706196",,"Leonid M. Ozernoy (1,2), Reinhard Genzel (3), Vladimir V. Usov (4)
  ((1) George Mason U., (2) GSFC/NASA, (3) Max-Planck-Institut f\""ur
  Extraterrestrische Physik, (4) Weizmann Inst.)","Colliding Winds in the Stellar Core at the Galactic Center: Some
  Implications","To appear in Mon. Not. R.A.S.; 16 pages, TeX",,,,"astro-ph",,"  We point out that a high number density of stars in the core of a dense star
cluster such as the central stellar cluster at the Galactic center, where many
stars possess strong stellar winds, should result in collisions of those winds.
The wind collisions in the dense stellar core at the Galactic center would
result in production of strong X-ray flares with the rate of $\sim 10^{-4}~
(N_w/10^3)^2 / yr$ and duration of $\sim 1$ week, where $N_w$ is the number of
the wind producing stars in the core. Presence of a massive black hole would
enhance the stellar density around it and would make collisions of the winds in
the core substantially more frequent. Collisions of the stellar winds in the
cluster have also a number of interesting observable implications, including
generation of $\gamma$-rays by particles accelerated by the shocks from the
colliding winds. These processes are also expected to be relevant to compact
regions of intense star formation elsewhere.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 21:21:02 GMT""}]","2007-05-23"
"astro-ph/9706197","Antonio Aparicio","A. Aparicio (IAC, Spain; presently at Carnegie Observatories,
  Pasadena) J. J. Dalcanton (Carnegie Observatories, Pasadena) C. Gallart
  (Carnegie Observatories, Pasadena) D. Martinez-Delgado (IAC, Spain)","The nature of the new Local Group Galaxy Antlia","AJ in press 23 pages; 6 figures; 3 tables",,,,"astro-ph",,"  The recently discovered Antlia dwarf galaxy in analyzed using VI photometry.
The galaxy is resolved into a large number of stars and although the galaxy is
intrinsically faint and low surface brightness, its stellar populations reveal
characteristics more typical of faint star-forming dIrs rather than dEs.
Significant star formation is currently going on in the central part of Antlia,
although little or no star formation is taking place in the outer regions. The
distance of Antlia is 1.32 Mpc. It is a close companion of the larger dIr NGC
3109, although gravitational bounding between both galaxies is not clear. The
SFR is estimated for the last 1 Gyr and for the entire galaxy life. The mass
locked into stars and stellar remnants, the gas mass and the total mass are
estimated.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 03:51:38 GMT""}]","2009-09-25"
"astro-ph/9706198","Max Tegmark","Max Tegmark (IAS)","Measuring cosmological parameters with galaxy surveys","Minor changes in published version. 6 pages with 2 figs included.
  Color figure and links at http://www.sns.ias.edu/~max/galfisher.html (faster
  from the US), from http://www.mpa-garching.mpg.de/~max/galfisher.html (faster
  from Europe) or from max@ias.edu","Phys.Rev.Lett.79:3806-3809,1997","10.1103/PhysRevLett.79.3806",,"astro-ph",,"  We assess the accuracy with which future galaxy surveys can measure
cosmological parameters by deriving a handy approximation that we validate
numerically. We find that galaxy surveys are quite complementary to future
Cosmic Microwave Background (CMB) experiments. By breaking parameter
degeneracies of the Planck CMB satellite in a cold dark matter cosmology, the
Sloan Digital Sky Survey might be able to reduce the Planck error bars by about
an order of magnitude on the large-scale power normalization and the
reionization optical depth, down to percent levels. However, pinpointing
attainable accuracies to within better than a factor of a few depends crucially
on whether it will be possible to extract useful information from the mildly
nonlinear regime.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 04:00:30 GMT""},{""version"":""v2"",""created"":""Fri, 20 Jun 1997 03:56:17 GMT""},{""version"":""v3"",""created"":""Tue, 16 Dec 1997 04:18:21 GMT""}]","2009-10-07"
"astro-ph/9706199","John Tonry","John L. Tonry (Institute for Astronomy)","Redshifts of the Gravitational Lenses B1422+231 and PG1115+080","11 pages, AASTeX Latex, including 3 Postscript figures, submitted to
  Astronomical Journal",,"10.1086/300170",,"astro-ph",,"  B1422+231 and PG1115+080 are gravitational lens systems producing quadruple
QSO images where there is real promise that time delays can constrain the
Hubble constant. In addition, the lensing galaxies are both part of groups
which can play an important role in modelling the lens potential. This article
reports redshifts for the lensing galaxies and three neighboring galaxies in
each of the two systems. B1422+231 consists of a group at z=0.339 with a
dispersion of 733 km/s, and PG1115+080 is a group at z=0.311 with a dispersion
of 326 km/s. One of the neighboring galaxies in the B1422+231 system turned out
to be an emission line galaxy at z=0.536, suggesting that QSO light passing
through B1422+231 may have been subjected to lensing by a cluster at this more
distant redshift. The velocity dispersion of the lensing galaxy in PG1115+080
is determined to be 281+/-25 km/s (1"" square aperture), which is surprisingly
large given the image splittings of 1.2"" in that system.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 05:46:38 GMT""},{""version"":""v2"",""created"":""Mon, 23 Jun 1997 18:53:13 GMT""}]","2015-06-24"
"astro-ph/9706200",,"S. Zane, R. Turolla and A. Treves","Hot Atmospheres Around Accreting Neutron Stars: A Possible Source For
  Hard X--ray Emission","17 pages plus 3 postscript figures, to be published in ApJ",,"10.1086/305787",,"astro-ph",,"  The structure of static atmospheres around unmagnetized neutron stars
undergoing steady, spherical accretion is discussed. We focus on the ``hot''
configurations presented by Turolla et al. (1994) and calculate the radiation
spectrum using a characteristics method. In particular, it is found that
e$^+$--e$^-$ pair production may affect significantly the external atmospheric
layers, where positron and proton number densities become of the same order.
The consequent increase of the scattering opacity lowers the Eddington limit
and this, in turn, may drive a dynamical instability if the accretion
luminosity is large enough, ultimately producing a rapid expulsion of the
envelope. If ``hot'' states are indeed accessible, this mechanism could give
rise to transient phenomena in hard X--rays of potential great astrophysical
interest.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 08:00:27 GMT""}]","2009-10-30"
