"alg-geom/9706008","Klaus Altmann","Klaus Altmann and Lutz Hille","A Vanishing Result for the Universal Bundle on a Toric Quiver Variety","13 pages with a couple of small figures LaTeX 2.09",,,,"alg-geom math.AG",,"  Let Q be a finite quiver without oriented cycles. Denote by U --> M the fine
moduli space of stable thin sincere representations of Q with respect to the
canonical stability notion. We prove Ext^i(U,U) = 0 for all i >0 and compute
the endomorphism algebra of the universal bundle U. Moreover, we obtain a
necessary and sufficient condition for when this algebra is isomorphic to the
path algebra kQ of the quiver Q. If so, then the bounded derived category of
finitely generated right kQ-modules is embedded into that of coherent sheaves
on M.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 15:31:28 GMT""}]","2008-02-03"
"astro-ph/9706225","Kailash Sahu","Kailash C. Sahu (STScI), Mario Livio (STScI), Larry Petro (STScI),
  Howard E. Bond (STScI), F. Duccio Macchetto (STScI), Titus J. Galama (U.
  Amsterdam), Paul J. Groot (U. Amsterdam), Jan van Paradijs (U. Amsterdam & U.
  Alabama), Chryssa Kouveliotou (NASA/MSFC)","Observations of GRB 970228 and GRB 970508, and the Neutron-Star Merger
  Model","(6 figures). Accepted for publication in Astrophysical Journal",,"10.1086/316786",,"astro-ph",,"  We present the discovery observations for the optical counterpart of the
$\gamma$-ray burster GRB 970508 and discuss its light curve in the context of
the fireball model. We analyze the HST data for this object, and conclude that
any underlying galaxy must be fainter than $R$ = 25.5. We also present a
detailed analysis of the HST images of GRB 970228 claimed to show a proper
motion of the optical counterpart and conclude that, within the uncertainties,
there is no proper motion. We examine several aspects of the neutron-star
merger model for $\gamma$-ray bursts. In particular, we use this model to
predict the redshift distribution of $\gamma$-ray bursters, and adopting a
recent determination of the cosmic star-formation history, we show that the
predicted distribution of $\log N - \log P$ relation is consistent with that
observed for GRBs.
","[{""version"":""v1"",""created"":""Sun, 22 Jun 1997 23:15:06 GMT""},{""version"":""v2"",""created"":""Sat, 30 Aug 1997 21:38:21 GMT""}]","2009-10-30"
"astro-ph/9706226","Mats Carlsson","Mats Carlsson, Philip G. Judge and Klaus Wilhelm","SUMER Observations Confirm the Dynamic Nature of the Quiet Solar Outer
  Atmosphere: The Inter-network Chromosphere","8 pages, 3 figs, AASTeX, Accepted for publication in APJ letters",,"10.1086/310836",,"astro-ph",,"  On 12 March 1996 we obtained observations of the quiet Sun with the SUMER
instrument. The observa- tions were sequences of 15-20 second exposures of
ultraviolet emission line profiles and of the neighboring continua. These data
contain signatures of the dynamics of the solar chromosphere that are uniquely
useful because of wavelength coverage, moderate signal-to-noise ratios, and
image stability. The dominant observed phenomenon is an oscillatory behavior
that is analogous to the 3 minute oscillations seen in Ca II lines. The
oscillations appear to be coherent over 3-8"". At any time they occur over
approx. 50 % of the area studied, and they appear as large perturbations in the
intensities of lines and continua. The oscillations are most clearly seen in
intensity variations in the UV (lambda > 912 A) continua, and they are also
seen in the intensities and velocities of chromospheric lines of C I, N I and O
I. Intensity brightenings are accompanied by blueshifts of typically 5 km
s$^{-1}$. Phase differences between continuum and line intensities also
indicate the presence of upward propagating waves. Three minute intensity
oscillations are occasionally seen in second spectra (C II 1335), but never in
third spectra (C III and Si III). Third spectra and He I 584 show oscillations
in velocity that are not simply related to the 3 minute oscillations. The
continuum intensity variations are consistent with recent simulations of
chromospheric dynamics (Carlsson & Stein 1994) while the line observations
indicate that important ingredients are missing at higher layers in the
simulations. The data show that time variations are crucial for our
understanding of the chromosphere itself and for the spectral features formed
there.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 08:40:46 GMT""}]","2009-10-30"
"astro-ph/9706227",,"Lawrence M. Krauss (CERN and Case Western Reserve University)","The End of the Age Problem, And The Case For A Cosmological Constant
  Revisited","15 pages, Latex, including 2 eps figs, submitted to Science","Astrophys.J.501:461-466,1998","10.1086/305846","CWRU-P6-97, CERN-TH-97/122","astro-ph gr-qc hep-ph",,"  The lower limit on the age of the universe derived from globular cluster
dating techniques, which previously strongly motivated a non-zero cosmological
constant, has now been dramatically reduced, allowing consistency for a flat
matter dominated universe with a Hubble Constant, $H_0 \le 66 km s^{-1}
Mpc^{-1}$. The case for an open universe versus a flat universe with non-zero
cosmological constant is reanalyzed in this context, incorporating not only the
new age data, but also updates on baryon abundance constraints, and large scale
structure arguments. For the first time, the allowed parameter space for the
density of non-relativistic matter appears larger for an open universe than for
a flat universe with cosmological constant, while a flat universe with zero
cosmological constant remains strongly disfavored. Several other preliminary
observations suggest a non-zero cosmological constant, but a definitive
determination awaits refined measurements of $q_0$, and small scale
anisotropies of the Cosmic Microwave background. I argue that fundamental
theoretical arguments favor a non-zero cosmological constant over an open
universe. However, if either case is confirmed, the challenges posed for
fundamental particle physics will be great.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 10:05:53 GMT""}]","2011-02-11"
"astro-ph/9706228","Nilgun Kiziloglu","M. Yildiz, N.Kiziloglu (Department of Astronomy and Space Sciences,
  Ege University, Izmir, Turkey; Physics Department, METU, Ankara, Turkey)","Solar Models: Influence of Equation of State and Opacity","9 pages in PostScript including 4 figures, accepted for publication
  in Astronomy and Astrophysics, available at
  http://astroa.physics.metu.edu.tr/preprints.html",,,,"astro-ph",,"  Solar models through evolutionary phases of gravitational contraction,
pre-main sequence and MS phases, up to current age 4.5E9 yr. and 4.57E9 yr.,
were studied adopting different prescriptions for the equation of state (EOS)
and different opacity tables. The results are compared with solar models we
computed with different radiative opacities (Cox & Stewart 1970) and different
EOS, as with models computed by other authors. Finally we provide the internal
run of the thermodynamic quantities of our preferred solar model which
possesses the following characteristics: age 4.50E9 yr., initial He abundance
by mass 0.285, parameter of the mixing length alpha=1.82, radius and
temperature at the bottom of the convective envelope are R(bottom)=0.724 Rsun
and T(bottom)=2.14E6 K, respectively.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 10:17:21 GMT""}]","2007-05-23"
"astro-ph/9706229","Takahiro Tanaka","Jaume Garriga, Xavier Montes, Misao Sasaki and Takahiro Tanaka","Canonical Quantization of Cosmological Perturbations in the One Bubble
  Open Universe","23 pages revtex file, submitted to Nucl. Phys. B","Nucl.Phys.B513:343-374,1998","10.1016/S0550-3213(97)00780-3","UAB-FT-418, OU-TAP 63","astro-ph gr-qc",,"  Faddeev and Jackiw's method for constrained systems is used to derive a gauge
invariant formulation of cosmological perturbations in the one bubble
inflationary universe. For scalar perturbations in a flat universe, reduction
of the action to the one with a single physical degree of freedom has been
derived in the literature. A straightforward generalization of it to the case
of an open universe is possible but it is not adequate for quantizing
perturbations in the one bubble universe, because of the lack of Cauchy
surfaces inside the bubble. Therefore we perform the reduction of the action
outside the lightcone emanating from the center of the bubble or nucleation
event, where the natural time constant hypersurfaces are no longer homogeneous
and isotropic and as a result the conventional classification of perturbations
in terms of scalar and tensor modes is not possible. Nevertheless, after
reduction of the action we find three decoupled actions for three independent
degrees of freedom, one of which corresponds to the scalar mode and the other
two to the tensor modes. Implications for the one bubble open inflationary
models are briefly discussed. As an application of our formalism, the spectrum
of long wavelength gravity waves is simply obtained in terms of the real part
of the reflection amplitude for a one dimensional scattering problem, where the
potential barrier is given in terms of the bubble profile.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 04:05:46 GMT""}]","2009-10-09"
"astro-ph/9706230","Roelof Bottema","Roelof Bottema","The maximum rotation of a galactic disc","Latex, 10 pages, 7 Postscript figures, uses l-aa.sty",,,,"astro-ph",,"  The observed stellar velocity dispersions of galactic discs show that the
maximum rotation of a disc is on average 63% of the observed maximum rotation.
This criterion can, however, not be applied to small or low surface brightness
(LSB) galaxies because such systems show, in general, a continuously rising
rotation curve until the outermost measured radial position. That is why a
general relation has been derived, giving the maximum rotation for a disc
depending on the luminosity, surface brightness, and colour of the disc. As a
physical basis of this relation serves an adopted fixed mass-to-light ratio as
a function of colour. That functionality is consistent with results from
population synthesis models and its absolute value is determined from the
observed stellar velocity dispersions. The derived maximum disc rotation is
compared with a number of observed maximum rotations, clearly demonstrating the
need for appreciable amounts of dark matter in the disc region and even more so
for LSB galaxies. Matters have been illustrated for two examples; the galaxy
NGC 6503 and LSB galaxy NGC 1560.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 12:25:09 GMT""}]","2007-05-23"
"astro-ph/9706231","Markus Boettcher","M. Boettcher (Rice University, Houston, TX), H. Mause, R. Schlickeiser
  (MPIfR Bonn)","Spectral modeling of gamma-ray blazars","5 pages; uses epsf.sty, rotate.sty, aipproc.sty; To appear in Proc.
  of the 4th Compton Symposium",,"10.1063/1.54041",,"astro-ph",,"  We present model calculations reproducing broadband spectra of $\gamma$-ray
blazars by a relativistic leptonic jet, combining the EIC and the SSC model. To
this end, the evolution of the particle distribution functions inside a
relativistic pair jet and of the resulting photon spectra is investigated.
Inverse-Compton scattering of both external (EIC) as well as synchrotron
photons (SSC) is treated using the full Klein-Nishina cross-section and the
full angle-dependence of the external photon source. We present model fits to
the broadband spectra of Mrk~421 and 3C279 and the X-ray and $\gamma$-ray
spectrum of PKS~1622-297. We find that the most plausible way to explain both
the quiescent and the flaring states of these objects consists of a model where
EIC and SSC dominate the observed spectrum in different frequency bands. For
both Mrk~421 and 3C279 the flaring states can be reproduced by a harder
spectrum of the injected pairs.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 13:06:24 GMT""}]","2009-10-30"
"chao-dyn/9706020",,"Dimitri Kusnezov (Yale), Aurel Bulgac (U.Washington) Gui Do Dang
  (Orsay)","Turbulent-like Diffusion in Complex Quantum Systems","9 pages, Revtex",,"10.1016/S0375-9601(97)00593-8",,"chao-dyn cond-mat.stat-mech nlin.CD",,"  We study a quantum particle propagating through a ``quantum mechanically
chaotic'' background, described by parametric random matrices with only short
range spatial correlations. The particle is found to exhibit turbulent-like
diffusion under very general situations, without the apriori introduction of
power law noise or scaling in the background properties.
","[{""version"":""v1"",""created"":""Sun, 22 Jun 1997 23:28:22 GMT""}]","2009-10-30"
"chao-dyn/9706021","Juri Rolf","Juri Rolf, Tomas Bohr, Mogens H. Jensen","Directed Percolation Universality in Asynchronous Evolution of
  Spatio-Temporal Intermittency","12 pages, RevTeX, includes 6 figures, submitted to Physical Review
  Letters; changed version includes a better physical motivation for
  asynchronous updates, extra references and minor changes",,"10.1103/PhysRevE.57.R2503",,"chao-dyn cond-mat.stat-mech nlin.CD",,"  We present strong evidence that a coupled-map-lattice model for
spatio-temporal intermittency belongs to the universality class of directed
percolation when the updating rules are asynchronous, i.e. when only one
randomly chosen site is evolved at each time step. In contrast, when the system
is subjected to parallel updating, available numerical evidence suggests that
it does not belong to this universality class and that it is not even
universal. We argue that in the absence of periodic external forcing, the
asynchronous rule is the more physical.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 10:56:31 GMT""},{""version"":""v2"",""created"":""Fri, 24 Oct 1997 15:57:53 GMT""}]","2009-10-30"
"cond-mat/9706220","Augusto Smerzi","S. Raghavan (ICTP, Trieste), A. Smerzi (SISSA, Trieste), S. Fantoni
  (SISSA, Trieste), and S. R. Shenoy (ICTP, Trieste)","Coherent oscillations between two weakly coupled Bose-Einstein
  Condensates: Josephson effects, $\pi$-oscillations, and macroscopic quantum
  self trapping","RevTeX, 10 figures. accepted in Phys. Rev. A",,,,"cond-mat.soft",,"  We discuss the coherent atomic oscillations between two weakly coupled
Bose-Einstein condensates. The weak link is provided by a laser barrier in a
(possibly asymmetric) double-well trap or by Raman coupling between two
condensates in different hyperfine levels. The Boson Josephson Junction (BJJ)
dynamics is described by the two-mode non-linear Gross-Pitaevskii equation,
that is solved analytically in terms of elliptic functions. The BJJ, being a
$neutral$, isolated system, allows the investigations of new dynamical regimes
for the phase difference across the junction and for the population imbalance,
that are not accessible with Superconductor Josephson Junctions (SJJ). These
include oscillations with either, or both of the following properties: 1) the
time-averaged value of the phase is equal to $\pi$ ($\pi-phase$ oscillations);
2) the average population imbalance is nonzero, in states with ``macroscopic
quantum self-trapping'' (MQST).
  The (non-sinusoidal) generalization of the SJJ `ac' and `plasma' oscillations
and the Shapiro resonance can also be observed. We predict the collapse of
experimental data (corresponding to different trap geometries and total number
of condensate atoms) onto a single universal curve, for the inverse period of
oscillations.
  Analogies with Josephson oscillations between two weakly coupled reservoirs
of $^3$He-B and the internal Josephson effect in $^3$He-A are also discussed.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 08:08:16 GMT""},{""version"":""v2"",""created"":""Fri, 25 Sep 1998 13:39:29 GMT""}]","2016-08-31"
