"adap-org/9706005",,"Hans-Martin Br\""oker (1) and Peter Grassberger (1,2) ((1) Physics
  Department, University of Wuppertal, Germany (2) HLRZ c/o Forschungszentrum
  J\""ulich, Germany)","The Bak-Chen-Tang Forest Fire Model Revisited","4 pages, Latex with 5 figures incl., submitted to PRL",,,,"adap-org nlin.AO",,"  We reconsider a model introduced by Bak, Chen, and Tang (Phys. Rev. A 38, 364
(1988)) as a supposedly self-organized critical model for forest fires. We
verify again that the model is not critical in 2 dimensions, as found also by
previous authors. But we find that the model does show anomalous scaling (i.e.,
is critical in the sense of statistical mechanics) in 3 and 4 dimensions. We
relate these results to recent claims by A. Johansen.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 16:47:38 GMT""}]","2008-02-03"
"alg-geom/9706009","Francisco Jose Plaza Martin","Francisco J. Plaza Mart\'in","Prym varieties and the infinite Grassmannian","21 pages, Latex, To apper in Internation Journal of Mathematics",,,,"alg-geom math.AG",,"  In this paper we study Prym varieties and their moduli space using the well
known techniques of the infinite Grassmannian. There are three main results of
this paper: a new definition of the BKP hierarchy over an arbitrary base field
(that generalizes the classical one over the complex numbers; a
characterization of Prym varieties in terms of dynamical systems, and explicit
equations for the moduli space of (certain) Prym varieties. For all of these
problems the language of the infinite Grassmannian, in its algebro-geometric
version, allows us to deal with these problems from the same point of view.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 09:33:12 GMT""}]","2016-08-15"
"alg-geom/9706010","Mikhail Olshanetsky","A.Levin and M.Olshanetsky","Painlev\'{e} - Calogero correpondence","17 pages, Latex",,,"ITEP-TH29/97","alg-geom math.AG",,"  It is proved that the Painlev\'{e} VI equation $(PVI_{\al,\be,\ga,\de})$ for
the special values of constants $(\al=\frac{\nu^2}{4},\be=-\frac{\nu^2}{4},
\ga=\frac{\nu^2}{4},\de=\f1{2}-\frac{\nu^2}{4})$ is a reduced hamiltonian
system. Its phase space is the set of flat $SL(2,C)$ connections over elliptic
curves with a marked point and time of the system is given by the elliptic
module. This equation can be derived via reduction procedure from the free
infinite hamiltonian system. The phase space of later is the affine space of
smooth connections and the ""times are the Beltrami differentials. This approach
allows to define the associate linear problem, whose isomonodromic deformations
is provided by the Painlev\'{e} equation and the Lax pair. In addition, it
leads to description of solutions by a linear procedure. This scheme can be
generalized to $G$ bundles over Riemann curves with marked points, where $G$ is
a simple complex Lie group. In some special limit such hamiltonian systems
convert into the Hitchin systems. In particular, for $\SL$ bundles over
elliptic curves with a marked point we obtain in this limit the elliptic
Calogero N-body system. Relations to the classical limit of the Knizhnik-
Zamolodchikov-Bernard equations is discussed.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 12:04:18 GMT""}]","2008-02-03"
"astro-ph/9706232","Bohdan Paczynski","Bohdan Paczy\'nski","Gamma-Ray Bursts as Hypernovae","12 pages, latex, uses aaspp4.sty, no figures, submitted to ApJ
  Letters",,"10.1063/1.55404",,"astro-ph",,"  The energetics of optical and radio afterglows following BeppoSAX and BATSE
gamma-ray bursts (GRBs) suggests that gamma-ray emission is not narrowly
collimated, but a moderate beaming is possible, so the total energy of a GRB
may be in the range 10^{50} - 10^{51} erg. All attempts to generate a fireball
powered by neutrino-antineutrino annihilation have failed so far, and a rapid
rotation combined with a magnetic field of $ \sim 10^{15} $ gauss gains
popularity.
  In this paper a hypernova scenario is described: a collapse of a massive
member in a close binary system, similar to the `failed' Type Ib supernova
model proposed by Woosley (1993). The collapse may lead to explosion, with
energy transmitted from the rapidly spinning hot neutron core or black hole to
the envelope by a strong magnetic field, as in a supernova model proposed by
Ostriker and Gunn (1971). However, because of a large mass and rapid rotation
of the core the explosion of a hypernova may release up to 10^{54} erg of
kinetic energy, creating a `dirty' fireball.
  In this scenario a moderately non-spherical explosion may accelerate a very
small fraction of matter to a very large Lorentz factor, and this may give rise
to a gamma-ray burst and its afterglow, just like in a conventional fireball
model. However, the highest velocity ejecta from a hypernova are followed with
matter which expands less rapidly but carries the bulk of kinetic energy,
providing a long term power source for the afterglow. If the afterglows remain
luminous for a very long time then the proposed hypernova scenario may provide
an explanation. Pre-hypernovae, being massive stars, are likely to be located
in the young, star forming regions.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 18:50:22 GMT""}]","2009-10-30"
"astro-ph/9706233","Jean Quashnock","Jean M. Quashnock (1) and Daniel E. Vanden Berk (2) ((1) University of
  Chicago, Dept. of Astronomy and Astrophysics, (2) University of Texas,
  McDonald Observatory)","The Form and Evolution of the Clustering of QSO Heavy-Element
  Absorption-Line Systems","26 pages (LaTex, uses aaspp4.sty), with 8 encapsulated PostScript
  figures. Includes an augmented discussion of the close relationship between
  strong absorbers, clusters, and ``Lyman break'' galaxies. To appear in The
  Astrophysical Journal, vol. 500, June 10, 1998",,"10.1086/305705",,"astro-ph",,"  We have analyzed the clustering of C IV and Mg II absorption-line systems on
comoving scales from 1 to 16 \hMpc, using an extensive catalog of heavy-element
QSO absorbers with mean redshift 2.2 (C IV) and 0.9 (Mg II). We find that, for
the C IV sample as a whole, the absorber line-of-sight correlation function is
well-fit by a power law with index $\gamma = 1.75 ^{+0.50}_{-0.70}$ and
comoving correlation length $r_0 = 3.4 ^{+0.7}_{-1.0}$ \hMpc ($q_0=0.5$). The
clustering of absorbers at high redshift is thus of a form like that of
galaxies and clusters at low redshift, and of amplitude such that absorbers are
correlated on scales of galaxy clusters. We also trace the evolution of the
mean amplitude $\xi_0(z)$ of the correlation function from $z=3$ to $z=0.9$. We
find that, when parametrized as $\xi_0(z)\propto (1+z)^{-(3+\epsilon)+\gamma}$,
the amplitude grows rapidly with decreasing redshift, with maximum-likelihood
value for the evolutionary parameter of $\epsilon = 2.05 \pm 1.0$ ($q_0=0.5$).
When extrapolated to zero redshift, the correlation length is $r_0 = 30
^{+22}_{-13}$ \hMpc . This suggests that the strong C IV and Mg II absorbers,
on megaparsec scales, are biased tracers of the higher-density regions of
space, and that agglomerations of strong absorbers along a line of sight are
indicators of clusters and superclusters. This is supported by recent
observations of ``Lyman break'' galaxies. The rapid growth seen in the
clustering of absorbers mimics that expected in a a critical universe from
linear theory of gravitational instability, and is consistent with
gravitationally induced growth of perturbations.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 20:22:29 GMT""},{""version"":""v2"",""created"":""Fri, 12 Dec 1997 00:05:28 GMT""},{""version"":""v3"",""created"":""Mon, 30 Mar 1998 19:36:44 GMT""}]","2009-10-30"
"astro-ph/9706234","Mark S. Marley","Mark S. Marley","Atmospheres of Giant Planets from Neptune to Gliese 229B","12 pages, 4 figures, PASP LaTeX, to be published in the proceedings
  of the workshop ""Brown Dwarfs and Extrasolar Planets,"" held in Tenerife,
  Spain March 17-21, 1997",,,,"astro-ph",,"  Stratospheric heating, condensation, convective transport of non-equilibrium
species, and deep radiative energy transport are important processes in the
atmospheres of the solar jovian planets. They likely affect the atmospheres of
extrasolar giant planets and brown dwarfs as well. Stratospheric temperatures
control thermal fluxes in strong molecular bands, and may dramatically affect
observed spectra. Condensation processes affect the appearance of an object,
alter the abundances of atmospheric species, and influence the fluxes of both
reflected and emitted radiation. Convection can dredge up non-thermochemical
equilibrium species from the deep atmosphere to the observable atmosphere.
Finally deep radiative zones can limit the effectiveness of deep convection and
alter the boundary condition at which the planet radiates energy to space. Here
I discuss the role these processes may play in the atmospheres of brown dwarfs
and extrasolar giant planets.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 20:02:44 GMT""}]","2007-05-23"
"astro-ph/9706235","Henry A. Kobulnicky","Henry A. Kobulnicky and Evan D. Skillman","Chemical Enrichment from Massive Stars in Starbursts II: NGC 1569","43 pages including figures; uses aaspp and psfig; 5 tables use
  apjpt4; Accepted (11 June 1997) for publication in the Astrophysical Journal",,,,"astro-ph",,"  We present a longslit optical spectrophotometric survey in the irregular
""post-starburst"" galaxy NGC 1569 to search for chemical gradients and
inhomogeneities in the interstellar medium. Despite the presence of two massive
evolved starclusters and numerous HII regions, we find no evidence for chemical
gradients or inhomogeneities that may be attributed to enrichment from the
recent star formation activity. The chemical properties are consistent with
12+log(O/H)=8.19+/-0.04 and log(N/O)=-1.40+/-0.05 at all locations. No
localized chemical self-enrichment (""pollution"") from massive star evolution is
found, even though the data are sensitive to the chemical yields from as few as
two or three massive stars. Flat chemical abundance profiles appear to be the
rule rather than the exception in low-mass galaxies. Strong chemical signatures
in the surrounding interstellar material should be detected unless one or more
of the following are true: 1) Different star forming regions throughout the
studied galaxies ``conspire'' to keep star formation rates and global
abundances uniform at all times, 2) ejecta from stellar winds and supernovae
are transported to all corners of the galaxy on timescales of <10^7 yr, and are
mixed instantaneously and uniformly, or 3) freshly synthesized elements remain
unmixed with the surrounding interstellar medium and reside in a
hard-to-observe hot 10^6 K phase or a cold, dusty, molecular phase. We advance
the third scenario as the most plausible, and we suggest ways to locate the
chemical products of massive star formation in starburst galaxies.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 21:14:46 GMT""}]","2007-05-23"
"astro-ph/9706236",,"Norman K. Glendenning (Lawrence Berkeley National Laboratory,
  California)","Internal Constitution of Neutron and Strange Stars","34 pages, 30 figures embedded, Latex with crckapb.sty. (October 1996,
  to appear in Proceedings ``The Many Faces of Neutron Stars'' Alpar et. al.
  eds. (Kluwer Academic Publishers, Dortrecht)","in ``The Many Faces of Neutron Stars'', Eds. Buccheri, van
  Paradjis and Alpar, Kluwer Academic Publishers, Dordrect/Boston/London,
  (1998) p 15",,"LBL-39638","astro-ph",,"  In the first of these two lectures I will discuss the rich constitution of
neutron stars as a consequence of the Pauli principle which is engaged by the
dominance of gravity over the nuclear force. Three especially interesting
phenomena are discussed in this contect--(1) a mechanism for the formation of
low-mass black holes distinct in their mass-range from the black holes formed
in the prompt collapse of an entire star, (2) a multilayered crystalline
structure consisting of confined hadronic matter embedded in a background of
deconfined quark matter (or vice versa) which occupies a many kilometer thick
inner region, and (3) a clean and pronounced signal of the formation of quark
matter in the interior of neutron stars. In the second lecture I will discuss
the strange matter hypothesis, its viability as well as its consequences for
compact stars and a new family of white dwarfs with dense nuclear matter
central regions some orders of magnuitude greater than in ordinary white
dwarfs.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 22:16:31 GMT""},{""version"":""v2"",""created"":""Tue, 24 Jun 1997 02:36:59 GMT""}]","2008-02-03"
"astro-ph/9706237","Andreon Stefano","S. Andreon (1), J. Annis (2), J.-C. Cuillandre (3), E. Davoust (4), J.
  P. Gardner(5), Y. Mellier (6), J.-M. Miralles (4), R. Pello (4), P. Poulain
  (4) ((1) Oss. di Capodimonte, (2) Fermi Lab., (3) CFHT corp., (4) Obs. Midi
  Pyr\'en\'ees, (5) NASA-GSFC, (6) IAP)","An optical and near-IR survey of nearby clusters of galaxies","To appear in the proceeding of the Moriond conference ""Extragalactic
  Astronomy in the Infrared"" (March 1997), 6 pages, uses moriond.sty",,,,"astro-ph",,"  We present an optical and near-infrared survey of galaxies in nearby clusters
aimed at determining fundamental quantities of galaxies, such as multivariate
luminosity function and color distribution for each Hubble type. The main
characteristics of our survey are completeness in absolute magnitude, wide
wavelength coverage and faint limiting magnitudes.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 07:18:30 GMT""}]","2007-05-23"
"astro-ph/9706238","Andreon Stefano","S. Andreon (1), S. Zaggia (1), R. de Carvalho (2), S. Djorgovski (3),
  G. Longo (1), I. Musella (1), R. Scaramella (4) ((1) Oss. di Capodimonte, (2)
  Obs. de Rio de Janeiro, (3) Palomar Obs., (4) Oss. di Roma)","The CRONA (Caltech-Roma-Napoli) project","To appear in the proceeding of the Moriond conference ""Extragalactic
  Astronomy in the Infrared"" (March 1997), 6 pages, uses moriond.sty",,,,"astro-ph",,"  The CRONA project is a joint enterprise between Caltech and the astronomical
observatory of Rome and Naples aimed to the photometric calibration of the
Second Palomar Sky Survey (POSS-II) plates and to the construction of a
complete photometric and astrometric catalogue of all objects present on the
POSS-II. The calibrated final catalogues of objects will be made available to
the community. We present here a comparison between the performances of the
SKICAT and DAOPHOT packages applied to POSS-II images of the globular cluster
M92.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 07:19:14 GMT""}]","2007-05-23"
"astro-ph/9706239","Sabine Schindler","Sabine Schindler, M. Almudena Prieto","X-ray analysis of Abell 2634 and its central galaxy 3C465","11 pages, including 11 figures, accepted for publication in A&A",,,"MPE preprint 417","astro-ph",,"  An analysis of a ROSAT/PSPC observation of the galaxy cluster A2634 is
presented. The cluster has a luminosity of $7.9\pm0.1\times10^{43}$erg/s in the
ROSAT band (0.1-2.4 keV). The temperature profile decreases from about 3 keV in
the outer parts to 1.2 keV in the centre. Within a radius of 1.5 Mpc the gas
mass of the cluster is 0.51$\times 10^{14}\msol$ and the total mass amounts to
$4.1^{+2.6}_{-1.8}\times 10^{14}\msol$. The X-ray morphology shows two peculiar
features -- a strongly peaked emission in the centre and an excess emission in
the south-west. The central emission probably originates from a weak cooling
flow, the SW emission is possibly associated with higher density regions in
pressure equilibrium with the intra-cluster medium. This region of excess
emission is somewhat embraced by the wide-angle radio tails associated with
3C465 suggesting that the overpressure of the relativistic particles has
displaced the thermal gas.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 08:06:41 GMT""}]","2007-05-23"
