"alg-geom/9707003","Hosono Shinobu","S.Hosono","GKZ Systems, Gr\""obner Fans and Moduli Spaces of Calabi-Yau
  Hypersurfaces","28 pages, LaTeX. (The statements in Prop.4.7 and Claim 5.8 are
  clarified.)",,,,"alg-geom math.AG",,"  We present a detailed analysis of the GKZ(Gel'fand, Kapranov and Zelevinski)
hypergeometric systems in the context of mirror symmetry of Calabi-Yau
hypersurfaces in toric varieties. As an application we will derive a concise
formula for the prepotential about large complex structure limits. (Talk given
at the Taniguchi Symposium ``Topological Field Theory, Primitive Forms and
Related Topics'' December, 1996)
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 09:57:30 GMT""},{""version"":""v2"",""created"":""Mon, 27 Oct 1997 06:41:28 GMT""}]","2008-02-03"
"astro-ph/9707017","Michel Fioc","Michel Fioc and Brigitte Rocca-Volmerange (Institut d'Astrophysique de
  Paris)","PEGASE: a UV to NIR spectral evolution model of galaxies - Application
  to the calibration of bright galaxy counts","14 pages, 9 postscript figures, uses l-aa.sty and psfig.sty, accepted
  for publication in A&A, code sources and data available at
  http://www.iap.fr/users/fioc.html","Astron.Astrophys.326:950,1997",,,"astro-ph",,"  PEGASE is a new spectrophotometric evolution model for starbursts and evolved
galaxies of the Hubble sequence. Its main originality is the extension to the
near-infrared (NIR) of the atlas of synthetic spectra of Rocca-Volmerange &
Guiderdoni (1988) with a revised stellar library including cold star parameters
and stellar tracks extended to the TP-AGB and the post-AGB phase. The NIR is
coherently linked to the visible and the ultraviolet, so that the model is
continuous on an exceptionally large wavelength range from 220 A up to 5
microns. Moreover, a precise algorithm allows to follow very rapid evolutionary
phases such as red supergiants or AGB crucial in the NIR. The nebular component
is also computed in the NIR. The extinction correction is gas-dependent for
spirals and ellipticals. A set of reference synthetic spectra at z=0, to which
apply cosmological k- and evolution e- corrections for high-redshift galaxies,
is built from fits of observational templates. Because of the lack of visible
to NIR spectral templates for each Hubble type, we adopt statistical samples of
colors, not fitted by previous models. A first application of this continuous
model is to solve the problem of the slope of the bright galaxy counts from
B=15 to 19 and of the normalization parameter of the Schechter luminosity
function. Code sources, input and output data are available by anonymous ftp or
at the WEB address of the authors.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 16:33:57 GMT""}]","2008-11-26"
"astro-ph/9707025","Mike Hudson","R.J. Smith (1), J.R. Lucey (1), M.J. Hudson (1,2), J. Steel (1) ((1)
  University of Durham, (2) University of Victoria)","Galaxy clusters in the Perseus-Pisces region - I. Spectroscopic and
  photometric data for early-type galaxies","MNRAS, in press. 27 pages. Also available from
  http://astrowww.phys.uvic.ca/rsocs/hudson/pubs/pubs.html","MNRAS (1997) 291, 461","10.1093/mnras/291.3.461",,"astro-ph",,"  We present new spectroscopic and photometric data for 137 early-type galaxies
in nine clusters, and for a set of nearby standard galaxies. The clusters
studied are Perseus (A0426), Pisces, A0262, A0347, J8, HMS0122+3305, 7S21,
A2199 and A2634. Our spectroscopic data comprise radial velocities (cz),
central velocity dispersions (sigma) and magnesium line strength indices (Mg).
Internal errors (derived from repeat observations) are 7.6% on each measurement
of sigma, and 0.010 mag on each Mg measurement. We correct the major published
datasets to a standard aperture size, and define a new `standard system' by the
aperture-corrected Lick data of Davies et al. Through extensive
intercomparisons with data from the literature, we present the corrections
required to bring the major published datasets onto the standard system. We
demonstrate that our new velocity dispersion data can be brought into
consistency with the standard system, to an uncertainty of <0.01 dex. From
R-band CCD photometry, we derive effective diameter (A_e), mean surface
brightness within effective diameter (mu_e) and an R-band diameter equivalent
to the D_n parameter of Dressler et al. Internal comparisons indicate an
average error of 0.005 in each measurement of log(D_n). The combination
log(A_e) - 0.3 mu_e, approximately the quantity used in the Fundamental Plane
distance indicator, has an uncertainty of 0.006 per measurement. The
photometric data can be brought onto a system consistent with external data at
the level of 0.5% in distance. These data will be used in a companion paper to
derive distance and peculiar velocity estimates for the nine clusters studied.
(Abridged)
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 16:23:44 GMT""}]","2015-06-24"
"astro-ph/9707026","Mike Hudson","M.J. Hudson (1,2), J.R. Lucey (1), R.J. Smith (1), J. Steel (1) ((1)
  University of Durham, (2) University of Victoria)","Galaxy clusters in the Perseus-Pisces region - II. The peculiar velocity
  field","MNRAS, in press. 19 pages. Also available from
  http://astrowww.phys.uvic.ca/rsocs/hudson/pubs/pubs.html","MNRAS (1997) 291, 488","10.1093/mnras/291.3.488",,"astro-ph",,"  We have measured the mean peculiar motions of 103 early-type galaxies in 7
clusters in the Perseus-Pisces (PP) ridge or PP background, and a further 249
such galaxies in 9 calibrating clusters from the literature, using the inverse
Fundamental Plane relation. This relation is found to have a distance error of
20% per galaxy. None of the 6 clusters in the PP ridge has a significant motion
with respect to the CMB frame, but the PP background cluster J8 shows marginal
evidence of `backside infall' into the PP supercluster. The full 16 cluster
sample has a mean CMB-frame bulk motion of 420 +/- 280 km/s, towards l=262,
b=-25. This result is consistent both with no bulk motion in the CMB frame and
with the ~350 km/s bulk motion found by Courteau et al. It is inconsistent at
the 98% confidence level with the ~700 km/s bulk flow found by Lauer & Postman
(LP). The PP ridge clusters are found to have a small and statistically
insignificant mean radial motion with respect to the CMB frame: -60 +/- 220
km/s. A comparison between our cluster peculiar velocities and the predicted
peculiar velocities from the IRAS 1.2 Jy density field, smoothed on a 500 km/s
scale, yields beta_I = Omega^0.6/b_I = 0.95 +/- 0.48, consistent with previous
results. We find agreement between our peculiar motions and published
Tully-Fisher results for the same clusters. The disagreement between the 11
clusters common to our sample and that of LP, based on BCGs, is statistically
significant at the >~ 99.7% confidence level indicating that the errors of one
or both of these data sets are underestimated. When the BCG distances corrected
for the X-ray luminosity of the host cluster are used, the disagreement is
reduced to the ~94% confidence level. (Abridged)
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 16:26:21 GMT""}]","2015-06-24"
"astro-ph/9707027","Robert Mann","The ISO-HDF Consortium: Steve Serjeant (Imperial College) et al","Observations of the Hubble Deep Field with the Infrared Space
  Observatory. I. Data reduction, maps and sky coverage","7 pages, LaTeX (using mn.sty), 9 figures included as GIFs. Gzipped
  Postscipt version available from http://artemis.ph.ic.ac.uk/hdf/papers/ps/.
  Further information on ISO-HDF project can be found at
  http://artemis.ph.ic.ac.uk/hdf/","Mon.Not.Roy.Astron.Soc. 289 (1997) 457-464","10.1093/mnras/289.2.457","ICAST-97-1","astro-ph",,"  We present deep imaging at 6.7 micron and 15 micron from the CAM instrument
on the Infrared Space Observatory (ISO), centred on the Hubble Deep Field
(HDF). These are the deepest integrations published to date at these
wavelengths in any region of sky. We discuss the observation strategy and the
data reduction. The observed source density appears to approach the CAM
confusion limit at 15 micron, and fluctuations in the 6.7 micron sky background
may be identifiable with similar spatial fluctuations in the HDF galaxy counts.
ISO appears to be detecting comparable field galaxy populations to the HDF, and
our data yields strong evidence that future IR missions (such as SIRTF, FIRST
and WIRE) as well as SCUBA and millimetre arrays will easily detect field
galaxies out to comparably high redshifts.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 17:34:01 GMT""}]","2015-06-24"
"astro-ph/9707028","Robert Mann","The ISO-HDF Consortium: Pippa Goldschmidt (Imperial College) et al","Observations of the Hubble Deep Field with the Infrared Space
  Observatory. II. Source detection and photometry","6 pages, LaTeX (using mn.sty, epsfig), 2 Postscipt figures included.
  Gzipped Postscipt version available from
  http://artemis.ph.ic.ac.uk/hdf/papers/ps/. Further information on ISO-HDF
  project can be found at http://artemis.ph.ic.ac.uk/hdf/","Mon.Not.Roy.Astron.Soc. 289 (1997) 465-470",,"ICAST-97-2","astro-ph",,"  We present positions and fluxes of point sources found in the Infrared Space
Observatory (ISO) images of the Hubble Deep Field (HDF) at 6.7 and 15 micron.
We have constructed algorithmically selected ``complete'' flux-limited samples
of 19 sources in the 15 micron image, and 7 sources in the 6.7 micron image.
The typical flux limit at 15 micron is 0.2 mJy and at 6.7 micron is 0.04 mJy.
We have selected ``supplementary'' samples of 3 sources at 15 micron and 20
sources at 6.7 micron by eye. We discuss the completeness and reliability of
the connected pixel source detect ion algorithm used, by comparing the
intrinsic and estimated properties of simulated data, and also by estimating
the noise properties of the real data. The most pessimistic estimate of the
number of spurious sources in the ``complete'' samples is 1 at 15 micron and 2
at 6.7 micron, and in the ``supplementary'' lists is 1 at 15 micron and 5 at
6.7 micron.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 17:35:43 GMT""}]","2012-08-27"
"astro-ph/9707029","Robert Mann","The ISO-HDF Consortium: Seb Oliver (Imperial College) et al","Observations of the Hubble Deep Field with the Infrared Space
  Observatory. III. Source counts and P(D) analysis","12 pages, LaTeX (using mn.sty, epsfig), 9 Postscipt figures included.
  Gzipped Postscipt version available from
  http://artemis.ph.ic.ac.uk/hdf/papers/ps/. Further information on ISO-HDF
  project can be found at http://artemis.ph.ic.ac.uk/hdf/","Mon.Not.Roy.Astron.Soc. 289 (1997) 471-481",,"ICAST-97-3","astro-ph",,"  We present source counts at 6.7 micron and 15 micron from our maps of the
Hubble Deep Field region, reaching 38.6 microJy at 6.7 micron and 255 microJy
at 15 micron. These are the first ever extra-galactic number counts to be
presented at 6.7 micron and are 3 decades fainter than IRAS at 12 micron. Both
source counts and a P(D) analysis suggest we have reached the ISO confusion
limit at 15 micron: this will have important implications for future space
missions. These data provide an excellent reference point for other ongoing ISO
surveys. A no-evolution model at 15 micron is ruled out at >3 sigma, while two
models which fit the steep IRAS 60 micron counts are acceptable. This provides
important confirmation of the strong evolution seen in IRAS surveys. One of
these models can then be ruled out from the 6.7 micron data.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 17:37:37 GMT""}]","2012-08-27"
"astro-ph/9707030","Robert Mann","The ISO-HDF Consortium: Michael Rowan-Robinson (Imperial College) et
  al","Observations of the Hubble Deep Field with the Infrared Space
  Observatory. V. Spectral Energy Distributions, Starburst Models and Star
  Formation History","8 pages, LaTeX (using mn.sty, epsfig), 3 Postscript figures included.
  Gzipped Postscipt version available from
  http://artemis.ph.ic.ac.uk/hdf/papers/ps/. Further information on ISO-HDF
  project can be found at http://artemis.ph.ic.ac.uk/hdf/","Mon.Not.Roy.Astron.Soc. 289 (1997) 490-496","10.1093/mnras/289.2.490","ICAST-97-5","astro-ph",,"  We have modelled the spectral energy distributions of the 13 HDF galaxies
reliably detected by ISO. For 2 galaxies the emission detected by ISO is
consistent with being starlight or the infrared 'cirrus' in the galaxies. For
the remaining 11 galaxies there is a clear mid-infrared excess, which we
interpret as emission from dust associated with a strong starburst. 10 of these
galaxies are spirals or interacting pairs, while the remaining one is an
elliptical with a prominent nucleus and broad emission lines.
  We give a new discussion of how the star formation rate can be deduced from
the far infrared luminosity and derive star formation rates for these galaxies
of 8-1000 $\phi M_{\sun}$ per yr, where $\phi$ takes account of the uncertainty
in the initial mass function. The HDF galaxies detected by ISO are clearly
forming stars at a prodigious rate compared with nearby normal galaxies. We
discuss the implications of our detections for the history of star and heavy
element formation in the universe. Although uncertainties in the calibration,
reliability of source detection, associations, and starburst models remain, it
is clear that dust plays an important role in star formation out to redshift 1
at least.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 17:40:43 GMT""}]","2015-06-24"
"astro-ph/9707031","Dr Tsou Sheung Tsun","J Bordes (Valencia), HM Chan (Rutherford Appleton Lab), J Faridani
  (Rutherford Appleton Lab), J Pfaudler (Oxford), and ST Tsou (Oxford)","Possible Test for the Suggestion that Air Showers with $E > 10^{20}$ eV
  are due to Strongly Interacting Neutrinos","Latex, 10 pages, 2 figures using psfig","Astropart.Phys. 8 (1998) 135-140","10.1016/S0927-6505(97)00039-X",,"astro-ph hep-ph",,"  The suggestion is made that air showers with energies beyond the
Greisen-Zatsepin-Kuz'min spectral cut-off may have primary vertices some 6 km
lower in height than those of proton initiated showers with energies below the
GZK cut-off. This estimate is based on the assumption that post-GZK showers are
due to neutrinos having acquired strong interactions from generation-changing
dual gluon exchange as recently proposed.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 22:09:29 GMT""}]","2009-10-30"
"astro-ph/9707032","Emilio E. Falco","E. E. Falco, C. S. Kochanek and J. M. Munoz","Limits on Cosmological Models From Radio-Selected Gravitational Lenses","33 pp, 8 .ps figs, submitted to ApJ","Astrophys.J. 494 (1998) 47-59","10.1086/305207",,"astro-ph",,"  We are conducting a redshift survey of 177 flat-spectrum radio sources in 3
samples covering the 5GHz flux ranges 50-100, 100-200 and 200-250 mJy. So far,
we have measured 124 redshifts with completenesses of 80%, 68% and 58% for the
bright, intermediate, and faint flux ranges. Using the newly determined
redshift distribution we can derive cosmological limits from the statistics of
the 6 gravitational lenses in the JVAS sample of 2500 flat-spectrum radio
sources brighter than 200 mJy at 5GHz. For flat cosmological models with a
cosmological constant, the limit using only radio data is Omega_0 > 0.27 at
2-sigma (0.47 < Omega_0 < 1.38 at 1-sigma). The limits are statistically
consistent with those for lensed quasars, and the combined radio + optical
sample requires Omega_0 > 0.38 at 2-sigma (0.64 < Omega_0 < 1.66 at 1-sigma)
for our most conservative redshift completeness model and assuming that there
are no quasar lenses produced by spiral galaxies. Our best fit model improves
by approximately 1-sigma if extinction in the early-type galaxies makes the
lensed quasars fainter by Delta m = 0.58 +- 0.45 mag, but we still find a limit
of Omega_0 > 0.26 at 2-sigma in flat cosmologies. The increasing fraction of
radio galaxies as compared to quasars at fainter radio fluxes (rising from ~10%
at 1 Jy to ~50% at 0.1 Jy) explains why lensed optical emission is common for
radio lenses and partly explains the red color of radio-selected lenses.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 17:17:59 GMT""}]","2009-10-30"
"astro-ph/9707033","Robert Mann","The ISO-HDF Consortium: Bob Mann (Imperial College) et al","Observations of the Hubble Deep Field with the Infrared Space
  Observatory. IV. Association of sources with Hubble Deep Field Galaxies","8 pages, LaTeX (using mn.sty, epsfig), 3 figures (2 Postscript, 1
  GIF) included. Gzipped Postscipt version available from
  http://artemis.ph.ic.ac.uk/hdf/papers/ps/. Further information on ISO-HDF
  project can be found at http://artemis.ph.ic.ac.uk/hdf/","Mon.Not.Roy.Astron.Soc. 289 (1997) 482-489","10.1093/mnras/289.2.482","ICAST-97-4","astro-ph",,"  We discuss the identification of sources detected by ISO at 6.7 and 15 micron
in the Hubble Deep Field (HDF) region. We conservatively associate ISO sources
with objects in existing optical and near-infrared HDF catalogues using the
likelihood ratio method, confirming these results (and, in one case, clarifying
them) with independent visual searches. We find fifteen ISO sources to be
reliably associated with bright [I(AB) < 23] galaxies in the HDF, and one with
an I(AB)=19.9 star, while a further eleven are associated with objects in the
Hubble Flanking Fields (ten galaxies and one star). Amongst optically bright
HDF galaxies, ISO tends to detect luminous, star-forming galaxies at fairly
high redshift and with disturbed morphologies, in preference to nearby
ellipticals.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 17:39:05 GMT""}]","2015-06-24"
