"adap-org/9707003","Grant Lythe","Kalvis M. Jansons (UCL, London) and G.D. Lythe (ULB, Brussels)","Stochastic calculus: application to dynamic bifurcations and threshold
  crossings","LaTeX, 34 pages, 7 postscript figures included","J. Stat. Phys (1997)","10.1023/A:1023207919293",,"adap-org nlin.AO q-bio",,"  For the dynamic pitchfork bifurcation in the presence of white noise, the
statistics of the last time at zero are calculated as a function of the noise
level and the rate of change of the parameter. The threshold crossing problem
used, for example, to model the firing of a single cortical neuron is
considered, concentrating on quantities that may be experimentally measurable
but have so far received little attention. Expressions for the statistics of
pre-threshold excursions, occupation density and last crossing time of zero are
compared with results from numerical generation of paths.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 22:10:39 GMT""}]","2015-06-24"
"astro-ph/9707176","Scott Burles","Scott Burles and David Tytler (University of California, San Diego)","The Neutral Hydrogen Column Density towards Q1937--1009 from the
  Unabsorbed Intrinsic Continuum in the Lyman-$\alpha$ Forest","15 pages, 6 figures, To appear in the Astronomical Journal in October
  1997",,"10.1086/118566",,"astro-ph",,"  The absorption system at $z=3.572$ towards Q1937--1009 provides the best
extragalactic measurement of the atomic deuterium to hydrogen ratio, D/H. We
have obtained a new low-resolution, high signal-to-noise ratio (SNR) Keck
spectrum to re-measure the total neutral hydrogen column density N(H I) using
the amount of Lyman continuum absorption. We develop a new method to directly
determine the intrinsic unabsorbed quasar continuum from low-resolution spectra
of the \Lya forest for the first time. We use three types of spectra to measure
N(H I): (1) A wide slit spectrum for flux calibration, (2) a high-resolution
spectrum to determine the unabsorbed continuum between \Lya forest lines, and
(3) a high SNR spectrum to measure the residual flux below the Lyman limit. We
measure Log [N(H I)] = 17.86 $\pm$ 0.02 \cm2, which is reliable because N(H I)
is fully specified by the data. This result is consistent with the N(H I)
measured by Tytler, Fan & Burles (1996) from the Lyman series absorption lines,
but not with absorption models proposed by Wampler (1996) nor estimates of the
total N(H I) by Songaila et al. (1997), both of which suggested lower N(H I)
and higher D/H. The Wampler models predict abundant flux below the Lyman limit
which is absent from both our old and new spectra, taken with different
instruments. The new Keck data is consistent with the data presented by
Songaila et al. (1997). The results differ due to the different methods of
analysis, and our measurement of the QSO continuum does not agree with the
continuum models assumed by Songaila et al. (1997).
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 20:55:52 GMT""}]","2009-10-30"
"astro-ph/9707179","Michael Catanese","M. Catanese, S. M. Bradbury, A. C. Breslin, J. H. Buckley, D. A.
  Carter-Lewis, M. F. Cawley, C. D. Dermer, D. J. Fegan, J. P. Finley, J. A.
  Gaidos, A. M. Hillas, W. N. Johnson, F. Krennrich, R. C. Lamb, R. W. Lessard,
  D. J. Macomb, J. E. McEnery, P. Moriarty, J. Quinn, A. J. Rodgers, H. J.
  Rose, F. W. Samuelson, G. H. Sembroski, R. Srinivasan, T. C. Weekes, and J.
  Zweerink","Multiwavelength Observations of a Flare from Markarian 501","10 pages, 2 figures, accepted for publication in ApJ Letters","Astrophys.J. 487 (1997) L143-L146","10.1086/310899",,"astro-ph",,"  We present multiwavelength observations of the BL Lacertae object Markarian
501 (Mrk 501) in 1997 between April 8 and April 19. Evidence of correlated
variability is seen in very high energy (VHE, E > 350 GeV) gamma-ray
observations taken with the Whipple Observatory gamma-ray telescope, data from
the Oriented Scintillation Spectrometer Experiment of the Compton Gamma-Ray
Observatory, and quicklook results from the All-Sky Monitor of the Rossi X-ray
Timing Explorer while the Energetic Gamma-Ray Experiment Telescope did not
detect Mrk 501. Short term optical correlations are not conclusive but the
U-band flux observed with the 1.2m telescope of the Whipple Observatory was 10%
higher than in March. The average energy output of Mrk 501 appears to peak in
the 2 keV to 100 keV range suggesting an extension of the synchrotron emission
to at least 100 keV, the highest observed in a blazar and ~100 times higher
than that seen in the other TeV-emitting BL Lac object, Mrk 421. The VHE
gamma-ray flux observed during this period is the highest ever detected from
this object. The VHE gamma-ray energy output is somewhat lower than the 2-100
keV range but the variability amplitude is larger. The correlations seen here
do not require relativistic beaming of the emission unless the VHE spectrum
extends to >5 TeV.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 20:16:09 GMT""}]","2009-10-30"
"astro-ph/9707188","G. S. Bisnovatyi-Kogan","G. S. Bisnovatyi-Kogan, S. A. Silich","Thin Layer Approximation in 3-D","4 pages, 2 figures","Proc. IAU Coll. 166","10.1007/BFb0104708",,"astro-ph",,"  Equations are derived which describe a propagation of strong shocks in the
interstellar matter, without any demands for a symmetry, in a thin layer
approximation (2.5 dimensions). Using these equations permits to calculate a
propagation of shock waves from nonsymmetric supernovae explosions in the
medium with arbitrary density distribuion, formation of superbubbles in
galaxies.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 16:15:00 GMT""}]","2009-10-30"
"astro-ph/9707189","Martin D. Weinberg","Martin D. Weinberg (University of Massachusetts/Amherst)","Dynamics of an interacting luminous disk, dark halo, and satellite
  companion","15 pages, 20 postscript figures, uses mn.sty, for mpegs and vrml, see
  http://donald.phast.umass.edu/~weinberg/weinberg-pubs.html",,,,"astro-ph",,"  This paper explores the dynamical interaction between extended halo and
spheroid components of a disk galaxy and an environmental disturbance. One
finds that resonant interaction between a galaxy and passing interlopers or
satellite companions can carry the disturbance inward, deep inside the halo,
where it can perturb the disk. Applied to the Milky Way for example, the LMC
and SMC appear to be sufficient to cause the observed Galactic warp and
possibly seed other asymmetries. A polar satellite orbit produces the largest
warp and therefore the inferred LMC orbit is nearly optimal for maximum warp
production. Both the magnitude and morphology of the response depend on the
details of the disk and halo models. The results and prognosis for N-body
simulations are discussed. Discreteness noise in the halo, similar to that due
to a population of $10^6M_\odot$ black holes, can produce observable warping.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 16:05:14 GMT""}]","2007-05-23"
"astro-ph/9707190","G. S. Bisnovatyi-Kogan","G.S.Bisnovatyi-Kogan, S.V.Repin","Timing of gamma-ray pulsars: search in seven - parametric space","20 pages, 3 figures",,,,"astro-ph",,"  Timing of Geminga gamma-ray pulsar is done using data of COS B and EGRET. It
is shown, that errors in angular coordinates of sources similar to Geminga
strongly influence a determination of $\ddot \nu$, so that at angular precision
less then $10^{-3}$ arc sec determination of the value of $\ddot \nu$ by means
of criterion gives error more then $100 %$. Attempt have been done to improve
coordinates of a gamma-ray pulsar using timing analysis. In addition to search
of $\nu$, $\dot\nu$ and $\ddot\nu$, a technique is first developed permitting
search of two angular coordinates, absolute speed value and direction of a
proper motion. In that way timing of gamma-ray pulsars gives amount of
information compatible with radiopulsars, but using of real data gives much
poorer precision. In gamma-ray sources with rare pulses the periodicity
criteria are quite different from the ones in radio region. Data on the
coordinates and proper motion of Geminga, obtained from timing studies, do not
contradict inside the errors to its identification with $G''$ star and its
proper motion. These errors are larger then ones in optical measurements, but
are smaller then corresponding errors in X-ray and $\gamma$-ray data.
Estimations of the gamma-ray pulsar coordinates and its proper motion could be
obtained independently on its optical or radio component, and are available in
their absence.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 16:35:55 GMT""}]","2007-05-23"
"astro-ph/9707191","G. S. Bisnovatyi-Kogan","G.S.Bisnovatyi-Kogan","Gamma Ray Burst Source Statistics in the Presence of Stochastic Errors","12 pages, 2 figures",,,,"astro-ph",,"  Selection effects, connected with stochastic errors in source flux and
threshold value determination are analyzed. Normal and normal logarithmic
distributions of stochastic deviations are considered. These two kind of
distributions produce different effects on the source statistics. Applications
to Gamma Ray Burst statistics are discussed. A physical test for checking a
close neutron star model of GRBs is suggested.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 17:10:31 GMT""}]","2007-05-23"
"astro-ph/9707192","David Leisawitz","D.J. Fixsen, J.L. Weiland, S. Brodd, M.G. Hauser, T. Kelsall, D.T.
  Leisawitz, J.C. Mather, K.A. Jensen, R.A. Shafer, R.F. Silverberg","Comparison of the COBE FIRAS and DIRBE Calibrations","Accepted for publication in the Astrophysical Journal 11 pages, plus
  3 figures in separate postscript files. Figure 3 has three parts",,"10.1086/304906","COBE Preprint 97-1","astro-ph",,"  We compare the independent FIRAS and DIRBE observations from the COBE in the
wavelength range 100-300 microns. This cross calibration provides checks of
both data sets. The results show that the data sets are consistent within the
estimated gain and offset uncertainties of the two instruments. They show the
possibility of improving the gain and offset determination of DIRBE at 140 and
240 microns.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 17:58:28 GMT""}]","2009-10-30"
"astro-ph/9707193","Jordi Miralda-Escude","Jordi Miralda-Escude and Martin J. Rees","Searching for the Earliest Galaxies using the Gunn-Peterson Trough and
  the Lyman Alpha Emission Line","ApJ, in press. Substantial revision and a new figure included",,"10.1086/305458",,"astro-ph",,"  If the universe was reionized by O and B stars in an early population of
galaxies, the associated supernovae should have enriched the universe to a mean
metallicity $\bar Z = 10^{-5} (1+ n_{rec})$, where $n_{rec}$ is the mean number
of times that each baryon recombined during the reionization era. This is
consistent with recent observations of the metallicity in the Lya forest at
$z\simeq 3$. The mean surface brightness observable at present from the
galaxies that produced these heavy elements, in the rest-frame wavelengths
$1216\AA < \lambda \lesssim 2500\AA$, should be $\sim 10^{-6} (\bar Z/10^{-4})
(\Omega_b h^2/0.02) ~ photons \cm^{-2} s^{-1} arcsec^{-2}$. Most of this
radiation was emitted at $z>5$, before reionization was complete. These
high-redshift galaxies may be detectable in near-infrared photometric surveys,
identifying them via the Gunn-Peterson trough (analogous to the use of the
Lyman limit cutoff to search for galaxies at $z\sim 3$, where the Lya forest
blanketing is smaller). Their spectrum may also be characterized by a strong
Lya emission line. However, the spectra of galaxies seen behind intervening gas
that is still neutral should show the red damping wing of the Gunn-Peterson
trough, with a predictable profile that obstructs part of the Lya emission. The
low-mass galaxies formed before reionization might constitute a distinctive
population; we discuss the signature that this population could have in the
faint number counts. Although most of these galaxies should have merged into
larger ones, those that survived to the present could be dwarf spheroidals.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 18:42:13 GMT""},{""version"":""v2"",""created"":""Fri, 25 Jul 1997 20:20:52 GMT""},{""version"":""v3"",""created"":""Wed, 5 Nov 1997 14:09:51 GMT""}]","2009-10-30"
"astro-ph/9707194","Isabel Marquez Perez","M. Moles, J. W. Sulentic and I. M\'arquez","The dynamical status of Stephan's Quintet","5 pages, 2x3 figures, to be published in ApJ Letters",,"10.1086/310817",,"astro-ph",,"  Multiwavelength data for Stephan's Quintet (SQ) are consistent with the
following model for this compact galaxy group. (1) Discordant redshift NGC 7320
is an unrelated foreground galaxy. (2) In the past SQ was an accordant redshift
quartet involving NGC 7317, 18A, 19 and 20C. NGC 7320C collided (probably not
for the first time) with the group a few times 10$^8$ years ago and stripped
the interstellar matter from NGC 7319. (3) In the present SQ is again an
accordant quartet involving NGC 7317, 18A,B, and 19. NGC 7318B is now entering
the group at high velocity for the first time, giving rise to a shock zone. If
most compact groups are like SQ, then they are frequently visited by infalling
n eighbors that perturb the group and themselves. SQ represents strong evidence
for secondary infall in a small group environment. Tidal stripping reduces the
mass of the infalling galaxies, thereby increasing the timescale for their
orbital decay. There is little evidence that these high velocity ``intruders''
are rapidly captured and/or merge with the system. Instead they are the
mechanism that sustains compact groups against collapse. Efficient gas
stripping may account for the low star formation rate observed in compact
groups and infall of residual gas into galactic nuclei may also foster the
onset of AGN activity.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 19:15:01 GMT""}]","2009-10-30"
"astro-ph/9707195","Michael Bietenholz","M. F. Bietenholz, N. Kassim, D. A. Frail, R. A. Perley, W. C.
  Erickson, A. R. Hajian","The Radio Spectral Index of the Crab Nebula","20 pages, Latex, requires aaspp4.sty",,"10.1086/304853",,"astro-ph",,"  We present the results of a new, comprehensive investigation of the radio
spectral index of the Crab Nebula supernova remnant. New data at 74 MHz are
combined with data at 327 MHz, 1.5 GHz and 5 GHz. In contrast to previous
claims, little spatial variation in the spectral index is seen. In particular,
between 327 MHz and 5 GHz we see no evidence of spectral steepening near the
edge of the nebula, the ``jet'' or the ionized filaments. The rms limits on any
spectral index variations in these regions amount to no more than 0.01. We
believe that earlier reports of large steepening were the result of correlator
bias and image registration problems. An elongated feature was detected
1\arcmin northwest of the pulsar which may be a continuation of the well-known
wisp-like structures seen closer to the center of the nebula. At 74 MHz, we see
for the first time evidence of free-free absorption by the thermal material in
the Crab Nebula's filaments. Apart from some possible renewed acceleration
occurring in the wisps, the dominant accelerator of relativistic electrons in
the Crab Nebula is the pulsar itself.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 23:08:48 GMT""}]","2009-10-30"
