"adap-org/9707004","Damian Zanette","D.H. Zanette and A.S. Mikhailov (Fritz-Haber-Institut der
  Max-Planck-Gesellschaft)","Condensation in Globally Coupled Populations of Chaotic Dynamical
  Systems","11 pages, 4 figures, revtex",,"10.1103/PhysRevE.57.276",,"adap-org nlin.AO",,"  The condensation transition, leading to complete mutual synchronization in
large populations of globally coupled chaotic Roessler oscillators, is
investigated. Statistical properties of this transition and the cluster
structure of partially condensed states are analyzed.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 17:50:27 GMT""}]","2009-10-30"
"adap-org/9707005","Damian Zanette","D.H. Zanette and A.S. Mikhailov (Fritz-Haber Institut der
  Max-Planck-Gesellschaft)","Coherence and clustering in ensembles of neural networks","9 pages, 4 figures, revtex",,,,"adap-org nlin.AO q-bio",,"  Large ensembles of globally coupled chaotic neural networks undergo a
transition to complete synchronization for high coupling intensities. The onset
of this fully coherent behavior is preceded by a regime where clusters of
networks with identical activity are spontaneously formed. In these regimes of
coherent collective evolution the dynamics of each neural network is still
chaotic. These results may be relevant to the study of systems where
interaction between elements is able to give rise to coherent complex behavior,
such as in cortex activity or in insect societies.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 17:51:10 GMT""}]","2008-02-03"
"astro-ph/9707247","P. Frank Winkler","P. Frank Winkler (Middlebury College, Middlebury, VT, USA) and Knox S.
  Long (Space Telescope Science Institute, Baltimore, MD, USA)","A Second UV ""Light Bulb"" behind the SN 1006 Remnant","7 pages plus 3 figures: Fig 1 is postscript, Fig 2 and Fig 3 are
  jpeg. Latex, uses aaspp4.sty",,"10.1086/310850",,"astro-ph",,"  A point X-ray source located 9 arcmin northeast of the center of SN~1006 has
been spectroscopically identified as a background QSO, with a redshift of
0.335. The object is moderately bright, with magnitude V=18.3. If its
ultraviolet spectrum is typical of low-z quasars, this object will be a second
(after the Schweizer-Middleditch star) source to use for absorption
spectroscopy of material within SN 1006. Absorption spectra provide a unique
probe for unshocked ejecta within this supernova remnant, and can possibly
solve the long-standing problem of ""missing"" iron in the remnants of Type Ia
supernovae.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 16:29:11 GMT""}]","2009-10-30"
"astro-ph/9707248",,"Michael A. Strauss, Jeremiah P. Ostriker, Renyue Cen (Princeton
  University)","The Galaxy Pairwise Velocity Dispersion as a Function of Local Density","21 pages Latex with 6 embedded figures, submitted to ApJ",,"10.1086/305211",,"astro-ph",,"  The standard method of measuring the galaxy pairwise velocity dispersion on
small scales is heavily weighted by the densest regions in a way that is
difficult to calibrate. We propose a new statistic which measures the
small-scale velocity dispersion as an explicit function of density. Computing
this statistic for a volume-limited subsample of the Optical Redshift Survey,
we find that the small-scale velocity dispersion rises from 220 to 760 km/s as
density increases. We calculate this statistic for a series of mock catalogs
drawn from a hydrodynamic simulation of an \Omega h = 0.5 Cold Dark Matter
universe (standard CDM), and find that the observed velocity distribution lies
~1 \sigma below the simulations in each of eight density bins, formally ruling
out this model at the 7.4 \sigma level, quantifying the well-known problem that
this model produces too high a velocity dispersion. This comparison is
insensitive to the normalization of the power spectrum, although it is quite
sensitive to the density and velocity bias of galaxies relative to dark matter
on small scales. (abridged)
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 18:26:28 GMT""}]","2009-10-30"
"astro-ph/9707249","Kevin Krisciunas","K. Krisciunas","The Discovery of Non-Radial Gravity-mode Pulsations in $\gamma$
  Doradus-Type Stars","8 pages, 4 figures, to be published in proceedings of IAU Symposium
  185, Pushing the Limits of Helio- and Asteroseismology with New Observations
  from Ground and from Space (Kyoto, 18-22 August 1997). Contains final
  Comments (?!) regarding 51 Peg-type stars",,,,"astro-ph",,"  Over two dozen early F-type variable stars have been identified which
constitute a new class of pulsating stars. These stars typically have periods
between 0.5 and 3 days with V-band variability of several hundredths of a
magnitude. Given the time scale of the variability, the pulsations would have
to be non-radial gravity-mode pulsations. The pulsational nature of some of
these stars has been proven by means of coordinated multi-longitude photometric
campaigns, radial velocity (RV) variations and line profile (LP) variations,
indicating low degree spherical harmonics ($\ell$ = 3 or less). Evidence is
that these stars are younger than 300 Myr; one would surmise that a rapid onset
of convection in their outer photospheric layers puts an end to the pulsations.
Further observation and modeling of these stars is important for our
understanding of stellar evolution, the search for $g$-modes in the Sun, and is
even relevant to the interpretation of radial velocity variations of solar-type
stars (e.g. 51 Peg) in the search for extrasolar planets.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 19:12:54 GMT""},{""version"":""v2"",""created"":""Tue, 7 Oct 1997 23:51:42 GMT""},{""version"":""v3"",""created"":""Wed, 22 Oct 1997 15:46:16 GMT""},{""version"":""v4"",""created"":""Mon, 24 Nov 1997 16:17:33 GMT""}]","2008-02-03"
"astro-ph/9707250","Bram Boroson","B. Boroson, W. P. Blair, A. F. Davidsen, S. D. Vrtilek, J. Raymond, K.
  S. Long, R. McCray","Hopkins Ultraviolet Telescope Observations of Her X-1","19 pages, 5 figures, accepted by the Astrophysical Journal",,"10.1086/304995",,"astro-ph",,"  We have obtained a far-ultraviolet spectrum of the X-ray binary Hercules
X-1/HZ Herculis using the Hopkins Ultraviolet Telescope aboard the Astro-1
space shuttle mission in 1990 December. This is the first spectrum of Her X-1
that extends down to the Lyman limit at 912 A. We observed emission lines of O
VI, N V, and C IV, and the far UV continuum extending to the Lyman limit. We
examine the conditions of the emitting gas through line strengths, line ratios,
and doublet ratios. The UV flux is lower by about a factor of 2 than expected
at the orbital phase of the observation. We model the UV continuum with a
simple power-law and with a detailed model of an X-ray-illuminated accretion
disk and companion star. The power-law provides a superior fit, as the detailed
model predicts too little flux below 1200 A. We note, however, that there are
uncertainties in the interstellar reddening, in the background airglow
spectrum, and in the long-term phase of the accretion disk. We have searched
the data for UV line and continuum pulsations near the neutron star spin period
but found none at a detectable level.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 20:07:59 GMT""}]","2009-10-30"
"astro-ph/9707251","Craig Sosin","Craig Sosin","Mass Segregation and Equipartition of Energy in Two Globular Clusters
  with Central Density Cusps",,,"10.1086/118581",,"astro-ph",,"  We begin by presenting the analysis of a set of deep B- and V-band images of
the central density cusp of the globular cluster M30 (NGC 7099), taken with the
Faint Object Camera aboard the Hubble Space Telescope. These images are the
first to resolve lower-mass main-sequence stars in the cluster's central 10''.
From the positions of individual stars, we measure an improved position for the
cluster center; this new position is 2.6'' from the previously known position.
We find no evidence of a ``flat'', constant-surface-density core; however, the
data do not rule out the presence of a core of radius up to 1.9'' (95%
confidence level). We measure a logarithmic cusp slope (d \log \sigma / d \log
r$) of -0.76 +- 0.07 (1-sigma) for stars with masses between 0.69 and 0.76
\Msun, and -0.82 +- 0.11 for stars with masses between 0.57 and 0.69 \Msun. We
also compare the overall mass function (MF) of the cluster cusp with the MF of
a field at r = 4.6' (near the cluster half-mass radius). The observed degree of
mass segregation is well matched by the predictions of an isotropic, multimass
King model. We then use the Jeans equation to compare the structure of M30 with
that of M15, another cusped cluster, using data from this and a previous paper.
We find that M30 is very close to achieving equipartition of energy between
stellar species, at least over the observed range in mass and radius, while M15
is not. This difference may be a result of the longer relaxation time in the
observed field in M15. The data also suggest that the degree of mass
segregation within the two cluster cusps is smaller than one would expect from
the measurements at larger radius. If so, this phenomenon might be the result
of gravothermal oscillations, of centrally-concentrated populations of
binaries, or of a ~10^3 \Msun black hole in one or more clusters.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 23:16:27 GMT""}]","2016-08-30"
"astro-ph/9707252",,"P.Platania, M.Bensadoun, M.Bersanelli, G.De Amici, A.Kogut, S.Levin,
  D.Maino, G.F.Smoot","A Determination of the Spectral Index of Galactic Synchrotron Emission
  in the 1-10 GHz range","12 pages, 8 figures",,"10.1086/306175",,"astro-ph",,"  We present an analysis of simultaneous multifrequency measurements of the
Galactic emission in the 1-10 GHz range with 18 degrees, angular resolution
taken from a high altitude site. Our data yield a determination of the
synchrotron spectral index between 1.4 GHz and 7.5 GHz of 2.81 +/- 0.16.
Combining our data with the maps from Haslam et al. (1982) and Reich & Reich
(1986) we find 2.76 +/- 0.11 in the 0.4 - 7.5 GHz range. These results are in
agreement with the few previously published measurements. The variation of
spectral index with frequency based on our results and compared with other data
found in the literature suggests a steepening of the synchrotron spectrum
towards high frequencies as expected from theory, because of the steepening of
the parent cosmic ray electron energy spectrum. Comparison between the Haslam
data and the 19 GHz map (Cottingham 1987) also indicates a significant spectral
index variation on large angular scale. Addition quality data are necessary to
provide a serious study of these effects.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 22:33:04 GMT""}]","2009-10-30"
"astro-ph/9707253","Anthony Brown","M.A.C. Perryman, A.G.A. Brown, Y. Lebreton, A. Gomez, C. Turon, G.
  Cayrel de Strobel, J.C. Mermilliod, N. Robichon, J. Kovalevsky, F.Crifo","The Hyades: distance, structure, dynamics, and age","Accepted for publication in Astronomy and Astrophysics, 40 pages,
  including 35 PS -figures, uses AA tex-macros, PS-version available at
  http://www.strw.leidenuniv.nl/~brown/hyades.html","Astron.Astrophys.331:81,1998",,"STW 390-97","astro-ph",,"  We use absolute trigonometric parallaxes from the Hipparcos Catalogue to
determine individual distances to members of the Hyades cluster, from which the
3-dimensional structure of the cluster can be derived. Inertially-referenced
proper motions are used to rediscuss distance determinations based on
convergent-point analyses. A combination of parallaxes and proper motions from
Hipparcos, and radial velocities from ground-based observations, are used to
determine the position and velocity components of candidate members with
respect to the cluster centre, providing new information on cluster membership:
13 new candidate members within 20 pc of the cluster centre have been
identified. Farther from the cluster centre there is a gradual merging between
certain cluster members and field stars, both spatially and kinematically.
Within the cluster, the kinematical structure is fully consistent with parallel
space motion of the component stars with an internal velocity dispersion of
about 0.3 km/s. The spatial structure and mass segregation are consistent with
N-body simulation results, without the need to invoke expansion, contraction,
rotation, or other significant perturbations of the cluster. The quality of the
individual distance determinations permits the cluster zero-age main sequence
to be accurately modelled. The helium abundance for the cluster is determined
to be Y=0.26+/-0.02 which, combined with isochrone modelling including
convective overshooting, yields a cluster age of 625+/-50 Myr. The distance to
the observed centre of mass is 46.34+/-0.27 pc, corresponding to a distance
modulus m-M=3.33+/-0.01 mag for the objects within 10 pc of the cluster centre
(roughly corresponding to the tidal radius). Discrepancies with previous
distance estimates are investigated and explained.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 12:54:31 GMT""}]","2009-09-25"
"astro-ph/9707254","Emilio E. Falco","A. G. Michalitsianos (GSFC), E. E. Falco, J. A. Munoz (SAO) P. Hintzen
  and D. Kazanas (GSFC)","The detection of the lambda 2175 A feature, and further analysis of the
  BAL line profile structure in the gravitational lens candidate UM425","13 pp, 2 figs, Accepted by ApJL",,"10.1086/310903",,"astro-ph",,"  We obtained MMT spectra of the gravitational lens candidate UM425 to compare
the redshifts and line profile structures of lens components A and B, which are
separated by ~6.5"". The CIV lambda 1550 A emission in both A and B exhibits
Broad Absorption Line (BAL) structure, consistent with the earlier detection of
BAL structure in OVI lambda 1033 A and NV lambda 1240 A that was found with the
International Ultraviolet Explorer (IUE) in component A. Cross-correlation of
the spectra of A and B using emission lines of CIV lambda 1550 A, HeII lambda
1640 A, NIII lambda 1750 A, CIII] lambda 1909 A and MgII lambda 2800 A reveals
a difference in the redshifts of A & B. However, the detailed BAL line profile
structure found in spectra of A & B are strikingly similar to one another,
which suggests the system is lensed. The spectra of A & B also indicate
significant dust extinction, which we base on the presence of the lambda 2175 A
absorption feature in the rest frame of the QSO (z_{QSO}=1.47). This feature is
commonly seen in galactic sources, but is not generally observed in QSO
spectra. Our spectra show the presence of the lambda 2175 A absorption feature
in spectra of both images associated with the gravitational lens UM425. Based
upon the strong similarity of BAL line profile structure exhibited by UM425A&B,
particularly the presence of the lambda 2175 dust absorption feature in spectra
of both images, we conclude that UM425 is a gravitational lens.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 15:38:34 GMT""}]","2009-10-30"
"chao-dyn/9707017","S. Y. Kim","Sang-Yoon Kim, S.H. Shin, J. Yi, and J.W. Jang (Kangwon National
  University, Korea)","Experimental Study of Bifurcations in A Parametrically Forced Pendulum","RevTeX, 7 eps figures included in this revised version",,,,"chao-dyn cond-mat nlin.CD",,"  An experimental study of bifurcations associated with stability of stationary
points (SP's) in a parametrically forced magnetic pendulum and a comparison of
its results with numerical results are presented. The critical values for which
the SP's lose or gain their stability are experimentally measured by varying
the two parameters $\Omega$ (the normalized natural frequency) and $A$ (the
normalized driving amplitude). It is observed that, when the amplitude $A$
exceeds a critical value, the normal SP with $\theta=0$ ($\theta$ is the angle
between the permanent magnet and the magnetic field) becomes unstable either by
a period-doubling bifurcation or by a symmetry-breaking pitchfork bifurcation,
depending on the values of $\Omega$. However, in contrast with the normal SP
the inverted SP with $\theta=\pi$ is observed to become stable as $A$ is
increased above a critical value by a pitchfork bifurcation, but it also
destabilizes for a higher critical value of $A$ by a period-doubling
bifurcation. All of these experimental results agree well with numerical
results obtained using the Floquet theory.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 05:31:16 GMT""}]","2008-02-03"
