"alg-geom/9707015","Arnaud Beauville","Arnaud Beauville","Fano contact manifolds and nilpotent orbits","Plain TeX. Postscript file available at
  http://www..dmi.ens.fr/users/beauvill/",,,,"alg-geom math.AG",,"  A contact structure on a complex manifold M is a corank 1 subbundle F of T(M)
such that the bilinear form on F with values in the quotient line bundle
L=T(M)/F deduced from the Lie bracket of vector fields is everywhere
non-degenerate. In this paper we consider the case where M is a Fano manifold;
this implies that L is ample. If g is a simple Lie algebra, the unique closed
orbit in P(g) (for the adjoint action) is a Fano contact manifold; it is
conjectured that every Fano contact manifold is obtained in this way. A
positive answer would imply an analogous result for compact quaternion-Kahler
manifolds with positive scalar curvature, a longstanding question in Riemannian
geometry. In this paper we solve the conjecture under the additional
assumptions that the group of contact automorphisms of M is reductive, and that
the image of the rational map M - - -> P(H0(M,L)*) associated to L has maximum
dimension. The proof relies on the properties of the nilpotent orbits in a
semi-simple Lie algebra, in particular on the work of R. Brylinski and B.
Kostant.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 08:02:40 GMT""}]","2008-02-03"
"astro-ph/9707255","David Hughes","D. H. Hughes, J. S. Dunlop (Edinburgh University)","Using New Submillimetre Surveys to Identify the Evolutionary Status of
  High-z Galaxies","6 pages, 3 postscript figures, LaTex uses Kluwer book style file
  crckapb10.sty, to appear in ""Observational Cosmology with the New Radio
  Surveys"", 13-15 January 1997, Puerto de la Cruz, Tenerife, M.Bremer,
  N.Jackson, I.Perez-Fournon (eds.), Kluwer",,"10.1007/978-94-011-5238-9_46",,"astro-ph",,"  This paper describes a key submillimetre survey which we are currently
conducting to address some of the outstanding questions in cosmology - how, at
what epoch and over what period of time did massive galaxies form at high
redshift? A summary of the technical feasibility of future submillimetre
observations with new ground-based, airborne and satellite telescopes is also
presented.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 16:10:28 GMT""}]","2016-01-27"
"astro-ph/9707256","Henri M. J. Boffin","Hiroshi Yukawa (1), Henri M.J. Boffin (2), Takuya Matsuda (1) ((1)
  Kobe University, (2) University of Wales, Cardiff)","Spiral Shocks in 3D Accretion Discs","Accepted for publications in MNRAS; 8 pages, 12 figures. Postscript
  figures available from the authors",,,,"astro-ph",,"  We have performed three-dimensional numerical simulations of accretion discs
in a close binary system using the Smoothed Particle Hydrodynamics method. Our
result show that, contrary to previous claims, 3D discs do exist even when the
specific heat ratio of the gas is as large as gamma=1.2. Although the disc is
clearly more spread in the z-direction in this case than it is for the
quasi-isothermal one, the disc height is compatible with the hydrostatic
balance equation. Our numerical simulations with gamma=1.2 also demonstrate
that spiral shocks exist in 3D discs. These results therefore confirm previous
2D simulations.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 17:25:14 GMT""}]","2009-09-25"
"astro-ph/9707257","Nick Gnedin","Nickolay Y. Gnedin","Probing the universe with the Lyman-alpha forest: III. The mean opacity
  of the IGM","WITHDRAWN",,,,"astro-ph",,"  The paper is withdrawn.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 17:48:41 GMT""},{""version"":""v2"",""created"":""Mon, 28 Jul 1997 17:14:04 GMT""},{""version"":""v3"",""created"":""Thu, 29 Jan 1998 00:50:00 GMT""}]","2008-02-03"
"astro-ph/9707258","Roger Coziol","Carlos A. O. Torres (LNA/CNPq), Germano R. Quast (LNA/CNPq), Roger
  Coziol (LNA/CNPq), Francisco Jablonski (INPE), Ramiro de la Reza (ON),
  Jacques R. D. Lepine (IAG), Jane Gregorio-Hetem (IAG)","Discovery of a Luminous Quasar in the Nearby Universe","12 pages, LaTeX (aasms4.sty) + 3 figures; accepted for publication in
  the Astrophysical Journal Letters",,"10.1086/310913","LNA-03-1997","astro-ph",,"  In the course of the Pico dos Dias survey (PDS), we identified the stellar
like object PDS456 at coordinates alpha = 17h 28m 19.796s, delta = -14deg 15'
55.87'' (epoch 2000), with a relatively nearby (z = 0.184) and bright (B =
14.69) quasar. Its position at Galactic coordinates l_II = 10.4deg, b_II =
+11.2deg, near the bulge of the Galaxy, may explain why it was not detected
before. The optical spectrum of PDS456 is typical of a luminous quasar, showing
a broad (FWHM ~ 4000 km/s) H_\beta line, very intense FeII lines and a weak
[OIII]\lambda5007 line. PDS456 is associated to the infrared source IRAS
17254-1413 with a 60 \mum infrared luminosity L_{60} = 3.8 x 10^{45} erg/s. The
relatively flat slopes in the infrared (\alpha(25,60) = -0.33 and \alpha(12,25)
= -0.78) and a flat power index in the optical (F_{\nu} \propto \nu^{-0.72})
may indicate a low dust content. A good match between the position of PDS456
and the position of the X-ray source RXS J172819.3-141600 implies an X-ray
luminosity L_x = 2.8 x 10^{44} erg/s. The good correlation between the strength
of the emission lines in the optical and the X-ray luminosity, as well as the
steep optical to X-ray index estimated (\alpha_{ox} = -1.64) suggest that
PDS456 is radio quiet. A radio survey previously performed in this region
yields an upper limit for radio power at ~ 5 GHz of ~ 2.6 x 10^{30} erg/s/Hz.
We estimate the Galactic reddening in this line-of-sight to be A_B \simeq 2.0,
implying an absolute magnitude M_B = -26.7 (using H_0 = 75 km s^{-1} Mpc^{-1}
and q_0 = 0). In the optical, PDS456 is therefore 1.3 times more luminous than
3C 273 and the most luminous quasar in the nearby (z \leq 0.3) Universe.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 18:21:25 GMT""}]","2009-10-30"
"astro-ph/9707259","Dipak Munshi","D. Munshi, L. Y. Chiang, P. Coles, A. L. Melott","Non-local scaling in two-dimensional gravitational clustering","5 pages, Latex file, 2 Postscript Figures","Mon.Not.Roy.Astron.Soc. 293 (1998) L68-L72","10.1046/j.1365-8711.1998.01313.x",,"astro-ph",,"  Using an ensemble of high resolution 2D numerical simulations, we explore the
scaling properties of cosmological density fluctuations in the non-linear
regime. We study the scaling behaviour of the usual $N$--point volume-averaged
correlations, and also examine the scaling of the entire probability density
function (pdf) of the fluctuations. We focus on two important issues: (i)
whether the scaling behaviour of 2D clustering is consistent with what one
infer from radial collapse arguments; and (ii) whether there is any evidence
from these high-resolution simulations that a regime of stable clustering is
ever entered. We find that the answers are (i) yes and (ii) no. We further find
that the behaviour of the highly non-linear regime in these simulations
suggests the existence of a regime where the correlation function is
independent of the initial power spectrum.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 21:44:12 GMT""}]","2009-10-30"
"astro-ph/9707260","Adam Riess","A. G. Riess (UCB), A. V. Filippenko (UCB), D. C. Leonard(UCB), B. P.
  Schmidt (MSSO), N. Suntzeff (CTIO), M. M. Phillips (CTIO), R. Schommer
  (CTIO), A. Clocchiatti,(CTIO) R. P. Kirshner (Cfa), P. Garnavich (Cfa), P.
  Challis (Cfa), B. Leibundgut (ESO), J. Spyromilio (ESO), R. C. Smith (UM)","Time Dilation from Spectral Feature Age Measurements of Type Ia
  Supernovae","14 pages (LaTex), 7 postscript figures to Appear in the Astronomical
  Journal","Astron.J. 114 (1997) 722","10.1086/118506",,"astro-ph",,"  We have developed a quantitative, empirical method for estimating the age of
Type Ia supernovae (SNe Ia) from a single spectral epoch. The technique
examines the goodness of fit of spectral features as a function of the temporal
evolution of a large database of SNe Ia spectral features. When a SN Ia
spectrum with good signal-to-noise ratio over the rest frame range 3800 to 6800
A is available, the precision of a spectral feature age (SFA) is (1-sigma) ~
1.4 days. SFA estimates are made for two spectral epochs of SN 1996bj (z=0.574)
to measure the rate of aging at high redshift. In the 10.05 days which elapsed
between spectral observations, SN 1996bj aged 3.35 $\pm$ 3.2 days, consistent
with the 6.38 days of aging expected in an expanding Universe and inconsistent
with no time dilation at the 96.4 % confidence level. The precision to which
individual features constrain the supernova age has implications for the source
of inhomogeneities among SNe Ia.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 01:26:13 GMT""}]","2009-10-30"
"astro-ph/9707261","Adam Riess","Adam G. Riess (UCB), Marc Davis(UCB), Jonathan Baker(UCB), Robert P.
  Kirshner(CfA)","The Velocity Field from Type Ia Supernovae Matches the Gravity Field
  from Galaxy Surveys","16 pages (LaTex), 3 postscript figures",,"10.1086/310917",,"astro-ph",,"  We compare the peculiar velocities of nearby SNe Ia with those predicted by
the gravity fields of full sky galaxy catalogs. The method provides a powerful
test of the gravitational instability paradigm and strong constraints on the
density parameter beta = Omega^0.6/b. For 24 SNe Ia within 10,000 km/s we find
the observed SNe Ia peculiar velocities are well modeled by the predictions
derived from the 1.2 Jy IRAS survey and the Optical Redshift Survey (ORS). Our
best $\beta$ is 0.4 from IRAS, and 0.3 from the ORS, with beta>0.7 and
beta<0.15 ruled out at 95% confidence levels from the IRAS comparison.
Bootstrap resampling tests show these results to be robust in the mean and in
its error. The precision of this technique will improve as additional nearby
SNe Ia are discovered and monitored.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 01:27:07 GMT""}]","2009-10-30"
"astro-ph/9707262","Ferrara Andrea","Andrea Ferrara (Arcetri)","Probing ISM Models with H-alpha observations","9 pages, plain LaTeX, 5 figures; Invited Talk at the ""AAO/UKST
  Galactic Plane H-alpha Survey"" International Workshop, Sydney, Australia",,"10.1071/AS98019",,"astro-ph",,"  I review the capabilities of H$\alpha$ observations to constrain some aspects
of the current models of the interstellar medium. In particular, it is shown
that turbulence is a necessary ingredient of any viable model, since most of
the energy produced by supernova explosions and ionizing radiation is stored in
kinetic form in the ISM. Various forms of turbulent energy dissipation,
including cloud collisions, are analyzed. Two additional aspects, concerning
the existence of galactic fountains and their relation with High Velocity
Clouds, and the extended ionized layer of spiral galaxies are discussed; some
crucial experiments are suggested.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 08:33:25 GMT""}]","2015-06-24"
"astro-ph/9707263","Ennio Poretti","Ennio Poretti, Federica Musazzi (Osservatorio Astronomico di Brera,
  Merate, Italy)","Stellar Variability in the Lower Part of the Instability Strip","4 pages, 1 figure. LaTeX (paspconf.sty). To be published in the
  proceedings of the 86th AAVSO Spring Meeting `Variable Stars: New Frontiers',
  Astronomical Society Pacific Conference Series",,,,"astro-ph",,"  The photometric properties of the variable stars located in the lower part of
the classical instability strip are discussed. The importance of the
determination of some light curve parameters and their connection with the
stellar models are stressed, with a particular emphasis on large amplitude
Delta Sct (DSCT) stars.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 13:27:27 GMT""}]","2007-05-23"
"astro-ph/9707264","H. Matsuhara","Hideo Matsuhara(1), Masahiro Tanaka(1, 2), Yoshinori Yonekura(1),
  Yasuo Fukui(1), Mitsunobu Kawada(2) and James. J. Bock(3) ((1) Nagoya
  University, (2) ISAS, (3) Caltech)","Observations of [C II] 158 micron Line and Far-infrared Continuum
  Emission toward the High-latitude Molecular Clouds in Ursa Major","15 pages, LaTeX (aaspp4.sty) + 2 tables(apjpt4.sty) + 6 postscript
  figures; accepted for publication in the Astrophysical Journal; Astrophys. J.
  in press (Vol. 490, December 1, 1997 issue)",,"10.1086/304895","DPNU-97-35","astro-ph",,"  We report the results of a rocket-borne observation of [C II] 158\micron line
and far-infrared continuum emission at 152.5\micron toward the high latitude
molecular clouds in Ursa Major. We also present the results of a follow-up
observation of the millimeter ^{12}CO J=1-0 line over a selected region
observed by the rocket-borne experiment. We have discovered three small CO
cloudlets from the follow-up ^{12}CO observations. We show that these molecular
cloudlets, as well as the MBM clouds(MBM 27/28/29/30), are not gravitationally
bound. Magnetic pressure and turbulent pressure dominate the dynamic balance of
the clouds. After removing the HI-correlated and background contributions, we
find that the [C II] emission peak is displaced from the 152.5\micron and CO
peaks, while the 152.5\micron continuum emission is spatially correlated with
the CO emission. We interpret this behavior by attributing the origin of [C II]
emission to the photodissociation regions around the molecular clouds
illuminated by the local UV radiation field. We also find that the ratio of the
molecular hydrogen column density to velocity-integrated CO intensity is
1.19+-0.29x10^{20} cm^{-2} (K kms^{-1})^{-1} from the FIR continuum and the CO
data. The average [C II] /FIR intensity ratio over the MBM clouds is 0.0071,
which is close to the all sky average of 0.0082 reported by the FIRAS on the
COBE satellite. The average [C II]/CO ratio over the same regions is 420, which
is significantly lower than that of molecular clouds in the Galactic plane.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 12:24:34 GMT""}]","2009-10-30"
