"alg-geom/9707016","Sean Keel","Sean Keel and James McKernan","Rational Curves on Quasi-Projective Surfaces","159 pages",,,,"alg-geom math.AG",,"  The main result is that a quasi-projective surface has negative log Kodaira
dimension (i.e. no log pluricanonical sections) iff it is dominated by images
of the affine line. This follows from our main intermediate result, that the
smooth locus of a log Fano surface is rationally connected. We also give a
classification of all but a bounded family of rank one log del Pezzo surfaces.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 17:26:45 GMT""}]","2008-02-03"
"astro-ph/9707274","J. Robert Buchler","J. Robert Buchler (Unversity of Florida)","Nonlinear Pulsations","Review talk, Proceedings ""A Half Century of Stellar Pulsation
  Interpretation: A Tribute to Art Cox"", Los Alamos, June 1997, to appear in
  Conf. Ser. of the Astronomical Society of the Pacific",,,,"astro-ph chao-dyn nlin.CD",,"  We review some of the recent advances in nonlinear pulsation theory, but also
insist on some of the major extant shortcomings.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 16:35:32 GMT""}]","2009-09-25"
"astro-ph/9707281","Mark Neeser","Mark J. Neeser, Klaus Meisenheimer, and Hans Hippelein
  (Max-Planck-Institut fuer Astronomie, Heidelberg, Germany)","A Detailed Study of the Complex Line-Emission Regions in the Radio
  Galaxy 3C34","24 text pages + 9 postscript figures (figure 5 is in colour). To
  appear in the December 10, 1997 issue of the Astrophysical Journal (vol 491)",,"10.1086/304975",,"astro-ph",,"  We present the results of an extensive Fabry-Perot investigation of the
extended line-emission gas surrounding powerful radio galaxies. High spatial
(1.4 arcsec) and kinematical (400 km/s) resolution observations of the
[OII]3727 emission-line of the powerful, double radio source 3C34 (z=0.689) are
given. We present evidence that anisotropic radiation emanating from a hidden
AGN is responsible for photoionizing a line-emission region extending more than
120 kpc. This is indicated by the distinctively bi-conical morphology of 3C34's
[OII] gas. A number of line-emission components may also show various degrees
of `shadowing' outward from the central ionizing source. A simple
photoionization model is used to show that this interpretation is energetically
viable on these length scales. The luminosity of the hidden central AGN,
necessary to account for the observed [OII] luminosity, is compatible with that
of a typical 3CR quasar at a similar redshift. Although this interpretation can
account for the excitation and most of the unique shape of the warm gas, it is
insufficient to explain the velocity and line-width structures observed with
our Fabry-Perot interferometer. Therefore, we also propose that the illuminated
medium surrounding 3C34 is the result of gas swept aside by the lateral
expansion and backflow of the radio source lobes.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 16:46:52 GMT""}]","2009-10-30"
"astro-ph/9707283","Thomas K. Gaisser","T. K. Gaisser (Bartol Research Institute, University of Delaware)","Neutrino Astronomy: Physics Goals, Detector Parameters","10 pages, LaTeX plus 9 postscript figures. (Talk given at the OECD
  Megascience Forum Workshop, Taormina, Sicily, 22/23 May, 1997.)",,,,"astro-ph",,"  This is a review of high energy neutrino astronomy that might be done with a
kilometer-scale detector. The emphasis is on diffuse neutrinos of extragalactic
origin and their relation to possible sources of the highest energy cosmic
rays, such as active galaxies, cosmological gamma-ray burst sources and
topological defects.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 18:20:08 GMT""}]","2007-05-23"
"astro-ph/9707284","Sebastian Heinz","S.Heinz and M.C.Begelman (JILA, Boulder)","Analysis of the Synchrotron Emission from the M87 Jet","44 pages, Latex, 8 postscript figures. Accepted for publication in
  ApJ",,"10.1086/304898",,"astro-ph",,"  We propose that the intensity changes and spectral evolution along the M87
jet can be explained by adiabatic changes to the particle momentum distribution
function and the magnetic field. This is supported by the lack of any
significant variation in the radio-to-optical spectral index along the jet and
the moderate changes in radio brightness. Assuming a simple scaling law between
magnetic field and density, we use the deprojection of a 2 cm VLA intensity map
by Sparks, Biretta, & Macchetto (1996) to predict the spectral evolution along
the jet. We derive limits for the magnetic field and the total pressure by
comparing our results with the spatially resolved fit to spectral data by
Neumann, Meisenheimer, & Roeser (1997) of a model spectrum that cuts off at
approx 10^15 Hz. To explain the weakness of synchrotron cooling along the jet,
the magnetic field strength must lie below the equipartition value. Although
the inferred pressure in the limit of nonrelativistic bulk flow lies far above
the estimated pressure of the interstellar matter in the center of M87, bulk
Lorentz factors Gamma_jet in the range of 3 - 5 and inclination angles approx
less than 25 deg lead to pressure estimates close to the ISM pressure. The
average best fit magnetic fields we derive fall in the range of 20 - 40 microG,
departing from equipartition by a factor approx 1.5 - 5. This model is
consistent with the proposal by Bicknell & Begelman (1996) that the knots in
the M87 jet are weak, oblique shocks. First-order Fermi acceleration will then
have a minimal effect on the slope of the radio-- to-optical spectrum while
possibly accounting for the X-ray spectrum.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 17:10:09 GMT""}]","2016-08-30"
"astro-ph/9707285","Joel Primack","Joel R. Primack (University of California, Santa Cruz)","Dark Matter and Structure Formation in the Universe","102 pages (Latex, macros & figs included). To be published as Chapter
  1 of Formation of Structure in the Universe, Proceedings of the Jerusalem
  Winter School 1996, edited by A. Dekel and J.P. Ostriker (Cambridge
  University Press).",,,"SCIPP/96-59 rev 7/97","astro-ph hep-ph",,"  This chapter aims to present an introduction to current research on the
nature of the cosmological dark matter and the origin of galaxies and large
scale structure within the standard theoretical framework: gravitational
collapse of fluctuations as the origin of structure in the expanding universe.
General relativistic cosmology is summarized, and the data on the basic
cosmological parameters ($t_o$ and $H_0 \equiv 100 h \kmsmpc$, $\Omega_0$,
$\Omega_\Lambda$ and $\Omega_b$) are reviewed. Various particle physics
candidates for hot, warm, and cold dark matter are briefly reviewed, together
with current constraints and experiments that could detect or eliminate them.
Also included is a very brief summary of the theory of cosmic defects, and a
somewhat more extended exposition of the idea of cosmological inflation with a
summary of some current models of inflation. The remainder is a discussion of
observational constraints on cosmological model building, emphasizing models in
which most of the dark matter is cold and the primordial fluctuations are the
sort predicted by inflation. It is argued that the simplest models that have a
hope of working are Cold Dark Matter with a cosmological constant
($\Lambda$CDM) if the Hubble parameter is high ($h \gsim 0.7$), and Cold + Hot
Dark Matter (CHDM) if the Hubble parameter and age permit an $\Omega=1$
cosmology, as seems plausible in light of the data from the Hipparcos
astrometric satellite. The most attractive variants of these models and the
critical tests for each are discussed.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 17:21:03 GMT""},{""version"":""v2"",""created"":""Sat, 26 Jul 1997 05:29:51 GMT""}]","2008-02-03"
"astro-ph/9707286","Pedro Gil Ferreira","Pedro G. Ferreira and Michael Joyce","Structure formation with a self-tuning scalar field","4 pages, uses RevTex, 2 figures","Phys.Rev.Lett. 79 (1997) 4740-4743","10.1103/PhysRevLett.79.4740","CfPA/97-th-07","astro-ph hep-ph",,"  A scalar field with an exponential potential has the particular property that
it is attracted into a solution in which its energy scales as the dominant
component (radiation or matter) of the Universe, contributing a fixed fraction
of the total energy density. We study the growth of perturbations in a CDM
dominated $\Omega=1$ universe with this extra field, with an initial flat
spectrum of adiabatic fluctuations. The observational constraints from
structure formation are satisfied as well, or better, than in other models,
with a contribution to the energy density from the scalar field $\Omega_\phi
\sim 0.1$ which is small enough to be consistent with entry into the attractor
prior to nucleosynthesis.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 18:44:48 GMT""}]","2009-10-30"
"astro-ph/9707287","Charles G. Hoopes","Rene A. M. Walterbos (NMSU)","The Warm Ionized Medium in Spiral Galaxies: A View from Above","6 pages, plain LaTex, 3 Postscript figures. Invited Talk at the
  ""AAO/UKST Galactic Plane H-alpha Survey"" International Workshop, Sydney,
  Australia",,"10.1071/AS98099",,"astro-ph",,"  The Warm Ionized Medium (WIM), also referred to as Diffuse Ionized Gas,
contains most of the mass of interstellar medium in ionized form, contributing
as much as 30% of the total atomic gas mass in the solar neighborhood. The
advent of CCDs has enabled unprecedented study of this medium in external
galaxies, probing a variety of environments. In particular, we can derive the
morphology of the WIM, its distribution across disks, and the correlation with
other Population I material. Spectroscopy of the WIM makes it possible to test
various ionization models. I will review here our current understanding of the
properties of the WIM in spiral galaxies. A perhaps unexpected result is that
the H-alpha emission from the WIM contributes about 40% of the total observed
H-alpha luminosity from spirals. This places severe constraints on possible
sources of ionization, since only photo ionization by OB stars meets this
requirement. Spectroscopic measurements of forbidden line strengths appear in
reasonable agreement with photo ionization models. It is not yet clear if the
Lyman continuum photons that ionize the WIM are mostly from OB stars located
inside traditional HII regions, or from field OB stars.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 19:25:44 GMT""}]","2015-06-24"
"astro-ph/9707288","Charles G. Hoopes","Charles G. Hoopes and Rene A. M. Walterbos (NMSU)","The Massive Stellar Population in the Diffuse Ionized Gas of M33","5 pages, LaTex, 6 figures. Uses aipproc.sty and aipproc.cls. To
  appear in the conference proceedings of ""The UV Universe at Low and High
  Redshift: Probing the Progress of Galaxy Evolution,"" eds. W. H. Waller, M. N.
  Fanelli, and A. C. Danks (New York:AIP)",,"10.1063/1.53784",,"astro-ph",,"  We compare Far-UV, H-alpha, and optical broadband images of the nearby spiral
galaxy M33, to investigate the massive stars associated with the diffuse
ionized gas. The H-alpha/FUV ratio is higher in HII regions than in the DIG,
possibly indicating that an older population ionizes the DIG. The broad-band
colors support this conclusion. The HII region population is consistent with a
young burst, while the DIG colors resemble an older population with constant
star formation. Our results indicate that there may be enough massive field
stars to ionize the DIG, without the need for photon leakage from HII regions.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 19:46:50 GMT""}]","2009-10-30"
"astro-ph/9707289","Ed Stoeffhaas","Francis Halzen","The AMANDA Neutrino Telescope: Science Prospects and Performance at
  First Light","18 pages, Latex2.09, uses epsf.sty. Includes 14 postscript files",,"10.1016/S0920-5632(98)00028-0","MADPH-97-1007","astro-ph hep-ex hep-ph",,"  We update the science prospects for the recently completed AMANDA South Pole
neutrino detector. With an effective telescope area of order 10^4 m^2 and a
threshold of ~50 GeV, it represents the first instrument of a new generation of
high energy neutrino detectors, envisaged over 25 years ago. We describe the
instrument and its performance, and map its expansion to a detector of
kilometer dimension.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 19:53:32 GMT""}]","2009-10-30"
"astro-ph/9707290","Stephane Courteau","Stephane Courteau (HIA/DAO), Hans-Walter Rix (Steward/MPA)","Maximal Disks and the Tully-Fisher Relation","27 pages, 2 tables, 9 figures. Replaces older version. Accepted for
  publication in the Astrophysical Journal",,,,"astro-ph",,"  We show that for luminous, non-barred, high-surface brightness (HSB) spirals
the Tully-Fisher (TF) relation residuals can be used to estimate the relative
mass contributions of the stellar disk and the dark halo at the peak of the
disk rotation, near 2.2 exponential scale lengths (Rh). For ""maximal disks"", a
large fraction (0.85 +/- 0.10) of the total rotational support, V2.2, at such
radii should arise from their stellar mass. We find that the disk size, or
surface brightness, is not a significant additional parameter in the TF
relation and the case of a maximal disk is ruled out for most HSB galaxies. We
model adiabatic infall of varying amounts of luminous matter into dark matter
halos and find that the TF relation residuals require a mean value of
V2.2/Vtotal ~ 0.6 +/- 0.1, fairly insensitive to the details of the initial
dark matter halo and to the presence of a bulge. This translates to
Mhalo/Mtotal ~ 0.6 within 2.2*Rh, or roughly twice more dark matter in the
inner parts of late-type spirals than previously accounted for by maximum disk
fits. We show that any stellar population differences between disks of
different scalelengths lead to lower values of V2.2/Vtotal. Our result is
independent of the shape of the luminosity profile and relies only on the
assumption of adiabatic contraction and that the dark matter halo rotation
rises in the central parts of the galaxy. Sub-maximal disks establish a natural
continuity between HSB and low-surface brightness (LSB) galaxies which appear
to be completely dark matter dominated even in their inner regions. (Abridged)
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 21:52:34 GMT""},{""version"":""v2"",""created"":""Thu, 17 Sep 1998 22:19:51 GMT""}]","2008-02-03"
