"adap-org/9708004","Henri Waelbroeck","J. Mora, C. Stephens and H. Waelbroeck","Symmetry Breaking and Adaptation: Evidence from a Toy Model of a Virus","TeX source, 10 p., please email hwael or stephens for figures",,,"ICN-UNAM-97-11","adap-org nlin.AO q-bio",,"  We argue that the phenomenon of symmetry breaking in genetics can enhance the
adaptability of a species to changes in the environment. In the case of a
virus, the claim is that the codon bias in the neutralization epitope improves
the virus' ability to generate mutants that evade the induced immune response.
We support our claim with a simple ``toy model'' of a viral epitope evolving in
competition with the immune system. The effective selective advantage of a
higher mutability leads to a dominance of codons that favour non-synonymous
mutations. The results in this paper suggest the possibility of emergence of an
algorithmic language in more complicated systems.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 16:00:09 GMT""}]","2008-02-03"
"astro-ph/9708056","Daniela Calzetti","D. Calzetti (STScI), G. Meurer (JHU), R. Bohlin (STScI), D. Garnett
  (UoMN), A. Kinney (STSCI), C. Leitherer (STScI), and T. Storchi-Bergmann
  (UFRGS)","Dust and Recent Star Formation in the Core of NGC5253","29 pages, Latex, 3 Tables (Postscript), 9 Figures (Postscript).
  Accepted for publication in the Astronomical Journal, July 31st, 1997",,"10.1086/118609",,"astro-ph",,"  (Abridged) Ultraviolet and optical narrow and broad band images of NGC5253
obtained with the HST WFPC2 are used to derive the properties of the dust
distribution and the recent star formation history of this metal-poor dwarf
galaxy. Corrections for the effects of dust are important in the center of
NGC5253: dust reddening is markedly inhomogeneous across the galaxy's central
20"" region. One of the most obscured regions coincides with the region of
highest star formation activity in the galaxy: clouds of more than 9~magnitudes
of optical depth at V enshroud a young (2.5~Myr old) stellar cluster in the
region. Star formation has been active at least over the past 100 Myr in the
core of the galaxy, as indicated by the age distribution of both the blue
diffuse stellar population and the bright stellar clusters. The star formation
is currently concentrated in a 6"" region, about 5 Myr old and with a star
formation intensity 10-100 times higher than the average within the central
20"". The 2.5 Myr old cluster coincides with the peak intensity of the star
formation; its mass may be as large as 10^6 solar masses, making this one a
Super-Star-Cluster candidate.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 19:48:11 GMT""}]","2009-10-30"
"astro-ph/9708057","Robert Caldwell","P.P. Avelino, R.R. Caldwell, and C.J.A.P. Martins","Cosmic Strings in an Open Universe: Quantitative Evolution and
  Observational Consequences","15 pages, Latex, 3 postscript figures, accepted for publication in
  Phys. Rev. D","Phys.Rev. D56 (1997) 4568-4577","10.1103/PhysRevD.56.4568",,"astro-ph gr-qc",,"  The cosmic string scenario in an open universe is developed -- including the
equations of motion, a model of network evolution, the large angular scale CMB
temperature anisotropy, and the power spectrum of density fluctuations produced
by cosmic strings with dark matter. First we derive the equations of motion for
cosmic string in an open FRW space-time and construct a quantitative model of
the evolution of the gross features of a cosmic string network. Second, we
apply this model of network evolution to estimate the rms CMB temperature
anisotropy induced by cosmic strings, obtaining the normalization for the mass
per unit length $\mu$ as a function of $\Omega$. Third, we consider the effects
of the network evolution and normalization in an open universe on the large
scale structure formation scenarios with either cold or hot dark matter.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 21:44:48 GMT""}]","2009-10-30"
"astro-ph/9708058","Hugo Martel","Hugo Martel, Premana Premadi, and Richard Matzner (University of
  Texas)","Morphological Evolution of Galaxies","29 pages (AAS latex) + 7 figures (postscript) combined in one gzip-ed
  tar file. Submitted to The Astrophysical Journal (Dec 1996)",,"10.1086/305472",,"astro-ph",,"  We simulate the growth of large-scale structure in the universe using a
N-body code. By combining these simulations with a Monte-Carlo method, we
generate galaxy distributions at present that reproduces the observed
morphology-density relation, with most ellipticals concentrated in the densest
regions. By ""tying"" each galaxy to its nearest particle, we trace the
trajectory of that galaxy back in time. This enables us to reconstruct the
distribution of galaxies at high redshift, and the trajectory of each galaxy
from its formation epoch to the present. Our goal is to determine whether the
morphological type of galaxies is primarily determined by the initial
conditions in which these galaxies form, or by evolutionary processes occurring
later. We compare the environment in which galaxies are at the epoch of galaxy
formation (z=3) and at the present. Making the null hypothesis that
morphological types do not evolve, we compare the galaxies that form in low
density environments but end up later in high density environments to the ones
that form also in low density environment but remain in low density
environment. The first group contains a larger proportion of E and S0 galaxies
than the second group. We assume that the galaxy formation process cannot
distinguish a low density environment that will always remain low density from
one that will eventually become high density. Hence, these results force us to
discard the null hypothesis of no morphological evolution. Our study suggests
that 75% of the E and S0 galaxies observed at present formed as such, while the
remaining 25% formed as spirals, and underwent morphological evolution. We
conclude that most galaxies did not undergo morphological evolution, but a
non-negligible fraction did.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 22:11:20 GMT""},{""version"":""v2"",""created"":""Wed, 29 Oct 1997 17:14:24 GMT""}]","2009-10-30"
"astro-ph/9708059","Ben Metcalf","R. Benton Metcalf and Joseph Silk (University of California, Berkeley)","Gravitational Magnification of the Cosmic Microwave Background","to be published in November 1 Astrophysical Journal, 11 pages, two
  figures, AASTEX","Astrophys.J. 489 (1997) 1-6","10.1086/304756",,"astro-ph",,"  Some aspects of gravitational lensing by large scale structure (LSS) are
investigated. We show that lensing causes the damping tail of the cosmic
microwave background (CMB) power spectrum to fall less rapidly with decreasing
angular scale than previously expected. This is due to a transfer of power from
larger to smaller angular scales which produces a fractional change in power
spectrum that increases rapidly beyond $\ell \sim 2000$. We also find that
lensing produces a nonzero mean magnification of structures on surfaces of
constant redshift if weighted by area on the sky. This is a result of the fact
that light-rays that are evenly distributed on the sky oversample overdense
regions. However this mean magnification has a negligible affect on the CMB
power spectrum. A new expression for the lensed power spectrum is derived and
it is found that future precision observations the high-$\ell$ tail of the
power spectrum will need to take into account lensing when determining
cosmological parameters.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 01:10:47 GMT""}]","2015-06-24"
"astro-ph/9708060","Takashi Nakamura","Takashi Nakamura, Misao Sasaki, Takahiro Tanaka and Kip S. Thorne","Gravitational Waves from Coalescing Black Hole MACHO Binaries","6 pages, Latex, Accepted for publication in Apj. Letters","Astrophys.J.487:L139-L142,1997","10.1086/310886","YITP-97-17, OU-TAP 60 ,GRP-479","astro-ph gr-qc",,"  If MACHOs are black holes of mass about 0.5 solar mass, they must have been
formed in the early universe when the temperature was about 1 GeV. We estimate
that in this case in our galaxy's halo out to about 50kpc there exist about
half billion black hole binaries whose coalescence times are comparable to the
age of the universe, so that the coalescence rate will be about five hundredth
events/year/galaxy. This suggests that we can expect a few events/year within
15Mpc. The gravitational waves from such coalescing black hole MACHOs can be
detected by the first generation of interferometers in the LIGO/VIRGO/TAMA/GEO
network. Therefore, the existence of black hole MACHOs can be tested within the
next five years by gravitational waves.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 03:09:36 GMT""}]","2009-10-30"
"astro-ph/9708061","Chris Flynn","Erik Hog (Copenhagen Uni. Observatory) and Chris Flynn (Tuorla
  Observatory)","Hipparcos absolute magnitudes for metal rich K giants and the
  calibration of DDO photometry","Submitted to MNRAS. 7 pages, 6 figures, MNRAS style file also
  available at http://astro.utu.fi/~cflynn/projects4.html",,"10.1046/j.1365-8711.1998.01165.x",,"astro-ph",,"  Parallaxes for 581 bright K giants have been determined using the Hipparcos
satellite. We combine the trigonometric parallaxes with ground based
photometric data to determine the K giant absolute magnitudes. For all these
giants, absolute magnitude estimates can also be made using the intermediate
band photometric DDO system (Janes 1975, 1979). We compare the DDO absolute
magnitudes with the very accurate Hipparcos absolute magnitudes, finding
various systematic offsets in the DDO system. These systematic effects can be
corrected, and we provide a new calibration of the DDO system allowing absolute
magnitude to be determined with an accuracy of 0.35 mag in the range 2 > M_V >
-1. The new calibration performs well when tested on K giants with DDO
photometry in a selection of low reddening open-clusters with well-measured
distance moduli.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 09:20:19 GMT""}]","2009-10-30"
"astro-ph/9708062","Jack F. Gallimore","Jack F. Gallimore (Max-Planck-Institut fuer extraterrestrische Physik)
  Stefi A. Baum and Christopher P. O'Dea (Space Telescope Science Institute)","A direct image of the obscuring disk surrounding an active galactic
  nucleus","14 pages, LaTeX, PSfig, to appear in Nature. also available at
  http://hethp.mpe-garching.mpg.de/Preprints",,"10.1038/42201",,"astro-ph",,"  Active galactic nuclei (AGN) are generally accepted to be powered by the
release of gravitational energy in a compact accretion disk surrounding a
massive black hole. Such disks are also necessary to collimate powerful radio
jets seen in some AGN. The unifying classification schemes for AGN further
propose that differences in their appearance can be attributed to the opacity
of the accreting material, which may obstruct our view of the central region of
some systems. The popular model for the obscuring medium is a parsec-scale disk
of dense molecular gas, although evidence for such disks has been mostly
indirect, as their angular size is much smaller than the resolution of
conventional telescopes. Here we report the first direct images of a pc-scale
disk of ionised gas within the nucleus of NGC 1068, the archetype of obscured
AGN. The disk is viewed nearly edge-on, and individual clouds within the
ionised disk are opaque to high-energy radiation, consistent with the unifying
classification scheme. In projection, the disk and AGN axes align, from which
we infer that the ionised gas disk traces the outer regions of the long-sought
inner accretion disk.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 09:39:18 GMT""}]","2009-10-30"
"astro-ph/9708063","S. A. Levshakov","W. H. Kegel (University Frankfurt/Main, Germany) and S. A. Levshakov
  (Ioffe Institute, St. Petersburg, Russia)","What causes the Ly-alpha forest, clouds or large-scale velocity fields ?","2 pages, 2 Postscript figures, uses conf_iap.sty A contribution to
  the Proceed. 13th IAP Colloquium ""Structure and Evolution of the IGM from QSO
  Absorption Line Systems"" (Paris, July 1-5, 1997)",,,,"astro-ph",,"  We show that in stochastic large scale velocity fields superposed on the
general Hubble flow, the formation of the GP-depression in QSO spectra is
intimately related to the formation of the absorption-line structure usually
called `Ly-alpha forest'. Therefore the HI-density in the diffuse IGM might be
substaintially underestimated if one determines the GP-effect from the apparent
continuum in high resolution spectra of QSOs. Our tentative calculations imply
a current baryon density Omega_b h^2_{100} = 0.015 which agrees well with the
baryon density determination from the deuterium abaundance measurement by
Levshakov, Kegel and Takahara (the same volume).
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 11:40:20 GMT""}]","2007-05-23"
"astro-ph/9708064","S. A. Levshakov","S. A. Levshakov (Ioffe Institute, St. Petersburg, Russia), W. H. Kegel
  (University Frankfurt/Main, Germany) and F. Takahara (Tokyo Metropolitan
  University, Japan)","How accurately can the deuterium abundance be determined ?","4 pages, 2 Postscript figures, uses conf_iap.sty A contribution to
  the Proceed. 13th IAP Colloquium ""Structure and Evolution of the IGM from QSO
  Absorption Line Systems"" (Paris, July 1-5, 1997)",,,,"astro-ph",,"  By using a Reverse Monte Carlo technique aimed at the inverse problem in the
analysis of the H+D Ly-a absorption from QSO spectra we have estimated the
physical parameters of the gas and the large-scale line of sight velocity
structure towards Q1009+2956 at z = 2.504 (observations by Burles and Tytler,
astro-ph/9603070). We show that for a precise evaluation of the column
densities, the detailed velocity field structure is to be determined
simultaneously. Our study of the z = 2.504 system yields D/H = (3.75 +/-
0.85)*10^{-5} (2sigma) which gives good agreement between the standard BBN
predictions and observational constraints on extra-galactic 4He mass fraction
and 7Li abundances in the atmospheres of population II (halo) starts. We
conclude that the discordance of D/H with the light element abundances
discussed in the literature is a consequence of the assumption of
microturbulence (i.e. completely uncorrelated bulk motions) in the analysis of
line profiles. The generalized model accounting for a finite correlation length
leads to the common eta-interval of (3.9-5.3)*10^{-10}, where eta is the baryon
to photon ratio.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 11:39:52 GMT""}]","2007-05-23"
"astro-ph/9708065","Tariq Shahbaz","J.C. Miller, T. Shahbaz, L.A. Nolan","Are Q-stars a serious threat for stellar-mass black hole candidates?","4 pages Latex, 5 figures, to appear in MNRAS",,"10.1111/j.1365-8711.1998.01384.x",,"astro-ph",,"  We examine the status of the threat posed to stellar-mass black hole
candidates by the possible existence of Q-stars (compact objects with an exotic
equation of state which might have masses well above the normally-accepted
maximum for standard neutron stars). We point out that Q-stars could be
extremely compact (with radii less than 1.5 times the corresponding
Schwarzschild radius) making it quite difficult to determine observationally
that a given object is a black hole rather than a Q-star, unless there is
direct evidence for the absence of a solid surface. On the other hand, in order
for a Q-star to have a mass as high as that inferred for the widely-favoured
black hole candidate V404 Cygni, it would be necessary for the Q-matter
equation of state to apply already at densities an order of magnitude below
that of nuclear matter and this might well be considered implausible on
physical grounds. We also describe how rotation affects the situation and
discuss the prospects for determining observationally that black hole
candidates are not Q-stars.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 12:12:16 GMT""}]","2020-11-25"
