"alg-geom/9708014","Leticia B. Paz","L. Brambila-Paz and H. Lange","A stratification of the moduli space of vector bundles on curves","Latex, Permanent e-mail L. Brambila-Paz: lebp@xanum.uam.mx
  Classification: 14D, 14F",,,,"alg-geom math.AG",,"  Let $E$ be a vector bundle of rank $r\geq 2$ on a smooth projective curve $C$
of genus $g \geq 2$ over an algebraically closed field $K$ of arbitrary
characteristic. For any integer with $1\le k\le r-1$ we define
$${\se}_k(E):=k\deg E-r\max\deg F.$$ where the maximum is taken over all
subbundles $F$ of rank $k$ of $E$. The ${s}_k$ gives a stratification of the
moduli space ${\cal M}(r,d)$ of stable vector bundles of rank $r$ and degree on
$d$ on $C$ into locally closed subsets ${\calM}(r,d,k,s)$ according to the
value of $s$ and $k$. There is a component ${\cal M}^0(r,d,k,s)$ of ${\cal
M}(r,d,k,s)$ distinguish by the fact that a general $E\in {\cal M}^0(r,d,k,s)$
admits a stable subbundle $F$ such that $E/F$ is also stable. We prove: {\it
For $g\ge \frac{r+1}{2}$ and $0<s\leq k(r-k)(g-1) +(r+1)$, $s\equiv kd \mod r,$
${\cal M}^0(r,d,k,s)$ is non-empty,and its component ${\cal M}^0(r,d,k,s)$ is
of dimension} $$\dim {\cal M}^0(r,d,k,s)=\left\{\begin{array}{lcl}
(r^2+k^2-rk)(g-1)+s-1& &s<k(r-k)(g-1) &{\rm if}& r^2(g-1)+1& & s\ge
k(r-k)(g-1)\end{array}\right.$$
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 07:52:26 GMT""}]","2016-08-30"
"astro-ph/9708156","Sergei Y. Sazonov","Sergei Y. Sazonov, Rashid A. Sunyaev, Oleg V. Terekhov, Niels Lund,
  Soren Brandt, Alberto J. Castro-Tirado","GRANAT/WATCH catalogue of cosmic gamma-ray bursts: December 1989 to
  September 1994","18 pages (including 3 tables and 7 figures), LaTeX, l-aa style.
  Accepted by Astronomy and Astrophysics Suppl. Series","Astron.Astrophys.Suppl.Ser. 129 (1998) 1-8","10.1051/aas:1998169",,"astro-ph",,"  We present the catalogue of gamma-ray bursts observed with the WATCH all-sky
monitor on board the GRANAT satellite during the period December 1989 to
September 1994. The cosmic origin of 95 bursts comprising the catalogue is
confirmed either by their localization with WATCH or by their detection with
other GRB experiments. For each burst its time history and information on its
intensity in the two energy ranges 8-20 keV and 20-60 keV are presented. Most
events show hardening of the energy spectrum near the burst peak. In part of
the bursts an X-ray precursor or a tail is seen at 8-20 keV. We have determined
the celestial positions of the sources of 47 bursts. Their localization regions
(at 3-sigma confidence level) are equivalent in area to circles with radii
ranging from 0.2 to 1.6 deg. The burst sources appear isotropically distributed
on the sky on large angular scales.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 10:06:49 GMT""}]","2009-10-30"
"astro-ph/9708157","Robert I. Hynes","C.A. Haswell and R.I. Hynes (Univ. Sussex, UK)","HST Observations of Black Hole X-Ray Transients","8 pages, LaTeX, including 5 postscript figures. To appear in the
  proceedings of the 13th NAW on CVs, eds: S. Howell, E. Kuulkers and C.
  Woodward",,,,"astro-ph",,"  Hubble Space Telescope Observations of Black Hole X-Ray Transients are
discussed in the context of the disk instability outburst model. We focus on
the multiwavelength campaign following GRO J1655-40 through the summer 1996
outburst.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 11:13:02 GMT""}]","2007-05-23"
"astro-ph/9708158","Robert I. Hynes","R.I. Hynes, C.A. Haswell, R.P. Fender (Univ. Sussex, UK), C.R.
  Shrader, W. Chen (NASA/GSFC), K. Horne, E.T. Harlaftis, K. O'Brien (Univ. St.
  Andrews, UK), C. Hellier (Univ. Keele, UK), J. Kemp (Univ. Columbia, NY)","The 1996 Outburst of GRO J1655-40","2 pages, LaTeX, including 2 postscript figures. To appear in the
  proceedings of the 13th NAW on CVs, eds: S. Howell, E. Kuulkers and C.
  Woodward",,,,"astro-ph",,"  During 1996 the soft-X-ray transient and superluminal jet source GRO J1655-40
was observed in outburst with a multiwavelength campaign including HST, RXTE,
CGRO and ground based facilities. Here we focus on a key question raised by the
observations: where and how does the outburst optical flux originate? Any model
must not only fit the optical spectra, but must account for the observation
that X-ray fluxes continued to rise slowly while the optical flux declined,
contrary to predictions of standard models for the outburst of SXTs and dwarf
novae.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 13:38:20 GMT""}]","2007-05-23"
"chao-dyn/9708011","Carl Philip Dettmann","Carl Dettmann and Predrag Cvitanovic' (Niels Bohr Institute,
  Copenhagen)","Cycle expansions for intermittent diffusion","6 pages, revtex, 4 figures","Phys. Rev. E 56, 6687 (1997)","10.1103/PhysRevE.56.6687",,"chao-dyn nlin.CD",,"  We investigate intermittent diffusion using cycle expansions, and show that a
truncation based on cycle stability achieves reasonable convergence.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 13:30:54 GMT""}]","2009-10-30"
"cmp-lg/9708009","Jens Uwe Moeller","Jens-Uwe Moeller (Natural Language Systems Division, Dept. of Computer
  Science, Univ. of Hamburg)","DIA-MOLE: An Unsupervised Learning Approach to Adaptive Dialogue Models
  for Spoken Dialogue Systems","Postscript only","Proc. EUROSPEECH 97, Rhodes, Greek, 2271-2274",,,"cmp-lg cs.CL",,"  The DIAlogue MOdel Learning Environment supports an engineering-oriented
approach towards dialogue modelling for a spoken-language interface. Major
steps towards dialogue models is to know about the basic units that are used to
construct a dialogue model and possible sequences. In difference to many other
approaches a set of dialogue acts is not predefined by any theory or manually
during the engineering process, but is learned from data that are available in
an avised spoken dialogue system. The architecture is outlined and the approach
is applied to the domain of appointment scheduling. Even though based on a word
correctness of about 70% predictability of dialogue acts in DIA-MOLE turns out
to be comparable to human-assigned dialogue acts.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 15:44:33 GMT""}]","2008-02-03"
"cond-mat/9708124","Qijin Chen","Qijin Chen","45-degree rotated epitaxial nucleation of diamond on silicon using
  chemical vapor deposition","4 pages, 3 figures, prepared using MS word, converted into PDF and
  Postscript, in publication format",,,,"cond-mat.mtrl-sci",,"  45-degree rotated epitaxial diamond nucleation on both (001) and {111} planes
of a silicon substrate was observed using chemical vapor deposition with
nucleation enhancement by electron emission. The epitaxial relationship between
diamond and Si is D(001)//Si(001) and D<100>//Si<110> in both cases. While the
case of diamond nucleation on Si(001) may be explained in Verwoerd's model, the
other case has no theoretical model as yet. The as-grown diamond was
characterized by scanning electron microscopy and Raman spectroscopy. It is
speculated that a suitable combination of low temperature and low CH_4
concentration leading to low nucleation rate favors the 45-degree rotated
epitaxy over those in parallel registry. This observation sheds light on the
mechanism of epitaxy of diamond on Si substrates, and has great significance in
parameter control in achieving single-crystal epitaxial diamond films.
","[{""version"":""v1"",""created"":""Sun, 17 Aug 1997 23:30:44 GMT""}]","2008-02-03"
"cond-mat/9708125",,"J. A. Clayhold, Z. H. Zhang and A. J. Schofield","Two lifetimes in the thermopower of the cuprate metals","4 pages, Latex (revtex and epsf) 3 postscript figures included",,,,"cond-mat.str-el",,"  We study the temperature-dependence of thermoelectric transport in
proton-irradiated thin films of the high Tc cuprate Tl2212. All the anomalous
transport conductivities are affected by the irradiation but maintain their
non-Fermi liquid forms. We note however that the anomalous temperature
dependence of the thermopower scales precisely with the temperature dependent
Hall coefficient. This provides strong evidence that the two relaxation rates
observed to control magnetotransport are also responsible for the anomalous
temperature dependence of the thermopower.
","[{""version"":""v1"",""created"":""Sun, 17 Aug 1997 23:40:07 GMT""}]","2008-02-03"
"cond-mat/9708126","Hal Tasaki","Tohru Koma and Hal Tasaki","Classical XY Model in 1.99 Dimensions","LaTeX 8 pages, no figures","Phys. Rev. Lett. 74 (1995) 3916-3919, Erratum in Phys. Rev. Lett.
  74 (1995) 984","10.1103/PhysRevLett.74.3916",,"cond-mat.stat-mech",,"  We consider the classical XY model (O(2) nonlinear sigma-model) on a class of
lattices with the (fractal) dimensions 1<D<2. The Berezinskii's harmonic
approximation suggests that the model undergoes a phase transition in which the
low temperature phase is characterized by stretched exponential decay of
correlations. We prove an exponentially decaying upper bound for the two-point
correlation functions at non-zero temperatures, thus excluding the possibility
of such a phase transition.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 07:00:42 GMT""}]","2009-10-30"
"cond-mat/9708127","H. Nakano","M. Hagiwara(The Institute of Physical and Chemical Research), Y.
  Narumi(CREST, Japan Science and Technology Corporation), K. Kindo(KYOKUGEN,
  Osaka University), M. Kohno(Institute for Solid State Physics, University of
  Tokyo), H. Nakano(Institute for Solid State Physics, University of Tokyo), R.
  Sato(KYOKUGEN, Osaka University) and M. Takahashi(Institute for Solid State
  Physics, University of Tokyo)","Experimental Verification of the Gapless Point in the $S$=1
  Antiferromagnetic Bond Alternating Chain","12 pages, 4 Postscript figures, uses REVTEX",,"10.1103/PhysRevLett.80.1312",,"cond-mat.mtrl-sci",,"  Susceptibility and high field magnetization measurements have been performed
on powder samples of an $S$=1 bond alternating chain compound
[\{Ni(333-tet)($\mu$-N$_3$)\}$_n$](ClO$_4$)$_n$ (333-tet=tetraamine
N,N'-bis(3-aminopropyl)-1,3-propanediamine). As the temperature is decreased,
the susceptibility exhibits a round maximum at around 120 K and decreases
gradually down to 10 K, and then falls down rapidly with a logarithmic
curvature which is behavior of the susceptibility of a gapless or a nearly
gapless antiferromagnetic chain. Magnetization up to 50 T at 1.4 K shows no or
a very small gap in this compound. We have carried out numerical calculations
for the $S$=1 antiferromagnetic bond alternating chain with various alternating
ratios $\alpha$ and obtained a very good agreement between experiments and
calculations for $\alpha$=0.6. We verify experimentally that the gapless point
exists around $\alpha$=0.6.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 09:59:48 GMT""}]","2009-10-30"
"cond-mat/9708128","Thomas Heinzel","Peter F. Arndt, Thomas Heinzel and Vladimir Rittenberg","Spontaneous Breaking of Translational Invariance in One-Dimensional
  Stationary States on a Ring","7 pages, LaTeX, needs epsf.sty","J.Phys.A:Math.Gen. 31 (1998) L45","10.1088/0305-4470/31/2/001","SISSA Ref. 102/97/EP","cond-mat.stat-mech",,"  We consider a model in which positive and negative particles diffuse in an
asymmetric, CP-invariant way on a ring. The positive particles hop clockwise,
the negative counterclockwise and oppositely-charged adjacent particles may
swap positions. Monte-Carlo simulations and analytic calculations suggest that
the model has three phases; a ""pure"" phase in which one has three pinned blocks
of only positive, negative particles and vacancies, and in which translational
invariance is spontaneously broken, a ""mixed"" phase with a non-vanishing
current in which the three blocks are positive, negative and neutral, and a
disordered phase without blocks.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 10:29:21 GMT""}]","2009-10-30"
