"adap-org/9709003","Chau Hoi Fung","H. F. Chau, K. K. Yan, K. Y. Wan and L. W. Siu","Classifying Rational Densities Using Two One-Dimensional Cellular
  Automata","Revtex 3.0 using amssymb.sty and multicol.sty, 3 pages",,"10.1103/PhysRevE.57.1367","HKUPHYS-HFC-05","adap-org cond-mat nlin.AO",,"  Given a (finite) string of zeros and ones, we report a way to determine if
the number of ones is less than, greater than, or equal to a prescribed number
by applying two sets of cellular automaton rules in succession. Thus, we solve
the general density classification problem using cellular automaton.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 12:41:27 GMT""}]","2009-10-30"
"astro-ph/9709062","Eurico Covas","Eurico Covas, Reza Tavakol, Andrew Tworkowski and Axel Brandenburg","Axisymmetric mean field dynamos with dynamic and algebraic
  $\alpha$--quenchings","Latex with full figures, also available on web page
  http://www.maths.qmw.ac.uk/~eoc; Astronomy and Astrophysics, accepted",,,,"astro-ph",,"  We study axisymmetric mean field spherical and spherical shell dynamo models,
with both dynamic and algebraic $\alpha$--quenchings. Our results show that
there are qualitative as well as quantitative differences and similarities
between these models. Regarding similarities, both groups of models exhibit
symmetric, antisymmetric and mixed modes of behaviour. As regards differences,
the important feature in the full sphere models is the occurrence of chaotic
behaviour in the algebraic $\alpha$--quenching models. For the spherical shell
models with dynamic $\alpha$ the main features include the possibility of
multi-attractor regimes with final state sensitivity with respect to small
changes in the magnitude of $\alpha$ and the initial parity. We find the effect
of introducing a dynamic $\alpha$ is likely to be complicated and depend on the
region of the parameter space considered, rather than a uniform change towards
simplicity or complexity.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 17:03:11 GMT""}]","2007-05-23"
"astro-ph/9709063","Ioav Waga","Joshua A. Frieman and Ioav Waga","Constraints from High Redshift Supernovae upon Scalar Field Cosmologies","RevTex style format, 14 pages, 11 eps figures included with epsf,
  submitted to Phys. Rev. D","Phys.Rev. D57 (1998) 4642-4650","10.1103/PhysRevD.57.4642",,"astro-ph",,"  Recent observations of high-redshift Type Ia supernovae have placed stringent
constraints on the cosmological constant $\Lambda$. We explore the implications
of these SNe observations for cosmological models in which a classically
evolving scalar field currently dominates the energy density of the Universe.
Such models have been shown to share the advantages of $\Lambda$ models:
compatibility with the spatial flatness predicted inflation; a Universe older
than the standard Einstein-de Sitter model; and, combined with cold dark
matter, predictions for large-scale structure formation in good agreement with
data from galaxy surveys. Compared to the cosmological constant, these scalar
field models are consistent with the SNe observations for a lower matter
density, $\Omega_{m0} \sim 0.2$, and a higher age, $H_0 t_0 \gtrsim 1$.
Combined with the fact that scalar field models imprint a distinctive signature
on the cosmic microwave background anisotropy, they remain currently viable and
should be testable in the near future.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 17:12:19 GMT""}]","2009-10-30"
"astro-ph/9709064","Michel Fioc","Michel Fioc and Brigitte Rocca-Volmerange (Institut d'Astrophysique de
  Paris)","Bursting dwarf galaxies from the far-UV and deep surveys","4 pages, 6 figures, uses mn.sty and psfig.sty, submitted to MNRAS as
  a letter",,,,"astro-ph",,"  The far-ultraviolet (UV) counts and the deep optical spectroscopic surveys
have revealed an unexpected number of very blue galaxies (vBG). Using
constraints from the UV and optical, we apply the galaxy evolution model PEGASE
(Fioc & Rocca-Volmerange 1997, hereafter FRV) to describe this population with
a cycling star formation. When added to normally evolving galaxy populations,
vBG are able to reproduce UV number counts and color distributions as well as
deep optical redshift distributions fairly well. Good agreement is also
obtained with optical counts (including the Hubble Deep Field). The number of
vBG is only a small fraction of the number of normal galaxies, even at faintest
magnitudes. In our modelling, the latter explain the bulk of the excess of
faint blue galaxies in an open Universe. The problem of the blue excess remains
in a flat Universe without cosmological constant.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 19:52:03 GMT""}]","2007-05-23"
"astro-ph/9709065","Albert Stebbins","Albert Stebbins","Extensions to the Kompaneets Equation and Sunyaev-Zel'dovich Distortion","12 pages, 3 figures - see also
  http://www-astro-theory.fnal.gov/Personal/stebbins/CMBR/CMBR.html",,,,"astro-ph",,"  Analytical expressions are presented for relativistic corrections to the
Kompaneets equation and the Sunyaev-Zel'dovich y-distortion. The latter
provides a convenient method of inferring both the temperature and Thomson
optical depth of the gas in clusters of galaxies using only observations of the
spectrum of CMBR photons passing through the cluster. The relativistic
correction gives an additional component of the S-Z effect apart from the
y-distortion and kinematic S-Z effect. The perturbative method used is shown to
provide a very accurate approximations when kTe~<100keV but not for higher
temperatures.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 22:57:45 GMT""}]","2007-05-23"
"astro-ph/9709066","Wayne Hu","Wayne Hu (IAS), Uros Seljak (CfA), Martin White (U. Illinois
  Urbana-Champaign), Matias Zaldarriaga (MIT)","A Complete Treatment of CMB Anisotropies in a FRW Universe","RevTeX 17 pgs, 2 figs included, also available at
  http://www.sns.ias.edu/~whu/pub.html Changes reflect published version +
  corrected minor typos in Eqs. (49) & (B9)","Phys.Rev.D57:3290-3301,1998","10.1103/PhysRevD.57.3290","IASSNS-97/48","astro-ph",,"  We generalize the total angular momentum method for computing Cosmic
Microwave Background anisotropies to Friedman-Robertson-Walker (FRW) spaces
with arbitrary geometries. This unifies the treatment of temperature and
polarization anisotropies generated by scalar, vector and tensor perturbations
of the fluid, seed, or a scalar field, in a universe with constant comoving
curvature. The resulting formalism generalizes and simplifies the calculation
of anisotropies and, in its integral form, allows for a fast calculation of
model predictions in linear theory for any FRW metric.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 01:18:06 GMT""},{""version"":""v2"",""created"":""Tue, 26 May 1998 17:54:57 GMT""}]","2009-08-18"
"astro-ph/9709068","Mauro Orlandini","M. Orlandini, D. Dal Fiume, L. Nicastro, E. Palazzi and F. Frontera
  (TeSRE Institute, CNR Bologna, Italy)","BeppoSAX/PDS Observation of Vela X-1","4 pages, 2 figures. It uses camera.sty (included). To appear in the
  Proceedings of ""The Cosmic Physics of 2000""",,,,"astro-ph",,"  Vela X-1 has been observed by the Italian/Dutch X-ray satellite BeppoSAX
during its Science Verification Phase. During the ~ 50 ksec observation
(orbital phases 0.27-0.34) two different intensity state are present, situation
very common in this source. We report results from the pulse phase averaged and
pulse phase resolved spectroscopy from the high-energy instrument PDS aboard
BeppoSAX.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 10:41:22 GMT""}]","2007-05-23"
"astro-ph/9709069","Steve Odewahn","S. C. Odewahn, D. Burstein, R. A. Windhorst","The Axis Ratio Distribution of Local and Distant Galaxies","LaTex, 35 pages, 8 figures, accepted for Dec97 AJ",,"10.1086/118642",,"astro-ph",,"  Surface photometry from 16 HST/WFPC2 fields in the I(F814W) filter is used to
derive the distribution of apparent axis ratios for galaxies in progressively
fainter magnitude intervals for I<25. We assess the systematic and accidental
errors in ellipticity measurements as a function of image resolution and
signal-to-noise ratio, and statistically correct for the effect of cosmological
surface brightness dimming on our isophotal measurements. The axis ratio
distribution for the local galaxy population was computed using logR
measurements for 1569 RC3 galaxies with Bt<13 mag. Nonparametric tests are used
to show that our distant samples, in the redshift range 0.1<z<1.5, are not
statistically different from the local sample. We present image montages of
galaxies selected randomly from different axis ratio and apparent magnitude
ranges and discuss the evolutionary consequences of the lack of a strong
difference between the ellipticity distributions in near and far data sets.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 11:59:37 GMT""}]","2009-10-30"
"astro-ph/9709070","Sokalski","The Baikal Collaboration","The Baikal Deep Underwater Neutrino Experiment Status Report","25 pages, 14 PostScript figures, uses here.sty, submitted to the
  Proceedings of 1st Intern. Conference on Non Accelerator New Physics NANP-97
  (Dubna, July 7 - 11, 1997)","Phys.Atom.Nucl.61:886-896,1998; Yad.Fiz.61:978-988,1998",,,"astro-ph",,"  We review the present status of the Baikal Deep Underwater Neutrino
Experiment. The construction and performance of the large deep underwater
Cherenkov detector for muons and neutrinos, NT-200 (Neutrino Telescope with 200
phototubes), which is currently under construction in Lake Baikal are
described. Some results obtained with the intermediate detectors NT-36
(1993-95), NT-72 (1995-96) and NT-96 (1996-97) are presented, including the
first clear neutrino candidates selected with 1994 and 1996 data.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 14:21:20 GMT""},{""version"":""v2"",""created"":""Fri, 12 Sep 1997 14:00:46 GMT""}]","2012-08-27"
"astro-ph/9709071",,"M. Della Valle, N. Masetti & A. Bianchini (Dipartimento di Astronomia,
  Universita' di Padova)","Spectrophotometric follow-up of GU Mus, the (X-ray) Nova Muscae 1991","10 pages, 6 .ps figures, LaTeX A&A style file l-aa version 3,
  accepted by Astronomy & Astrophysics, main journal",,,,"astro-ph",,"  The spectrophotometric follow-up of the X-ray nova GU Mus (=GS 1124-68) is
presented. We have analysed 128 B, V and R frames and 19 optical spectra,
collected at ESO-La Silla, from the epoch of the discovery to January 1992. The
optical lightcurve appears to be typical for a X-ray nova and exhibits
secondary maxima in coincidence with the X-ray ones. The spectra show that
Balmer and He II 4686 emission lines and the N III 4640 emission blend widen
during the decline. A possible explanation of this behaviour is proposed and
applied to the spectral evolution of other X-ray novae.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 14:23:40 GMT""}]","2007-05-23"
"chao-dyn/9709007","Eurico Covas","Eurico Covas, Peter Ashwin and Reza Tavakol","Non-normal parameter blowout bifurcation: an example in a truncated mean
  field dynamo model","Full paper with figures, also available on the web page
  http://www.maths.qmw.ac.uk/~eoc. Physical Review E, accepted",,"10.1103/PhysRevE.56.6451",,"chao-dyn nlin.CD",,"  We examine global dynamics and bifurcations occurring in a truncated model of
a stellar mean field dynamo. This model has symmetry-forced invariant subspaces
for the dynamics and we find examples of transient type I intermittency and
blowout bifurcations to transient on-off intermittency, involving laminar
phases in the invariant submanifold. In particular, our model provides examples
of blowout bifurcations that occur on varying a non-normal parameter; that is,
the parameter varies the dynamics within the invariant subspace at the same
time as the dynamics normal to it. As a consequence of this we find that the
Lyapunov exponents do not vary smoothly and the blowout bifurcation occurs over
a range of parameter values rather than a point in the parameter space.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 17:16:24 GMT""}]","2009-10-30"
