"alg-geom/9709010","Yuri Tschinkel","Matthias Strauch and Yuri Tschinkel","Height zeta functions of toric bundles over flag varieties","64 pages, LaTeX",,,,"alg-geom math.AG",,"  We investigate analytic properties of height zeta functions of toric bundles
over flag varieties.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 19:29:16 GMT""}]","2008-02-03"
"alg-geom/9709011","Jonathan Fine","Jonathan Fine","Local-global intersection homology","LaTeX 2e. 28 pages. This paper defines new intersection homology
  groups, that provide important new information",,,,"alg-geom math.AG",,"  This paper defines new intersection homology groups. The basic idea is this.
Ordinary homology is locally trivial. Intersection homology is not. It may have
significant local cycles. A local-global cycle is defined to be a family of
such local cycles that is, at the same time, a global cycle. The motivating
problem is the numerical characterisation of the flag vectors of convex
polytopes. Central is a study of the cycles on a cone and a cylinder, in terms
of those on the base. This leads to the topological definition of local-global
intersection homology, and a formula for the expected Betti numbers of toric
varieties. Various related questions are also discussed.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 14:58:41 GMT""},{""version"":""v2"",""created"":""Thu, 11 Sep 1997 15:31:29 GMT""}]","2008-02-03"
"alg-geom/9709012","Richard Earl","Richard Earl and Frances Kirwan","The Pontryagin rings of moduli spaces of arbitrary rank holomorphic
  bundles over a Riemann surface","AMS-Latex, 15 pages, no figures",,,,"alg-geom math.AG",,"  The cohomology of the moduli spaces of stable bundles M(n,d), of coprime rank
n and degree d, over a Riemann surface (of genus g > 1) have been intensely
studied over the past three decades. We prove in this paper that the Pontryagin
ring of M(n,d) vanishes in degrees above 2n(n-1)(g-1) and that this bound is
strict (i.e. there exists a non-zero element of degree 2n(n-1)(g-1) in
Pont(M(n,d)).) This result is a generalisation of a 1967 Newstead conjecture
that Pont(M(2,1)) vanished above 4(g-1) (or equivalently that \beta^g =0.)
These results have been independently proved by Lisa Jeffrey and Jonathan
Weitsman.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 15:42:31 GMT""}]","2008-02-03"
"astro-ph/9709067","David Band","David L. Band (CASS/UCSD) and Dieter H. Hartmann (Clemson)","A Statistical Treatment of the Gamma-Ray Burst ""No Host Galaxy"" Problem:
  I. Methodology","20 pages, AASTeX, no figures, to appear in the 1998 Feb. 1 (vol. 493)
  issue of ApJ",,"10.1086/305165",,"astro-ph",,"  If gamma-ray bursts originate in galaxies at cosmological distances, the host
galaxy should be detected if a burst error box is searched deep enough; are the
host galaxies present? We present and implement a statistical methodology which
evaluates whether the observed galaxy detections in a burst's error box are
consistent with the presence of the host galaxy, or whether all the detections
can be attributed to unrelated background galaxies. This methodology requires
the model-dependent distribution of host galaxy fluxes. While our methodology
was derived for galaxies in burst error boxes, it can be applied to other
candidate host objects (e.g., active galaxies) and to other types of error
boxes. As examples, we apply this methodology to two published studies of burst
error boxes. We find that the nine error boxes observed by Larson and McLean
(1997) are too large to discriminate between the presence or absence of host
galaxies, while the absence of bright galaxies in the four significantly
smaller error boxes observed by HST (Schaefer et al. 1997) does confirm that
there is a ""no-host galaxy"" problem within the ""minimal"" host galaxy model.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 23:09:22 GMT""}]","2009-10-30"
"astro-ph/9709072","Jens C. Niemeyer","J.C. Niemeyer and K. Jedamzik","Near-Critical Gravitational Collapse and the Initial Mass Function of
  Primordial Black Holes","4 pages, uses revtex, also available at
  http://bigwhirl.uchicago.edu/jcn/pub_pbh.html . To appear in Phys. Rev. Lett","Phys.Rev.Lett.80:5481-5484,1998","10.1103/PhysRevLett.80.5481",,"astro-ph gr-qc",,"  The recent discovery of critical phenomena arising in gravitational collapse
near the threshold of black hole formation is used to estimate the initial mass
function of primordial black holes (PBHs). It is argued that the universal
scaling relation between black hole mass and initial perturbation found for a
variety of collapsing space-times also applies to PBH formation, indicating the
possibility of the formation of PBHs with masses much smaller than one horizon
mass. Owing to the natural fine-tuning of initial conditions by the exponential
decline of the probability distribution for primordial density fluctuations,
sub-horizon mass PBHs are expected to form at all epochs. This result suggests
that the constraints on the primordial fluctuation spectrum based on the
abundance of PBHs at different mass scales may have to be revisited.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 16:39:35 GMT""},{""version"":""v2"",""created"":""Wed, 13 May 1998 16:15:33 GMT""}]","2008-11-26"
"astro-ph/9709073","Jeff Secker","Jeff Secker (WSU) and William E. Harris (McMaster)","Dwarf Galaxies in the Coma Cluster. I. Detection, Measurement and
  Classification Techniques","Accepted for publication PASP; 29 pages LaTeX (AASTeX using
  aaspp4.sty), with 9 EPS figures available from
  http://www.sci.wsu.edu/math/faculty/secker/ftp/",,"10.1086/134017",,"astro-ph",,"  Deep B- and R-band CCD images of the central ~700 arcmin^2 of the Coma
cluster core have been used to measure the dwarf-galaxy population in Coma. In
this paper, we describe a newly developed code for automated detection,
photometry and classification of faint objects of arbitrary shape and size on
digital images. Intensity-weighted moments are used to compute the positions,
radial structures, ellipticities, and integrated magnitudes of detected
objects. We demonstrate that Kron-type 2r_1 aperture aperture magnitudes and
surface brightnesses are well suited to faint-galaxy photometry of the type
described here. Discrimination between starlike and extended (galaxy) objects
is performed interactively through parameter-space culling in several possible
parameters, including the radial moments, surface brightness, and integrated
color versus magnitude. Our code is tested and characterized with artificial
CCD images of star and galaxy fields; it is demonstrated to be accurate, robust
and versatile. Using these analysis techniques, we detect a large population of
dE galaxies in the Coma cluster core. These dEs stand out as a tight sequence
in the R, (B-R) color-magnitude diagram.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 17:06:32 GMT""}]","2009-10-30"
"astro-ph/9709074","Jeff Secker","Jeff Secker (WSU), William E. Harris (McMaster) and Julia D. Plummer
  (WSU)","Dwarf Galaxies in the Coma Cluster. II. Photometry and Analysis","Accepted for publication in PASP; 36 pages LaTeX (AASTex using
  aaspp4.sty), with 14 EPS figures available from
  http://www.sci.wsu.edu/math/faculty/secker/ftp/ ; Single change in the
  Introduction (50 kpc corrected to read 50 pc)",,"10.1086/134018",,"astro-ph",,"  We study the dwarf galaxy population in the central ~700 arcmin^2 of the Coma
cluster, the majority of which are early-type dwarf elliptical (dE) galaxies.
Analysis of the statistically-decontaminated dE galaxy sequence in the
color-magnitude diagram reveals a highly significant trend of color with
magnitude (\Delta (B-R)/\Delta R = -0.056\pm0.002 mag), in the sense that
fainter dEs are bluer and thus presumably more metal-poor. The mean color of
the faintest dEs in our sample is (B-R)~1.15 mag, consistent with a color
measurement of the diffuse intracluster light in the Coma core. This
intracluster light could then have originated from the tidal disruption of
faint dEs in the cluster core. The total galaxy luminosity function (LF) is
well modeled as the sum of a log-normal distribution for the giant galaxies,
and a Schechter function for the dE galaxies with a faint-end slope \alpha =
-1.41\pm0.05. This value of \alpha is consistent with those measured for the
Virgo and Fornax clusters. The spatial distribution of the faint dE galaxies
(19.0 < R \le 22.5 mag) has R_c = 22.15 arcmin (~0.46h^{-1} Mpc), significantly
larger than the R_c = 13.71 arcmin (~0.29h^{-1} Mpc) found for the cluster
giants and the brighter dEs (R \le 19.0 mag), consistent with tidal disruption
of the faint dEs. Finally, we find that most dEs belong to the general Coma
cluster potential rather than as satellites of individual giant galaxies: An
analysis of the number counts around 10 cluster giants reveals that they each
have on average 4\pm 1 dE companions within a projected radius of 13.9h^{-1}
kpc. (Abridged)
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 17:12:07 GMT""},{""version"":""v2"",""created"":""Wed, 10 Sep 1997 23:33:27 GMT""}]","2009-10-30"
"astro-ph/9709075","Uffe Hellsten","Uffe Hellsten, Lars Hernquist, Neal Katz, David Weinberg","Metal Lines in Cosmological Models of Lyman-Alpha Absorbers","To appear in the proceedings from the 13th IAP Workshop (1-5 July
  1997) ""Evolution of the Intergalactic Medium From QSO Absorption Line
  Systems""",,,,"astro-ph",,"  The metal absorption lines found in association with \lya absorbers of
moderate to high HI column density contain valuable information about the
metallicity and ionization conditions within the absorbers and offer a stronger
test of models of the intergalactic medium at \sim 3$ than HI absorption lines
alone.
  We have developed a method to predict the strengths of metal absorption lines
within the framework of cosmological models for the \lya forest. The method
consists of evaluating a quantity, the Line Observability Index, for a database
of hundreds of candidate metal lines, allowing a comprehensive identification
of the lines the model predicts to be detectable associated with a \lya
absorber of a given HI column density and metallicity.
  Applying this technique to a particular class of models at \sim 2-4$, we
predict that the OVI(1032 \AA, 1038 \AA) doublet is the only practical probe of
the metallicity of low column density absorbers (HI \simlt 10^{14.5} cm^{-2}$),
that CIV (1548 \AA) is the strongest line with rest wavelength $\lambda_r >
1216$ \AA{} regardless of HI$, and that the strongest metal lines should be
CIII(977 \AA) and SiIII(1206.5 \AA), which peak at HI \sim 10^{17} cm^{-2}$.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 18:08:01 GMT""}]","2016-08-30"
"astro-ph/9709076","R. Marc Kippen","R. Marc Kippen(1,2,3), James M. Ryan(1), Alanna Connors(1), Dieter H.
  Hartmann(4), Christoph Winkler(5), Lucien Kuiper(6), Martin Varendorff(7),
  Mark L. McConnell(1), Kevin Hurley(8), Wim Hermsen(6), Volker Schoenfelder(7)
  ((1) University of New Hampshire, (2) University of Alabama in Huntsville,
  (3) NASA/Marshall Space Flight Center, (4) Clemson University, (5)
  Astrophysics Division-ESA/ESTEC, (6) SRON-Utrecht, (7) Max-Planck-Institut
  fuer extraterrestrische Physik, (8) University of California-Berkeley)","The Locations of Gamma-Ray Bursts Measured by COMPTEL","Accepted for publication in the Astrophysical Journal, 1998 Jan. 1,
  Vol. 492. 33 pages, 9 figures, 5 tables",,"10.1086/305033",,"astro-ph",,"  The COMPTEL instrument on the Compton Gamma Ray Observatory is used to
measure the locations of gamma-ray bursts through direct imaging of MeV
photons. In a comprehensive search, we have detected and localized 29 bursts
observed between 1991 April 19 and 1995 May 31. The average location accuracy
of these events is 1.25$\arcdeg$ (1$\sigma$), including a systematic error of
$\sim0.5\arcdeg$, which is verified through comparison with Interplanetary
Network (IPN) timing annuli. The combination of COMPTEL and IPN measurements
results in locations for 26 of the bursts with an average ``error box'' area of
only $\sim$0.3 deg$^2$ (1$\sigma$). We find that the angular distribution of
COMPTEL burst locations is consistent with large-scale isotropy and that there
is no statistically significant evidence of small-angle auto-correlations. We
conclude that there is no compelling evidence for burst repetition since no
more than two of the events (or $\sim$7% of the 29 bursts) could possibly have
come from the same source. We also find that there is no significant
correlation between the burst locations and either Abell clusters of galaxies
or radio-quiet quasars. Agreement between individual COMPTEL locations and IPN
annuli places a lower limit of $\sim$100~AU (95% confidence) on the distance to
the stronger bursts.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 19:12:49 GMT""}]","2009-10-30"
"astro-ph/9709077","Stephen Boughn","Stephen P. Boughn","Cross-correlation of the 2-10 keV XRB with radio sources: constraining
  the large-scale structure of the x-ray background","25 pages, with 8 figures included. Submitted to ApJ.
  sboughn@haverford.edu",,"10.1086/305674",,"astro-ph",,"  We present cross-correlation analyses of the HEAO 2-10 keV diffuse X-ray map
with both the combined GB6/Parkes-MIT-NRAO (GB6-PMN) 5 GHz and the FIRST 1.4
GHz radio surveys. The cross-correlation functions (CCFs) of both radio surveys
with the unresolved X-ray background were detected at the 5 sigma level. While
the large angular resolution (3 degrees) of the X-ray map makes it difficult to
separate the contributions of clustering from those of Poisson fluctuations,
the amplitude of the CCF provides important constraints on the X-ray emissivity
of the radio sources as well as on the clustering properties of radio and X-ray
sources. These constraints are subject to a number of modeling parameters, e.g.
the X-ray luminosity evolution, clustering evolution, the radio luminosity
function, cosmological model, etc. For reasonable choices of paramters the
X-ray/FIRST CCF is consistent with a correlation scale length of 6/h Mpc. This
is somewhat smaller than the scale length inferred from the autocorrelation
function of the FIRST survey and implies that X-ray sources are less strongly
clustered than strong radio sources, a result which is consistent with previous
constraints on X-ray clustering. The X-ray/GB6-PMN CCF is several times larger
and is likely to be dominated by Poisson fluctuations. This implies that 2
percent of the diffuse X-ray background arises from the GB6-PMN sources.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 20:53:29 GMT""}]","2009-10-30"
"astro-ph/9709078","Amitava Raychaudhury","Kamales Kar (1), Sukhendusekhar Sarkar (2), Srubabati Goswami (3), and
  Amitava Raychaudhuri (3) ((1) Saha Institute of Nuclear Physics, Calcutta,
  India (2) Inter-University Consortium for DAE Facilities, Calcutta, India (3)
  University of Calcutta, Calcutta, India)","Excited States of 71Ge above the Neutron Emission Threshold and Solar
  Neutrino Capture rates for Ga Detectors","10 pages, Latex, to appear in Mod. Phys. Lett. A., Figure added","Mod.Phys.Lett. A12 (1997) 2279-2286","10.1142/S0217732397002351","CUPP-97/1, SINP/TNP/97-09","astro-ph hep-ph",,"  In Gallium detectors for solar neutrinos, the capture rate due to
Gamow-Teller transitions to excited states of 71Ge beyond the neutron emission
threshold is usually neglected. We make a model calculation to estimate its
effect and find that this yields an additional contribution which may be as
much as 0.4 SNU, even larger than that from the Isobaric Analog State in 71Ge
reached by Fermi transitions, which is normally included in the standard
predictions.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 21:03:35 GMT""},{""version"":""v2"",""created"":""Wed, 17 Sep 1997 06:51:29 GMT""}]","2009-10-30"
