"alg-geom/9709017","Yavor Markov","Y. Markov, V. Tarasov, A. Varchenko","The Determinant of a Hypergeometric Period Matrix","21 pages, no figures, LaTeX2e",,,,"alg-geom math.AG",,"  We consider a function $U=e^{-f_0}\prod_j^N f_j^{\alpha_j}$ on a real affine
space, here $f_0,..,f_N$ are linear functions, $\alpha_1, ...,\alpha_N$ complex
numbers. The zeros of the functions $f_1, ..., f_N$ form an arrangement of
hyperplanes in the affine space. We study the period matrix of the
hypergeometric integrals associated with the arrangement and the function $U$
and compute its determinant as an alternating product of gamma functions and
critical points of the functions $f_0,..., f_N$ with respect to the
arrangement. In the simplest example, $N=1, f_0=f_1=t$, the determinant formula
takes the form $\int_0^\infty e^{-t} t^{\alpha -1} dt=\Gamma (\alpha).$
  We also give a determinant formula for Selberg type exponential integrals. In
this case the arangements of hyperplanes is special and admits a symmetry
group, the period matrix is decomposed into blocks corresponding to different
representations of the symmetry group on the space of the hypergeometric
integrals associated with the arrangement. We compute the determinant of the
block corresponding to the trivial representation.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 20:51:53 GMT""}]","2008-02-03"
"astro-ph/9709139","Valentina D'Odorico","Valentina D'Odorico","The Absorption Spectrum of the QSO PKS 2126-158 (z_em = 3.27) and the
  Clustering Properties of Metal Systems","2 pages, 1 figure included, conf_iap.sty. To appear in the proc. of
  the 13th IAP Meeting on ""Structure and evolution of the IGM from QSO
  absorption line systems"" (1-5 July 1997)",,,,"astro-ph",,"  We report the detection of a significant clustering signal on scales $\Delta
v < 300$ km/s, for a sample of 71 C IV absorbers. This result confirms previous
findings and, together with data at lower column density, it points to a trend
of decreasing clustering amplitude with decreasing column density, analogous to
that observed for Lyman alpha lines.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 17:01:09 GMT""}]","2007-05-23"
"astro-ph/9709140","Peter Garnavich","P. Garnavich (CfA), A. Noriega-Crespo (IPAC), A. Raga (UNAM), K. H.
  Bohm (U. Wash)","Highly Collimated Molecular Hydrogen Jets Near IRAS 05487+0255: NIR
  Imaging and Spectroscopy","15 pages, 5 postscript figures, Accepted to the ApJ",,"10.1086/304887",,"astro-ph",,"  We present new narrow-band near-infrared images together with K band spectra
of highly collimated bipolar jets close to the IRAS 05487+0255 source. The jets
are located at 50"" West of the Herbig-Haro 110 outflow. The jets are not
visible at optical wavelengths, and therefore, do not fall into the `standard'
Herbig-Haro object classification scheme. Nevertheless, they belong to an ever
growing group of molecular hydrogen jets associated with YSOs which are
optically undetected. The jets are very well collimated, with a length-to-width
ratio of 10-20. The spectra of the jet and counter-jet in the K-band show a
limited number of molecular hydrogen emission lines which makes it difficult to
obtain an accurate excitation temperature. We estimate Tex = 1104+/-67 K and
Tex = 920+/- 156 K for the red and blue jet components respectively. The radial
velocities of the jet and counter-jet, based on the shift of the (1,0) S(1)
2.121 micron line, are -275+/- 50 km/s and 180+/- 50 km/s respectively,
suggesting an angle of 30 to 45 degrees between the jet and the line of sight.
The molecular hydrogen emission of the entire jet extends for at least 40"" or
0.1 pc at the distance of Orion. If the flow velocity is comparable to that of
the radial velocities, then the dynamical age of the system is quite short
(about 500 yrs), consistent with a young jet arising from an embedded source.
Entrainment in a turbulent mixing layer may explain this morphology and
spectral character.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 17:15:23 GMT""}]","2009-10-30"
"astro-ph/9709141","Tommy Wiklind","Tommy Wiklind (1), Francoise Combes (2) ((1) Onsala Space Observatory,
  Sweden, (2) Observatoire de Paris, France)","The complex molecular absorption line system at z=0.886 towards
  PKS1830-211","16 pages, 7 figures, Accepted for publication in ApJ",,"10.1086/305701",,"astro-ph",,"  New millimeter wave observations of the molecular absorption line system in
the gravitational lens to PKS1830-211 at z=0.88582 is presented.
Self-calibrated interferometer data shows unequivocally that the previously
detected absorption component is associated with the gravitationally lensed
south-west image of the background source. A second absorption line of
HCO+(2-1) at z=0.88582 is detected. This component is shifted in velocity by
-147 km/s relative to the main absorption line, and is shown to be associated
with the north-east image. These two absorption lines are used to constrain the
mass of the lensing galaxy. Upper limits to absorption and emission lines from
the possible absorption system at z=0.1927, seen in 21cm HI by Lovell et al,
are reported.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 16:34:38 GMT""}]","2009-10-30"
"astro-ph/9709142","Guenther Hasinger","Guenther Hasinger (1), Richard Burg (2), Riccardo Giacconi (3),
  Maarten Schmidt (4), Joachim Truemper (5), & Gianni Zamorani (6) ((1)
  Astrophysikalisches Inst. Potsdam, (2) Johns Hopkins University, (3) ESO
  Garching, (4) Caltech, (5) MPE Garching, (6) Bologna Observatory)","The ROSAT Deep Survey I. X-ray sources in the Lockman Field","Accepted to A&A, 14 pages, a LaTeX text, 10 postscript figures, psfig
  and l-aa.sty are tar'd, gzip'ed and uuencoded","Astron.Astrophys.329:482-494,1998",,,"astro-ph",,"  The ROSAT Deep Survey in the Lockman Hole is the most sensitive X-ray survey
performed to date, encompassing an exposure time of 207 ksec with the PSPC and
a total of 1.32 Msec with the HRI aboard ROSAT. Here we present the complete
catalogue of 50 X-ray sources with PSPC fluxes (0.5--2 keV) above $ 5.5 \times
10^{-15} erg cm^{-2} s^{-1}$. The optical identifications are discussed in an
accompanying paper (Schmidt et al., 1997). We also derive a new log(N)--log(S)
function reaching a source density of $970 \pm 150 deg^{-2}$ at a limiting flux
of $10^{-15} erg cm^{-2} s^{-1}$. At this level 70-80% of the 0.5--2 keV X-ray
background is resolved into discrete sources. Utilizing extensive simulations
of artificial PSPC and HRI fields we discuss in detail the effects of source
confusion and incompleteness both on source counts and on optical
identifications. Based on these simulations we set conservative limits on flux
and on off-axis angles, which guarantee a high reliability of the catalogue. We
also present simulations of shallower fields and show that surveys, which are
based on PSPC exposures longer than 50 ksec, become severely confusion limited
typically a factor of 2 above their $4\sigma$ detection threshold. This has
consequences for recent claims of a possible new source population emerging at
the faintest X-ray fluxes.
  Keywords: surveys -- cosmology: diffuse radiations -- X-rays: galaxies
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 18:28:52 GMT""}]","2016-08-30"
"astro-ph/9709144","Guenther Hasinger","Maarten Schmidt (1), Guenther Hasinger (2), James Gunn (3), Don
  Schneider (4), Richard Burg (5), Riccardo Giacconi (6), Ingo Lehmann (2),
  John MacKenty (7), Joachim Truemper (8), & Gianni Zamorani (9) ((1) Caltech,
  (2) Astrophysikalisches Inst. Potsdam, (3) Princeton University, (4)
  Pennsylvania State University, (5) Johns Hopkins University, (6) ESO
  Garching, (7) STScI Baltimore, (8) MPE Garching, (9) Bologna Observatory)","The ROSAT Deep Survey II. Optical identification, photomettry and
  spectra of sources in the Lockman field","Accepted to A&A, 10 pages, a LaTeX text, 7 postscript figures, psfig
  and l-aa.sty are tar'd, gzip'ed and uuencoded","Astron.Astrophys. 329 (1998) 495-503",,,"astro-ph",,"  The ROSAT Deep Survey includes a complete sample of 50 X-ray sources with
fluxes in the $0.5 - 2$ keV band larger than 5.5 $10^{-15}$ erg cm$^{-2}$
s$^{-1}$ in the Lockman field (Hasinger et al., Paper I). We have obtained deep
broad-band CCD images of the field and spectra of many optical objects near the
positions of the X-ray sources. We define systematically the process leading to
the optical identifications of the X-ray sources. For this purpose, we
introduce five identification (ID) classes that characterize the process in
each case. Among the 50 X-ray sources, we identify 39 AGNs, 3 groups of
galaxies, 1 galaxy and 3 galactic stars. Four X-ray sources remain unidentified
so far; two of these objects may have an unusually large ratio of X-ray to
optical flux.
  Keywords: surveys -- galaxies: active -- quasars: emission lines -- galaxies:
Seyfert -- X-rays: galaxies
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 18:29:58 GMT""}]","2007-05-23"
"astro-ph/9709145",,"Lynn D. Matthews (SUNY Stony Brook), John S. Gallagher (University of
  Wisconsin-Madison)","B and V CCD Photometry of Southern, Extreme Late-Type Spiral Galaxies","To appear in the Astronomical Journal; 31 pages + 5 tables (LaTex;
  uses aasms4.sty) + 10 postscript figures; .gif copies of 7 additional figure
  plates available via anonymous ftp at
  uwast.astro.wisc.edu/outgoing/jsg/papers/ELT_photom/",,"10.1086/118613",,"astro-ph",,"  We present B and V CCD aperture photometry for a morphologically-selected
sample of forty-nine southern, extreme late-type spiral galaxies. All objects
are moderate-to-low surface brightness Local Supercluster field galaxies that
were detected previously in HI surveys. Our sample features objects that have
optical luminosities, optical sizes, and HI masses which are at the low end for
spiral galaxies. These objects are not a new class of galaxy, but are examples
of a common type of spiral galaxy that has been under-represented in nearby
galaxy samples. (Abridged).
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 20:17:51 GMT""}]","2009-10-30"
"astro-ph/9709146",,"C. J. Clarke (1), A. L. Kinney (1,2,3), and J. E. Pringle (1,2) ((1)
  IoA, University of Cambridge, (2) Space Telescope Science Institute, (3)
  Johns Hopkins University)","An Investigation into the Geometry of Seyfert Galaxies","13 pages, Tex, 5 Postscript figures. Accepted ApJ",,"10.1086/305285",,"astro-ph",,"  We present a new method for the statistical investigation into the
distributions of the angle beta between the radio axis and the normal to the
galactic disk for a sample of Seyfert galaxies. We discuss how further
observations of the sample galaxies can strengthen the conclusions. Our data
are consistent with the hypothesis that AGN jets are oriented randomly in
space, independent of the position of the plane of the galaxy. By making the
simple assumption that the Standard Model of AGN holds, with a universal
opening angle of the thick torus of phi_c, we demonstrate a statistical method
to obtain an estimate of phi_c. Our data are not consistent with the
simple-minded idea that Seyfert 1s and Seyfert 2s are differentiated solely by
whether or not our line of sight lies within some fixed angle of the jet axis.
Our result is significant on the 2 sigma level and can thus be considered only
suggestive, not conclusive. A complete sample of Seyfert galaxies selected on
an isotropic property is required to obtain a conclusive result.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 21:47:43 GMT""}]","2009-10-30"
"astro-ph/9709147","Piero Madau","Piero Madau (STScI)","The Evolution of Luminous Matter in the Universe","22 pages, 10 embedded postscript figures, LaTeX with PASP 'paspconf'
  style file. To appear in ""The Hubble Deep Field"", ed. M. Livio, S. M. Fall, &
  P. Madau, STScI Symposium Series",,,,"astro-ph",,"  I review a technique for interpreting faint galaxy data which traces the
evolution with cosmic time of the galaxy luminosity density, as determined from
several deep spectroscopic samples and the HDF. The method relies on the rest
frame UV and near-IR continua of galaxies as indicators, for a given IMF and
dust content, of their instantaneous SFR and total stellar mass, and offers the
prospect of addressing in a coherent framework an important set of subjects:
cosmic star formation history, dust in primeval galaxies, shape of the IMF,
stellar mass-to-light ratios of present-day galaxies, extragalactic background
light, Type II supernovae and heavy element enrichment history of the universe.
The global spectrophotometric properties of field galaxies are well fit by a
simple stellar evolution model, defined by a time-dependent SFR per unit
comoving volume, a universal IMF which is relatively rich in massive stars, and
a modest amount of dust reddening. The model is able to account for the entire
background light recorded in the galaxy counts down to the very faint magnitude
levels probed by the HDF, and produces visible mass-to-light ratios at the
present epoch which are consistent with the values observed in nearby galaxies
of various morphological types. The bulk (>60%) of the stars present today
formed relatively recently (z<1.5), consistently with the expectations from a
broad class of hierarchical clustering cosmologies, and in good agreement with
the low level of metal enrichment observed at high redshifts in the damped
Lyman-alpha systems. Throughout this review I emphasize how the poorly
constrained amount of starlight that was absorbed by dust and reradiated in the
far-IR at early epochs represents one of the biggest uncertainties in our
understanding of the evolution of luminous matter in the universe.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 21:16:18 GMT""}]","2007-05-23"
"astro-ph/9709148",,"C.O. Escobar and R.A. V\'azquez","Are High Energy Cosmic Rays Magnetic Monopoles?","15 pages, 6 ps fig. included, Latex","Astropart.Phys.10:197-202,1999","10.1016/S0927-6505(98)00045-0","IFT-P.050/97, IFUSP/P-1279","astro-ph",,"  We argue that magnetic monopoles can not be associated to the highest energy
cosmic rays as recently suggested. Both the observed spectrum and the arrival
direction disagree with observation.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 23:24:12 GMT""}]","2010-11-30"
"astro-ph/9709149","Nagataki Shigehiro","Shigehiro Nagataki, Masa-aki Hashimoto, Katsuhiko Sato, and Shoichi
  Yamada","Explosive Nucleosynthesis in Axisymmetrically Deformed Type II
  Supernovae","32 pages, 12 figures, LaTex","Astrophys.J. 486 (1997) 1026","10.1086/304565","RESCEU 16/96, UTAP-258","astro-ph",,"  Explosive nucleosynthesis under the axisymmetric explosion in Type II
supernova has been performed by means of two dimensional hydrodynamical
calculations. We have compared the results with the observations of SN 1987A.
Our chief findings are as follows: (1) $^{44}Ti$ is synthesized so much as to
explain the tail of the bolometric light curve of SN 1987A. We think this is
because the alpha-rich freezeout takes place more actively under the
axisymmetric explosion. (2) $^{57}Ni$ and $^{58}Ni$ tend to be overproduced
compared with the observations. However, this tendency relies strongly on the
progenitor's model.
  We have also compared the abundance of each element in the mass number range
$A= 16-73$ with the solar values. We have found three outstanding features. (1)
For the nuclei in the range $A=16-40$, their abundances are insensitive to the
initial form of the shock wave. This insensitivity is favored since the
spherical calculations thus far can explain the solar system abundances in this
mass range. (2) There is an enhancement around A=45 in the axisymmetric
explosion compared with the spherical explosion fairly well. In particular,
$^{44}Ca$, which is underproduced in the present spherical calculations, is
enhanced significantly. (3) In addition, there is an enhancement around A=65.
This tendency does not rely on the form of the mass cut but of the initial
shock wave. This enhancement may be the problem of the overproduction in this
mass range, although this effect would be relatively small since Type I
supernovae are chiefly responsible for this mass number range.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 05:15:09 GMT""}]","2009-10-30"
