"alg-geom/9709020","Vladimir Masek","Vladimir Masek (Washington Univ. in St. Louis)","Very ampleness of adjoint linear systems on smooth surfaces with
  boundary","22 pages, AMS-LaTeX 1.2",,,,"alg-geom math.AG",,"  Let M be a Q-divisor on a smooth surface over C. In this paper we give
criteria for very ampleness of the adjoint of the round-up of M. (Similar
results for global generation were given by Ein and Lazarsfeld and used in
their proof of Fujita's Conjecture in dimension 3.) In the last section we
discuss an example which suggests that this kind of criteria might also be
useful in the study of linear systems on surfaces.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 16:48:39 GMT""}]","2016-08-30"
"alg-geom/9709021","Joachim Yameogo","A. Iarrobino (Northeastern University) and J. Yameogo (Universite de
  Nice)","The family G_T of graded quotients of k[x,y] of given Hilbert function","37 pages. This version is an extensive rewrite, and includes minor
  corrections. The main results are the same","Communications in Algebra, Vol 31 #8, 3863--3916 (2003)",,"Prepublication 496, Septembre 1997 (Nice)","alg-geom math.AC math.AG math.CO",,"  The nonsingular variety G_T parametrizes all graded ideals I of R=k[x,y] for
which the Hilbert function H(R/I)=T. The variety G_T has a natural cellular
decomposition: each cell V(E) corresponds to a monomial ideal E for which
H(R/E)=T. Given a monomial ideal E, the quotient R/E has a basis of monomials
in the shape of a partition P(E), having ""diagonal lengths"" T. The dimension of
the cell V(E) is the number of difference one hooks of P(E).
  We show that G_T is birational to a certain product SGrass(T) of small
Grassman varieties, and that over the complexes, the birational map induces an
isomorphism of homology groups, but not usually an isomorphism of rings. We
determine the homology ring) when T=(1,2,...,d-1,d,...,d,1). This G(T) is the
desingularisation of the d-secant bundle Sec(d,j) of the degree-j rational
normal curve, We determine the classes of the pullbacks of the higher singular
loci of Sec(d,j). We also use the ring H*(G_T) to determine the number of
ideals satisfying an intersection of ramification conditions at different
points of P^1.
  A main tool is a combinatorial ""hook code"" for the partition P(E), that gives
the image of the cell V(E) in SGrass(T).
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 15:29:06 GMT""},{""version"":""v2"",""created"":""Thu, 23 Dec 2004 20:47:43 GMT""}]","2008-02-03"
"astro-ph/9709169","Paolo Ciliegi","Paolo Ciliegi(1) and Tommaso Maccacaro (2), ((1) IoA Cambridge UK (2)
  Osservatorio di Brera, Milano, Italy)","The X-ray flux and spectral variability of EMSS AGN","11 pages, 1 ps file, accepted for publication in MNRAS",,,,"astro-ph",,"  Fifteen ROSAT PSPC observations available in the public archive are analyzed
in order to study time and spectral variability of the 12 EMSS AGN detected by
ROSAT with more than 2000 net counts. Time variability was investigated on 13
different time scales, ranging from 400 s to 1 year. Of the 12 sources
analyzed, only two do not show a significant variability on any time scale. On
short time scale about 20 percent of AGN are seen as variable sources while on
time scale greater than 100.000 s the fraction becomes greater than 50 percent.
However one should bare in mind that the visibility function for variability is
far from being uniform and that small amplitude variations can be detected more
often on long time scale than on short time scale. Spectral variability was
detected in only two sources. MS1158.6-0323 shows an hardening of the spectrum
with increasing intensity while MS2254.9-3712 shows a softening of the spectrum
with increasing intensity. Finally, for one source (MS1416.3-1257), the
observed variability is not due to an intrinsic flux variation but, instead, to
a variation in the column density along the line of sight. Since this
variability has been observed on a time scale of about 3.9 days, it is probably
associated to the broad line clouds.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 16:34:20 GMT""}]","2007-05-23"
"astro-ph/9709170","Gerry Williger","G.M. Williger, A. Smette (NASA/GSFC), C. Hazard (Pittsburgh,IOA), J.A.
  Baldwin (CTIO), R.G. McMahon (IOA)","10 Mpc QSO Absorber Correlations at z~3","4 pages, LaTeX (type return if ""10pt.sty"" error message), with 1
  PostScript figure, to appear in the Proceedings of the 13th IAP Colloquium
  (July 1-5, 1997): ``Structure and Evolution of the IGM from QSO Absorption
  Line Systems''",,,,"astro-ph",,"  We present results from a survey of the Lyman alpha forest at 2.15<z<3.26
toward ten QSOs concentrated within a 1 degree field. We find correlations of
the Lyman alpha absorption line wavelengths between different lines-of-sight
over the whole redshift range. This indicates the existence of large-scale
structures in the Lyman alpha forest extending at least over ~36/h comoving Mpc
in the plane of the sky, as may be expected from recent large scale structure
simulations.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 16:50:41 GMT""}]","2007-05-23"
"astro-ph/9709171","Vik Dhillon","V. S. Dhillon, T. R. Marsh, D. H. P. Jones","On the nature of SW Sex","15 pages, LaTeX, 10 figures, accepted by MNRAS, 19 June 1997",,"10.1093/mnras/291.4.694",,"astro-ph",,"  We present spectrophotometry of the eclipsing nova-like variable SW Sex. The
continuum is deeply eclipsed and shows asymmetries due to the presence of a
bright spot. We derive a new ephemeris and, by measuring the eclipse width, we
are able to constrain the inclination to i > 75^o and the disc radius to R_D >
0.6 L_1. In common with other members of its class (of which it is the
proto-type), SW Sex shows single-peaked emission lines which show transient
absorption features and large phase shifts in their radial velocity curves. In
addition, the light curves of the emission lines show a reduction in flux
around phase 0.5 and asymmetric eclipse profiles which are not as deep as the
continuum eclipse. Using Doppler tomography, we find that most of the line
emission in SW Sex appears to originate from three sources: the secondary star,
the accretion disc and an extended bright spot. The detection of the red star
allows us to constrain the radial-velocity semi-amplitude of the secondary to
K_R > 180 km/s and hence the component masses to M_1 = 0.3-0.7 Msun and M_2 <
0.3 Msun.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 16:55:48 GMT""}]","2015-06-24"
"astro-ph/9709172","Postnov K. A.","S.I.Blinnikov (Institute for Theoretical and Experimental Physics,
  Moscow, Russia), K.A.Postnov (Faculty of Physics, Moscow State University,
  Russia)","A mini-supernova model for optical afterglows of GRB","5 pages with 1 eps figures, mn.sty + epsf.sty, Submitted to MNRAS on
  July 17, 1997; after revision on September 17, 1997","Mon.Not.Roy.Astron.Soc. 293 (1998) L29-L32","10.1046/j.1365-8711.1998.01251.x",,"astro-ph",,"  An energy deposition of \sim 10^{50} ergs into the exterior 10^{-3} M_\sun
layers of a red giant is calculated to produce an optical phenomenon similar to
afterglows of gamma-ray bursts (GRB) recently observed. This model can be
realized if a GRB is generated by some mechanism in a close binary system. In
contrast to a ``hypernova'' scenario for GRB recently proposed by Paczy\'nski
(1997), this model does not require a huge kinetic energy of the expanding
shell to explain optical afterglows of GRB.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 17:38:47 GMT""}]","2009-10-30"
"astro-ph/9709173","Hsiao-Wen Chen","H.-W. Chen(1), K. M. Lanzetta (1), J. K. Webb(2), X. Barcons(3) ((1)
  SUNY at Stony Brook, NY-USA,(2) UNSW-Sydney-Australia, (3) IFCA
  (CSIC-UC)-Santander- Spain)","The Gaseous Extent of Galaxies and the Origin of \lya Absorption Systems
  at z < 1","2 pages, LATEX, with 1 ps figure, conf_iap.sty. To appear in the
  Proceedings of 13th IAP Colloquium (July 1-5, 1997) Structure and Evolution
  of the Intergalactic Medium from QSO Absorption Line Systems, ed. P.
  Petitjean, S. Charlot",,,,"astro-ph",,"  We present initial results of a program to obtain and analyze HST WFPC2
images of galaxies in fields of HST spectroscopic target QSOs. The goal of the
program is to investigate how the properties of \lya absorption systems
observed in the spectra of background QSOs vary with the properties of
intervening galaxies. We found that \lya absorption equivalent width depends
strongly on galaxy impact parameter and galaxy B-band luminosity, and that the
gaseous extent of individual galaxies scales with galaxy B-band luminosity by
$r\propto L_B^{0.35\pm0.10}$.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 20:07:53 GMT""}]","2007-05-23"
"astro-ph/9709174","Ari Buchalter","Ari Buchalter, David J. Helfand, Robert H. Becker, Richard L. White","Constraining Omega_0 With The Angular-Size Redshift Relation Of
  Double-Lobed Quasars In The FIRST Survey","48 pages (AASTex) including tables and 6 Postscript figures, to
  appear in ApJ, acknowledgements corrected",,"10.1086/305236","CAL-637","astro-ph",,"  In previous attempts to measure Omega_0 from the angular size-redshift
(theta-z) relation of double-lobed radio sources, the observed data have been
consistent with a static Euclidean universe, rather than with Friedmann models,
and past authors have disagreed as to what effects are responsible. These
results may be due to a variety of selection effects, different sample
definitions, and inconsistencies in the analysis undermining the results. Using
the VLA FIRST survey, we investigate the theta-z relation for a new sample of
103 double-lobed quasars, carefully addressing the various potential problems
which, we believe, have compromised past work. Before focusing on cosmological
constraints, we investigate the possible impact of correlations among the
intrinsic properties of these sources over the entire assumed range of allowed
cosmological parameter values. For all cases, we find only mild apparent size
evolution which is found to arise mainly from a power-size correlation coupled
with a power-redshift correlation; intrinsic size evolution is consistent with
zero. We also find that in all cases, an evolution-free subsample can be
defined, whose theta-z relation should arise mainly from cosmological effects.
Contrary to past work, we find that the observed theta-z relation for our
sample is more consistent with standard Friedmann models than with a static
Euclidean universe. In particular, we find that a flat, matter-dominated
universe, a flat universe with a cosmological constant, and an open universe
all provide comparably good fits to the data, with the latter two models both
yielding Omega_0 \approx 0.35 with 1-sigma ranges including values between \sim
0.25 and 1.0; the evolution-free subsamples yield values of Omega_0 near unity,
though with even greater error ranges.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 20:40:58 GMT""},{""version"":""v2"",""created"":""Thu, 18 Sep 1997 20:24:44 GMT""}]","2009-10-30"
"astro-ph/9709175",,"Selma Junqueira (Observatorio Nacional - Brazil), Duilia F. de Mello
  (Observatorio Nacional - Brazil), Leopoldo Infante (P. Universidad Catolica -
  Chile)","Morphology Transformation in Pairs of Galaxies - The Local Sample","14 pages LaTeX file, 7 gif figures, uses epsf.sty, l-aa.sty",,"10.1051/aas:1998174",,"astro-ph",,"  We present photometric analysis of a local sample of 14 isolated pairs of
galaxies. The photometric properties analyzed in the local pairs are: colors,
morphology, tidal effects and activity. We verify that close pairs have an
excess of early-type galaxies and many elliptical galaxies in this pairs are,
in fact, lenticular galaxies. Many late-pairs in our sample show strong tidal
damage and blue star formation regions. We conclude that pairs of different
morphologies may have passed through different evolution processes which
violently transformed their morphology. Pairs with at least one early-type
component may be descendents of groups of galaxies. However, late-type pairs
are probably long-lived showing clearly signs of interaction. Some of them
could be seen as an early stage of mergers. These photometric database will be
used for future comparison with more distant pairs in order to study galaxy
evolution.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 22:23:48 GMT""},{""version"":""v2"",""created"":""Thu, 18 Sep 1997 00:01:57 GMT""},{""version"":""v3"",""created"":""Fri, 19 Sep 1997 20:41:32 GMT""}]","2009-10-30"
"astro-ph/9709177","Sofia Randich","Sofia Randich (Osservatorio di Arcetri)","Supersaturation in X-ray emission of clusters stars","9 pages, LaTeX, 4 postscript figures. To appear in the proceedings of
  the 10th Cambridge Workshop on Cool Stars, Stellar, Systems and the Sun, eds.
  B. Donahue, J. Bookbinder",,,,"astro-ph",,"  A population of cool dwarfs with extreme rotational velocities (v sini > 100
km/sec) is present in young open clusters. ROSAT observations have shown that
these very fast rotators exhibit a level of X-ray activity a factor of 3-5
below the saturated level which is usually observed (both in X-rays and other
magnetic activity indicators) for `normally' fast rotators. This phenomenon has
been denominated ""Supersaturation"". W UMa contact binaries seem to be
supersaturated as well, while the scatter in the rotation-activity relation for
RS CVn and BY Dra binaries does not allow us to clearly discern whether they
exhibit supersaturation or not. Supersaturation is not seen in Halpha for Alpha
Per supersaturated stars. Two alternative lines of interpretation are
discussed.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 08:06:57 GMT""}]","2009-09-25"
"astro-ph/9709178","Jan Kuijpers","Jan Kuijpers (Sterrekundig Instituut, Utrecht University; Dep. of Exp.
  High Energy Physics, University of Nijmegen; CHEAF, Amsterdam, The
  Netherlands)","A Solar Prominence Model","17 pages, LateX",,"10.1086/316785",,"astro-ph",,"  We propose a model for solar prominences based on converging flow observed in
the chromosphere and photosphere. In contrast with existing models we do not
apply a shearing motion along the neutral line. Instead we assume that bipolar
loops approaching on different sides of the neutral line have a non-vanishing
magnetic helicity of the SAME sign. In the converging flow the individual loops
kink and develop a skew. For loops of the same helicity the skew is in the same
sense. As a result the `chiral' symmetry of an aligned distribution of loops is
broken and the reconnecting loop system forms a filament with the observed
magnetic orientation and anchoring of the barbs in regions of parasytic
polarity. The filament consists of a number of individual strands of coaxial
coronal electric currents each of which is current neutralised. The filament
material is suspended in dips in the magnetic field and the transverse field
direction coincides with that in the Kuperus-Raadu model. Above the filament a
cavity forms with an overlying arcade consisting of the outer portions of the
reconnected loops.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 11:37:41 GMT""}]","2009-10-30"
