"alg-geom/9709031","Wolf Barth","W. Barth","K3 Surfaces with Nine Cusps","LaTeX",,,,"alg-geom math.AG",,"  By a K3-surface with nine cusps I mean a surface with nine isolated double
points A_2, but otherwise smooth, such that its minimal desingularisation is a
K3-surface. It is shown, that such a surface admits a cyclic triple cover
branched precisely over the cusps. This parallels the theorem of Nikulin, that
a K3-surface with 16 nodes is a Kummer quotient of a complex torus.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 08:42:46 GMT""}]","2008-02-03"
"astro-ph/9709283","Liliya L. R. Williams","Liliya L. R. Williams (Institute of Astronomy, Cambridge, UK)","Image Separation vs. Redshift of Lensed QSOs: Implications for Galaxy
  Mass Profiles","6 pages, including 3 figures, LaTeX. Accepted to MNRAS",,"10.1093/mnras/292.1.L27",,"astro-ph",,"  Recently, Park and Gott reported an interesting observation: image separation
of lensed QSOs declines with QSO redshift more precipitously than expected in
any realistic world model, if the lenses are taken to be either singular
isothermal spheres or point masses. In this Letter I propose that the observed
trend arises naturally if the lensing galaxies have logarithmic surface mass
density profiles that gradually change with radius. If the observed lack of
central (odd) images is also taken into account, the data favor a universal
dark matter density profile over an isothermal sphere with a core. Since the
trend of image separation vs. source redshift is mostly a reflection of galaxy
properties, it cannot be straightforwardly used as a test of cosmological
models. Furthermore, the current upper limits on the cosmological constant may
have to be revised.
","[{""version"":""v1"",""created"":""Sun, 28 Sep 1997 18:24:12 GMT""}]","2016-01-13"
"astro-ph/9709284","Peter Meszaros","A. Panaitescu and P. Meszaros (Pennsylvania State University)","Rings in Fireball Afterglows","Ap.J.(Letters), subm. 9/28/97, latex (aaspp4), 11 pages including two
  postscript figures","Astrophys.J. 493 (1998) L31","10.1086/311127",,"astro-ph",,"  We derive the equation for the surface of equal arrival times of radiation
from a thin relativistic shell interacting with an external medium,
representing the afterglow of a gamma-ray burst produced by a fireball. Due to
the deceleration, these surfaces become distorted ellipsoids and, at
sufficiently late times, most of the light (either bolometric or in a given
band) comes from a ring-like region whose width depends only on age. We analyze
the shape of these surfaces and the radiation received from different angles
for different dynamic and radiative regimes and homogeneous or power-law
external densities. We calculate angle-integrated bolometric and fixed
frequency fluxes, and we tabulate the most relevant parameters that describe
the equal arrival time surfaces and the source brightness distribution,
quantities that are useful for more accurate analytic estimates of the
afterglow evolution.
","[{""version"":""v1"",""created"":""Sun, 28 Sep 1997 22:39:32 GMT""}]","2009-10-30"
"astro-ph/9709285","Tim Bedding","Timothy R. Bedding (Univ. Sydney) and Hans Kjeldsen (TAC, Aarhus)","Solar-like oscillations: the search goes on","8 pages, latex, no figures; Invited talk, to appear in Proceedings of
  the Tenth Cambridge Workshop on Cool Stars, Stellar Systems and the Sun,
  edited by R. A. Donahue and J. A. Bookbinder",,,"CAD-970929","astro-ph",,"  Despite numerous attempts and many hours of telescope time, there has so far
been no confirmed detection of solar-like oscillations in any star except the
Sun. We review recent efforts, with particular emphasis on the technique of
monitoring equivalent widths of Balmer lines, including a description of the
steps in data reduction.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 02:17:41 GMT""}]","2007-05-23"
"astro-ph/9709286","Sergei Nayakshin","Sergei Nayakshin (1) and Fulvio Melia (1,2) ((1) Physics Department,
  University of Arizona (2) Steward Observatory, University of Arizona)","X-rays From Magnetic Flares In Cygnus X-1: A Unified Model With Seyfert
  Galaxies","The paper has been expanded (by about 10%) to provide a more detailed
  discussion of the physics described. None of the results/conclusions changed",,,,"astro-ph",,"  Some recent work has shown that the spectrum of Seyfert 1 Galaxies is very
similar to that of several Galactic Black Hole Candidates (GBHCs) in their hard
state. However, the smallness of the observed reflection component in Cygnus
X-1, in addition to other constraints, seem to rule out the two-phase model
(otherwise successful in the case of Seyfert Galaxies) for GBHCs. Here, we show
that the latter conclusion is based on a number of key assumptions that
probably are not valid when the overlying corona is patchy, e.g., when it is
comprised of localized magnetic flares above the disk. We show that in GBHCs
the energy deposited by the X-rays cannot be re-radiated fast enough to
maintain equilibrium, unless the X-ray skin heats up to the Compton
temperature, at which point the gas is mostly ionized. This leads to a
substantially reduced cooling rate for the active regions due to the
correspondingly smaller number of re-injected low-energy photons. We model this
effect by introducing a transition layer situated between the corona and the
cold disk, and find that the resulting spectrum is harder than that obtained
with the standard (and unrealistic) two-phase model. We apply this model to
Cygnus X-1 and show that it can account for its observed spectrum. This
analysis therefore seems to provide a consistentpicture for both Seyfert
Galaxies and GBHCs within the same framework, with differences arising due to
the changing physical conditionsin the two categories of sources, rather than
due to an ad hoc variation of the model parameters.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 03:31:48 GMT""},{""version"":""v2"",""created"":""Wed, 11 Feb 1998 00:24:35 GMT""}]","2008-02-03"
"astro-ph/9709287","Gabriele Giovannini","G. Giovannini, W.D. Cotton, L. Feretti, L. Lara, T. Venturi","VLBI Observations of a Complete Sample of Radio Galaxies: VIII - Proper
  Motion in 3C338","12 pages, Figures included; Latex file aas2pp4.sty and amssym.sty
  included; Astrophysical Journal accepted",,"10.1086/305159","BAP 09-1997-027 IRA","astro-ph",,"  We present new VLA, MERLIN and VLBI images for the radio galaxy 3C 338, and
the results of the monitoring of its arcsecond core flux density. Present high
sensitivity observations allow us to investigate the radio structure of this
source and to confirm the presence of two symmetric parsec scale jets.
Morphological changes between different epochs are evident and a proper motion
with $\beta \sim$ 0.4h$^{-1}$ has been derived allowing us to give a lower
limit constraint for the Hubble constant. While the steep spectrum large scale
structure of 3C 338 could be a relic emission, the small scale structure looks
young, similar to the high power MSOs found at high redshift.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 09:49:30 GMT""}]","2009-10-30"
"astro-ph/9709288","Michiel R. Hogerheijde","M. R. Hogerheijde (1), H. J. van Langevelde (2), L. G. Mundy (3), G.
  A. Blake (4), and E. F. van Dishoeck (1) ((1) Leiden Observatory, (2) Joint
  Institue for VLBI in Europe, Dwingeloo, (3) University of Maryland, College
  Park, (4) California Institute of Technology)","Sub-arcsecond imaging at 267 GHz of a young binary system: Detection of
  a <70 AU radius dust disk around T Tau N","ApJ Letters in press. 12 pages, incl. 2 figures. Uses AASTeX",,"10.1086/311019","STW 402-97","astro-ph",,"  The young binary system T Tau was observed with the Owens Valley Millimeter
Array at 267 GHz continuum and HCO+ J=3-2 emission at 0.8'' resolution, with
the JCMT-CSO single-baseline interferometer in 357 GHz continuum, and with the
W. M. Keck Telescope at 4 micron. The 267 GHz emission is unresolved with a
flux of 397 +/- 35 mJy, located close to the position of the optical star T Tau
N. An upper limit of 100 mJy is obtained toward the infrared companion T Tau S.
The 357 GHz continuum emission is unresolved, with a flux of 1.35 +/- 0.68 Jy.
HCO+ 3-2 was detected from a 2'' diameter core surrounding T Tau N and S. Both
stars are detected ar 4 micron, but there is no evidence of the radio source T
Tau R. We propose a model in which T Tau S is intrinsically similar to T Tau N,
but is obscured by the outer parts of T Tau N's disk. A fit to the spectral
energy distribution (SED) between 21 cm and 1.22 micron is constructed on this
basis. Adopting a r^-1 surface density distribution and an exponentially
truncated edge, disk masses of 0.04 +/- 0.01 Msol and 6e-5 - 3e-3 Msol are
inferred for T Tau N and S, respectively. A 0.005-0.03 Msol circumbinary
envelope is also required to fit the millimeter to mid-infrared SED.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 12:05:21 GMT""}]","2009-10-30"
"astro-ph/9709289","Michael West","Michael J. West (Saint Mary's University)","The Coma Cluster in Relation to its Environs","10 pages, 7 figures. Invited review to be published in the
  proceedings of the Rencontres Astrophysiques meeting ""A New Vision of an Old
  Cluster: Untangling Coma Berenices"", eds. F. Durret et al., held in
  Marseille, France 17-20 June 1997",,,,"astro-ph",,"  Clusters of galaxies are often embedded in larger-scale superclusters with
dimensions of tens or perhaps even hundreds of Mpc. Observational and
theoretical evidence suggest an important connection between cluster properties
and their surroundings, with cluster formation being driven primarily by the
infall of material along large-scale filaments. Nowhere is this connection more
obvious than the Coma cluster.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 13:16:36 GMT""}]","2009-09-25"
"cond-mat/9709310","Mahito Kohmoto","Jun'ichi Shiraishi, Mahito Kohmoto, Kazumi Maki","Vortex lattice transition in D-wave superconductors","14pages, Revtex",,,,"cond-mat",,"  Making use of the extended Ginzburg Landau theory, which includes the fourth
order derivative term, we study the vortex state in a magnetic field parallel
to the $ c$ axis. The vortex core structure is distorted due to this higher
order term, which reveals t he fourfold symmetry. Futher, this distortion gives
rise to the core interaction energy, which favo rs a square lattice tilted by
$45^\circ$ from the $a$ axis. The critical field of this transition is
determined. The magnetization diverges at the transition. This suggests the
transition is of the fi rst order.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 05:24:14 GMT""},{""version"":""v2"",""created"":""Fri, 3 Oct 1997 15:57:50 GMT""}]","2009-09-25"
"cond-mat/9709311",,"X.-M. Zhu and P. Ao (Umea University)","Vortex Dynamics, Resistivity Formula, and Fluctuation-dissipation
  Theorems","final verion. appeared in Chinese J. of Physics v.36, 197 (1998)",,,,"cond-mat",,"  We investigate the problem of forces on moving vortex in a superfluid or
superconductor. The main purpose is to locate the source which leads to the
contradictory results in the literature.
  We establish the connection between this problem to the difficult but well
studied subject of resistivity formula in transport theory.
  The relaxation time approximation used in the force calculation via
force-force correlation function is shown to be invalid.
  The roles of Berry's phase and fluctuation-dissipation theorems are
discussed.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 09:24:25 GMT""},{""version"":""v2"",""created"":""Tue, 3 Nov 1998 13:22:58 GMT""}]","2016-08-31"
"cond-mat/9709312","M. N. Popova","M. N. Popova, A. B. Sushkov, S. A. Golubchik, A. N. Vasil'ev, L. L.
  Leonyuk","Folded modes in the infrared spectra of the spin-Peierls phase of
  CuGeO_3","4 pages, 5 figures, 1 table; Submitted to Phys.Rev.B Second revision.
  Figures and text were slightly changed","Phys. Rev. B, 57 (1998) 5040","10.1103/PhysRevB.57.5040",,"cond-mat.str-el",,"  Polarized far-infrared transmittance spectra of CuGeO_3 single crystals were
measured at different temperatures (6K < T < 300K). Two spectral lines, at
284.2 cm-1 in E||c polarization and at 311.7 cm-1 in E||b polarization, appear
at the temperature of the spin-Peierls transition and grow in intensity with
decreasing temperature. Both of them are, most probably, folded modes of the
dimerized lattice. We discuss a possible role of the spin-phonon interaction in
the formation of the 311.7 cm-1 feature.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 10:05:24 GMT""},{""version"":""v2"",""created"":""Wed, 29 Oct 1997 13:36:06 GMT""}]","2009-10-30"
