"astro-ph/9710029",,"D.Fargion, B.Mele and A.Salis","Ultrahigh energy neutrino scattering onto relic light neutrinos in
  galactic halo as a possible source of highest energy extragalactic cosmic
  rays","25 pages, 1 figure minor corrections, updated references. In press in
  APJ","Astrophys.J. 517 (1999) 725-733","10.1086/307203","ROME1-1179/97","astro-ph hep-ex hep-ph",,"  The diffuse relic neutrinos with light mass are transparent to Ultrahigh
energy (UHE) neutrinos at thousands EeV, born by photoproduction of pions by
UHE protons on relic 2.73 K BBR radiation and originated in AGNs at cosmic
distances. However these UHE $\nu$s may interact with those (mainly heaviest
$\nu_{\mu_r}$, $\nu_{\tau_r}$ and respective antineutrinos) clustered into HDM
galactic halos. UHE photons or protons, secondaries of $\nu\nu_r$ scattering,
might be the final observed signature of such high-energy chain reactions and
may be responsible of the highest extragalactic cosmic-ray (CR) events. The
chain-reactions conversion efficiency, ramifications and energetics are
considered for the October 1991 CR event at 320 EeV observed by the Fly's Eye
detector in Utah. These quantities seem compatible with the distance, direction
and power (observed at MeV gamma energies) of the Seyfert galaxy MCG 8-11-11.
The $\nu\nu_r$ interaction probability is favoured by at least three order of
magnitude with respect to a direct $\nu$ scattering onto the Earth atmosphere.
Therefore, it may better explain the extragalactic origin of the puzzling 320
EeV event, while offering indirect evidence of a hot dark galactic halo of
light (i.e., $m_\nu\sim$ tens eV) neutrinos, probably of tau flavour.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 16:51:47 GMT""},{""version"":""v2"",""created"":""Wed, 30 Dec 1998 10:47:20 GMT""}]","2009-10-30"
"astro-ph/9710030","Rene Mendez","R. A. Mendez (European Southern Observatory), W. F. van Altena (Yale
  University Observatory)","A new optical reddening model for the Solar neighborhood: Galactic
  Structure through low-latitude starcounts from the Guide Star Catalogue","Tex, 29 pages, 18 postscript figures, uses l-aa.sty. Accepted for
  publication in Astronomy and Astrophysics","Astron.Astrophys.330:910,1998",,,"astro-ph",,"  A new optical reddening model for the Solar neighborhood is presented. The
model makes use of the large-scale properties of the dust layer in the Galaxy,
and of the observed clumpiness in its distribution, and it is used to compute
starcounts in the plane of the Galaxy, which are compared to the observed
counts from the Guide Star Catalogue (GSC) for a few representative regions
having a range of reddening values. These comparisons provide a good test case
in a wide variety of conditions with regards to both the amount and
distribution of the reddening material along the line-of-sight.
  This is the first systematic study of low-Galactic latitude starcounts from
the perspective of a Galactic structure and reddening model, and it is
demonstrated that the model can be used to obtain meaningful starcount
estimates in the plane of the Milky-Way.
  Our best-fit model to three (out of six) selected regions yields a distance
of the Sun from the symmetry plane of the Galaxy of Z_Sun=27 +/- 3 (3 sigma)
pc, while the disk's scale-length is found to be H_Disk= 6 +/- 2 (3 sigma) kpc.
While the derived value for Z_Sun is quite sensitive to the adopted
scale-height of disk stars, no big dependency of H_Disk on this parameter is
found.
  The accuracy of the reddening and starcounts model opens the possibility of
using it to estimate and compare observations of diffuse starlight to constrain
the major structural parameters of the Galaxy, and to compute the distance
distribution of stars self-consistently with the starcounts, in order to derive
corrections to absolute parallax.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 16:59:34 GMT""}]","2011-05-23"
"astro-ph/9710031","Guenther Walther","Guenther Walther","Absence of Correlation between the Solar Neutrino Flux and the Sunspot
  Number","10 pages, 2 figures, to be published in PRL","Phys.Rev.Lett. 79 (1997) 4522-4524; Phys.Rev.Lett. 83 (1999) 1895","10.1103/PhysRevLett.83.1895",,"astro-ph",,"  There exists a considerable amount of research claiming a puzzling
anti-correlation between the neutrino detection rate at the Homestake
experiment and indicators of solar activity such as the sunspot number, giving
rise to explanations involving the hypothesis of a neutrino magnetic moment. It
is argued here that the claimed significant anti-correlation is due to a
statistical fallacy. A proper test based on certain optimality criteria fails
to detect a significant time variation of the neutrino flux in concert with the
sunspot number, providing evidence that the observations are consistent with no
correlation between the two series.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 18:25:50 GMT""}]","2009-10-30"
"astro-ph/9710032","Patricia Whitelock","Patricia A. Whitelock (South African Astronomical Observatory)","Infrared Observations of Large Amplitude Pulsating Stars","Invited Review for JD24 at IAU General Assembly, to appear in:
  Pulsating Stars - Recent Developments in Theory and Observation, (eds.) M.
  Takeuti & D. Sasselov, Universal Academic Press, Tokyo. 12 Pages, 6
  postscript figures, LaTeX, requires jd24.sty",,,"SAAO-PDOC 1374","astro-ph",,"  Our understanding of large amplitude pulsating stars and their status in
stellar evolution is briefly reviewed. The paper then describes the
near-infrared light curves of various asymptotic giant branch stars,
concentrating on possible evidence for changing mass-loss rates. The stars
discussed include oxygen- and carbon-rich Miras, OH/IR stars, thick-shelled
carbon stars and symbiotic Miras. Finally a newly discovered Mira variable in
the Sagittarius Dwarf Galaxy is described.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 19:53:48 GMT""}]","2007-05-23"
"astro-ph/9710033","Paul S. Ray","P. S. Ray, R. S. Foster, E. B. Waltman, M. Tavani, F. D. Ghigo","Long-Term Flux Monitoring of LSI +61 303 at 2.25 and 8.3 GHz","23 pages, LaTex, 7 figures, to appear in ApJ, v491, Dec 10th issue,
  for associated info and preprints see
  http://www.srl.caltech.edu/personnel/paulr/lsi.html",,"10.1086/304923",,"astro-ph",,"  LSI +61 303 is an exotic binary system consisting of a ~10 Msun B star and a
compact object which is probably a neutron star. The system is associated with
the interesting radio source GT0236+610 that exhibits bright radio outbursts
with a period of 26.5 days. We report the results of continuous daily radio
interferometric observations of GT0236+610 at 2.25 and 8.3 GHz from 1994
January to 1996 February. The observations cover 25 complete (and 3 partial)
cycles with multiple observations each day. We detect substantial
cycle-to-cycle variability of the radio emission characterized by a rapid onset
of the radio flares followed by a more gradual decrease of the emission. We
detect a systematic change of the radio spectral index alpha which typically
becomes larger than zero at the onset of the radio outbursts. This behavior is
suggestive of expansion of material initially optically thick to radio
frequencies, indicating either that synchrotron or inverse Compton cooling are
important or that the free-free optical depth to the source is rapidly
changing. After two years of observations, we see only weak evidence for the
proposed 4-year periodic modulation in the peak flux of the outbursts. We
observe a secular trend in the outburst phases according the the best published
ephemeris. This trend indicates either orbital period evolution, or a drift in
outburst orbital phase in response to some other change in the system.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 21:58:44 GMT""}]","2009-10-30"
"astro-ph/9710034","Brian Chaboyer","Brian Chaboyer (Steward Observatory), P. Demarque (Yale), D.B.
  Guenther (Saint Mary's)","The Evolution of Procyon A","3 pages, to appear in ""A Half-Century of Stellar Pulsation
  Interpretations: A Tribute to Arthur N. Cox"", ed. P.A. Bradley and J.A.Guzik
  (PASP conference series)",,,,"astro-ph",,"  A grid of stellar evolution models for Procyon A has been calculated. These
models include the best physics available to us (including the latest opacities
and equation of state) and are based on the revised astrometric mass of Girard
et al. (1996). The long standing discrepancy between the evolutionary mass and
the astrometric mass is now resolved, a result of the newly determined
astrometric mass. Models were calculated with helium diffusion and with the
combined effects of helium and heavy element diffusion. Oscillation frequencies
for $\ell=0,1,2$ and 3 $p$-modes (and $g$-modes) were calculated for these
models. The predicted $p$-mode frequencies are relatively unaffected by heavy
element diffusion and convective core overshoot. The inclusion of a modest
stellar wind which effectively suppresses the helium diffusion in the surface
layers has a modest effect on the $p$-mode frequencies. The evolutionary state
(main sequence or shell hydrogen burning) of Procyon A has the largest effect
on the predicted $p$-mode frequencies. The $g$-modes show a greater sensitivity
to the various model parameters.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 22:06:38 GMT""}]","2007-05-23"
"astro-ph/9710035","Gary Steigman","M.H. Pinsonneault, V.K. Narayanan, G. Steigman, and T.P. Walker","Rotational Mixing And The Primordial Lithium Abundance","8 pages, 3 postscript figures; To appear in the Proceedings of the
  10th Cambridge Workshop on Cool Stars, Stellar Systems, and the Sun, (15-19
  July 1997, eds. J. Bookbinder and B. Donahue). Typos in figures corrected
  (ages should be in Gyr, not Myr). Text unchanged",,,,"astro-ph",,"  There has been recent progress in the study of the angular momentum evolution
of low mass stars (Krishnamurthi et al 1997a). Theoretical models can now be
constructed which reproduce the angular momentum evolution of low mass open
cluster stars and the distribution of initial conditions can be inferred from
young clusters. In this poster we report on the application of these models to
the problem of rotational mixing in halo stars. The distribution of initial
conditions inferred from young clusters produces a well-defined halo lithium
""plateau"" with modest scatter and a small population of outliers. Different
choices for the solar calibration produce a range of absolute depletion
factors. We show that both the dispersion and the ratio of $^6$Li depletion to
$^7$Li depletion increase as the absolute $^7$Li depletion increases. The
measured $^6$Li in HD 84937 and the dispersion in the plateau set independent
upper bounds on the $^7$Li depletion. Consistency with open clusters and the
Sun, along with claims of an intrinsic dispersion in the plateau, set a lower
bound. We derive a range of 0.2-0.4 dex $^7$Li depletion in halo field stars.
Implications for cosmology are discussed.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 22:52:48 GMT""},{""version"":""v2"",""created"":""Wed, 10 Dec 1997 23:42:49 GMT""}]","2007-05-23"
"astro-ph/9710036","Bruce Bassett","Bruce A. Bassett (SISSA/ISAS)","Resonant Gravitational Wave Amplification - Axion and Inflaton","5 pages, 1 eps figure, World Sci style file included. Talk at the 2nd
  Amaldi Conference on Gravitational Waves, CERN (1997). Eds. E. Coccia et al
  (World Scientific, Singapore)",,,,"astro-ph gr-qc hep-ph",,"  We demonstrate the parametric amplification of the stochastic gravitational
wave background during inflationary reheating and during axion/moduli
oscillations. This amplification enhances the detectability of the
string/inflationary gravity wave signal, leaving a finger-print on the spectrum
which might be found with future gravitational wave detectors.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 23:13:57 GMT""}]","2007-05-23"
"astro-ph/9710037","David J. Reiss","David J. Reiss, Lisa M. Germany, Brian P. Schmidt, C. W. Stubbs","The Mount Stromlo Abell Cluster Supernova Search","20 pages, 10 figures, 3 tables. Accepted for publication in AJ, Jan.
  1998 issue",,"10.1086/300191",,"astro-ph",,"  We have initiated a three-year project to find supernovae (SNe) in a
well-defined sample of high-density southern Abell clusters with redshifts
$z\leq0.08$. These observations will provide a volume-limited sample of SNe Ia
to more than a magnitude below their peak brightness, and will enable us to:
(1) measure the luminosity function of SNe, (2) further explore the correlation
of light curve shape with the absolute luminosity of SNe Ia to better
understand SNe Ia as distance indicators, (3) measure SN rates, (4) measure the
bulk motion of the Local Group using SNe Ia, and (5) directly compare SN Ia
distances to brightest cluster galaxy distances. We use the MaCHO wide-field
2-color imager on the 1.3m telescope at Mount Stromlo to routinely monitor
$\sim 12$ clusters per week. We describe our technique for target selection and
scheduling search observations, and for finding and identifying SN candidates.
We also describe the results from the first year of our program, including the
detection of 19 SNe, several RR-Lyrae variables, and hundreds of asteroids.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 01:20:08 GMT""},{""version"":""v2"",""created"":""Tue, 14 Oct 1997 00:10:47 GMT""}]","2009-10-30"
"astro-ph/9710038","Paul Steinhardt","V. F. Mukhanov (1) and Paul J. Steinhardt (2) ((1) Institut fur
  Theoretische Physik, ETH, (2) University of Pennsylvania)","Density Perturbations in Multifield Inflationary Models","17 pages, revtex, submitted to Phys. Lett. B","Phys.Lett.B422:52-60,1998","10.1016/S0370-2693(98)00032-X",,"astro-ph gr-qc",,"  We derive a closed-form, analytical expression for the spectrum of
long-wavelength density perturbations in inflationary models with two (or more)
inflaton degrees of freedom that is valid in the slow-roll approximation. We
illustrate several classes of potentials for which this expression reduces to a
simple, algebraic expression.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 04:02:36 GMT""}]","2009-09-15"
"astro-ph/9710039","Victor Debattista","Victor P. Debattista and J.A. Sellwood (Rutgers University)","Dynamical Friction and the Distribution of Dark Matter in Barred
  Galaxies","6 pages, Latex, 3 figures, Accepted by Ap.J.L., revised copy,
  includes an added paragraph","Astrophys.J.493:L5-L8,1998","10.1086/311118",,"astro-ph",,"  We use fully self-consistent N-body simulations of barred galaxies to show
that dynamical friction from a dense dark matter halo dramatically slows the
rotation rate of bars. Our result supports previous theoretical predictions for
a bar rotating within a massive halo. On the other hand, low density halos,
such as those required for maximum disks, allow the bar to continue to rotate
at a high rate. There is somewhat meager observational evidence indicating that
bars in real galaxies do rotate rapidly and we use our result to argue that
dark matter halos must have a low central density in all high surface
brightness disk galaxies, including the Milky Way. Bars in galaxies that have
larger fractions of dark matter should rotate slowly, and we suggest that a
promising place to look for such candidate objects is among galaxies of
intermediate surface brightness.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 06:14:42 GMT""},{""version"":""v2"",""created"":""Sat, 6 Dec 1997 22:17:05 GMT""}]","2010-01-28"
