"alg-geom/9710011","Andrew Kresch","Andrew Kresch","Canonical rational equivalence of intersections of divisors","LaTeX2e, 14 pages; expanded intro; new first section fixes some
  errors",,,,"alg-geom math.AG",,"  We consider the operation of intersecting with a locally principal Cartier
divisor (i.e., a Cartier divisor which is principal on some neighborhood of its
support). We describe this operation explicitly on the level of cycles and
rational equivalences and as a corollary obtain a formula for rational
equivalence between intersections of two locally principal Cartier divisors.
Such canonical rational equivalence applies quite naturally to the setting of
algebraic stacks. We present two applications: (i) a simplification of the
development of Fulton-MacPherson-style intersection theory on Deligne-Mumford
stacks, and (ii) invariance of a key rational equivalence under a certain group
action (which is used in developing the theory of virtual fundamental classes
via intrinsic normal cones).
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 00:28:31 GMT""},{""version"":""v2"",""created"":""Thu, 4 Dec 1997 18:47:17 GMT""}]","2016-08-30"
"astro-ph/9710081","Martin Lopez Corredoira","F. Garzon, M. Lopez-Corredoira, P. Hammersley, T.J. Mahoney, X. Calbet
  and J.E. Beckman (Instituto de Astrofisica de Canarias)","A major star formation region in the receding tip of the stellar
  Galactic bar","13 pages (latex) + 4 figures (eps), accepted in ApJ Lett","ApJ 491, L31 (1997)","10.1086/311050",,"astro-ph",,"  We present an analysis of the optical spectroscopy of 58 stars in the
Galactic plane at $l=27$\arcdeg, where a prominent excess in the flux
distribution and star counts have been observed in several spectral regions, in
particular in the Two Micron Galactic Survey (TMGS) catalog. The sources were
selected from the TMGS, to have a $K$ magnitude brighter than +5 mag and be
within 2 degrees of the Galactic plane. More than 60% of the spectra correspond
to stars of luminosity class I, and a significant proportion of the remainder
are very late giants which would also be fast evolving. This very high
concentration of young sources points to the existence of a major star
formation region in the Galactic plane, located just inside the assumed origin
of the Scutum spiral arm. Such regions can form due to the concentrations of
shocked gas where a galactic bar meets a spiral arm, as is observed at the ends
of the bars of face-on external galaxies. Thus, the presence of a massive star
formation region is very strong supporting evidence for the presence of a bar
in our Galaxy.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 16:54:18 GMT""}]","2009-10-30"
"astro-ph/9710082","Thierry","T.Appourchaux, L.Gizon, M.C.Rabello-Soares","The art of fitting p-mode spectra: Part I. Maximum Likelihood Estimation","13 pages, ps file gzipped. Submitted to A&A",,"10.1051/aas:1998441",,"astro-ph",,"  In this article we present our state of the art of fitting helioseismic
p-mode spectra. We give a step by step recipe for fitting the spectra:
statistics of the spectra both for spatially unresolved and resolved data, the
use of Maximum Likelihood estimates, the statistics of the p-mode parameters,
the use of Monte-Carlo simulation and the significance of fitted parameters.
The recipe is applied to synthetic low-resolution data, similar to those of the
LOI, using Monte-Carlo simulations. For such spatially resolved data, the
statistics of the Fourier spectrum is assumed to be a multi-normal
distribution; the statistics of the power spectrum is \emph{not} a $\chi^{2}$
with 2 degrees of freedom. Results for $l=1$ shows that all parameters
describing the p modes can be obtained without bias and with minimum variance
provided that the leakage matrix is known. Systematic errors due to an
imperfect knowledge of the leakage matrix are derived for all the p-mode
parameters.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 16:07:35 GMT""}]","2009-10-30"
"astro-ph/9710083","Julien Lesgourgues","Julien Lesgourgues (1), David Polarski (1,2) ((1) Universite de Tours,
  France, (2) DARC, Meudon, France)","CMB anisotropy predictions for a model of double inflation","12 pages LaTeX using revtex, to be published in Phys. Rev. D","Phys.Rev. D56 (1997) 6425-6432","10.1103/PhysRevD.56.6425",,"astro-ph",,"  We consider a double-inflationary model with two massive scalar fields
interacting only gravitationally in the context of a flat cold dark matter
(CDM) Universe. The cosmic microwave background (CMB) temperature anisotropies
produced in this theory are investigated in great details for a window of
parameters where the density fluctuation power spectrum P(k) is in good
agreement with observations. The first Doppler (``acoustic'') peak is a crucial
test for this model as well as for other models. For the ``standard'' values of
the cosmological parameters of CDM, our model is excluded if the height of the
Doppler peak is sensibly higher than about three times the Sachs-Wolfe plateau.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 16:41:42 GMT""},{""version"":""v2"",""created"":""Thu, 9 Oct 1997 10:56:53 GMT""}]","2009-10-30"
"astro-ph/9710084","Mike Meyer","A. Natta, M.R. Meyer, and S.V.W. Beckwith","Circumstellar Disks Around Pre-Main-Sequence Stars: What ISO Can Tell Us","To appear in ""Star Formation with the Infrared Space Observatory"",
  ASP Conference Series, eds. J. Yun & R. Liseau: 10 pages, latex, 4 figures",,,,"astro-ph",,"  ISO observations will improve our understanding of disks around low-mass
pre-main-sequence stars in various ways. In particular, ISO can measure
simultaneously spectral energy distributions and low-resolution spectra from 2
to 12 \um of T Tauri stars with greater sensitivity, greater spectral coverage
and finer spectral resolution than available in ground-based observations or
with IRAS. We illustrate the importance of such observations for our
understanding of the disk structure and heating mechanisms, the disk evolution
(in particular the formation of gaps caused by the presence of companion stars
or large planets) and dissipation using preliminary results from PHOT and
PHOT-S for T Tauri stars in the Chamaeleon cloud.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 16:46:31 GMT""}]","2007-05-23"
"astro-ph/9710085","Pierluigi Monaco","Pierluigi Monaco (Sissa & Dipartimento di Astronomia, Trieste, Italy)","The Cosmological Mass Function","PhD thesis, in press on Fund. Cosm. Phys.; 94 pages, figures
  included, fig. 3.7 simplified, Latex2e, epsfig",,,"SISSA 134/97/A","astro-ph",,"  This thesis aims to review the cosmological mass function problem, both from
the theoretical and the observational point of view, and to present a new mass
function theory, based on realistic approximations for the dynamics of
gravitational collapse. Chapter 1 gives a general introduction on gravitational
dynamics in cosmological models. Chapter 2 gives a complete review of the mass
function theory. Chapters 3 and 4 present the ``dynamical'' mass function
theory, based on truncated Lagrangian dynamics and on the excursion set
approach. Chapter 5 reviews the observational state-of-the-art and the main
applications of the mass function theories described before. Finally, Chapter 6
gives conclusions and future prospects.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 17:26:53 GMT""}]","2007-05-23"
"astro-ph/9710086","Bohdan Paczynski","Bohdan Paczynski","Are Gamma-Ray Bursts in Star Forming Regions?","12 pages, latex, uses aaspp4.sty, 1 postscript figure, submitted to
  ApJ Letters","Astrophys.J.494:L45,1998","10.1086/311148",,"astro-ph",,"  The optical afterglow of the gamma-ray burst GRB 970508 (z = 0.835) was a few
hundred times more luminous than any supernova. Therefore, a name `hypernova'
is proposed for the whole GRB/afterglow event.
  There is tentative evidence that the GRBs: 970228, 970508, and 970828 were
close to star forming regions. If this case is strengthened with future
afterglows then the popular model in which GRBs are caused be merging neutron
stars will have to be abandoned, and a model linking GRBs to cataclysmic deaths
of massive stars will be favored. The presence of X-ray precursors, first
detected with Ginga, is easier to understand within a framework of a `dirty'
rather than a `clean' fireball. A very energetic explosion of a massive star is
likely to create a dirty fireball, rather than a clean one.
  A specific speculative example of such an explosion is proposed, a
microquasar. Its geometrical structure is similar to the `failed supernova' of
Woosley (1993a): the inner core of a massive, rapidly rotating star collapses
into a ~ 10 solar mass Kerr black hole with ~ 5 x 10^54 erg of rotational
energy, while the outer core forms a massive disk/torus. A superstrong ~ 10^15
G magnetic field is needed to make the object operate as a microquasar similar
to the Blandford & Znajek (1977) model. Such events must be vary rare, 10^4 -
10^5 times less common than ordinary supernovae, if they are to account for the
observed GRBs.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 19:29:16 GMT""}]","2010-02-18"
"astro-ph/9710087","Brian Keating","Brian Keating, Peter Timbie, Alexander Polnarev, and Julia Steinberger","Large Angular Scale Polarization of the Cosmic Microwave Background and
  the Feasibility of its Detection","40 pages, 7 figures, accepted for publication in the Astrophysical
  Journal",,"10.1086/305312",,"astro-ph",,"  In addition to its spectrum and temperature anisotropy, the 2.7K Cosmic
Microwave Background is also expected to exhibit a low level of polarization.
The spatial power spectrum of the polarization can provide details about the
formation of structure in the universe as well as its ionization history. Here
we calculate the magnitude of the CMB polarization in various cosmological
scenarios, with both an analytic and a numerical method. We then outline the
fundemental challenges to measuring these signals and focus on two of them:
achieving adequate sensitivity and removing contamination from foreground
sources. We then describe the design of a ground based instrument (POLAR) that
could detect polarization of the CMB at large angular scales in the new few
years.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 20:41:48 GMT""}]","2009-10-30"
"astro-ph/9710088","Markus Kissler-Patig","Dante Minniti (1,2), Markus Kissler-Patig (3,2,4), Paul Goudfrooij
  (5,2), and Georges Meylan(2) ((1) LLNL, (2) ESO Garching, (3) UCO/Lick
  Observatory, (4) Sternwarte Bonn, (5) STScI, ESA)","Radial Velocities of Globular Clusters in the Giant Elliptical Galaxy
  NGC 1399","25 pages (including 6 figures), to be published in The Astronomical
  Journal (January 1998 issue)",,"10.1086/300173",,"astro-ph",,"  We report on the radial velocity measurements of 18 globular clusters and one
dE galaxy in the field of the giant elliptical galaxy NGC 1399, the dominant
galaxy of the Fornax cluster. We present also the radial velocity measurements
of some candidates for young and super metal-rich globular clusters, which turn
out to be foreground or background objects, viz. 28 stars and 7 galaxies. The
bonafide globular clusters are selected, on the basis of their magnitudes and
colors, to be metal-rich. For this cluster sample we measure a mean radial
velocity of v_{rad} = 1353 +/- 79 km/s, and a velocity dispersion of 338 +/- 56
km/s. Using a few different mass estimators, this implies M/L values in the
range 50-130 within a radius of 28 kpc, consistent with M/L rising with radius.
Our velocity dispersion estimate is intermediate between the value computed
from the integrated stellar light at smaller radii, and that computed at large
radii from recent X-ray observations.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 00:46:28 GMT""}]","2009-10-30"
"astro-ph/9710089","John Webb","J. K. Webb (UNSW), R. F. Carswell (IoA), K. M. Lanzetta (SUNY), R.
  Ferlet (IAP), M. Lemoine (Univ. Chicago), A. Vidal-Madjar (IAP)","A High Deuterium Abundance at z=0.7; Evidence for Cosmic Inhomogeneity?","Latex/conf_iap.sty/10pt.sty, 6 pages, 2 figs. To appear in Proc. of
  the 13th IAP Colloquium: Structure and Evolution of the IGM from QSO
  Absorption Line Systems, eds. P. Petitjean & S. Charlot, Nouvelles
  Frontieres, Paris",,,,"astro-ph",,"  Recent HST/GHRS observations of the z = 0.7010 absorber toward the QSO
1718+4807 (selected because of apparently ideal characteristics for measuring
D/H) yield a D/H significantly higher D/H than some recent high-redshift
measurements. Our analysis indicates D/H}= 1.8 - 2.5 x 10^{-4}. This may
indicate a cosmological inhomogeneity in the deuterium abundance of at least a
factor of ten.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 05:56:34 GMT""}]","2007-05-23"
"astro-ph/9710090","Yipeng Jing","Y.P. Jing and Yasushi Suto (RESCEU, University of Tokyo)","Confronting cold dark matter cosmologies with strong clustering of Lyman
  break galaxies at $z\sim3$","the final version which matchs that published in ApJ Letters (Feb
  1998); compared with the previous versions, the predictions for the SCDM
  model are slightly changed; Latex, 11 pages, including 3 ps figures","Astrophys.J. 494 (1998) L5","10.1086/311163","ADAC-004/97, UTAP-275/97, RESCEU 40/97","astro-ph",,"  We perform a detailed analysis of the statistical significance of a
concentration of Lyman break galaxies at $z \sim 3$ recently discovered by
Steidel et al. (1997), using a series of N-body simulations with $N=256^3$
particles in a $(100\himpc)^3$ comoving box. While the observed number density
of Lyman break galaxies at $z\sim3$ implies that they correspond to systems
with dark matter halos of $\simlt 10^{12}M_\odot$, the resulting clustering of
such objects on average is not strong enough to be reconciled with the
concentration if it is fairly common; we predict one similar concentration
approximately per ($6\sim 10$) fields in three representative cold dark matter
models. Considering the current observational uncertainty of the frequency of
such clustering at $z\sim3$, it would be premature to rule out the models, but
the future spectroscopic surveys in a dozen fields could definitely challenge
all the existing cosmological models a posteriori fitted to the $z=0$ universe.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 08:00:50 GMT""},{""version"":""v2"",""created"":""Mon, 15 Dec 1997 01:32:57 GMT""},{""version"":""v3"",""created"":""Wed, 14 Jan 1998 06:55:06 GMT""}]","2009-10-30"
