"alg-geom/9710016","Gerard van der Geer","Gerard van der Geer and Marcel van der Vlugt","Generalized Reed-Muller codes and curves with many points","Plain Tex, 11 pages",,,,"alg-geom math.AG",,"  The weight hierarchy of generalized Reed-Muller codes over arbitrary finite
fields was determined by Heijnen and Pellikaan. In this paper we produce curves
over finite fields with many points which are closely related to this weight
hierarchy.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 13:09:44 GMT""}]","2007-05-23"
"astro-ph/9710120","Paul L. Schechter","Paul L. Schechter, Michael D. Gregg, Robert H. Becker, David J.
  Helfand and Richard L. White","The First FIRST Gravitationally Lensed Quasar: FBQ 0951+2635","LaTex, 19 pages including 5 ps figures; submitted to AJ",,"10.1086/300294",,"astro-ph",,"  The V=16.9 quasar FBQ 0951+2635 at redshift z=1.24 appears double on CCD
exposures taken in subarcsecond seeing. The two objects are separated by 1.1""
and differ in brightness by 0.9 mag. VLA observations show the radio source to
be double with the same separation and position angle. Spectra taken with the
Keck II telescope show the two components to have nearly identical emission
line spectra, but with somewhat different absorption line systems. Subtraction
of two stellar point spread functions from the pair of components consistently
leaves a residual object. Depending upon whether this third object is extended
or a point source it may be as much as 1/10 or as little as 1/100 as bright as
the brighter QSO component. The observations leave no doubt that the 2 brighter
objects are gravitationally lensed images of the same quasar. The third object
might be either the lensing galaxy or a third image of the quasar, but both
interpretations have serious shortcomings.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 00:55:32 GMT""}]","2009-10-30"
"astro-ph/9710121","Brad Rubin","B. C. Rubin (1 and 2), B.A. Haron (3), W.S. Paciesas (2 and 3), C.R.
  Robinson (3 and 4), S.N. Zhang (3 and 4), and G.J. Fishman (3) ((1) Cosmic
  Radiation Laboratory, Institute of Physical and Chemical Research (RIKEN),
  Wako-shi, Saitama, Japan, (2) Department of Physics, University of Alabama in
  Huntsville, (3) NASA/Marshall Space Flight Center, Huntsville, AL, (4)
  Universities Space Research Association)","A Sequence of Declining Outbursts from GX339-4","Accepted for Publication in the Astrophysical Journal Letters, AASTEX",,"10.1086/311079",,"astro-ph",,"  The flux and spectrum of the black hole candidate GX339-4 has been monitored
by the Burst and Transient Source Experiment (BATSE) on the Compton Gamma-ray
Observatory (CGRO) since the observatory became operational in May 1991.
Between the summer of 1991 and the fall of 1996, eight outbursts from GX339-4
were observed. The history of these outbursts is one of declining fluence or
total energy release, as well as a shortening of the time between outbursts. A
rough linear correlation exists between the fluence emitted during an outburst
and the time elapsed between the end of the previous outburst and the beginning
of the current one. The peak flux is also roughly linearly correlated with
outburst fluence. The lightcurves of the earlier, more intense, outbursts
(except for the second one) can be modeled by a fast exponential (time constant
~ 10 days) followed by a slower exponential (~ 100 days) on the rise and a fast
exponential decay (~ 5 days) on the fall. The later, weaker, outbursts are
modeled with a single rising time constant (~ 20 days) and a longer decay on
the fall (~ 50 days). An exponential model gives a marginally better fit than a
power law to the rise/decay profiles. GX339-4 is a unique source in having more
frequent outbursts than other low mass x-ray binary black hole candidates.
These observations can be used to constrain models of the behavior of the
accretion disk surrounding the compact object.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 01:20:28 GMT""}]","2009-10-30"
"astro-ph/9710122",,"S. A. Levshakov (Ioffe Institute, St. Petersburg, Russia), W. H. Kegel
  (University Frankfurt/Main, Germany) and F. Takahara (Tokyo Metropolitan
  University, Japan)","New aspects of absorption line formation in intervening turbulent clouds
  - III. The inverse problem in the study of H+D profiles","10 pages, 9 Postscript figures, a MNRAS submission",,"10.1093/mnras/288.3.787",,"astro-ph",,"  A new method, based on a Reverse Monte Carlo technique and aimed at the
inverse problem in the analysis of interstellar (intergalactic) absorption
lines is presented. We consider the process of line formation in media with a
stochastic velocity field accounting for the effects of a finite correlation
length (mesoturbulence). This approach generalizes the standard microturbulent
approximation, which is commonly used to model the formation of absorption
spectra in turbulent media. The method allows to estimate from an observed
spectrum both, the physical parameters of the absorbing gas, and an appropriate
structure of the velocity distribution parallel to the line of sight. The
procedure is applied to a template H+D Ly-alpha profile which reproduces the
Burles and Tytler [BT] spectrum of the quasar Q 1009+2956 with the DI Ly-alpha
line seen at the redshift z = 2.504. The results obtained favor a low D/H ratio
in this particular absorption system, although the inferred upper limit for the
hydrogen isotopic ratio of about 4.6 10^{-5} is slightly higher than that of BT
[log (D/H) = -4.60 +/- 0.08 +/- 0.06,i.e. D/H <= 3.47 10^{-5}]. This revision
of the BT data in the framework of the mesoturbulent model leads to limits on
D/H consistent with standard big bang nucleosynthesis [SBBN] predictions and
observational constraints on both extra-galactic 4He mass fraction Y_p (Izotov
et al. 1997) and 7Li abundance in the atmospheres of population II (halo) stars
(Bonifacio and Molaro 1997). SBBN restricts the common interval of the baryon
to photon ratio \eta for which there is concordance between the various
abundances to 3.9 10^{-10} <= \eta <= 5.3 10^{-10}. It implies that 0.014 <=
\Omega_b h^2 <= 0.020, where h is the Hubble constant in units 100 km/s/Mpc.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 02:58:01 GMT""}]","2015-06-24"
"astro-ph/9710123","Peter Garnavich","P. M. Garnavich (1), R. P. Kirshner (1), P. Challis (1), J. Tonry (2),
  R. L. Gilliland (3), R. C. Smith (4), A. Clocchiatti (5), A. Diercks (6), A.
  V. Filippenko (7), M. Hamuy (8), C. J. Hogan (6), B. Leibundgut (9), M.M.
  Phillips (5), D. Reiss (6), A. G. Riess (7), B. P. Schmidt (10), J.
  Spyromilio (9), C. Stubbs (6), N. B. Suntzeff (5), L. Wells (8) ((1) CfA, (2)
  Univ. Hawaii, (3) STScI, (4) Univ. Michigan, (5) CTIO, (6) Univ. Washington,
  (7) UCB, (8) Univ. Arizona, (9) ESO, (10) MSSSO)","Constraints on Cosmological Models from Hubble Space Telescope
  Observations of High-z Supernovae","Submitted to ApJ Letters, 3 figures, 1 plate, additional table","Astrophys.J. 493 (1998) L53-57","10.1086/311140",,"astro-ph",,"  We have coordinated Hubble Space Telescope photometry with ground-based
discovery for three supernovae: two SN Ia near z~0.5 (SN 1997ce, SN 1997cj) and
a third event at z=0.97 (SN 1997ck). The superb spatial resolution of HST
separates each supernova from its host galaxy and leads to good precision in
the light curves. The HST data combined with ground-based photometry provide
good temporal coverage. We use these light curves and relations between
luminosity, light curve shape, and color calibrated from low-z samples to
derive relative luminosity distances which are accurate to 10% at z~0.5 and 20%
at z=1. The redshift-distance relation is used to place constraints on the
global mean matter density, Omega_matter, and the normalized cosmological
constant, Omega_Lambda. When the HST sample is combined with the distance to SN
1995K (z=0.48), analyzed by the same precepts, it suggests that matter alone is
insufficient to produce a flat Universe. Specifically, for
Omega_matter+Omega_Lambda=1, Omega_matter is less than 1 with >95% confidence,
and our best estimate of Omega_matter is -0.1 +/- 0.5 if Omega_Lambda=0.
Although the present result is based on a very small sample whose systematics
remain to be explored, it demonstrates the power of HST measurements for high
redshift supernovae.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 06:14:17 GMT""}]","2009-10-30"
"astro-ph/9710124","Igor Moskalenko","I. V. Moskalenko, A. W. Strong (MPE)","Production and propagation of cosmic-ray positrons and electrons","25 pages including 8 figures and 1 table, latex, aaspp4.sty. To be
  published in ApJ 1998, v.493 (February 1 issue). Details can be found at
  http://www.gamma.mpe-garching.mpg.de/~aws/aws.html","Astrophys.J.493:694-707,1998","10.1086/305152",,"astro-ph",,"  We have made a new calculation of the cosmic-ray secondary positron spectrum
using a diffusive halo model for Galactic cosmic-ray propagation. The code
computes self-consistently the spectra of primary and secondary nucleons,
primary electrons, and secondary positrons and electrons. The models are first
adjusted to agree with the observed cosmic-ray Boron/Carbon ratio, and the
interstellar proton and Helium spectra are then computed; these spectra are
used to obtain the source function for the secondary positrons/electrons which
are finally propagated with the same model parameters. The primary electron
spectrum is evaluated, again using the same model. Fragmentation and energy
losses are computed using realistic distributions for the interstellar gas and
radiation fields, and diffusive reacceleration is also incorporated. Our study
includes a critical re-evaluation of the secondary decay calculation for
positrons.
  The predicted positron fraction is in good agreement with the measurements up
to 10 GeV, beyond which the observed flux is higher than that calculated. Since
the positron fraction is now accurately measured in the 1-10 GeV range our
primary electron spectrum should be a good estimate of the true interstellar
spectrum in this range, of interest for gamma ray and solar modulation studies.
We further show that a harder interstellar nucleon spectrum, similar to that
suggested to explain EGRET diffuse Galactic gamma ray observations above 1 GeV,
can reproduce the positron observations above 10 GeV without requiring a
primary positron component.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 11:46:36 GMT""}]","2010-11-30"
"astro-ph/9710125","Guinevere Kauffmann","Gerard Lemson (HU, Jerusalem) and Guinevere Kauffmann (MPA)","Environmental Influences on Dark Matter Halos and Consequences for the
  Galaxies Within Them","12 pages including 5 eps figures, submitted to MNRAS",,,,"astro-ph",,"  We use large N-body simulations of dissipationless gravitational clustering
in cold dark matter (CDM) cosmologies to study whether the properties of dark
matter halos are affected by their environment. We look for correlations
between the masses, formation redshifts, concentrations, shapes and spins of
halos and the overdensity of their local environment. We also look for
correlations of these quantities with the local tidal field. Our conclusion is
extremely simple. Only the mass distribution varies as a function of
environment. This variation is well described by a simple analytic formula
based on the conditional Press-Schechter theory. We find no significant
dependence of any other halo property on environment. Our results do not depend
on our choice of cosmology. According to current hierarchical models, the
structure and evolutionary history of a galaxy is fully determined by the
structure and evolutionary history of the dark halo in which it is embedded. If
these models are correct, clustering variations between galaxies of differing
morphological types, luminosities, colours and surface brightnesses, must all
arise because the halo mass function is skewed towards high mass objects in
overdense regions of the Universe and towards low mass objects in underdense
regions.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 12:50:21 GMT""}]","2009-09-25"
"astro-ph/9710126",,"V.Berezinsky","Solar neutrinos as highlight of astroparticle physics","Invited lecture at 25th International Cosmic Ray Conference, Durban,
  28 July - 8 August, 1997",,,,"astro-ph",,"  Solar neutrinos are discussed in the light of the new data and of recent
progress in helioseismology. Most attention is given to the new status of
Standard Solar Models due to seismically measured density and sound speed in
the inner solar core. The elementary particle solutions to the Solar Neutrino
Problem and their observational signatures are discussed.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 14:47:16 GMT""}]","2007-05-23"
"astro-ph/9710127","Eliot Quataert","Eliot Quataert (Harvard University)","Particle Heating by Alfvenic Turbulence in Hot Accretion Flows","35 pages (Latex), 4 Figures. Submitted to ApJ",,"10.1086/305770",,"astro-ph",,"  Recent work on Alfvenic turbulence by Goldreich & Sridhar (1995; GS) suggests
that the energy cascades almost entirely perpendicular to the local magnetic
field. As a result, the cyclotron resonance is unimportant in dissipating the
turbulent energy. Motivated by the GS cascade, we calculate the linear
collisionless dissipation of Alfven waves with frequencies much less than the
proton cyclotron frequency, but with perpendicular wavelengths of order the
Larmor radius of thermal protons. In plasmas appropriate to hot accretion flows
(proton temperature much greater than electron temperature) the dissipated
Alfven wave energy primarily heats the protons. For a plasma with $\beta \lsim
5$, however, where $\beta$ is the ratio of the gas pressure to the magnetic
pressure, the MHD assumptions utilized in the GS analysis break down before
most of the energy in Alfven waves is dissipated; how the cascade then proceeds
is unclear. Hot accretion flows, such as advection dominated accretion flows
(ADAFs), are expected to contain significant levels of MHD turbulence. This
work suggests that, for $\beta \gsim 5$, the Alfvenic component of such
turbulence primarily heats the protons. Significant proton heating is required
for the viability of ADAF models. We contrast our results on particle heating
in ADAFs with recent work by Bisnovatyi-Kogan & Lovelace (1997).
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 15:39:52 GMT""}]","2009-10-30"
"chao-dyn/9710007","Bruno Huepper","B. Huepper and B. Eckhardt","Uniform semiclassical expansions for the direct part of Franck-Condon
  transitions","11 pages, Revtex, 7 figures, Encapsulated Postscript, submitted to
  Phys. Rev. A",,"10.1103/PhysRevA.57.1536",,"chao-dyn nlin.CD",,"  Semiclassical expansions for traces involving Greens functions have two
contributions, one from the periodic or recurrent orbits of the classical
system and one from the phase space volume, i.e. the paths of infinitesimal
length. Quantitative calculations require the control of both terms. Here, we
discuss the contribution from paths of zero length with an emphasis on the
application to Franck-Condon transitions. The expansion in the energy
representation is asymptotic and a critical parameter is identified. In the
time domain, a series expansion of the logarithm of the propagator gives very
good results. The expansions are illustrated for transitions onto a linear
potential and onto a harmonic oscillator.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 14:09:20 GMT""}]","2009-10-30"
"cond-mat/9710111","Michelle Simmons","M. Y. Simmons (1), A. R. Hamilton (1), T. G. Griffiths (2), A. K.
  Savchenko (2), M. Pepper (1) and D. A. Ritchie (1) ((1) University of
  Cambridge, U.K., (2) University of Exeter, U.K.)","Metal-insulator transition at B=0 in an ultra-low density ($r_{s}=23$)
  two dimensional GaAs/AlGaAs hole gas","4 pages, latex, 4 postscript figures, submitted to EP2DS-12 on 21st
  August 1997, to appear in Physica B",,"10.1016/S0921-4526(98)00296-8",,"cond-mat.str-el cond-mat.mes-hall",,"  We have observed a metal-insulator transition in an ultra-low density two
dimensional hole gas formed in a high quality GaAs-AlGaAs heterostructure at
B=0. At the highest carrier density studied ($p_{s}=2.2x10^{10} cm^{-2},
r_{s}=16$) the hole gas is strongly metallic, with an exceptional mobility of
$425,000 cm^{2}V^{-1}s^{-1}$. The low disorder and strength of the many-body
interactions in this sample are highlighted by the observation of re-entrant
metal insulator transitions in both the fractional ($\nu < 1/3$) and integer
($2 > \nu > 1$) quantum Hall regimes. On reducing the carrier density the
temperature and electric field dependence of the resistivity show that the
sample is still metallic at $p_{s}=1.3x10^{10} cm^{-2}$ ($r_{s}=21$), becoming
insulating at $p_{s}{\simeq}1x10^{10} cm^{-2}$. Our results indicate that
electron-electron interactions are dominant at these low densities, pointing to
the many body origins of this metal-insulator transition. We note that the
value of $r_{s}$ at the transition ($r_{s}=23 +/- 2$) is large enough to allow
the formation of a weakly pinned Wigner crystal, and is approaching the value
calculated for the condensation of a pure Wigner crystal.
","[{""version"":""v1"",""created"":""Sun, 12 Oct 1997 22:06:31 GMT""}]","2009-10-30"
