"alg-geom/9710022",,"Victor V. Batyrev, Ionunt Ciocan-Fontanine, Bumsig Kim, and Duco van
  Straten","Conifold Transitions and Mirror Symmetry for Calabi-Yau Complete
  Intersections in Grassmannians","36 pages, LaTeX 2.09",,"10.1016/S0550-3213(98)00020-0",,"alg-geom hep-th math.AG",,"  In this paper we show that conifold transitions between Calabi-Yau 3-folds
can be used for the construction of mirror manifolds and for the computation of
the instanton numbers of rational curves on complete intersection Calabi-Yau
3-folds in Grassmannians. Using a natural degeneration of Grassmannians
$G(k,n)$ to some Gorenstein toric Fano varieties $P(k,n)$ with conifolds
singularities which was recently described by Sturmfels, we suggest an explicit
mirror construction for Calabi-Yau complete intersections $X \subset G(k,n)$ of
arbitrary dimension. Our mirror construction is consistent with the formula for
the Lax operator conjectured by Eguchi, Hori and Xiong for gravitational
quantum cohomology of Grassmannians.
","[{""version"":""v1"",""created"":""Sun, 19 Oct 1997 10:37:44 GMT""}]","2009-10-30"
"astro-ph/9710200","Gopalswamy","N. Gopalswamy, J. Zhang, M. R. Kundu and E. J. Schmahl, J. R. Lemen","Fast Time Structure During Transient Microwave Brightenings: Evidence
  for Nonthermal Processes","15 pages (Latex), 4 figures (eps). ApJ Letters in press (1997)",,"10.1086/311063",,"astro-ph",,"  Transient microwave brightenings (TMBs) are small-scale energy releases from
the periphery of sunspot umbrae, with a flux density two orders of magnitude
smaller than that from a typical flare. Gopalswamy et al (1994) first reported
the detection of the TMBs and it was pointed out that the radio emission
implied a region of very high magnetic field so that the emission mechanism has
to be gyroresonance or nonthermal gyrosynchrotron, but not free-free emission.
It was not possible to decide between gyroresonance and gyrosynchrotron
processes because of the low time resolution (30 s) used in the data analysis.
We have since performed a detailed analysis of the Very Large Array data with
full time resolution (3.3 s) at two wavelengths (2 and 3.6 cm) and we can now
adequately address the question of the emission mechanism of the TMBs. We find
that nonthermal processes indeed take place during the TMBs. We present
evidence for nonthermal emission in the form of temporal and spatial structure
of the TMBs. The fast time structure cannot be explained by a thermodynamic
cooling time and therefore requires a nonthermal process. Using the physical
parameters obtained from X-ray and radio observations, we determine the
magnetic field parameters of the loop and estimate the energy released during
the TMBs. The impulsive components of TMBs imply an energy release rate of 1.3
x 10^22 erg/s so that the thermal energy content of the TMBs could be less than
10^24 erg.
","[{""version"":""v1"",""created"":""Sun, 19 Oct 1997 04:13:11 GMT""}]","2009-10-30"
"cond-mat/9710192","N. Antonenko","G.G.Adamian, N.V.Antonenko and W.Scheid (Giessen Univ.)","Tunneling with dissipation in open quantum systems","15 pages, LaTeX, including 4 postscript figures",,"10.1016/S0375-9601(98)00367-3",,"cond-mat",,"  Based on the general form of the master equation for open quantum systems the
tunneling is considered. Using the path integral technique a simple closed form
expression for the tunneling rate through a parabolic barrier is obtained. The
tunneling in the open quantum systems strongly depends on the coupling with
environment. We found the cases when the dissipation prohibits tunneling
through the barrier but decreases the crossing of the barrier for the energies
above the barrier. As a particular application, the case of decay from the
metastable state is considered.
","[{""version"":""v1"",""created"":""Sat, 18 Oct 1997 18:37:15 GMT""}]","2009-10-30"
"cond-mat/9710193","Rangan Lahiri","K. Sheshadri, Rangan Lahiri Pushan Ayyub and Shobo Bhattacharya (TIFR,
  India)","Theory of Size-Driven Transitions in Displacive and Order-Disorder
  Ferroelectrics","7 pages, 6 eps figures included using psfig",,,"TIFR/TH/1997-50","cond-mat.mtrl-sci",,"  We present a simple theory for structural transitions in displacive
ferroelectrics of the perovskite type. In our theory, the competition between
the elastic energy cost for the displacement of the homopolar ion from the
centrosymmetric position, and the energy gain due to a ferroelectric ordering
of the dipoles formed by the ionic displacements, leads naturally to a
first-order transition from a paraelectric to a ferroelectric phase. This
transition takes place at a certain temperature $T_c(L)$ as the temperature is
decreased and, at a certain size $L_c (T)$ as the size of the system is
increased. The transition temperature $T_c (L)$ is suppressed as the sample
size is reduced, and vanishes for samples below a certain size. For
order-disorder ferroelectrics, our theory shows that the suppression of $T_c$
by a reduction in system size is not appreciable, a result that is borne out by
experiments.
","[{""version"":""v1"",""created"":""Sun, 19 Oct 1997 06:47:00 GMT""}]","2007-05-23"
"cond-mat/9710194","Oleg Bulashenko","O. M. Bulashenko, J. Mateos, D. Pardo, T. Gonzalez, L. Reggiani, J. M.
  Rubi","Electron-number statistics and shot-noise suppression by Coulomb
  correlation in nondegenerate ballistic transport","RevTex, 4 pages, 5 figures, to appear in Phys. Rev. B","Phys. Rev. B 57 (1998) 1366-1369","10.1103/PhysRevB.57.1366",,"cond-mat.mes-hall",,"  Within a Monte Carlo simulation we investigate the statistical properties of
an electron flow injected with a Poissonian distribution and transmitted under
ballistic regime in the presence of long-range Coulomb interaction. Electrons
are shown to exhibit a motional squeezing which tends to space them more
regularly rather than strictly at random, and evidence a sub-Poissonian
statistics with a substantially reduced Fano factor $F_n\ll 1$. The temporal
(anti)correlation among carriers is demonstrated to be a collective effect
which persists over the transit of several successive electrons and results in
a considerable (more than one order of magnitude) shot noise suppression.
","[{""version"":""v1"",""created"":""Sun, 19 Oct 1997 12:43:43 GMT""}]","2009-10-30"
"hep-ph/9710398","Alexander L. Bondarev","Alexander L. Bondarev (NC PHEP, Minsk, Belarus)","Methods of Minimization of Calculations in High Energy Physics: 1. A
  Covariant Method of the Calculation of Amplitudes of Processes Involving
  Polarized Dirac Particles","38 pages, LaTeX",,,,"hep-ph hep-th",,"  The article deals with a number of the existings variants of direct
calculation of amplitudes of processes with polarized Dirac particles. It is
shown, that all of them are special cases of one and the same mathematical
scheme. The advantages and disadvantages of this scheme are considered. A new
variant of the method of calculation of amplitudes, keeping all the advantages
of this scheme, but free from disadvantages, is proposed. In particular, this
variant is suitable for the evaluation of amplitudes of processes with
interfering diagrams and does not need any additional calculations, that are
necessary in the general case. Expressions for the amplitudes of processes
involving both massive and massless particles are presented. These expressions
make it possible to create in an easy way the computer programs for automatic
calculation of amplitudes. The existing computer programs for calculation of
amplitudes, their limitations and disadvantages are briefly considered.
","[{""version"":""v1"",""created"":""Sat, 18 Oct 1997 19:44:49 GMT""},{""version"":""v2"",""created"":""Mon, 2 Feb 1998 20:09:43 GMT""}]","2007-05-23"
"hep-ph/9710399","Alexander L. Bondarev","Alexander L. Bondarev (NC PHEP, Minsk, Belarus)","Methods of Minimization of Calculations in High Energy Physics: 2.
  Minimization of number of vectors in problem","9 pages, LaTeX",,,,"hep-ph hep-th",,"  The various ways to reduce number of vectors describing condition of
particles for high energy physics problems are presented. In particular
decomposition of any vector with respect to the basis, consisting of any four
linearly independent vectors, including the orthonormal basis; construction of
orthonormal bases from vectors of a problem; expression of one vector of
problem through other is considered.
","[{""version"":""v1"",""created"":""Sat, 18 Oct 1997 20:01:58 GMT""},{""version"":""v2"",""created"":""Mon, 2 Feb 1998 20:44:14 GMT""}]","2007-05-23"
"hep-th/9710148","Kirill N. Ilinski","Kirill Ilinski","Physics of Finance","17 pages, LaTeX, to appear in Proceeding of Budapest's conference on
  Econophysics (July 1997)",,,,"hep-th cond-mat.stat-mech hep-lat hep-ph physics.soc-ph q-fin.PR",,"  We give a brief introduction to the Gauge Theory of Arbitrage. Treating a
calculation of Net Present Values (NPV) and currencies exchanges as a parallel
transport in some fibre bundle, we give geometrical interpretation of the
interest rate, exchange rates and prices of securities as a proper connection
components. This allows us to map the theory of capital market onto the theory
of quantized gauge field interacted with a money flow field. The gauge
transformations of the matter field correspond to a dilatation of security
units which effect is eliminated by a gauge transformation of the connection.
The curvature tensor for the connection consists of the excess returns to the
risk-free interest rate for the local arbitrage operation. Free quantum gauge
theory is equivalent to the assumption about the log-normal walks of assets
prices. In general case the consideration maps the capital market onto lattice
QED.
","[{""version"":""v1"",""created"":""Sat, 18 Oct 1997 16:38:32 GMT""}]","2009-02-20"
"nucl-th/9710041","N. Antonenko","G.G.Adamian, N.V.Antonenko, W.Scheid and V.V.Volkov (Giessen Univ.)","Treatment of competition between complete fusion and quasifission in
  collisions of heavy nuclei","29 pages, LaTeX, including 7 postscript figures, to appear in Nucl.
  Phys. A","Nucl.Phys. A627 (1997) 361-378","10.1016/S0375-9474(97)00605-2",,"nucl-th",,"  A model of competition between complete fusion and quasifission channels in
fusion of two massive nuclei is extended to include the influence of
dissipative effects on the dynamics of nuclear fusion. By using the
multidimensional Kramers-type stationary solution of the Fokker-Planck
equation, the fusion rate through the inner fusion barrier in mass asymmetry is
studied. Fusion probabilities in symmetric 90Zr+90Zr, 100Mo+100Mo, 110Pd+110Pd,
136Xe+136Xe, almost symmetric 86Kr+136Xe and 110Pd+136Xe reactions are
calculated. An estimation of the fusion probabilities is given for asymmetrical
62Ni+208Pb, 70Zn+208Pb, 82Se+208Pb, and 48Ca+244Pu reactions used for the
synthesis of new superheavy elements.
","[{""version"":""v1"",""created"":""Sat, 18 Oct 1997 18:15:28 GMT""}]","2009-10-30"
"nucl-th/9710042","N. Antonenko","G.G.Adamian, N.V.Antonenko, W.Scheid and V.V.Volkov (Giessen Univ.)","Fusion cross sections for superheavy nuclei in the dinuclear system
  concept","16 pages, LaTeX, including 3 postscript figures","Nucl.Phys. A633 (1998) 409-420","10.1016/S0375-9474(98)00124-9",,"nucl-th",,"  Using the dinuclear system concept we present calculations of production
cross sections for the heaviest nuclei. The obtained results are in a good
agreement with the experimental data. The experimentally observed rapid
fall-off of the cross sections of the cold fusion with increasing charge number
$Z$ of the compound nucleus is explained. Optimal experimental conditions for
the synthesis of the superheavy nuclei are suggested.
","[{""version"":""v1"",""created"":""Sat, 18 Oct 1997 18:31:22 GMT""}]","2009-10-30"
