"alg-geom/9710029","Tomas L. Gomez","Tomas L. Gomez","Irreducibility of the moduli space of vector bundles on surfaces and
  Brill-Noether theory on singular curves","Revised PhD thesis (Princeton, 1997), 64 pages, 1 figure, LaTeX2e,
  Xy-pic",,,,"alg-geom math.AG",,"  We prove the irreducibility of the moduli space of rank 2 semistable torsion
free sheaves (with a generic polarization and any value of c_2) on a K3 or a
del Pezzo surface. In the case of a K3 surface, we need to prove a result on
the connectivity of the Brill-Noether locus for singular curves on the surface.
In the case of a del Pezzo surface, we reduce the problem to the case of P^2 by
first relating the moduli spaces of the plane and the blown-up plane, and then
studying how the moduli space changes when we change the polarization.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 10:11:47 GMT""},{""version"":""v2"",""created"":""Thu, 23 Mar 2000 16:27:48 GMT""}]","2007-05-23"
"astro-ph/9710291","R. Bouwens","Rychard J. Bouwens, Tom Broadhurst, and Joseph Silk (UC Berkeley)","Cloning Hubble Deep Fields: A Model-Independent Measurement of Galaxy
  Evolution","This preprint has been withdrawn by the authors to make room for the
  two papers in which its content is now published: astro-ph/9810395 and
  astro-ph/9810396",,"10.1086/306258",,"astro-ph",,"  We present a model-independent method of quantifying galaxy evolution in
high- resolution images, which we apply to the Hubble Deep Field (HDF). Our
procedure is to k-correct the pixels belonging to the images of a complete set
of bright galaxies and then to replicate each galaxy image to higher redshift
by the product of its space density, 1/V_{max}, and the cosmological volume.
The set of bright galaxies is itself selected from the HDF because presently
the HDF provides the highest quality UV images of a redshift-complete sample of
galaxies (31 galaxies with I<21.9, \bar{z}=0.5, and for which V/V_{max} is
spread fairly). These galaxies are bright enough to permit accurate
pixel-by-pixel k-corrections into the restframe UV (\sim 2000 A). We match the
shot noise, spatial sampling and PSF smoothing of the HDF, resulting in
entirely empirical and parameter free ``no-evolution'' deep fields of galaxies
for direct comparison with the HDF. We obtain the following results. Faint HDF
galaxies (I>24) are much smaller, more numerous, and less regular than our
``no-evolution'' extrapolation, for any relevant geometry. A higher proportion
of HDF galaxies ``dropout'' in both U and B, indicating that some galaxies were
brighter at higher redshifts than our ``cloned'' z\sim0.5 population. By simple
image transformations we demonstrate that bolometric luminosity evolution
generates galaxies which are too large and the contribution of any evolving
dwarf population is uninterestingly small. A plausible fit is provided by
`mass-conserving' density-evolution, consistent with hierarchical growth of
small-scale structure. Finally, we show the potential for improvement using the
Advanced Camera, with its superior UV and optical performance.
","[{""version"":""v1"",""created"":""Sun, 26 Oct 1997 16:04:54 GMT""},{""version"":""v2"",""created"":""Mon, 26 Oct 1998 08:43:51 GMT""}]","2015-06-24"
"astro-ph/9710292","Barbara Ricci","S. Degl'Innocenti (1,2) and B. Ricci (2) ((1) Dipartimento di Fisica,
  Universita' di Pisa, Italy; (2) INFN Sezione di Ferrara, Italy)","A Mixed Solar Core, Solar Neutrinos and Helioseismology","6 pages, RevTeX, plus 5 postscript figures","Astropart.Phys. 8 (1998) 293-296","10.1016/S0927-6505(97)00057-1","INFN-FE-09-97","astro-ph",,"  We consider a wide class of solar models with mixed core.
  Most of these models can be excluded as the predicted sound speed profile is
in sharp disagreement with helioseismic constraints. All the remaining models
predict $^7$Be and/or $^7$B neutrino fluxes at least as large as those of SSMs.
In conclusion, helioseismology shows that a mixed solar core cannot account for
the neutrino deficit implied by the current solar neutrino experiments.
","[{""version"":""v1"",""created"":""Sun, 26 Oct 1997 19:04:11 GMT""}]","2009-10-30"
"astro-ph/9710293","Ravi P. Pilla","Ravi P. Pilla and Abraham Loeb","Spectral Implications of Variability in GRB Fireballs","3 pages, 1 figure; talk given at the VIII Marcel Grossmann Meeting on
  General Relativity, Jerusalem, June 1997 (to appear in the proceedings)",,,,"astro-ph",,"  Cosmological $\gamma$-ray bursts originate from relativistic winds. Temporal
fluctuations in the wind velocity can give rise to internal shocks which
dissipate a significant fraction of the wind kinetic energy. Part of the energy
dissipated is transferred to the electrons through Fermi acceleration. If the
post shock fluid is strongly magnetized, the relativistic electrons cool
initially through synchrotron emission, and later through Compton scattering.
The upsacttered radiation triggers a cascade of $e^{+}e^{-}$-pairs. We compute
the final spectrum for a wide range of parameter values for the emission
region. We show that the spectral diversity observed by BATSE can be naturally
explained by emission from internal shocks, which are associated with the
observed source variability.
","[{""version"":""v1"",""created"":""Sun, 26 Oct 1997 23:53:10 GMT""}]","2007-05-23"
"astro-ph/9710294","Arlin Crotts","Arlin Crotts","Rings and Echoes: An Overview (of SN 1987A's Environment)","9 LaTeX pages, 7 postscript figures, 1 LaTeX style file. To appear in
  ""SN 1987A: Ten Years After"" eds. M. Phillips and N. Suntzeff",,,,"astro-ph",,"  The volume around the SN 1987A contains a variety of structures, including
but certainly not limited to the three-ring nebula glowing in recombination
lines. Many of these structures are revealed by light echoes, hence have been
mapped in three dimensions by our optical imaging monitoring of the field
around the SN. The three rings are part of a bipolar nebula which contains them
at its waist and crowns, and which is itself contained in a larger, diffuse
nebula with a detectable equatorial overdensity. This diffuse nebula terminates
in a boundary overdensity which most likely marks the inner edge of a bubble
blown by the main sequence wind of the progenitor star and its neighbors.
Beyond this bubble is a rich collection of interstellar structures revealed by
light echoes. In addition to detecting and mapping these structures, we add
dynamical and age information by establishing the kinematics of the gas, both
on interstellar and circumstellar scales. These reveal, for instance, a
timescale for the outer circumstellar rings which is in close agreement with
the inner ring. The presence of these structures, their ages and morphologies
should be included in any model explaining the evolution of the progenitor star
and its mass loss envelope.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 01:20:23 GMT""}]","2007-05-23"
"astro-ph/9710295","Arlin Crotts","Arlin Crotts (Columbia U.)","Ly alpha Cloud Size Evolution and Shape from QSO Groups","4 pages LaTeX, 1 postscript figure, 3 style files, uses psfig.sty. To
  appear in Proceedings of 13th IAP Colloquium: Structure and Evolution of the
  IGM from QSO Absorption Line Systems, eds. P. Petitjean, S. Charlot",,,,"astro-ph",,"  We present results from Keck HIRES, KPNO 4m/RC Spec and HST FOS spectra of a
low-redshift, close QSO pair and a close, higher-redshift QSO triplet in order
to explore the size evolution, shape and clustering of Ly alpha absorbers. The
results we highlight here indicate that there is no strong evidence for
evolution of Ly $\alpha$ cloud size with redshift, that strong (W > 0.4A) Ly
alpha forest absorbers are probably not filaments, but probably more sheet-
like. For C IV absorbers a large component of clustering on 200 km/s < Delta v
< 600 km/s scales along single sightlines is due to internal velocities of
single absorbers, not clustering between absorbers.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 01:45:51 GMT""}]","2007-05-23"
"astro-ph/9710296","Bodo Ziegler","Bodo L. Ziegler and Ralf Bender (Universit\""atssternwarte M\""unchen)","M32-like galaxies: still very rare -- M32 analogues do not exist in the
  Leo group","5 pages including 2 eps-figures, Latex, uses aa.sty and astron.sty,
  accepted by A&A main journal, also available at
  http://www.usm.uni-muenchen.de:8001/people/ziegler/pubs.html","A&A 330, 819",,,"astro-ph",,"  New observations of galaxies in the direction of the Leo group, which were
classified as being candidates for M32-like dwarf galaxies by Ferguson &
Sandage (1990), show that these galaxies are normal elliptical galaxies at
redshifts between z=0.02 and z=0.06. This result adds further evidence that the
faint end of the luminosity function of elliptical galaxies falls off very
steep and that objects like M32 are extremely rare.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 10:23:24 GMT""}]","2007-05-23"
"astro-ph/9710297","Werner Hofmann","W. Hofmann (Max-Planck-Institut fuer Kernphysik, Heidelberg)","Measuring Gamma-Ray Energy Spectra with the HEGRA IACT System","10 Pages, 11 figures, Latex, uses epsfig",,,,"astro-ph",,"  The stereoscopic reconstruction of air showers viewed by multiple imaging
atmospheric Cherenkov telescopes (IACTs) allows a more precise reconstruction
of shower energies and hence an improved determination of energy spectra.
Reconstruction techniques and in particular new systematic checks are discussed
on the basis of the large sample of gamma-rays from Mkn 501 detected with the
HEGRA IACT system. (Talk presented at the Workshop ``Towards a Major
Atmospheric Cherenkov Detector V'', Kruger Park, South Africa, 1997)
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 13:26:06 GMT""}]","2007-05-23"
"astro-ph/9710298","Dirk Grupe","D. Grupe, K. Beuermann, H.-C. Thomas, K. Mannheim, and H.H. Fink","New bright soft X-ray selected ROSAT AGN: I. Infrared-to-X-ray spectral
  energy distributions","13 pages, including 7 fugures and 4 tables, to appear in A&A",,,,"astro-ph",,"  We present results of an infrared-to-X-ray study of 76 bright soft X-ray
selected Seyfert galaxies discovered in the ROSAT All-Sky Survey. These objects
are characterized by steep X-ray spectra in the 0.2-2.0 keV bandpass with power
law energy spectral indices in the range of 1.3 to 8 and a lack of internal
absorption by neutral hydrogen. Our sample selection based on hardness ratio
yields a mean X-ray slope of alpha-X = 2.1, steeper than in any other known AGN
population. At optical wavelengths, the soft AGN have significantly bluer
spectra than a comparison sample of AGN with a canonical, harder X-ray
spectrum, whereas the slope between 5500 Angstrom and 1 keV is the same. This
is consistent with a more pronounced Big Blue Bump emission component in the
soft X-ray selected AGN. The blueness of the optical spectra increases with the
softness of the X-ray spectra and with the luminosity, saturating at an
approximate F_nu proportional to nu^+0.3 spectrum. Such properties are expected
if most of the Big Blue Bump emission originates in a (comptonized) accretion
disk and accretion rate to mass ratio is higher than in AGN with a hard X-ray
spectrum.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 11:01:25 GMT""}]","2007-05-23"
"astro-ph/9710299","Boris Gaensicke","Edward M. Sion, F.H. Cheng, Paula Szkody, Warren Sparks, Boris
  Gaensicke, Min Huang and Janet Mattei","Anomalous cooling of the massive white dwarf in U Geminorum following a
  narrow dwarf nova outburst","16 pages AAS-Latex, 4 Figures, accepted for publication in ApJ",,"10.1086/305378",,"astro-ph",,"  We obtained Hubble GHRS medium resolution (G160M grating) phase-resolved
spectroscopic observations of the prototype dwarf nova U Geminorum during dwarf
nova quiescence, 13 days and 61 days following the end of a narrow outburst.
The spectral wavelength ranges were centered upon three different line regions:
N V (1238\AA, 1242\AA), Si III (1300\AA) and He II (1640\AA). All of the
quiescent spectra at both epochs are dominated by absorption lines and show no
emission features. The Si III and He II absorption line velocities versus
orbital phase trace the orbital motion of the white dwarf but the N~V
absorption velocities appear to deviate from the white dwarf motion. We confirm
our previously reported low white dwarf rotational velocity, V sin i= 100 km/s.
We obtain a white dwarf orbital velocity semi-amplitude K1=107 km/s. Using the
gamma-velocity of Wade (1981) we obtain an Einstein redshift of 80.4 km/s and
hence a carbon core white dwarf mass of ~1.1 Msun. We report the first subsolar
chemical abundances of C and Si for U Gem with C down by 0.05 with respect to
the Sun, almost certainly a result of C depletion due to thermonuclear
processing. This C-depletion is discussed within the framework of a weak TNR,
contamination of the secondary during the common envelope phase, and mixing of
C-depleted white dwarf gas with C-depleted matter deposited during a dwarf nova
event. Remarkably the Teff of the white dwarf 13 days after outburst is only
32,000K, anomalously cooler than previous early post-outburst measurements.
Extensive cooling during an extraordinarily long (210 days) quiescence followed
by accretion onto an out-of-equilibrium cooled degenerate could explain the
lower Teff.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 11:27:38 GMT""}]","2009-10-30"
"astro-ph/9710300","Maria Rosa Zapatero Osorio","M. R. Zapatero Osorio (IAC), R. Rebolo (IAC), E. L. Martin (IAC and
  Univ. Berkeley), G. Basri (Univ. Berkeley), A. Magazzu (Catania), S. T.
  Hodgkin (Leicester Univ.), R. F. Jameson (Leicester Univ.), M. R. Cossburn
  (Leicester Univ.)","New Brown Dwarfs in the Pleiades Cluster","16 pages, 2 figures, aasms4 macro in LateX. 1997 ApJ Letters,
  accepted",,"10.1086/311073",,"astro-ph",,"  We present intermediate and low resolution optical spectroscopy (650-915 nm)
of seven faint, very red objects (20 > I >= 17.8, I-Z >= 0.5) discovered in a
CCD-based IZ survey covering an area of 1 sq. deg in the central region of the
Pleiades open cluster. The observed spectra show that these objects are very
cool dwarfs, having spectral types in the range M6-M9. Five out of the seven
objects can be considered as Pleiades members on the basis of their radial
velocities, Halpha emission and other gravity sensitive atomic features like
the NaI doublet at 818.3 and 819.5 nm. According to current evolutionary models
the masses of these new objects range from roughly 80 MJup for the hottest in
the sample down to 45 MJup for Roque 4, the coolest and faintest confirmed
member. These observations prove that the cloud fragmentation process extends
well into the brown dwarf realm, suggesting a rise in the initial mass function
below the substellar limit.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 12:42:29 GMT""}]","2009-10-30"
