"alg-geom/9710032","Sergey Barannikov","Sergey Barannikov, Maxim Kontsevich","Frobenius Manifolds and Formality of Lie Algebras of Polyvector Fields","12 pages, AMS-TeX; typos and a sign corrected, appendix added.
  Submitted to IMRN","International Mathematics Research Notices, Volume 1998, Issue 4,
  Pages 201-215","10.1155/S1073792898000166",,"alg-geom hep-th math.AG",,"  We construct a generalization of the variations of Hodge structures on
Calabi-Yau manifolds. It gives a Mirror partner for the theory of genus=0
Gromov-Witten invariants
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 23:19:11 GMT""},{""version"":""v2"",""created"":""Wed, 7 Jan 1998 18:12:18 GMT""}]","2023-02-21"
"astro-ph/9710318","Ralf Klessen","Ralf S. Klessen, Andreas Burkert, (Max-Planck-Institut f""ur
  Astronomie, Heidelberg, Germany)","Fragmentation of Molecular Clouds: The Initial Phase of a Stellar
  Cluster","4 pages including three figures, LaTeX, to appear in the proceedings
  to the Riken Symposium on Supercomputing, held September 1 --3 1997 in Tokyo,
  (resolution of fig. 1 has been degraded to fit size requirements)",,,,"astro-ph",,"  Using smoothed particle hydrodynamics in combination with the special-purpose
hardware device GRAPE, we follow the fragmentation process and dynamical
evolution in the interior of molecular clouds until most of the gas is
converted to form a cluster of protostellar cores. The properties of this
protostellar cluster are compared to observational data from star forming
regions.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 18:24:27 GMT""}]","2007-05-23"
"astro-ph/9710321","Mike Hawkins","M.R.S. Hawkins (Royal Observatory, Edinburgh)","Dark Galaxies -- the Dominant Population?","A&A Letter in press. 5 pages plain TeX A&A macros including 2
  Postscript figures",,,,"astro-ph",,"  This paper argues that there is a large population of dark galaxies which
reveals its presence by the gravitational lensing of quasars, and outnumbers
normal galaxies by around 3:1. There are 8 double quasars with a separation
greater than 2 arcseconds which have been classified as probable or certain
gravitational lenses. Lensing galaxies have only been found for 2 of these
systems, and analysis of the remainder has led in each case to the conclusion
that they are best explained by the gravitational lensing effect of a `dark
galaxy'. Here we examine the ensemble properties of this sample and conclude
that there is overwhelming evidence that the systems are indeed being
gravitationally lensed by dark galaxies or perhaps dark matter galactic halos.
The existence and nature of such objects raises some intriguing questions, as
well as having profound implications for large scale structure. Several of the
quasar systems show strong evidence for microlensing. It is argued that this
implies a substantial component of dark matter in the form of compact bodies,
either in the halo of the lensing galaxy or more generally along the line of
sight.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 17:13:00 GMT""}]","2007-05-23"
"astro-ph/9710322","Jens Hjorth","H. Pedersen, A. O. Jaunsen, T. Grav, R. Ostensen, M. I. Andersen, M.
  Wold, H. Kristen, A. Broeils, M. Naeslund, C. Fransson, M. Lacy, A. J.
  Castro-Tirado, J. Gorosabel, J. M. Rodriguez Espinosa, A. M. Perez, C. Wolf,
  R. Fockenbrock, J. Hjorth, P. Muhli, P. Hakala, L. Piro, M. Feroci, E. Costa,
  L. Nicastro, E. Palazzi, F. Frontera, L. Monaldi, J. Heise","Evidence for Diverse Optical Emission from Gamma-Ray Burst Sources","13 pages, LaTeX (aaspp4.sty) 2 figures. To appear in ApJ 496 (March
  20, 1998)","Astrophys.J. 496 (1998) 311-315","10.1086/305385",,"astro-ph",,"  Optical Transients from gamma-ray burst sources, in addition to offering a
distance determination, convey important information on the physics of the
emission mechanism, and perhaps also about the underlying energy source. As the
gamma-ray phenomenon is extremely diverse, with time scales spanning several
orders of magnitude, some diversity in optical counterpart signatures appears
plausible. We have studied the Optical Transient, which accompanied the
gamma-ray burst of May 8, 1997 (GRB 970508). Observations conducted at the
2.5-m Nordic Optical Telescope (NOT) and the 2.2-m telescope at the
German-Spanish Calar Alto observatory (CAHA) cover the time interval starting 3
hours 5 minutes to 96 days after the high energy event. This brackets all other
published observations, including radio. When analyzed in conjunction with
optical data from other observatories, evidence emerges for a composite light
curve. The first interval, from 3 to 8 hours after the event was characterized
by a constant, or slowly declining brightness. At a later moment the brightness
started increasing rapidly, and reached a maximum approximately 40 hours after
the GRB. From that moment the GRB brightness decayed approximately as a
power-law of index -1.21. The last observation, after 96 days, m_R =
24.28+-0.10, is brighter than the extrapolated power-law, and hints that a
constant component, m_R = 25.50+-0.40 is present. The OT is unresolved (FWHM
0.83"") at the faintest magnitude level. The brightness of the optical
transient, its duration and the general shape of the light curve sets this
source apart from the single other optical transient known, that of the
February 28, 1997 event.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 19:16:38 GMT""}]","2007-05-23"
"astro-ph/9710323","Dan Maoz","Dan Maoz (Tel-Aviv U.), Anuradha Koratkar (STScI), Joseph C. Shields
  (Ohio U.), Luis C. Ho (CfA), Alexei V. Filippenko (UC Berkeley), and Amiel
  Sternberg (Tel-Aviv U.)","The Ultraviolet Spectra of LINERs: A Comparative Study","AAS LaTex, significant revisions, accepted to AJ",,"10.1086/300403",,"astro-ph",,"  Imaging studies have shown that about 25% of LINER galaxies display a compact
nuclear UV source. As part of a program to study the nature of LINERs and their
connection to the active galaxy phenomenon, we compare the HST ultraviolet
(1150-3200 Ang) spectra of seven such UV-bright LINERs. Data for three of the
galaxies (NGC 404, NGC 4569, and NGC 5055) are presented for the first time,
while data for four others (M81, NGC 4594, NGC 4579, and NGC 6500) have been
recently published. The spectra of NGC 404, NGC 4569, and NGC 5055 show clear
absorption-line signatures of massive stars, indicating a stellar origin for
the UV continuum. Similar features are probably present in NGC 6500. The same
stellar signatures may be present but undetectable in NGC 4594, due to the low
signal-to-noise ratio of the spectrum, and in M81 and NGC 4579, due to
superposed strong, broad emission lines. The compact central UV continuum
source that is observed in these galaxies is a nuclear star cluster rather than
a low-luminosity active galactic nucleus (AGN), at least in some cases. Except
for the two LINERs with broad emission lines (M81 and NGC 4579), the LINERs
have weak or no detectable UV emission lines. At least four of the LINERs
suffer from an ionizing photon deficit, in the sense that the ionizing photon
flux inferred from the observed far-UV continuum is insufficient to drive the
optical H I recombination lines. Examination of the nuclear X-ray flux of each
galaxy shows a high X-ray/UV ratio in the four ``UV-photon starved'' LINERs.
Future observations can determine whether the UV continuum in LINERs is always
dominated by a starburst or, alternatively, that there are two types of
UV-bright LINERs: starburst-dominated and AGN-dominated.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 19:24:12 GMT""},{""version"":""v2"",""created"":""Sun, 5 Apr 1998 16:28:41 GMT""}]","2009-10-30"
"astro-ph/9710324","Christopher A. Metzler","Christopher A. Metzler (NASA/Fermilab Astrophysics Center) and August
  E. Evrard (University of Michigan Department of Physics)","Simulations Of Galaxy Clusters With And Without Winds: I. The Structure
  Of Clusters","46 pages, 18 figures. Uses AAS style aaspp4.sty",,,"FERMILAB-Pub-97/349-A","astro-ph",,"  We use gas dynamic simulations to explore the effects of galactic winds on
galaxy clusters. Two ensembles of 18 realizations, spanning a decade in
temperature, are evolved with and without winds in an underlying biased CDM
cosmology. Galaxies are identified as peaks in the initial density field, and
are assumed to lose half their initial mass over a Hubble time in winds with an
effective temperature of 8 keV. The energy input through winds boosts the
entropy of the ICM above that generated by infall, resulting in a more extended
density profile. The magnitude of this effect increases with decreasing mass or
temperature, consistent with observations. The extended nature of the ICM with
winds can lead to underestimates of the global baryon fraction, with
low-temperature clusters particularly deficient. We calibrate the amplitude of
this effect at density contrasts of 170 and 500. On the other hand, the final
temperature of the gas is relatively unaffected; a similar mass-temperature
relation exists with or without winds. The input wind energy is effectively
consumed as work to lift the gas in the dark matter dominated potential. While
the dark matter profile exhibits a self-similar form seen in other studies, the
galaxy distribution is more centrally concentrated than either the dark matter
or gas, and evidences a mild velocity bias. The gradient of galaxies with
respect to primordial gas produces strong, negative radial gradients in
metallicity within the ICM.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 20:48:22 GMT""}]","2007-05-23"
"astro-ph/9710325","Aaron Barth","A. J. Barth, L. C. Ho, A. V. Filippenko, and W. L. W. Sargent","A Search for Ultraviolet Emission from LINERs","25 pages, 4 figures, 3 tables, LaTeX, AASTeX v4.0 style file,
  accepted for publication in The Astrophysical Journal, additional figures
  available at http://astro.berkeley.edu/~barth/papers/uv",,"10.1086/305379",,"astro-ph",,"  We have obtained Hubble Space Telescope WFPC2 2200 A and optical V-band
images of 20 low-luminosity active galactic nuclei, most of which are
spectroscopically classified as LINERs, in order to search for a possible
photoionizing continuum. Six (30%) of the galaxies are detected in the UV. Two
of the detected galaxies (NGC 3642 and NGC 4203) have compact, unresolved
nuclear UV sources, while the remaining four UV sources (in NGC 4569, NGC 5005,
NGC 6500, and NGC 7743) are spatially extended. Combining our sample with that
of Maoz et al. (1995), we find that the probability of detection of a nuclear
UV source is greatest for galaxies having low internal reddening and low
inclination, and we conclude that dust obscuration is the dominant factor
determining whether or not a UV source is detected. Large emission-line
equivalent widths and the presence of broad-line emission also increase the
likelihood of detection of nuclear UV emission. Our results suggest that the
majority of LINERs harbor obscured nuclear UV sources, which may be either
accretion-powered active nuclei or young star clusters. Under the assumption
that the compact UV sources in NGC 3642 and NGC 4203 have nonstellar power-law
spectra extending into the extreme ultraviolet, the extrapolated ionizing
fluxes are sufficiently strong to photoionize the narrow-line regions of these
objects. The V-band images of many galaxies in our sample reveal remarkably
strong dust lanes which may be responsible for obscuring some UV sources.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 22:01:35 GMT""}]","2009-10-30"
"astro-ph/9710326","Richard Barvainis","Richard Barvainis, Danielle Alloin, Stephane Guilloteau, Robert
  Antonucci","Detection of CO(3-2) Emission at z=2.64 from the Gravitationally Lensed
  Quasar MG 0414+0534","To be published in ApJ Letters. 9 pages of text in Latex, using style
  file aaspp4.sty (included), plus two ps figures to be printed separately",,"10.1086/311090",,"astro-ph",,"  We have detected CO(3-2) line emission from the gravitationally lensed quasar
MG 0414+0534 at redshift 2.64, using the IRAM Plateau de Bure Interferometer.
The line is broad, with Delta v_FWHM = 580 km/s. The velocity-integrated CO
flux is comparable to, but somewhat smaller than, that of IRAS F10214+4724 and
the Cloverleaf quasar (H1413+117), both of which are at similar redshifts. The
lensed components A1+A2 and B were resolved, and separate spectra are presented
for each. We also observed the unlensed radio quiet quasar PG 1634+706 at
z=1.33, finding no significant CO emission.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 22:37:53 GMT""}]","2009-10-30"
"astro-ph/9710327","Marc Davis","David J. Schlegel (1), Douglas P. Finkbeiner (2), & Marc Davis (2)
  ((1) Univ of Durham, (2) UC Berkeley)","Maps of Dust IR Emission for Use in Estimation of Reddening and CMBR
  Foregrounds","65 pages, AAS LaTeX, 8 figures, 6 tables. ApJ, vol 499 (in press).
  Final revisions and updates to Tables 1, 2 and 5. The text, 14 figures, and
  the dust maps available at http://astro.berkeley.edu/davis/dust/index.html","Astrophys.J.500:525,1998","10.1086/305772",,"astro-ph",,"  We present a full sky 100 micron map that is a reprocessed composite of the
COBE/DIRBE and IRAS/ISSA maps, with the zodiacal foreground and confirmed point
sources removed. Before using the ISSA maps, we remove the remaining artifacts
from the IRAS scan pattern. Using the DIRBE 100 micron and 240 micron data, we
have constructed a map of the dust temperature, so that the 100 micron map can
be converted to a map proportional to dust column density. The result of these
manipulations is a map with DIRBE-quality calibration and IRAS resolution.
  To generate the full sky dust maps, we must first remove zodiacal light
contamination as well as a possible cosmic infrared background (CIB). This is
done via a regression analysis of the 100 micron DIRBE map against the Leiden-
Dwingeloo map of H_I emission, with corrections for the zodiacal light via a
suitable expansion of the DIRBE 25 micron flux. For the 100 micron map, no
significant CIB is detected. In the 140 micron and 240 micron maps, where the
zodiacal contamination is weaker, we detect the CIB at surprisingly high flux
levels of 32 \pm 13 nW/m^2/sr at 140 micron, and 17 \pm 4 nW/m^2/sr at 240
micron (95% confidence). This integrated flux is ~2 times that extrapolated
from optical galaxies in the Hubble Deep Field.
  The primary use of these maps is likely to be as a new estimator of Galactic
extinction. We demonstrate that the new maps are twice as accurate as the older
Burstein-Heiles estimates in regions of low and moderate reddening. These dust
maps will also be useful for estimating millimeter emission that contaminates
CMBR experiments and for estimating soft X-ray absorption.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 22:41:39 GMT""},{""version"":""v2"",""created"":""Tue, 10 Feb 1998 18:16:10 GMT""}]","2008-11-26"
"astro-ph/9710328","Richard E. Rothschild","R. E. Rothschild (1), P. R. Blanco (1), D. E. Gruber (1), W. A. Heindl
  (1), D. R. MacDonald (1), D. C. Marsden (1), M. R. Pelling (1), L. R. Wayne
  (1) and P. L. Hink (2) ((1) University of California, San Diego (2)
  Washington University)","In-flight Performance of the High Energy X-ray Timing Experiment on the
  Rossi X-ray Timing Explorer","30 pages, 14 figures, 4 tables, accepted by Ap. J., to be published
  in vol 496, March 20, 1998",,"10.1086/305377","SP-97-10","astro-ph",,"  The High Energy X-ray Timing Experiment (HEXTE) is one of three scientific
instruments aboard the Rossi X-ray Timing Explorer (RXTE), which was launched
on December 30, 1995. RXTE performs timing and spectral studies of bright x-ray
sources to determine the physical parameters of these systems. The HEXTE
consists of two independent clusters of detectors, each cluster containing four
NaI(Tl)/CsI(Na) phoswich scintillation counters sharing a common 1 degree FWHM
field of view. The field of view of each cluster is switched on- and off-source
to provide near real-time background measurements. The net open area of the
eight detectors is 1600 cm2, and each detector covers the energy range 15-250
keV with an average energy resolution of 15.4% at 60 keV. The in-flight
performance of the HEXTE is described, the light curve and spectrum of the Crab
Nebula/Pulsar is given, and the 15-240 keV spectrum of the weak source, active
galaxy MCG 8-11-11 is presented to demonstrate the weak source spectral
capabilities of HEXTE.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 23:41:13 GMT""}]","2009-10-30"
"astro-ph/9710329","Jeremy Kepner","Jeremy Kepner","Inside-out Galaxy Formation","21 pages including 6 figures","Astrophysical Journal 520, 59, 1999","10.1086/307419",,"astro-ph",,"  Current theories of galaxy formation have tended to focus on hierarchical
structure formation, which is the most likely scenario for cosmological models
with lots of power at small scales (e.g. standard cold dark matter). Models
with little small scale power lead to scenarios closer to spherical collapse.
Recently favored power spectra (e.g. CDM+Lambda) lie somewhere in between
suggesting that both types of processes are important and may vary over time
due to gaseous reheating. From this viewpoint this paper explores a very simple
inside out scenario for galaxy formation. This scenario is a natural result of
synthesizing earlier work on DM halos, spherical collapse, and gas
redistribution via angular momentum. Although, this model is highly simplified
and is not designed to accurately describe the detailed formation of any
individual galaxy, it does (by design) predict the overall features of
galaxies. In addition, old bulges and young disks are an almost unavoidable
result of these very simple models. This scenario may provide a useful
framework for both observers and theoreticians to think about galaxy formation.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 00:14:42 GMT""},{""version"":""v2"",""created"":""Mon, 1 Mar 1999 02:46:33 GMT""}]","2015-05-26"
