"alg-geom/9711003","William L. Pardon","William Pardon and Mark Stern (Duke University)","Pure Hodge structure on the $L_2$-cohomology of varieties with isolated
  singularities","53 pages, amstex",,,,"alg-geom dg-ga math.AG math.DG",,"  Let $V$ be a complex projective variety with isolated singularities. Let the
smooth part be given the metric induced by a projective imbedding. Then we
develop the $L_2$ harmonic theory and construct a pure Hodge structure on the
$L_2$-cohomology of $V$. If the dimension of $V$ is two, we put a cohomological
Hodge structure on its complex of sheaves of $L_2$ forms.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 17:03:39 GMT""}]","2007-05-23"
"alg-geom/9711004","Anvar Mavlyutov","Anvar R. Mavlyutov","Approximation by smooth curves near the tangent cone","Extended version of the paper with an application to studying schemes
  of algebras included","Journal of Algebra, Volume 266, Issue 1, 2003, pages 154-161",,,"alg-geom math.AG",,"  We show that through a point of an affine variety there always exists a
smooth plane curve inside the ambient affine space, which has the multiplicity
of intersection with the variety at least 3.
  This result has an application to the study of affine schemes.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 22:40:22 GMT""},{""version"":""v2"",""created"":""Mon, 15 Sep 2003 18:23:58 GMT""}]","2016-08-30"
"alg-geom/9711005","Tohsuke Urabe","Tohsuke Urabe (Department of Mathematics, Tokyo Metropolitan
  University, Tokyo, Japan)","Some fundamental problems on real-analytic sets","2 pages, LaTeX2e+AmsLaTeX. To appear in the proceedings of
  ""Singularities and related subjects"" (September 1997, Changchun, China). The
  same article available also at
  http://urabe-lab.math.metro-u.ac.jp/PreprintListE.html. This paper has been
  withdrawn by the author",,,,"alg-geom math.AG",,"  The category of real-analytic sets and real-analytic maps is the most
important category in application. However, in spite of efforts by F. Bruhat,
H. Cartan, H. Whitney et al., the basic theory of real-analytic category does
not yet seem to be well-developed. In this article I would like to point out
several basic problems.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 11:59:24 GMT""},{""version"":""v2"",""created"":""Fri, 18 Jun 2010 08:22:00 GMT""}]","2010-06-21"
"astro-ph/9711010","Philip Best","P. N. Best (Sterrewacht Leiden), M. S. Longair (Cambridge) and H. J.
  A. R""ottgering (Sterrewacht Leiden)","The nature of the 3CR radio galaxies at z=1","12 pages including 4 figures. LaTeX, using knawproc.cls. To appear in
  proceedings of `The most distant radio galaxies', Amsterdam, 15-17th October
  1997",,,,"astro-ph",,"  We present evidence that the 3CR radio galaxies at redshift one are already
very massive, highly dynamically evolved galaxies, which lie at the heart of
(proto--)cluster environments. Since nearby 3CR double radio sources are
generally found in more isolated surroundings, the galactic environments of
these galaxies must change dramatically with redshift. Therefore, the original
`uniform population, closed box' interpretation of the infrared K--magnitude vs
redshift relationship no longer appears valid. We propose a new interpretation:
the powerful radio galaxies selected at high and low redshift have different
evolutionary histories, but must contain a similar mass of stars, a few times
10-to-the-power-11 solar masses, and so conspire to produce the `passively
evolving' K-z relation observed. We discuss this model in the context of the
current understanding of powerful radio sources and, in light of this new
model, we compare the K-z relation of the 3CR galaxies with those derived for
lower power radio galaxies and for brightest cluster galaxies.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 16:25:03 GMT""}]","2007-05-23"
"astro-ph/9711011","Robert I. Hynes","R.I. Hynes (Sussex) and P.F.L. Maxted (Southampton)","A critique of disentangling as a method of deriving spectroscopic orbits","4 pages, LaTeX, including 2 encapsulated postscript figures. Accepted
  for publication in Astronomy and Astrophysics","A&A, 331, 167",,,"astro-ph",,"  Multiple sets of synthetic spectra of OB-binary stars are used to test the
suitability of disentangling for deriving accurate spectroscopic orbits. Given
a set of spectra with broad phase coverage and sufficient total integration
time (almost independent of the number of spectra), it appears that
disentangling yields accurate and reliable semi-amplitudes of the spectroscopic
orbits (other parameters being fixed). Methods for estimating the uncertainties
on the derived semi-amplitudes are investigated.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 17:19:40 GMT""}]","2007-05-23"
"astro-ph/9711012","N. M. McClure-Griffiths","N. M. McClure-Griffiths, Simon Johnston, Daniel R. Stinebring, and
  Luciano Nicastro","Diffractive Scintillation of the Pulsar PSR B1259-63","Accepted for publication in Astrophysical Journal Letters, 1 figure",,"10.1086/311088",,"astro-ph",,"  PSR B1259-63 is in a highly eccentric 3.4 yr orbit around the Be-star SS2883.
The system is located in the direction of the Sagittarius-Carina spiral arm at
a distance of $\sim$1.5 kpc. We have made scintillation observations of the
pulsar far from periastron at 4.8 GHz and 8.4 GHz, determining the diffractive
bandwidth, $\Delta \nu_{\rm d}$, and timescale, $\Delta t_{\rm d}$, at both
frequencies. We find no dependency on orbital phase until within 30 days of
periastron. The data indicate that the scintillation is caused, not by the
circumstellar environment, but by an HII region within the Sagittarius-Carina
spiral arm located at least three-quarters of the way to the pulsar. Close to
periastron, when the line-of-sight to the pulsar intersects the disk of the Be
star, the electron densities within the disk are sufficient to overcome the
`lever-arm effect' and produce a reduction in the scintillation bandwidth by
six orders of magnitude.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 18:33:52 GMT""}]","2009-10-30"
"astro-ph/9711013","Rosanne Di Stefano","Rosanne Di Stefano (1), Richard A. Scalzo (2) ((1) Harvard-Smithsonian
  Center for Astrophysics, (2) University of Chicago)","A New Channel for the Detection of Planetary Systems Through
  Microlensing","72 pages, 16 figures, 4 tables, incorporated into a single file.
  Submitted to the Astrophysical Journal, email: rdistefano@cfa.harvard.edu",,,,"astro-ph",,"  We propose and evaluate the feasibility of a new strategy to search for
planets via microlensing observations. This new strategy is designed to detect
planets in ""wide"" orbits, i.e., with orbital separation, a, greater than ~1.5
R_E. Planets in wide orbits may provide the dominant channel for the discovery
of planets via microlensing, particularly low-mass (e.g., Earth-mass) planets.
Because the ongoing microlensing observations and extensions of them should be
able to discover planets in wide orbits, we provide a foundation for the search
through detailed calculations and simulations that quantify the expected
results and compare the relative benefits of various search strategies. If
planetary systems similar to our own or to some of the known extra-solar
systems are common, then the predicted detection rates of wide-orbit events are
high, generally in the range 2-10% of the present detection rate for apparently
single events by stars. The expected high rates should allow the microlensing
observing teams to either place significant limits on the presence of planetary
systems in the Galactic Bulge, or begin to probe the population in detail
within the next few years. We also address the issues of (1) whether planets
discovered via microlensing are likely to harbor life, (2) the feasibility of
follow-up observations to learn more about planet microlenses, and (3) the
contamination due to stellar populations of any microlensing signal due to
low-mass MACHOs.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 20:05:25 GMT""}]","2007-05-23"
"astro-ph/9711014","Crystal L. Brogan","C. L. Brogan (1), T. H. Troland (1), D. A. Roberts (2), and R. M.
  Crutcher (2) ((1) University of Kentucky, (2) University of Illinois)","The Detection of Magnetic Fields Toward M17 through the HI Zeeman Effect","Contains 29 pages, 14 figures (Latex). Text and figures can be
  downloaded separately at http://www.pa.uky.edu/~brogan, submitted to ApJ",,"10.1086/306996",,"astro-ph",,"  We have carried out VLA Zeeman observations of HI absorption lines toward the
HII region in the M17 giant molecular cloud complex. The HI absorption lines
toward M17 show between 5 and 8 distinct velocity components which vary
spatially in a complex manner across the source. We explore possible physical
connections between these components and the M17 region based on calculations
of HI column densities, line of sight magnetic field strengths, as well as
comparisons with a wide array of previous optical, infrared, and radio
observations.
  In particular, an HI component at the same velocity as the southwestern
molecular cloud (M17 SW) ~20 km/s seems to originate from the edge-on interface
between the HII region and M17 SW, in un-shocked PDR gas. We have detected a
steep enhancement in the 20 km/s HI column density and line of sight magnetic
field strengths (Blos) toward this boundary. A lower limit for the peak 20 km/s
HI column density is N_{HI}/T_s > 5.6 x 10^{19} cm^{-2}/K while the peak Blos
is ~ -450 muG. In addition, blended components at velocities of 11-17 km/s
appear to originate from shocked gas in the PDR between the HII region and an
extension of M17 SW, which partially obscures the southern bar of the HII
region. The peak N_{HI}/T_s and Blos for this component are > 4.4 x 10^{19}
cm^{-2}/K and +550 muG, respectively. Comparison of the peak magnetic fields
detected toward M17 with virial equilibrium calculations suggest that ~1/3 of
M17 SW's total support comes from its static magnetic field and the other 2/3
from its turbulent kinetic energy which includes support from Alfven waves.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 21:19:24 GMT""},{""version"":""v2"",""created"":""Tue, 4 Nov 1997 18:07:10 GMT""}]","2015-06-24"
"astro-ph/9711015","Steve Maddox","S. Maddox (Institute of Astronomy, Cambridge, UK)","The 2dF Galaxy Redshift Survey: Preliminary Results","6 pages, 7 figures. To appear in Proceedings of Potsdam Cosmology
  Workshop, ""Large Scale Structure: Tracks and Traces"" Sept. 15-19, 1997",,,,"astro-ph",,"  Spectroscopic observations for a new survey of 250 000 galaxy redshifts are
underway, using the 2dF instrument at the AAT. The input galaxy catalogue and
commissioning data are described. The first result from the preliminary data is
a new estimate of the galaxy luminosity function at <z>=0.1.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 21:25:53 GMT""}]","2007-05-23"
"astro-ph/9711016","Mark A. Bransford","M.A. Bransford (1), P.N. Appleton (1), C.A. Heisler (2), R.P. Norris
  (3) & A.P. Marston (4) ((1) Iowa State University, (2) Mount Stromlo and
  Siding Spring Observatory, (3) Australia Telescope National Facility, (4)
  Drake University)","Radio-Luminous Southern Seyfert Galaxies. I. Radio Images and Selected
  Optical/Near-Infrared Spectroscopy","42 pages, including 7 tables, latex, 19 jpeg figures, Accepted to
  ApJ. Replacement updates coordintes of galaxies in Table 1",,"10.1086/305438",,"astro-ph",,"  This is the first of two papers in which a study is made of a sample of 12
southern radio-luminous Seyfert galaxies. Our aim is to investigate possible
correlations between radio morphology and nuclear/circumnuclear emission-line
properties. In this paper we present radio images at 13, 6, and 3 cm taken with
the Australia Telescope Compact Array (ATCA), global far-infrared (FIR)
properties for the whole sample, and optical and near-infrared (NIR)
spectroscopy of an interesting subset. We find a mixture of radio morphologies,
including linear, diffuse and compact sources. When the FIR colors of the
galaxies are considered there is an indication that the compact radio sources
have warmer FIR colors than the diffuse sources, whereas the linear sources
span a wide range of FIR colors. There is a wide variation in radio
spectral-indices, suggesting that free-free absorption is significant in some
systems, particularly IRAS 11249-2859, NGC 4507, and NGC 7213. Detailed
emission-line studies are presented of 4 galaxies IC 3639, NGC 5135, NGC 3393 &
IRAS 11249-2859. In IC 3639 we present evidence of vigorous, compact star
formation enclosed by very extended [OI]6300 emission, suggestive of the
boundary between a diffuse outflow and the surrounding ISM. In another galaxy,
IC 5063, we see evidence for the possible interaction of a highly collimated
outflow and the surrounding rotating inner disk. Of the 5 galaxies which show
compact radio emission, 4 have radio/FIR flux ratios consistent with an
energetically dominant AGN, whereas IC 4995 exhibits evidence for a very
compact starburst.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 22:03:57 GMT""},{""version"":""v2"",""created"":""Wed, 5 Nov 1997 23:32:06 GMT""}]","2009-10-30"
"astro-ph/9711017","Kunegunda Belle","Geraint F. Lewis and Kunegunda E. Belle (SUNY at Stony Brook)","Microlensing of Broad Absorption Line Quasars","7 pages, 4 figures (included), Latex (mn.sty), Submitted to MNRAS",,"10.1046/j.1365-8711.1998.01415.x",,"astro-ph",,"  The physical nature of the material responsible for the high--velocity,
broad-absorption line features seen in a small fraction of quasar spectra has
been the subject of debate since their discovery. This has been especially
compounded by the lack of observational probes of the absorbing region. In this
paper we examine the role of ``microlenses'' in external galaxies on observed
variability in the profiles of broad absorption lines in multiply-imaged
quasars. Utilizing realistic models for both the broad absorption line region
and the action of an ensemble of microlensing masses, we demonstrate that stars
at cosmological distances can provide an important probe of the physical state
and structure of material at the heart of these complex systems. Applying these
results to the macrolensed BAL quasar system, H1413+117, the observed spectral
variations are readily reproduced, but without the fine-tuning requirements of
earlier studies which employ more simplistic models.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 23:04:33 GMT""}]","2009-10-30"
