"alg-geom/9711010","Gerard van der Geer","Gerard van der Geer and Marcel van der Vlugt","Constructing curves over finite fields with many points by solving
  linear equations","Plain Tex, 6 pages",,,,"alg-geom math.AG",,"  In this note is we exhibit an elementary method to construct explicitly
curves over finite fields with many points. Despite its elementary character
the method is very efficient and can be regarded as a partial substitute for
the use of class field theory.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 13:57:29 GMT""}]","2007-05-23"
"astro-ph/9711079","Xinwu Cao","Xinwu Cao, D.R. Jiang, J.H. You, J.L. Zhao","Semi-analytical radiative transfer in plane-parallel geometry:
  application to accretion disk coronae","5 pages, 4 Postscript figures, uses l-aa.sty. to appear in A&A",,,,"astro-ph",,"  A simplified frequency-integrated radiative transfer equation is solved to
study Compton scatterings in the corona of the disk by using numerical
iterating method. We find that the vertical thickness of the corona cannot be
used as the typical length to measure the optical depth of the corona. A
semi-analytical approach is proposed to calculate the energy dissipations in
the corona of the disk. We demonstrate that our approach can reproduce the
numerical solutions to an accuracy of <2 %.
","[{""version"":""v1"",""created"":""Sun, 9 Nov 1997 17:44:43 GMT""}]","2007-05-23"
"astro-ph/9711080","Rachel Somerville","Rachel S. Somerville (1 and 2) and Tsafrir S. Kolatt (2) ((1) Hebrew
  University, Jerusalem, (2) University of California, Santa Cruz)","How to Plant a Merger Tree","13 pages, LaTeX, 10 postscript figures. To appear in MNRAS. Changed
  to MNRAS format with inlined figures. Minor changes in text and figures to
  match published version. No significant changes in content","Mon.Not.Roy.Astron.Soc.305:1-14,1999","10.1046/j.1365-8711.1999.02154.x",,"astro-ph",,"  We investigate several approaches for constructing Monte Carlo realizations
of the merging history of virialized dark matter halos (``merger trees'') using
the extended Press-Schechter formalism. We describe several unsuccessful
methods in order to illustrate some of the difficult aspects of this problem.
We develop a practical method that leads to the reconstruction of mean
quantities such as the conditional and overall mass functions as given by the
Press-Schechter model. This method is convenient, computationally efficient,
and works for any power spectrum or background cosmology. In addition, we
investigate statistics that describe the distribution of the number of
progenitors and their masses as a function of redshift.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 10:10:12 GMT""},{""version"":""v2"",""created"":""Fri, 20 Feb 1998 12:02:32 GMT""}]","2008-11-26"
"astro-ph/9711081","J. S. Bagla","J. S. Bagla (Institute of Astronomy, Cambridge)","Evolution of Galaxy and Quasar Clustering","Revised to match the accepted version","Mon.Not.Roy.Astron.Soc. 299 (1998) 417","10.1046/j.1365-8711.1998.01788.x",,"astro-ph",,"  We study the evolution of correlation function of dark matter halos in the
CDM class of models. We show that the halo correlation function does not evolve
in proportion with the correlation function of the underlying mass
distribution. Earliest halos to collapse, which correspond to rare peaks in the
density field, cluster very strongly. The amplitude of halo correlation
function decreases from its initial, large, value. This decrease continues till
the average peaks have collapsed, after which, the amplitude grows at a slow
rate. This behaviour is shown to be generic and the epoch of minimum amplitude
depends only on the rms fluctuations in mass at the relevant scale and, to a
much smaller extent, on the slope of the power spectrum at that scale. We
discuss the relevance of this result for interpretation of observations of
galaxy and quasar clustering.
","[{""version"":""v1"",""created"":""Sun, 9 Nov 1997 17:00:28 GMT""},{""version"":""v2"",""created"":""Fri, 24 Apr 1998 15:03:26 GMT""}]","2009-10-30"
"astro-ph/9711082","Richard Mcmahon","Stephane Guilloteau, Alain Omont, Richard G. McMahon, Pierre Cox,
  Patrick Petitjean","The second detection of CO at redshift larger than 4","5 pages, 3 figures, LaTex (l-aa.sty, psfig.sty), also available at
  http://www.ast.cam.ac.uk/~rgm","Astronomy and Astrophysics, 328, L1-L4 (1997)",,,"astro-ph",,"  We report the detection with the IRAM interferometer at 3mm of J=5-4 CO line
in the radio quiet quasar BRI1335-0415 at redshift of z=4.41. After BR1202-0725
at z=4.69 (Ohta etal 1996, Omont etal 1996a), this is the second detection of
CO at z>3. The integrated line intensity is 2.8+-0.3 Jy km s^{-1} with a
linewidth of 420+-60 km s^{-1}. The dust continuum emission has also been
mapped at 1.35mm. The 1.35mm flux is found to be 5.6+-1.1mJy. The ratio of the
CO to 1.35mm continuum flux is slightly larger than for BR1202-0725. Contrary
to the case of BR1202-0725, there is only marginal evidence of extension of the
1.35mm continuum and 3mm CO emission. In the absence of gravitational lensing,
for which there is no a priori evidence, and within the uncertainties of the CO
to M(H_2) conversion factors, the mass of molecular gas M(H_2) could be 10^{11}
solar masses.
","[{""version"":""v1"",""created"":""Sun, 9 Nov 1997 23:13:26 GMT""}]","2007-05-23"
"astro-ph/9711083","Xavier Barcons","K.C. Gendreau (1), X. Barcons (2 and 3), A.C. Fabian (3) ((1)
  NASA/GSFC USA, (2) IFCA Santander Spain, (3) IoA Cambridge UK)","Deep hard X-ray source counts from a fluctuation analysis of ASCA SIS
  images","8 pages, 8 eps figures included in text, uses mn.sty. To appear in
  MNRAS. Also at http://www.ifca.unican.es/~barcons/preprints.html",,"10.1046/j.1365-8711.1998.01407.x",,"astro-ph",,"  An analysis of the spatial fluctuations in 15 deep ASCA SIS0 images has been
conducted in order to probe the 2-10 keV X-ray source counts down to a flux
limit 2E-14 erg/cm2/s. Special care has been taken in modelling the
fluctuations in terms of the sensitivity maps of every one of the 16 regions
(5.6 x 5.6 arcmin2 each) in which the SIS0 has been divided, by means of
raytracing simulations with improved optical constants in the X-ray telescope.
The very extended `side lobes' (extending up to a couple of degrees) exhibited
by these sensitivity maps make our analysis sensitive to both faint on-axis
sources and brighter off-axis ones, the former being dominant. The source
counts in the range (2-12)E-14 erg/cm2/s are found to be close to a euclidean
form which extrapolates well to previous results from higher fluxes and in
reasonable agreement with some recent ASCA surveys. However, our results
disagree with the deep survey counts by Georgantopoulos et al. (1997). The
possibility that the source counts flatten to a subeuclidean form, as is
observed at soft energies in ROSAT data, is only weakly constrained to happen
at a flux <1.8E-12 erg/cm2/s (90 per cent confidence). Down to the sensitivity
limit of our analysis, the integrated contribution of the sources whose imprint
is seen in the fluctuations amounts to 35\pm 13 per cent of the extragalactic
2-10 keV X-ray background.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 08:33:21 GMT""}]","2009-10-30"
"astro-ph/9711084","Xavier Barcons","X. Barcons (IFCA Santander Spain), A.C. Fabian (IoA Cambridge UK)","A new X-ray mission to measure the power spectrum of fluctuations in the
  Universe","Improved version, 4 pages, uses xsurv_article macro (included).
  Proceedings of the X-ray Surveys Workshop. To appear in Astron Nachr. Also at
  http://www.ifca.unican.es/~barcons/preprints.html",,"10.1002/asna.2123190163",,"astro-ph",,"  We propose a new, simple, dedicated X-ray mission to measure the power
spectrum of density fluctuations in the Universe, by accurately mapping the
X-ray background on the whole sky on scales of arounf one sq deg. Since the
method relies on the detection of excess fluctuations produced by the
clustering of X-ray sources at intermediate redshifts above the confusion noise
produced by bright foreground sources, counting noise and systematic noise need
to be kept to a minimum. We propose a proportional counter with collimated
fields of view of various sizes as the optimal instrument for this mission.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 08:58:01 GMT""},{""version"":""v2"",""created"":""Wed, 12 Nov 1997 11:32:25 GMT""}]","2015-06-24"
"astro-ph/9711085",,"L. Toffolatti, F. Arg\""ueso G\'omez, G. De Zotti, P. Mazzei, A.
  Franceschini, L. Danese, and C. Burigana","Extragalactic Source Counts and Contributions to the Anisotropies of the
  Cosmic Microwave Background. Predictions for the Planck Surveyor mission","10 pages, Latex, mn.sty, 8 figures included, MNRAS, in the press.
  Minor changes in the text. Sections 3.1 and 3.2 have been expanded. Source
  counts in Table 2 have been slightly changed. Figure 1,2,7 and 8 have been
  replaced by new versions","Mon.Not.Roy.Astron.Soc. 297 (1998) 117-127","10.1046/j.1365-8711.1998.01458.x",,"astro-ph",,"  We present predictions for the counts of extragalactic sources, the
contributions to fluctuations and their spatial power spectrum in each channel
foreseen for the Planck Surveyor (formerly COBRAS/SAMBA) mission. The
contribution to fluctuations due to clustering of both radio and far--IR
sources is found to be generally small in comparison with the Poisson term;
however the relative importance of the clustering contribution increases and
may eventually become dominant if sources are identified and subtracted down to
faint flux limits. The central Planck frequency bands are expected to be
``clean'': at high galactic latitude (|b|>20), where the reduced galactic noise
does not prevent the detection of the extragalactic signal, only a tiny
fraction of pixels is found to be contaminated by discrete extragalactic
sources. Moreover, removal of contaminating signals is eased by the substantial
difference between their power spectrum and that of primordial fluctuations.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 11:14:51 GMT""},{""version"":""v2"",""created"":""Fri, 6 Mar 1998 15:37:10 GMT""}]","2009-10-30"
"astro-ph/9711086","Masahiro Nagashima","Masahiro Nagashima & Naoteru Gouda (Osaka University)","Effects of Merging Histories on Angular Momentum Distribution of Dark
  Matter Haloes","12 pages, 14 figures, LaTeX, to appear in MNRAS",,"10.1046/j.1365-8711.1998.02053.x","OU-TAP 62","astro-ph",,"  The effects of merging histories of proto-objects on the angular momentum
distributions of the present-time dark matter haloes are analysed. An
analytical approach to the analysis of the angular momentum distributions
assumes that the haloes are initially homogeneous ellipsoids and that the
growth of the angular momentum of the haloes halts at their maximum expansion
time. However, the maximum expansion time cannot be determined uniquely,
because in the hierarchical clustering scenario each progenitor, or subunit, of
the halo has its own maximum expansion time. Therefore the merging history of
the halo may be important in estimating its angular momentum. Using the merger
tree model by Rodrigues & Thomas, which takes into account the spatial
correlations of the density fluctuations, we have investigated the effects of
the merging histories on the angular momentum distributions of dark matter
haloes. It was found that the merger effects, that is, the effects of the
inhomogeneity of the maximum expansion times of the progenitors which finally
merge together into a halo, do not strongly affect the final angular momentum
distributions, so that the homogeneous ellipsoid approximation happens to be
good for the estimation of the angular momentum distribution of dark matter
haloes. This is because the effect of the different directions of the angular
momenta of the progenitors cancels out the effect of the inhomogeneity of the
maximum expansion times of the progenitors.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 09:45:51 GMT""},{""version"":""v2"",""created"":""Tue, 29 Sep 1998 12:32:39 GMT""}]","2009-10-30"
"astro-ph/9711087","Stephane Colombi","S. Colombi, I. Szapudi, A.S. Szalay","Effects of Sampling on Statistics of Large Scale Structure","24 pages, 9 figures, Latex (MN format), accepted for publication in
  MNRAS","Mon.Not.Roy.Astron.Soc. 296 (1998) 253-274","10.1046/j.1365-8711.1998.01291.x","CITA-97-18 and FERMILAB-PUB-97-260-A","astro-ph",,"  The effects of sampling are investigated on measurements of counts-in-cells
in three-dimensional magnitude limited galaxy surveys, with emphasis on moments
of the underlying smooth galaxy density field convolved with a spherical
window. A new estimator is proposed for measuring the k-th order moment < rho^k
>: the weighted factorial moment F_k[w], corrected for the effects of the
varying selection function.
  The cosmic error on the measurement of F_k[w] is computed via the the
formalism of Szapudi & Colombi (1996), which is generalized to include
selection effects. The integral equation for finding the minimum variance
weight is solved numerically, and an intuitive analytical approximation is
derived. The resulting estimator is more accurate than the traditional method
of counts-in-cells in volume limited samples, which discards useful
information. As a practical example we consider the case of the future Sloan
Digital Sky Survey.
  Optimal (sparse) sampling strategies for designing magnitude limited redshift
surveys are investigated as well. It is found that the optimal strategy depends
greatly on the statistics and scales considered.
  Finally we consider the issue of designing the geometry of a catalog, when it
covers only a small fraction of the sky.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 12:32:47 GMT""}]","2009-10-30"
"astro-ph/9711088","Uta Fritze-v. Alvensleben","Uta Fritze - v. Alvensleben, Oliver Kurth (Universit\""ats--Sternwarte,
  G\""ottingen, Germany)","Bright Star Clusters in the Antennae analysed with Evolutionary
  Synthesis","4 pages Latex, 2 POSTSCRIPT figures, using psfig and crckapb.sty To
  appear in the proceedings of IAU Symposium 186 `Interacting Galaxies at Low
  and High Redshift', August 18-22, Kyoto, Japan",,,,"astro-ph",,"  HST WFPC1 observations revealed 738 bright star clusters spread over the
inner 12 kpc of the interacting galaxy pair NGC 4038/39. If the young star
clusters (YSCs) formed in the global starburst are (proto-) globular or open
clusters has far-reaching consequences for the formation of elliptical
galaxies. Effective radii of the YSCs are difficult to measure on WFPC1 images,
their present luminosity function (LF) looks exponential. Evolutionary
synthesis models for star clusters of various metallicities are used to
individually age-date these clusters and describe their future luminosity and
color evolution. We identify a small but plausible number of old globular
clusters (GCs). Properly accounting for age spread effects significantly
changes the shape of the YSC LF from an exponential towards a Gaussian during
further evolution. This suggests that -- at least a major part of -- the YSCs
may well be GCs, implying that during a spiral-spiral merger+starburst the
specific GC frequency can increase significantly. Being preferentially observed
around those galactocentric radii where they formed, the YSCs serve as tracers
for the dynamical evolution of the global starburst in NGC 4038/39. We
tentatively report several radial trends in the YSCs' properties to be verified
by WFPC2 reobservations.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 11:37:55 GMT""}]","2007-05-23"
