"alg-geom/9711020","Kalle Karu","Kalle Karu","Semistable reduction in characteristic 0 for families of surfaces and
  three-folds","AMS-LaTeX, 7 pages",,,,"alg-geom math.AG",,"  Let F:X->B be a morphism of varieties in characteristic zero. The problem of
semistable reduction of F was stated as a problem in the combinatorics of
polyhedral complexes by Abramovich and Karu (alg-geom/9707012). In this paper
we solve the combinatorial problem when the relative dimension of F is not
bigger than 3.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 23:52:43 GMT""}]","2007-05-23"
"astro-ph/9711187","Roman Scoccimarro","Roman Scoccimarro","Transients from Initial Conditions: A Perturbative Analysis","37 pages, 10 figures","Mon.Not.Roy.Astron.Soc. 299 (1998) 1097","10.1046/j.1365-8711.1998.01845.x","CITA-97-42","astro-ph",,"  The standard procedure to generate initial conditions (IC) in numerical
simulations is to use the Zel'dovich approximation (ZA). Although the ZA
correctly reproduces the linear growing modes of density and velocity
perturbations, non-linear growth is inaccurately represented because of the ZA
failure to conserve momentum. This implies that it takes time for the actual
dynamics to establish the correct statistical properties of density and
velocity fields. We extend perturbation theory (PT) to include transients as
non-linear excitations of decaying modes caused by the IC. We focus on
higher-order statistics of the density contrast and velocity divergence,
characterized by the S_p and T_p parameters. We find that the time-scale of
transients is determined, at a given order p, by the spectral index n. The
skewness factor S_3 (T_3) attains 10% accuracy only after a=6 (a=15) for n=0,
whereas higher (lower) n demands more (less) expansion away from the IC. These
requirements become much more stringent as p increases. An Omega=0.3 model
requires a factor of two larger expansion than an Omega=1 model to reduce
transients by the same amount. The predicted transients in S_p are in good
agreement with numerical simulations. More accurate IC can be achieved by using
2nd order Lagrangian PT (2LPT), which reproduces growing modes up to 2nd order
and thus eliminates transients in the skewness. We show that for p>3 this
reduces the required expansion by more than an order of magnitude compared to
the ZA. Setting up 2LPT IC only requires minimal, inexpensive changes to ZA
codes. We suggest simple steps for its implementation.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 23:09:38 GMT""}]","2009-10-30"
"astro-ph/9711188",,"W. Bednarek (Dept. Experimental Physics, University of Lodz, Poland)","Inverse Compton scattering model for gamma-ray production in Mev blazars","4 pages, 4 figures, Latex, mn.sty, MNRAS in press","Mon.Not.Roy.Astron.Soc. 294 (1998) 439","10.1111/j.1365-8711.1998.01183.x",,"astro-ph",,"  It is proposed that the spectra of so called 'MeV blazars' can be explained
in terms of previously developed models of the external comptonization of
accretion disk radiation provided that the structure of the inner and outer
parts of the accretion disk is different. The electron acceleration is
saturated by the inverse Compton losses in the inner geometrically thick disk
and the outer geometrically thin disk at different maximum energies which
causes the appearance of two spectral components, one strongly peaked in the
MeV energy range and the second one of a power law type extending through the
GeV energy range. The spectra, computed in terms of such a simple geometrical
model, are in a good agreement with observations of the MeV blazar PKS0208-512.
They are consistent with the transient appearance of a strong MeV peak, the
power law spectrum in the EGRET energy range, and a possible cut-off at high
energies.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 16:23:31 GMT""}]","2020-11-25"
"astro-ph/9711189",,"W. Bednarek (Dept. Experimental Physics, University of Lodz, Poland)","Production of gamma-rays in blazars","16 pages, 1 figure, Latex, mem.sty, to appear in Proc. Frascati
  Workshop 1997, Mem. S.A.It",,,,"astro-ph",,"  Some aspects of theory of gamma-ray production in blazar type active galaxies
are discussed in the context of recent observations.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 16:29:06 GMT""}]","2007-05-23"
"astro-ph/9711190","Markus Landgraf","M. Landgraf and E. Gruen","In Situ Measurements of Interstellar Dust","4 pages and two figures",,"10.1007/BFb0104750","MPIK-97-11-001","astro-ph",,"  We present the mass distribution of interstellar grains measured in situ by
the Galileo and Ulysses spaceprobes as cumulative flux. The derived in situ
mass distribution per logarithmic size interval is compared to the distribution
determined by fitting extinction measurements. Large grains measured in situ
contribute significantly to the overall mass of dust in the local interstellar
cloud. The problem of a dust-to-gas mass ratio that contradicts cosmic
abundances is discussed.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 16:48:18 GMT""}]","2009-10-30"
"astro-ph/9711191","Douglas Heggie","D. C. Heggie, M. Giersz, R. Spurzem, K. Takahashi","Dynamical Simulations: Methods and Comparisons","6 pages, postscript, etc., also available at
  http://www.maths.ed.ac.uk/people/douglas/preprints.html To appear in Andersen
  J., ed, Highlights of Astronomy Vol. 11. Kluwer, Dordrecht. Pagination
  differs from that in published version",,,"MS-97-016","astro-ph",,"  We review recent progress in computational methods for studying the dynamical
evolution of large star clusters. After describing some highlights of a new
comparison of different models, including N-body models, we mention in detail
recent developments in three codes which allow models with anisotropic
distributions of velocity to be studied: (i) a Fokker-Planck code using finite
differences, (ii) a Monte Carlo code and (iii) a gaseous model code.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 19:53:42 GMT""}]","2007-05-23"
"astro-ph/9711192","Nicole Marie Lloyd","Nicole M. Lloyd-Ronning and Vahe' Petrosian","The Extent of the Spectral Bias in BATSE: The True Distribution of the
  nu F_nu Peak Energy","5 pages, 3 postscript figures. To appear in the proceedings of the
  4th Huntsville Gamma Ray Burst Symposium, C.A.Meegan, P.Cushman, eds",,"10.1063/1.55399",,"astro-ph",,"  The distributions of spectral characteristics and their correlations with
fluence, peak flux, or duration, are essential in understanding the nature of
GRBs. However, the selection effects involved in detecting GRBs can distort
these distributions. Here, we discuss how to deal with selection effects
involving the peak energy E_p of the GRB nu F_nu spectrum, which suffers from
both an upper and lower threshold. We describe a new method to account for this
double-sided truncation, and show that the true distribution of E_p is
significantly different from the observed distribution.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 18:34:29 GMT""}]","2018-11-06"
"astro-ph/9711193","Nicole Marie Lloyd","Vahe' Petrosian and Nicole M. Lloyd-Ronning","Distribution of Fluences versus Peak Fluxes and the Cosmological Density
  Evolution of the Rate of GRBs","5 pages, 4 postscript figures. To appear in the proceedings of the
  4th Huntsville Gamma Ray Burst Symposium, C.A.Meegan, P.Cushman, eds",,"10.1063/1.55349",,"astro-ph",,"  We argue that recent observations of afterglows and some theoretical
considerations indicate that the gamma-ray fluence may be a better measure of
strength of a burst than its peak flux. We discuss how the distribution of the
fluence, or any physical quantity related to the peak counts (or flux), can be
obtained with proper correction for threshhold effects. Using this method, we
compare the cumulative and differential distributions of flux and fluence. We
find some differences between these distributions, but more remarkable are the
similarities between the distributions. The other striking feature is how
different these distributions are from those of other extragalactic objects.
Using the fluence distributions, we derive the expected comoving density rate
evolution for different assumed total luminosity; we compare this with the GRB
rate expected from the recently determined star formation rate.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 18:41:14 GMT""}]","2018-11-06"
"astro-ph/9711194","Kim Eunhyeuk","Myung Gyoon Lee (1), Eunhyeuk Kim (1), and Doug Geisler (2) ((1) Seoul
  National University, (2) KPNO/NOAO)","Washington Photometry of the Globular Cluster System of NGC 4472. II.
  The Luminosity Function and Spatial Structure","28 Pages (AASLaTeX), 9 Postscript figures, Accepted for publicaion in
  the Astronomical Journal, Mar. 31st, 1998",,"10.1086/300249","SNU-ASTRO-97-008","astro-ph",,"  We present a comprehensive study of the luminosity function and spatial
structure of the globular cluster system of NGC 4472, based on deep wide field
Washington CT1 CCD images. The globular cluster luminosity function shows a
peak at T1=23.3 +/- 0.1 mag, about 1.5 mags brighter than our 50% completeness
limit. We estimate the true distance modulus to NGC 4472 to be (m-M)o = 31.2
+/- 0.2. With our large sample (~ 2000) of bright globular clusters over a wide
field, we make a definitive investigation of the spatial structures of the
metal-poor and metal-rich cluster populations and find that they are
systematically different: (1) The metal-rich clusters are more centrally
concentrated than the metal-poor clusters; and (2) The metal-rich clusters are
elongated roughly along the major axis of the parent galaxy, while the
metal-poor clusters are essentially spherically distributed. In general, the
metal-rich clusters closely follow the underlying halo starlight of NGC 4472 in
terms of spatial structure and metallicity, while the metal-poor clusters do
not. The global value of the specific frequency of the globular clusters in NGC
4472 is estimated to be S_N = 4.7 +/- 0.6. The local specific frequency
increases linearly outward from the center of NGC 4472 until ~ 5'.5, beyond
which it levels off at S_N ~ 8.5 until the limit of our data at 7'. The
specific frequency of both the metal-rich and metal-poor populations shows
similar behavior. However, S_N of the metal-poor clusters is about a factor 2
larger than that of the metal-rich clusters in the outer regions. Implications
of these results for the origin of the globular clusters in NGC 4472 are
discussed.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 06:58:13 GMT""},{""version"":""v2"",""created"":""Fri, 21 Nov 1997 02:05:35 GMT""}]","2009-10-30"
"astro-ph/9711195","Michel Boer","Michel Bo\""er, J.L. Atteia, M. Bringer, A. Klotz, C. Peignot (CESR,
  Toulouse, France), R. Malina, P. Sanchez (LAS, Marseille, France), H.
  Pedersen (CUO, Copenhagen, Denmark), G. Calvet, J. Eysseric, A. Leroy, M.
  Meissonier (INSU - DT, Paris, France), C. Pollas, J. de Freitas Pacheco (OCA,
  Nice, France)","TAROT: A status report","5 pages. To appear in the proceedings of the 4th Huntsville Gamma-Ray
  Burst Symposium, eds C.A. Meegan and P. Cushman",,"10.1063/1.55440",,"astro-ph",,"  TAROT-1 is an automatic, autonomous ground based observatory whose primary
goal is the rapid detection of the optical counterparts of cosmic gamma-ray
burst sources. It will be able to begin imaging any GRB localization 8 seconds
after receipt of an alert from CGRO/BATSE or HETE-2. TAROT-1 will reach the
17th V magnitude in 10 seconds, at a 10$\sigma$ confidence level. TAROT will be
able to observe GRB positions given by Beppo-SAX or RXTE, EUV transients from
ALEXIS alerts, etc. TAROT will also study a wide range of secondary objectives
and will feature a complete automatic data analysis system, and a powerful
scheduling software. TAROT will be installed this fall on the Plateau du
Calern, 1200m above sea level. We report on the status of the project.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 08:02:21 GMT""}]","2009-10-30"
"astro-ph/9711196","Georg Raffelt","A.Kopf (MPA Garching) and G.Raffelt (MPP Munich)","Photon Dispersion in a Supernova Core","8 pages, REVTEX, 7 postscript figures included","Phys.Rev. D57 (1998) 3235-3241","10.1103/PhysRevD.57.3235","MPI-PTh/97-73","astro-ph hep-ph",,"  While the photon forward-scattering amplitude on free magnetic dipoles (e.g.
free neutrons) vanishes, the nucleon magnetic moments still contribute
significantly to the photon dispersion relation in a supernova (SN) core where
the nucleon spins are not free due to their interaction. We study the frequency
dependence of the relevant spin susceptibility in a toy model with only
neutrons which interact by one-pion exchange. Our approach amounts to
calculating the photon absorption rate from the inverse bremsstrahlung process
gamma n n --> n n, and then deriving the refractive index n_refr with the help
of the Kramers-Kronig relation. In the static limit (omega --> 0) the
dispersion relation is governed by the Pauli susceptibility chi_Pauli so that
(n_refr)^2-1 approx chi_Pauli > 0. For omega somewhat above the neutron
spin-relaxation rate Gamma_sigma we find (n_refr)^2-1< 0, and for omega >>
Gamma_sigma the photon dispersion relation acquires the form
omega^2-k^2=(m_gamma)^2. An exact expression for the ""transverse photon mass""
m_gamma is given in terms of the f-sum of the neutron spin autocorrelation
function; an estimate is (m_gamma)^2 approx chi_Pauli T Gamma_sigma. The
dominant contribution to n_refr$ in a SN core remains the electron plasma
frequency so that the Cherenkov processes gamma nu <--> nu remain forbidden for
all photon frequencies.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 13:17:08 GMT""}]","2009-10-30"
