"alg-geom/9711021","Gerard Laumon","G. Laumon and M. Rapoport","A geometric approach to the fundamental lemma for unitary groups","44 pages, Plain TeX",,,"Preprint Mathematisches Institut der Universitaet zu Koeln 11-97","alg-geom math.AG",,"  We consider from a geometric point of view the conjectural fundamental lemma
of Langlands and Shelstad for unitary groups over a local field of positive
characteristic. We introduce projective algebraic varieties over the finite
residue field $k$ and interpret the conjecture in this case as a remarkable
identity between the number of $k$-rational points of them. We prove the
corresponding identity for the numbers of $k_f$-rational points, for any
extension of even degree $f$ of $k$. The proof uses the local intersection
theory on a regular surface and Deligne's theory of intersection multiplicities
with weights. We also discuss a possible descent argument that uses $\ell$-adic
cohomology to treat extensions of odd degree as well.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 09:08:53 GMT""}]","2007-05-23"
"alg-geom/9711022","Francisco Jose Plaza Martin","J. M. Mu\~noz Porras, F. J. Plaza Mart\'in","Equations of the moduli of pointed curves in the infinite Grassmannian","Final version to appear in Journal of Differential Geometry. Some
  mistakes involving addition formulas for points of arbitrary connected
  components of $\gr(V)$ have been removed. 35 pages. LaTeX",,,,"alg-geom hep-th math.AG",,"  The main result of this paper is the explicit computation of the equations
defining the moduli space of triples $(C,p,z)$ (where $C$ is an integral and
complete algebraic curve, $p$ a smooth rational point and $z$ a formal
trivialization around $p$) in the infinite Grassmannian of $k((t))$. This is
achieved by introducing infinite Grassmannians, tau and Baker-Ahkiezer
functions algebraically and by proving an Addition Formula for tau functions.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 09:41:37 GMT""},{""version"":""v2"",""created"":""Wed, 24 Feb 1999 12:28:12 GMT""}]","2016-08-15"
"astro-ph/9711203","John Hughes","John P. Hughes (Rutgers University), Mark Birkinshaw (Bristol
  University)","Another X-ray-Discovered Poor Cluster of Galaxies Associated with CL
  0016+16","16 pages, including 3 postscript figs, LaTeX. To appear in ApJ",,"10.1086/305512","Rutgers Astrophysics Preprint Series No. 211","astro-ph",,"  We report optical spectroscopic observations of RX J0018.8+1602, a ROSAT
X-ray source proposed to be an intermediate redshift cluster of galaxies. Our
observations confirm the identification of RX J0018.8+1602 and provide
measurements of its mean radial velocity (z=0.5406 +/- 0.0006) and velocity
dispersion (sigma_p = 200 [+110, -80] km/s). This is the second poor cluster
that has been found to be a companion to CL 0016+16 (z=0.5455), the other one
being RX J0018.3+1618 (z=0.5506). The 0.2-2 keV band source-frame X-ray
luminosity summed over both companion clusters is 5E44 ergs/s, which is a
significant fraction, ~23%, of the X-ray luminosity of the main cluster. The
companions are located at angular distances of 10 arcmin to 25 arcmin (minimum
physical scales of 5 Mpc to 12 Mpc) from CL 0016+16 and we propose that they
represent a new large-scale component of the X-ray emission from clusters of
galaxies. Similar low X-ray luminosity poor clusters surrounding nearby Abell
clusters can explain the excess power observed in the angular cross-correlation
function between Abell clusters and the X-ray background on inferred physical
scales of 14--20 Mpc (Soltan et al. 1996).
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 16:38:10 GMT""}]","2009-10-30"
"astro-ph/9711204","Heinz Voelk","H.J. Volk (MPI Kernphysik, Heidelberg)","Particle Acceleration and Gamma-Ray Production in Shell Remnants","22 pages, 7 Postscript figures, uses Latex style file created by
  Conrad Steenberg, to appear in Kruger Park Workshop Proceedings: 1997",,,"MPI H-V 39-1997","astro-ph",,"  A number of nearby Northern Hemisphere shell-type Supernova Remnants (SNRs)
has been observed in TeV gamma rays, but none of them could be detected so far.
This failure calls for a critical reevaluation of the theoretical arguments for
gamma-ray emission of SNRs. The present paper discusses diffusive shock
acceleration in shell-type SNRs in full kinetic theory. Emphasis is also given
to the possible problems for VHE gamma-ray production due to the environmental
conditions a SN progenitor finds itself in. Observational upper limits are
compared with theoretical predictions for the gamma-ray flux. Empirical
arguments from the observation of X-ray power law continua for electron-induced
Inverse Compton gamma-ray emission at TeV energies are discussed in their
relation to the nucleonic Pi-zero decay emission from the same objects.
Finally, a point is made for the simplest case of SNe Ia, expected to explode
in a uniform circumstellar medium. Here in particular the very recently
detected Southern Hemisphere remnant of SN 1006 is compared with Tycho's SNR.
On the basis of the assumed parameters for the two remnants SN 1006 is
tentatively identified with a remnant whose TeV gamma-ray emission is dominated
by Inverse Compton radiation. Tycho might be dominantly a Pi-zero decay
gamma-ray source.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 16:58:29 GMT""}]","2007-05-23"
"astro-ph/9711205","Zdenka Kuncic","Z. Kuncic (1,2), G. V. Bicknell (1,2), M. A. Dopita (2) (1 Anuatc, 2
  Mssso)","Induced Compton Scattering in Gigahertz Peak Spectrum Sources","12 pages, 1 figure, AAS LaTeX style with epsf, to appear in ApJ
  Letters",,"10.1086/311202",,"astro-ph",,"  We revisit the shocked shell model for the class of Active Galactic Nuclei
known as Gigahertz Peak Spectrum sources, incorporating new observational data
on the radiation brightness temperatures. We argue that in addition to
free-free absorption, induced Compton scattering will also have an important
effect in forming the ~GHz peak and in shaping the radio spectra that
characterize these sources. Indeed, our arguments suggest that GPS sources may
provide the first real evidence for the role of induced Compton scattering in
extragalactic radio sources.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 17:49:40 GMT""}]","2009-10-30"
"astro-ph/9711206","Luigi Guzzo","Luigi Guzzo (Osservatorio Astronomico di Brera)","Is the Universe Homogeneous? (On Large Scales)","27 pages, New Astronomy, in press (2, 517). Full html version
  available at http://pigeon.elsevier.nl/journals/newast/jnl/menu.htm .
  Original colour figures available also at
  ftp://antares.merate.mi.astro.it/pub/guzzo/NA",,"10.1016/S1384-1076(97)00037-7","OAB-LG-97-rev.2","astro-ph",,"  I critically discuss in a pedagogical and phenomenological way a few crucial
tests challenging the claims by Pietronero and collaborators that there is no
evidence from available galaxy catalogues that the Universe is actually
homogeneous above a certain scale. In a series of papers, these authors assert
that observations are consistent with a fractal distribution of objects
extending to the limit of the present data. I show that while galaxies are
indeed clustered in a scale-free way on small and intermediate scales, this
behaviour does not continue indefinitely. Although the specific wavelength at
which the galaxy distribution apparently turns to homogeneity is dangerously
close to the size of the largest samples presently available, there are serious
hints suggesting that this turnover is real and that its effects are detected
in the behaviour of statistical estimators. The most recent claims of a
continuing fractal hierarchy up to scales of several hundreds Mpc seem to be
abscribable to the use of incomplete samples or to an improper treatment of
otherwise high- quality data sets. The fractal perspective, nevertheless, can
represent a fruitful way to look at the clustering properties of galaxies, when
properly coupled to the traditional gravitational instability scenario. In the
last part of this paper I therefore try to clarify, at a very simple level,
some of the confusion existing on the actual scaling properties of the galaxy
distribution. In this context, I shall discuss how these can provide hints on
the evolution of the large-scale structure of the Universe, when one properly
takes into account the effect of both initial conditions and nonlinear
gravitational growth in producing the presently observed distribution.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 17:38:46 GMT""}]","2009-10-30"
"astro-ph/9711207","Jochen Greiner","J. Greiner (Astrophys. Inst. Potsdam, Germany)","Rapid ROSAT Observations of small Gamma-Ray Burst Error Boxes","5 pages, LATEX with aipproc.sty, incl. 2 Figs., to appear in Proc. of
  of the 4th Huntsville Gamma Ray Burst Symposium, Sep. 15-20, 1997, eds. C.A.
  Meegan et al., AIP; email jgreiner@aip.de",,"10.1063/1.55359",,"astro-ph",,"  I summarize the use of the ROSAT satellite over the last months for the
investigation of well localized GRB error boxes. In particular, I report about
the attempts for and results of quick follow-up observations (including the
GRBs localized with BeppoSAX and RXTE) with ROSAT with its capability to
achieve 10 arcsec locations of X-ray afterglow sources.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 19:29:40 GMT""}]","2009-10-30"
"astro-ph/9711208","John Feldmeier","John J. Feldmeier (1), Robin Ciardullo (1), Roger Bartlett (1), and
  George H. Jacoby (2) ((1)Penn State University, (2) Kitt Peak National
  Observatory)","Intracluster Stars and the Galactic Halos of Virgo","8 pages, 4 figures; LaTeX; paspconf.sty and epsf.sty included. To
  appear in the Proceedings of the UC Santa Cruz Workshop on Galactic Halos
  (ed. D. Zaritsky)",,,,"astro-ph",,"  Planetary nebulae can be useful dynamical probes of elliptical galaxy halos,
but progress thus far has been hampered by the small data samples available for
study. In order to obtain a large sample of planetary nebulae for dynamical
analysis, we have re-observed the giant elliptical galaxy M87 in the center of
the Virgo Cluster. Surprisingly, we find that the M87 sample is contaminated by
a significant fraction of intracluster objects. Follow up observations of three
blank fields in the cluster confirm that a significant fraction of Virgo's
starlight is intracluster. We discuss the implications of intracluster stars
for studies of galaxy halos in clusters.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 19:55:43 GMT""}]","2007-05-23"
"astro-ph/9711209","Michael S. Vogeley","Michael S. Vogeley (Princeton University Observatory)","Fluctuations in the Extragalactic Background Light: Analysis of the
  Hubble Deep Field","27 pages, including 4 postscript figures. Uses AAS LATeX style
  aasms4. Submitted to The Astrophysical Journal",,,"POPe-738","astro-ph",,"  (Abridged) Statistical analysis of the unresolved light in the Hubble Deep
Field (HDF) strongly constrains possible sources of the optical Extragalactic
Background Light (EBL). To test for the statistical signature of previously
undetected sources, we estimate the auto, cross, and color correlations of the
``sky'' in the HDF that remains after masking objects brighter than I=30 mag.
This measurement yields the most stringent limits to date on small-scale
structure in the night sky; analysis of shallower imaging would be dominated by
galaxies now detected by the HDF. Unless there is a truly uniform optical
background, the mean EBL is likely to be within a small fraction of the surface
brightness from detected galaxies. No currently plausible sources of additional
EBL satisfy the constraints that they (1) would not have already been detected,
(2) contribute EBL comparable to that from detected galaxies, and (3) do not
produce EBL fluctuations in excess of the upper limits set by correlations in
the HDF.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 20:01:43 GMT""}]","2007-05-23"
"astro-ph/9711210","Gregory A. Shields","Gregory A. Shields (1), Lance Wobus (2), Dirk Husfeld (2) ((1) Univ.
  Texas Austin, (2) Munich Univ. Observ.)","Accretion Disks and the Lyman Continuum Polarization of QSOs","24 pages incl. 9 PostScript figures. Uses aaspp4.sty and flshrt.sty.
  To be published in The Astrophysical Journal, Vol. 496 (1988 April 1)",,"10.1086/305416",,"astro-ph",,"  HST observations of some QSOs show a strong, abrupt increase in polarization
at rest wavelength about 750 A, suggestive of a connection with the Lyman edge
of hydrogen. Blaes and Agol (1996) have proposed an explanation in terms of
stellar atmosphere effects in an accretion disk around a supermassive black
hole. We have computed the polarized spectrum of a such a disk, including the
effects of the relativistic transfer function. Relativistic effects add an
additional blueshift of the polarization rise sufficient that the model cannot
explain the observations.
  A good fit results if the emitted radiation is assumed to have a sharp
increase in polarized flux at the Lyman edge in the rest frame of the orbiting
gas. Relativistic effects then cause the observed polarization to rise sharply
at a wavelength substantially less than 912 A. The blueshift depends on the
angular momentum of the black hole and the inclination of the disk. A good fit
to PG 1630+377 results from a simple model with a dimensionless angular
momentum a = 0.5 and an observer viewing angle cos theta = 0.1. An intermediate
value of a might result from coallescing black holes, successive accretion
events, or electromagnetic extraction of angular momentum from the hole.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 20:51:56 GMT""}]","2009-10-30"
"astro-ph/9711211","Matthew Baring","Matthew G. Baring and Alice K. Harding","A New Class of Radio Quiet Pulsars","5 pages, including 1 eps figure, to appear in Proc. 4th Compton
  Symposium, (1997) ed. Dermer, C. D. & Kurfess, J. D. (AIP, New York)",,"10.1063/1.53991",,"astro-ph",,"  The complete absence of radio pulsars with periods exceeding a few seconds
has lead to the popular notion of the existence of a high $P$ death line. In
the standard picture, beyond this boundary, pulsars with low spin rates cannot
accelerate particles above the stellar surface to high enough energies to
initiated pair cascades through curvature radiation, and the pair creation
needed for radio emission is strongly suppressed. In this paper we postulate
the existence of another pulsar ``death line,'' corresponding to high magnetic
fields $B$ in the upper portion of the $\dot{P}$--$P$ diagram, a domain where
few radio pulsars are observed. The origin of this high $B$ boundary, which
occurs when $B$ becomes comparable to or exceeds $10^{13}$ Gauss, is again due
to the suppression of magnetic pair creation $\gamma\to e^+e^-$, but in this
instance, primarily because of ineffective competition with the exotic QED
process of magnetic photon splitting. This paper describes the origin, shape
and position of the new ``death line,'' above which pulsars are expected to be
radio quiet, but perhaps still X-ray and $\gamma$-ray bright.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 23:04:50 GMT""}]","2009-10-30"
