"alg-geom/9711029","Terutake Abe","Terutake Abe (Johns Hopkins University)","Classification of Exceptional Complements: Elliptic Curve Case","LaTeX2e, 14 pages, with 24 postscript figures",,,,"alg-geom math.AG",,"  We classify the log del Pezzo surface (S,B) of rank 1 with no 1-,2-,3-,4-, or
6-complements with the additional condition that B has one irreducible
component C which is an elliptic curve, and that C has the coefficient b in B
with (1/n)floor((n+1)b)=1 for n=1,2,3,4, and 6.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 01:11:38 GMT""}]","2007-05-23"
"alg-geom/9711030","Vicente Munoz Velazquez","Vicente Mu\~noz","Quantum cohomology of the moduli space of stable bundles over a Riemann
  surface","15 pages, LaTeX2e, no figures",,,,"alg-geom dg-ga math.AG math.DG",,"  We determine the quantum cohomology of the moduli space of odd degree rank
two stable vector bundles over a Riemann surface $\Sigma$ of any genus. This
work together with dg-ga/9710029 prove that this quantum cohomology is
isomorphic to the instanton Floer cohomology of the three manifold $\Sigma
\times S^1$. (Note: There is some overlap with the previous paper:
alg-geom/9711013).
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 13:11:29 GMT""}]","2007-05-23"
"astro-ph/9711277","Michal Hanasz","M. Hanasz (Centre for Astronomy, Nicolaus Copernicus University,
  Piwnice/Torun, Poland)","The galactic dynamo effect due to Parker-shearing instability of
  magnetic flux tubes. II. Numerical simulations and the nonlinear evolution","LaTeX, 13 pages, 15 ps figures, uses l-aa.sty and epsf.sty. Published
  in Astronomy & Astrophysics, 327, 813",,,,"astro-ph",,"  In this paper we continue investigations of the Parker-shearing instability
performing numerical simulations of the magnetic flux tube dynamics in the thin
flux-tube approximation. We show that evolution of flux tubes resulting from
numerical simulations is very similar to that of linear solutions if the
vertical displacements are smaller than the vertical scale height $H$ of the
galactic disc. If the vertical displacements are comparable to $H$, the
vertical growth of perturbations is faster in the nonlinear range than in the
linear one and we observe a rapid inflation of the flux tube at its top, which
leads to a singularity in numerical simulations, if only the cosmic rays are
taken into account. Then we perform simulations for the case of nonuniform
external medium, which show that the dominating wavelength of the Parker
instability is the same as the wavelength of modulations of external medium. As
a consequence of this fact, in the case of dominating cosmic ray pressure, the
dynamo $\alpha$ effect related to these short wavelength modulations is much
more efficient than that related to the linearly most unstable long wavelengths
modes of the Parker instability. Under the influence of differential forces
resulting from differential rotation and the density waves, the $\alpha$-effect
is essentially magnified in the spiral arms and diminished in the interarm
regions, what confirms our previous results obtained in the linear
approximation.
","[{""version"":""v1"",""created"":""Sun, 23 Nov 1997 19:50:42 GMT""}]","2007-05-23"
"astro-ph/9711278","Bodo Ziegler","R. Bender, R.P. Saglia, B. Ziegler, L. Greggio and U. Hopp
  (Universit\""atssternwarte M\""unchen)","Luminous Cluster Ellipticals as Cosmological Standard Rods?","6 pages, including 2 eps-figures, Latex, uses sprocl.sty, to appear
  in Proceedings of the 12th Potsdam Cosmology Workshop, ""Large Scale
  Structure: Tracks and Traces"", Edt.: V. M\""uller, World Scientific",,,,"astro-ph",,"  We explore the possibility to calibrate massive cluster ellipticals as
cosmological standard rods. The method is based on the Fundamental Plane
relation combined with a correction for luminosity evolution which is derived
from the Mg$-\sigma$ relation. Principle caveats and sources of major errors
are briefly discussed.
  We apply the described procedure to nine elliptical galaxies in two clusters
at $z=0.375$ and derive constraints on the cosmological model. For the best
fitting $\Lambda$-free cosmological model we obtain: $q_o \approx 0.1$, with
90% confidence limits being $0 < q_o < 0.7$ (the lower limit being due to the
presence of matter in the Universe). If the inflationary scenario applies
(i.e., space has flat geometry), then, for the best fitting model, matter and
$\Lambda$ contribute about equally to the critical cosmic density (i.e.
$\Omega_m \approx \Omega_\Lambda \approx 0.5$). With 90% confidence
$\Omega_\Lambda$ should be smaller than 0.9.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 10:17:12 GMT""}]","2007-05-23"
"astro-ph/9711279","Filippo Frontera","F. Frontera, E. Costa, L. Piro, J. M. Muller, L. Amati, M. Feroci, F.
  Fiore, G. Pizzichini, M. Tavani, A. Castro-Tirado, G. Cusumano, D. Dal Fiume,
  J. Heise, K. Hurley, L. Nicastro, M. Orlandini, A. Owens, E. Palazzi, A. N.
  Parmar, J. in 't Zand, G. Zavattini","Spectral Properties of the Prompt X-ray emission and Afterglow from the
  Gamma-Ray Burst of 28 February 1997","12 pages, 4 figures Accepted for publication in ApJ Letters",,"10.1086/311132",,"astro-ph",,"  We report high-energy spectral data of the prompt emission of GRB970228 and
its X-ray afterglow. We establish that the nature of the X-ray afterglow
emission is non-thermal and similar to the later portion of GRB970228. Our data
can be used to discriminate different emission models of GRB afterglows. While
cooling of excited compact objects can be ruled out, fireball models are
constrained in the physics of the radiation emission processes and their
evolution.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 10:46:22 GMT""}]","2009-10-30"
"astro-ph/9711280","Jochen Greiner","Jochen Greiner, Robert Schwarz (both Astrophys. Institute Potsdam,
  Germany), Wolfgang Wenzel (Sonneberg)","Discovery of the high-field polar RX J1724.0+4114","6 pages, LATEX with mn.sty, incl 4 Figs., to appear in MNRAS;
  jgreiner@aip.de",,"10.1046/j.1365-8711.1998.01469.x",,"astro-ph",,"  We report the discovery of a new AM Herculis binary (polar) as the optical
counterpart of the soft X-ray source RX J1724.0+4114 detected during the ROSAT
all-sky survey. The magnetic nature of this V~17 mag object is confirmed by
low-resolution spectroscopy showing strong Balmer and HeII emission lines
superimposed on a blue continuum which is deeply modulated by cyclotron humps.
The inferred magnetic field strength is 50+/-4 MG (or possibly even ~70 MG).
Photometric observations spanning ~3 years reveal a period of 119.9 min, right
below the period gap. The morphology of the optical and X-ray light curves
which do not show eclipses by the secondary star, suggests a self-eclipsing
geometry. We derive a lower limit of d~250 pc.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 15:29:51 GMT""}]","2009-10-30"
"cond-mat/9711238","Yao-Zhong Zhang","Yao-Zhong Zhang and Huan-Qiang Zhou","New integrable boundary conditions for the q-deformed supersymmetric U
  model and Bethe ansatz equations","A few words added; the version to appear in Phys. Lett. A","Phys. Lett. A244 (1998) 427-431","10.1016/S0375-9601(98)00349-1","University of Queensland preprint","cond-mat.str-el cond-mat.stat-mech",,"  New classes of integrable boundary conditions for the q-deformed (or
two-parameter) supersymmetric U model are presented. The boundary systems are
solved by using the coordinate space Bethe ansatz technique and Bethe ansatz
equations are derived.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 01:24:05 GMT""},{""version"":""v2"",""created"":""Sun, 5 Apr 1998 00:54:21 GMT""}]","2009-10-30"
"cond-mat/9711239","Yu Yue","Yue Yu and Wan-Peng Tan","Phase Structures of Magnetic Impurity Models with Two-Body Hybridization","18 pages, revtex, 3 figures in latex version, to be published in PRB",,"10.1103/PhysRevB.57.5879",,"cond-mat",,"  The most general model with a magnetic impurity coupled to hybridizing and
screening channels of a conduction band is considered. The partition function
of the system is asymptotically equivalent to that of the multi-component kink
plasma with a weak external field. The scaling properties of the models for
finite $U$ are sketched by using the Anderson-Yuval-Hamann-Cardy poor man's
scaling theory. We point out that it is proper to include a two-body
hybridization in order to obtain correct renormalization flows. The phase
structures are studied graphically for the general model and various reduced
models. A Fermi-non-Fermi liquid phase transition is found for all the models.
We also show all possible phases with different finite temperature behaviors
though they have the same Fermi liquid fixed point at low temperature. We also
discuss the fixed point behaviors in the mixed valence state regime.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 07:28:01 GMT""}]","2009-10-30"
"cond-mat/9711240","Epameinondas Leontidis","Stavros Theodorakis (Dept. of Natural Sciences, University of Cyprus)","Analytic vortex solutions in an unusual Mexican hat potential","4 pages and 1 figure (missing in this version)","Phys. Rev. E 56 (1997) 4809-4812","10.1103/PhysRevE.56.4809",,"cond-mat",,"  We introduce an unusual Mexican hat potential, a piecewise parabolic one, and
we show that its vortex solutions can be found analytically, in contrast to the
case of the standard Psi^4 field theory.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 08:12:35 GMT""}]","2009-10-30"
"cond-mat/9711243","Andreas Voigt","J. Richter, A. Voigt, J. Schulenburg (1), N. B. Ivanov (2), and R.
  Hayn (3) ((1) University of Magdeburg, Germany; (2) Bulgarian Academy of
  Sciences; (3) University of Dresden, Germany)","Magnetic model for Ba_2Cu_3O_4Cl_2","6 pages, LaTeX, 3 eps figures, to appear in JMMM","JMMM 177-181 (1998) p. 737-738","10.1016/S0304-8853(97)00283-7",,"cond-mat.stat-mech",,"  Ba_2Cu_3O_4Cl_2 consists of two types of copper atoms, Cu(A) and Cu(B). We
study the corresponding Heisenberg model with three antiferromagnetic
couplings, J_AA, J_BB and J_AB. We find interesting frustration effects due to
the coupling J_AB.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 10:18:33 GMT""}]","2015-06-25"
"cond-mat/9711244","Anatolii O. Anokhin","A.O. Anokhin, M.I. Katsnelson (Institute of Metal Physics,
  Ekaterinburg, Russia)","On the phonon-induced superconductivity of disordered alloys","59 pages, 10 Eps figures, LaTeX","Int.Journ.Mod.Phys. B v.10, 2469-2529 (1996)","10.1142/S0217979296001112",,"cond-mat.supr-con",,"  A model of alloy is considered which includes both quenched disorder in the
electron subsystem (``alloy'' subsystem) and electron-phonon interaction. For
given approximate solution for the alloy part of the problem, which is assumed
to be conserving in Baym's sense, we construct the generating functional and
derive the Eliashberg-type equations which are valid to the lowest order in the
adiabatic parameter.The renormalization of bare electron-phonon interaction
vertices by disorder is taken into account consistently with the approximation
for the alloy self-energy. For the case of exact configurational averaging the
same set of equations is established within the usual T-matrix approach. We
demonstrate that for any conserving approximation for the alloy part of the
self-energy the Anderson's theorem holds in the case of isotropic singlet
pairing provided disorder renormalizations of the electron-phonon interaction
vertices are neglected. Taking account of the disorder renormalization of the
electron-phonon interaction we analyze general equations qualitatively and
present the expressions for $T_{c}$ for the case of weak and intermediate
electron-phonon coupling. Disorder renormalizations of the logarithmic
corrections to the effective coupling, which arise when the effective
interaction kernel for the Cooper channel has the second energy scale, as well
as the renormalization of the dilute paramagnetic impurity suppression are
discussed.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 12:33:39 GMT""}]","2015-06-25"
