"alg-geom/9712008","Bumsig","Bumsig Kim (University of California - Davis)","Quantum Hyperplane Section Theorem For Homogeneous Spaces","24 pages, LaTeX 2e. The presentation is improved a lot",,,,"alg-geom math.AG",,"  We formulated a mirror-free approach to the mirror conjecture, namely,
quantum hyperplane section conjecture, and proved it in the case of nonnegative
complete intersections in homogeneous manifolds. For the proof we followed the
scheme of Givental's proof of a mirror theorem for toric complete
intersections.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 21:07:48 GMT""},{""version"":""v2"",""created"":""Tue, 16 Dec 1997 23:46:55 GMT""},{""version"":""v3"",""created"":""Fri, 2 Jan 1998 05:55:25 GMT""}]","2007-05-23"
"astro-ph/9712085","Mariano Mendez","M. Mendez, M. van der Klis, J. van Paradijs (University of Amsterdam),
  W.H.G. Lewin (MIT), B.A. Vaughan (Caltech), E. Kuulkers (University of
  Oxford), W. Zhang (NASA/GSFC), F. K. Lamb (University of Illinois), D.
  Psaltis (Harvard/CfA)","Discovery of a second kHz QPO peak in 4U 1608-52","To appear in ApJL. AAS LaTex v4.0 (9 pages, 2 ps-figures)",,"10.1086/311162",,"astro-ph",,"  Using a new technique to improve the sensitivity to weak Quasi-Periodic
Oscillations (QPO) we discovered a new QPO peak at about 1100 Hz in the March
1996 outburst observations of 4U 1608-52, simultaneous with the ~ 600-900 Hz
peak previously reported from these data. The frequency separation between the
upper and the lower QPO peak varied significantly from $232.7 \pm 11.5$ Hz on
March 3, to $293.1 \pm 6.6$ Hz on March 6. This is the first case of a variable
kHz peak separation in an atoll source. We discuss to what extent this result
could be accommodated in beat-frequency models such as proposed for the kHz
QPOs. We measured the rms fractional amplitude of both QPOs as a function of
energy, and we found that the relation is steeper for the lower than for the
upper frequency peak. This is the first source where such difference between
the energy spectrum of the two kHz QPOs could be measured.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 17:53:49 GMT""}]","2009-10-30"
"astro-ph/9712086","Adam Somers Trotter","Adam S. Trotter, Lincoln J. Greenhill, James M. Moran, Mark J. Reid,
  Judith A. Irwin and Kwok-Yung Lo","Water maser emission and the parsec-scale jet in NGC 3079","31 pages, includes 8 figures. To appear in ApJ, Vol 495, 10 March
  1998. Full-resolution figures and color plate available at
  http://cfa-www.harvard.edu/~trotter/ngc3079.html",,"10.1086/305335","CfA Preprint #4623","astro-ph",,"  We have conducted VLBI observations of water maser and radio continuum
emission in the nucleus of NGC 3079. The 22 GHz maser emission arises in
compact clumps, distributed along an axis that is aligned with the major axis
of the galactic disk. The velocities of the masers are consistent with their
lying in the inner parsec of a molecular disk rotating in the same sense as the
rest of the galaxy. However, the velocity field has a significant
non-rotational component, which may indicate supersonic turbulence. The bright
maser emission is not coincident with any detected compact 22 GHz continuum
source, suggesting the high apparent luminosity of the maser may not due to
beamed amplification of continuum emission. We observed two compact continuum
sources that have inverted spectra between 5 and 8 GHz, and steep spectra
between 8 and 22 GHz. NGC 3079 may be a nearby, low-luminosity example of the
class of compact symmetric gigahertz-peaked spectrum (GPS) radio sources. We
detected a third continuum component that lies along the same axis as the other
two, strongly suggesting that this galaxy possesses a nuclear jet. Faint maser
emission was detected near this axis, which may indicate a second population of
masers associated with the jet.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 18:17:09 GMT""}]","2009-10-30"
"astro-ph/9712087","N. W. Evans","Wyn Evans (Oxford), Mark Wilkinson (Oxford)","Lens Models with Density Cusps","14 pages, 11 figures, MNRAS, in press",,,,"astro-ph",,"  Lens models appropriate for representing cusped galaxies and clusters are
developed. The analogue of the odd number theorem for cusped density
distributions is given. Density cusps are classified into strong, isothermal or
weak, according to their lensing properties. Strong cusps cause multiple
imaging for any source position, whereas isothermal and weak cusps give rise to
only one image for distant sources. Isothermal cusps always possess a
pseudo-caustic. When the source crosses the pseudo-caustic, the number of
images changes by unity.Two families of cusped galaxy and cluster models are
examined in detail. The double power-law family has an inner cusp, followed by
a transition region and an outer envelope. One member of this family -- the
isothermal double power-law model -- possesses an exceedingly scarce property,
namely, the lens equation is exactly solvable for any source position. This
means that the magnifications, the time delay and the lensing cross-sections
are all readily available. The model has a three dimensional density that is
cusped like $r^{-2}$ at small radii and falls off like $r^{-4}$ asymptotically.
Thus, it provides a very useful representation of the lensing properties of a
galaxy or cluster of finite total mass with a flat rotation curve. The second
set of models studied is the single power-law family. These are single density
cusps of infinite extent. The properties of the critical curves and caustics
and the behaviour of the lenses in the presence of external shear are all
discussed in some detail.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 18:54:19 GMT""}]","2007-05-23"
"astro-ph/9712088","Reba M. Bandyopadhyay","R. Bandyopadhyay, P. Martini, E. Gerard, P.A. Charles, R.M. Wagner, C.
  Shrader, T. Shahbaz, and I.F. Mirabel","Multi-Wavelength Monitoring of GRS 1915+105","7 pages, 3 figures, accepted for publication in MNRAS",,"10.1046/j.1365-8711.1998.01393.x","OUAST/97/100","astro-ph",,"  Since its discovery in 1992, the superluminal X-ray transient GRS 1915+105
has been extensively observed in an attempt to understand its behaviour. We
present here first results from a multi-wavelength campaign undertaken from
July to September 1996. This study includes X-ray data from the RXTE All Sky
Monitor and BATSE, two-frequency data from the Nancay radio telescope, and
infrared photometry from the 1.8m Perkins telescope at Lowell Observatory. The
first long-term well-sampled IR light curve of GRS 1915+105 is presented herein
and is consistent with the interpretation of this source as a long-period
binary. We compare the various light curves, searching for correlations in the
behaviour of the source at differing wavelengths and for possible
periodicities.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 19:09:26 GMT""}]","2009-10-30"
"astro-ph/9712089","Felix Aharonian","F.A. Aharonian (Max-Planck-Institut fuer Kernphysik, Heidelberg)","Very High Energy Photons in Universe","27 pages, 15 figures, uses epsf, wrapfig, lprocl, talk at the XVIII
  Int. Symp. on ""Lepton-Photon Interactions"", Hamburg 28 July - 1 August, 1997;
  World Scientific, in press",,,,"astro-ph",,"  I discuss the recent exciting results of discovery of TeV photons from
several galactic and extragalactic sources, and highlight some objectives of
VHE gamma ray astronomy that can be achieved in the near future by means of new
generation ground-based detectors.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 19:34:48 GMT""}]","2007-05-23"
"astro-ph/9712090","Philip Mannheim","Philip D. Mannheim (University of Connecticut)","Imprint of the Global Hubble Flow on Galactic Rotation Curves","LaTeX, 5 pages. To appear in the Proceedings of the Galactic Halos
  Workshop, University of California at Santa Cruz, August 1997",,,"UCONN 97-04, November 1997","astro-ph",,"  We identify an apparent imprint of the global Hubble flow on the systematics
of galactic rotation curves, and discuss its possible implications for
gravitational theory.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 19:21:53 GMT""}]","2007-05-23"
"astro-ph/9712091","Jon Hakkila","Jon Hakkila (1), Charles A. Meegan (2), Geoffrey N. Pendleton (3),
  William Henze (4), Michael McCollough (5), Jefferson M. Kommers (6), and
  Michael S. Briggs (3) ((1) Mankato State University, (2) NASA/MSFC, (3)
  University of Alabama in Huntsville, (4) Teledyne Brown, (5) USRA at
  NASA/MSFC, (6) Massachusetts Institute of Technology)","BATSE Sky Exposure","5 pages, 1 postscript figure. To appear in the Fourth Huntsville
  Gamma-Ray Burst Symposium",,"10.1063/1.55311",,"astro-ph",,"  Angular sky exposure is presented for a number of published BATSE gamma-ray
burst catalogs. A new algorithm was required due to telemetry gaps resulting
from onboard tape recorder failures; the new algorithm improves the 1B Catalog
exposure calculation. The most influential effects limiting BATSE's exposure
are (1) deadtime due to triggering, (2) sky blockage by the Earth, and (3)
trigger disabling when the spacecraft is in the SAA and over other specific
Earth locations. Exposure has improved during the CGRO mission as a result of
decreased Solar flares and magnetospheric particle events.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 19:45:58 GMT""}]","2009-10-30"
"astro-ph/9712092","Jon Hakkila","Jon Hakkila (1), Charles A. Meegan (2), Geoffrey N. Pendleton (3),
  Michael S. Briggs (3), John M. Horack (2), Dieter H. Hartmann (4), and
  Valerie Connaughton (5) ((1) Mankato State University, (2) NASA/MSFC, (3)
  University of Alabama in Huntsville, (4) Clemson University, (5) National
  Research Council at NASA/MSFC)","GRB Repetition Limits from Current BATSE Observations","5 pages, 2 postscript figures. To appear in the Fourth Huntsville
  Gamma-Ray Burst Symposium",,"10.1063/1.55328",,"astro-ph",,"  Revised upper limits on gamma-ray burst repetition rates are found using the
BATSE 3B and 4B catalogs. A statistical repetition model is assumed in which
sources burst at a mean rate but in which BATSE observes bursts randomly from
each source.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 20:00:08 GMT""}]","2009-10-30"
"astro-ph/9712093","David H. Cohen","David H. Cohen, Mark Hurwitz, Joseph P. Cassinelli, Stuart Bowyer","ORFEUS-SPAS II EUV Spectroscopy of epsilon Canis Majoris (B2 II)","10 pages LaTeX, 5 figures, accepted by ApJ Letters, replacement
  includes just a few editorial changes",,,"Wisconsin Astrophysics #679 and Fusion Technology Institute
  UWFDM-1067","astro-ph",,"  We report on extreme-ultraviolet (EUV) spectroscopic observations of the B
bright giant epsilon Canis Majoris made during the ORFEUS-SPAS II mission. We
assess the performance of the instrument in the EUV and find that the effective
area is roughly 3 times that of the Extreme-Ultraviolet Explorer (EUVE)
long-wavelength spectrometer and that the spectral resolution is
lambda/Delta(lambda) = 1250. We identify most of the features, qualitatively
compare different models, and examine the wind-broadened O V and Si IV lines,
which display blue edge velocities up to 800 km/s.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 20:07:04 GMT""},{""version"":""v2"",""created"":""Wed, 20 May 1998 16:39:54 GMT""}]","2009-09-25"
"astro-ph/9712094","Jon Hakkila","Xiaoling Chen (1) and Jon Hakkila (1) ((1) Mankato State University)","The Two-Point Angular Correlation Function and BATSE Sky Exposure","5 pages, 1 postscript figure. To appear in the Fourth Huntsville
  Gamma-Ray Burst Symposium",,"10.1063/1.55312",,"astro-ph",,"  The Two-Point Angular Correlation Function is a standard analysis tool used
to study angular anisotropies. Since BATSE's sky exposure (the angular sampling
of gamma-ray bursts) is anisotropic, the TPACF should at some point identify
anisotropies in BATSE burst catalogs due to sky exposure. The effects of BATSE
sky exposure are thus explored here for BATSE 3B and 4B catalogs. Sky-exposure
effects are found to be small.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 20:12:29 GMT""}]","2009-10-30"
